Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:43:19.5834652,60.54142,0.007351861,-0.05074522,-0.04762069,9.359144,14.19235,0.1585371,0.1663841,-0.3740037,0.1756419,350.0631,13.96323,346.8265,0,0
2018/07/11 - 02:43:19.6064033,60.56307,0.007394507,-0.05072831,-0.04758285,9.370555,14.2047,0.1455905,0.1663935,-0.3739969,0.1756289,350.0615,13.94073,346.819,0,0
2018/07/11 - 02:43:19.6283447,60.58553,0.007432434,-0.05073947,-0.04757431,9.380491,14.21681,0.1464591,0.166401,-0.37399,0.1756271,350.0402,13.95938,346.8361,0,0
2018/07/11 - 02:43:19.6502861,60.60767,0.007443127,-0.05075889,-0.04757379,9.396512,14.24433,0.1475197,0.1663927,-0.3740285,0.175664,350.041,13.95681,346.8804,0,0
2018/07/11 - 02:43:19.6732242,60.63058,0.007460798,-0.05081255,-0.04757381,9.376787,14.24543,0.156468,0.1663913,-0.3740613,0.1757104,350.0849,13.92326,346.8704,0,0
2018/07/11 - 02:43:19.6961635,60.65318,0.00745701,-0.05080917,-0.04757582,9.384518,14.23837,0.1528729,0.1663363,-0.3740471,0.1756926,350.0999,13.87156,346.8542,0,0
2018/07/11 - 02:43:19.7181049,60.67582,0.00744411,-0.05082971,-0.04756402,9.376519,14.23096,0.1594278,0.1661982,-0.3740365,0.1756657,350.085,13.82935,346.8952,0,0
2018/07/11 - 02:43:19.7410433,60.69829,0.007431949,-0.05085262,-0.04754012,9.388023,14.21793,0.1595292,0.1661162,-0.3740155,0.1756379,350.0692,13.82953,346.8926,0,0
2018/07/11 - 02:43:19.7630154,60.72102,0.007442784,-0.05084512,-0.04750066,9.394255,14.21017,0.1429915,0.1659681,-0.374036,0.1755968,350.0533,13.81178,346.9036,0,0
2018/07/11 - 02:43:19.7849256,60.74284,0.007460263,-0.05081375,-0.04746647,9.397555,14.21611,0.1303167,0.1658884,-0.3740716,0.1755805,350.0697,13.80367,346.8878,0,0
2018/07/11 - 02:43:19.8068667,60.76441,0.007480166,-0.05076715,-0.04742042,9.388908,14.22685,0.1325529,0.1657869,-0.3741338,0.1755713,350.1354,13.78336,346.8457,0,0
2018/07/11 - 02:43:19.8298057,60.78653,0.007496876,-0.05076401,-0.04741563,9.372969,14.24037,0.1411129,0.1656621,-0.3740909,0.1755032,350.1154,13.74487,346.8451,0,0
2018/07/11 - 02:43:19.8517468,60.80977,0.007503578,-0.05077219,-0.04741572,9.370079,14.25147,0.1464502,0.1654938,-0.3739495,0.1754142,350.0551,13.73009,346.8669,0,0
2018/07/11 - 02:43:19.8736879,60.83106,0.007486087,-0.05079099,-0.04740792,9.378475,14.2537,0.1433015,0.1653963,-0.3738136,0.1753748,349.9776,13.71546,346.911,0,0
2018/07/11 - 02:43:19.9026107,60.85339,0.007480468,-0.05079878,-0.04743973,9.39475,14.23227,0.1341087,0.1654609,-0.3737443,0.175439,350.0031,13.72067,346.8711,0,0
2018/07/11 - 02:43:19.9205628,60.88252,0.007482529,-0.05078111,-0.04746173,9.401542,14.22079,0.1246086,0.1655813,-0.3736261,0.1755423,350.0353,13.7361,346.7882,0,0
2018/07/11 - 02:43:19.9415064,60.9008,0.007497315,-0.05076876,-0.04749675,9.399686,14.20678,0.1063575,0.1656013,-0.3735788,0.1755584,350.0126,13.76041,346.7895,0,0
2018/07/11 - 02:43:19.9624654,60.92077,0.007515424,-0.0507617,-0.047532,9.403788,14.21701,0.1068982,0.1655668,-0.3735314,0.1755327,349.9762,13.77569,346.8228,0,0
2018/07/11 - 02:43:19.9843917,60.94192,0.007543195,-0.05074391,-0.04756981,9.399414,14.22501,0.1021343,0.1655358,-0.3735109,0.1754938,349.9705,13.75844,346.8273,0,0
2018/07/11 - 02:43:20.0063331,60.96429,0.007580552,-0.05073851,-0.04760836,9.386667,14.23475,0.1123834,0.1655881,-0.373474,0.1753346,349.9854,13.75248,346.7396,0,0
2018/07/11 - 02:43:20.0292724,60.9855,0.007605873,-0.05075185,-0.04762954,9.384426,14.24463,0.08996852,0.165575,-0.3734657,0.1752713,349.977,13.74809,346.7398,0,0
2018/07/11 - 02:43:20.0512269,61.00943,0.007635225,-0.05076548,-0.04764602,9.407407,14.2489,0.07238853,0.1655361,-0.3735104,0.1751681,349.9487,13.73873,346.7944,0,0
2018/07/11 - 02:43:20.0741627,61.03132,0.007679027,-0.05078441,-0.04765033,9.412565,14.26454,0.07538215,0.1655594,-0.373639,0.1751493,349.9683,13.72451,346.8304,0,0
2018/07/11 - 02:43:20.0960928,61.05423,0.00774574,-0.05079857,-0.047659,9.40867,14.28635,0.0913863,0.1657247,-0.3737161,0.1750963,350.0154,13.74285,346.7552,0,0
2018/07/11 - 02:43:20.1190317,61.07622,0.007807001,-0.05079481,-0.04765572,9.40524,14.28579,0.08498019,0.1658251,-0.3737145,0.1750256,350.0031,13.75372,346.761,0,0
2018/07/11 - 02:43:20.1419701,61.09826,0.007882398,-0.05080652,-0.04763995,9.410084,14.27714,0.07531886,0.1660127,-0.3737291,0.1749149,349.9666,13.80309,346.7854,0,0
2018/07/11 - 02:43:20.1639116,61.12164,0.00794611,-0.05083149,-0.04761949,9.411047,14.27612,0.07070107,0.1661343,-0.3737788,0.1749107,349.9688,13.82056,346.7961,0,0
2018/07/11 - 02:43:20.1858524,61.14347,0.008034873,-0.05084719,-0.04759675,9.421511,14.26652,0.04476043,0.1663308,-0.373879,0.1749808,350.0297,13.82966,346.7727,0,0
2018/07/11 - 02:43:20.2077944,61.16549,0.008109433,-0.05086826,-0.04757118,9.419653,14.28527,0.0293951,0.1664083,-0.3739015,0.1750061,350.0481,13.82375,346.7541,0,0
2018/07/11 - 02:43:20.2297358,61.18792,0.008197051,-0.05085578,-0.047505,9.418118,14.31586,-0.004512617,0.1664917,-0.3738574,0.1749831,350.0165,13.84906,346.7393,0,0
2018/07/11 - 02:43:20.2526736,61.20991,0.008267224,-0.05084134,-0.04746136,9.423903,14.31435,0.00417906,0.1664832,-0.3738048,0.1750371,349.9961,13.88294,346.7588,0,0
2018/07/11 - 02:43:20.2746151,61.2321,0.008344308,-0.05082677,-0.04741789,9.439581,14.33311,359.9931,0.1664829,-0.373768,0.1751003,350.0041,13.87797,346.733,0,0
2018/07/11 - 02:43:20.2915696,61.25457,0.008396141,-0.05082606,-0.04741168,9.45172,14.33284,359.9778,0.1664706,-0.3737355,0.1751629,350.0189,13.86674,346.7061,0,0
2018/07/11 - 02:43:20.3085244,61.27111,0.008430932,-0.0508437,-0.04742679,9.447486,14.33817,359.9729,0.1664438,-0.3737031,0.1752061,350.018,13.86806,346.7021,0,0
2018/07/11 - 02:43:20.3264765,61.28799,0.008488521,-0.05084305,-0.04739737,9.448461,14.31655,359.9458,0.1663975,-0.3736509,0.1752399,350.0104,13.86912,346.6967,0,0
2018/07/11 - 02:43:20.3434322,61.30589,0.008487348,-0.05085041,-0.04736982,9.457891,14.3287,359.92,0.1663295,-0.3736093,0.1752712,349.9962,13.85208,346.6982,0,0
2018/07/11 - 02:43:20.3623802,61.32361,0.008516878,-0.05087215,-0.04737327,9.454601,14.3187,359.9311,0.1662586,-0.3735902,0.1753407,349.9958,13.82967,346.7107,0,0
2018/07/11 - 02:43:20.3883112,61.34157,0.008533921,-0.05087683,-0.04736153,9.460885,14.31738,359.9256,0.1662191,-0.3735711,0.1754055,349.9872,13.82893,346.711,0,0
2018/07/11 - 02:43:20.4112496,61.36731,0.008559753,-0.05088768,-0.04733109,9.449985,14.31988,359.9422,0.1662191,-0.3735785,0.1755168,350.0108,13.83191,346.7075,0,0
2018/07/11 - 02:43:20.4421666,61.38997,0.008571871,-0.05085434,-0.04727895,9.46066,14.30348,359.9308,0.1662182,-0.3735469,0.175586,350.0108,13.82012,346.6799,0,0
2018/07/11 - 02:43:20.4611160,61.42116,0.008566845,-0.0508617,-0.0472388,9.468986,14.30532,359.9432,0.1661762,-0.3735091,0.1756958,350.0021,13.82251,346.7188,0,0
2018/07/11 - 02:43:20.4810632,61.4414,0.008563478,-0.05086857,-0.04715796,9.485959,14.28792,359.9518,0.1661588,-0.3735036,0.1757401,350.0057,13.82085,346.7256,0,0
2018/07/11 - 02:43:20.5010095,61.46078,0.008551419,-0.05088367,-0.04710939,9.497722,14.28902,359.9573,0.1661405,-0.3735161,0.1757636,350.0058,13.82059,346.7213,0,0
2018/07/11 - 02:43:20.5189613,61.48037,0.008535061,-0.05088644,-0.04702694,9.509123,14.28604,359.951,0.1660851,-0.3735195,0.1758316,350.021,13.81141,346.7177,0,0
2018/07/11 - 02:43:20.5389088,61.4987,0.008524682,-0.05088763,-0.04693986,9.51475,14.28783,359.9615,0.1660237,-0.3735358,0.1758744,350.023,13.7855,346.7181,0,0
2018/07/11 - 02:43:20.5628436,61.51859,0.008515593,-0.05090226,-0.04685352,9.519652,14.2983,359.9796,0.165983,-0.373612,0.1759045,350.0231,13.78463,346.7488,0,0
2018/07/11 - 02:43:20.5877768,61.54201,0.008492759,-0.05092655,-0.04678935,9.541495,14.31634,359.9922,0.1659719,-0.3736964,0.1759171,350.0277,13.78739,346.7628,0,0
2018/07/11 - 02:43:20.6067261,61.56731,0.008474201,-0.05097099,-0.04671632,9.573445,14.33181,-0.0002149428,0.1660048,-0.3738269,0.1759565,350.081,13.79957,346.7355,0,0
2018/07/11 - 02:43:20.6276709,61.58681,0.00848063,-0.05103535,-0.04662121,9.621331,14.31716,359.9866,0.1660226,-0.3738726,0.1759249,350.0837,13.79939,346.7117,0,0
2018/07/11 - 02:43:20.6506090,61.60757,0.008497975,-0.05109603,-0.04650739,9.651886,14.30838,359.9687,0.1660315,-0.3739362,0.1758333,350.0622,13.81599,346.7306,0,0
2018/07/11 - 02:43:20.6725515,61.63087,0.008478523,-0.05113918,-0.04634695,9.674849,14.24924,359.9244,0.166008,-0.3740226,0.1758062,350.0685,13.8178,346.7477,0,0
2018/07/11 - 02:43:20.6954885,61.65244,0.00793862,-0.05104657,-0.04591816,9.614873,13.33926,0.01020064,0.1659057,-0.3742138,0.1758623,350.1255,13.79035,346.7609,0,0
2018/07/11 - 02:43:20.7174299,61.67484,0.006689321,-0.05098074,-0.04550341,9.523698,12.20268,359.591,0.1657923,-0.3742974,0.1758884,350.1687,13.78655,346.7669,0,0
2018/07/11 - 02:43:20.7393722,61.69699,0.005210511,-0.05086436,-0.04513078,9.642925,11.12243,359.2529,0.1656479,-0.374238,0.1758209,350.1557,13.74652,346.7898,0,0
2018/07/11 - 02:43:20.7613136,61.71892,0.003568366,-0.05100841,-0.04459753,9.524082,9.508147,359.2247,0.1655346,-0.374061,0.1756288,350.0817,13.69927,346.7612,0,0
2018/07/11 - 02:43:20.7842514,61.7408,0.001112726,-0.05089992,-0.044029,9.565175,7.120975,358.9389,0.1654787,-0.3740566,0.1755861,350.0695,13.69854,346.7741,0,0
2018/07/11 - 02:43:20.8071901,61.76368,-0.001490022,-0.05105679,-0.04361824,9.576624,4.636288,358.3242,0.1653975,-0.3741319,0.1755409,350.114,13.70184,346.7516,0,0
2018/07/11 - 02:43:20.8281573,61.78599,-0.00388781,-0.05111198,-0.04338779,9.706161,2.67353,357.7699,0.1651964,-0.3741939,0.1751916,350.1949,13.65173,346.5502,0,0
2018/07/11 - 02:43:20.8510983,61.80759,-0.00568761,-0.05119779,-0.04331043,9.676394,1.188099,357.5056,0.1646137,-0.3743449,0.1747343,350.1321,13.51159,346.5994,0,0
2018/07/11 - 02:43:20.8799946,61.83056,-0.007137385,-0.05112149,-0.04316523,9.671305,0.1314874,357.4345,0.1633331,-0.3750287,0.1742515,350.1104,13.22877,346.7538,0,0
2018/07/11 - 02:43:20.8979476,61.85239,-0.007757823,-0.0511766,-0.04323845,9.557425,359.6644,357.5457,0.1620435,-0.3761437,0.1742297,350.4829,12.95365,346.7113,0,0
2018/07/11 - 02:43:20.9178936,61.87737,-0.0081953,-0.05119123,-0.0434312,9.564123,359.5029,357.7029,0.1604614,-0.3772553,0.1741389,350.5884,12.64286,346.7143,0,0
2018/07/11 - 02:43:20.9408320,61.89731,-0.008312151,-0.05125792,-0.04361167,9.487378,359.6776,357.8355,0.1580726,-0.3790318,0.1743018,350.7905,12.38305,347.0717,0,0
2018/07/11 - 02:43:20.9617767,61.92021,-0.008411505,-0.05110136,-0.04375291,9.409446,359.8514,358.1139,0.1551982,-0.3812979,0.1745636,351.2247,11.95015,347.2875,0,0
2018/07/11 - 02:43:20.9837173,61.94179,-0.008338243,-0.05093878,-0.04382233,9.385925,359.9917,358.047,0.1515655,-0.3839954,0.1745788,351.7968,11.16409,347.4504,0,0
2018/07/11 - 02:43:21.0076532,61.96395,-0.008372154,-0.05093366,-0.04387816,9.372786,0.09226228,357.9968,0.1475028,-0.3864544,0.1739407,352.0189,10.30958,347.6435,0,0
2018/07/11 - 02:43:21.0295955,61.98661,-0.008493863,-0.05074258,-0.04419295,9.279155,0.311655,358.0939,0.1434131,-0.3892227,0.1734861,352.2786,9.869756,348.0154,0,0
2018/07/11 - 02:43:21.0505673,62.00934,-0.008409833,-0.05058566,-0.04437089,9.195499,0.5734541,358.2482,0.1388649,-0.3929473,0.1735122,352.765,9.340757,348.3829,0,0
2018/07/11 - 02:43:21.0734772,62.02992,-0.008204379,-0.05050348,-0.044631,9.134093,0.9006175,358.3258,0.1343362,-0.3977642,0.1741428,353.6745,8.453383,348.4486,0,0
2018/07/11 - 02:43:21.0954186,62.0537,-0.007901903,-0.05044413,-0.04504137,9.190156,1.333814,358.231,0.1305696,-0.4037361,0.1755848,354.8772,7.721054,348.0911,0,0
2018/07/11 - 02:43:21.1183866,62.07531,-0.007586475,-0.05049945,-0.04543927,9.22882,1.850065,358.1928,0.1273316,-0.4115179,0.1782774,356.5188,7.320539,347.9013,0,0
2018/07/11 - 02:43:21.1413244,62.0981,-0.00706204,-0.0505631,-0.04587867,9.275993,2.406466,358.2613,0.1246391,-0.4202676,0.1813148,358.9903,6.844003,347.7186,0,0
2018/07/11 - 02:43:21.1622692,62.12102,-0.006468333,-0.05066212,-0.04626111,9.215596,3.09793,358.3544,0.1228533,-0.428783,0.1838543,1.082874,6.875397,347.7348,0,0
2018/07/11 - 02:43:21.1842109,62.14213,-0.005837135,-0.05058983,-0.04671856,9.289146,3.873072,358.3191,0.1216301,-0.437844,0.1862556,3.119526,7.224483,347.2475,0,0
