Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:04:19.9993646,45.296,0.03595531,-0.03615701,-0.1282478,8.323018,3.01997,359.4446,0.1011814,-0.4193897,0.03517411,356.8213,4.274943,354.9466,0,0
2018/07/10 - 11:04:20.0093394,45.30366,0.03587814,-0.03619572,-0.1283278,8.322556,2.995707,359.4616,0.1009789,-0.4192671,0.03498413,356.6667,4.153821,354.9343,0,0
2018/07/10 - 11:04:20.0203096,45.31437,0.03580235,-0.03621186,-0.1284002,8.327419,2.961382,359.4585,0.1007877,-0.4191102,0.03481273,356.4751,4.061394,354.9766,0,0
2018/07/10 - 11:04:20.0312797,45.32536,0.03570996,-0.03627023,-0.1284758,8.306505,2.922755,359.4904,0.1005985,-0.4189775,0.03470842,356.3772,4.005768,355.0245,0,0
2018/07/10 - 11:04:20.0422498,45.33646,0.03564798,-0.03627746,-0.1285392,8.323466,2.910282,359.5038,0.1004339,-0.4188333,0.03465197,356.3227,4.004519,355.0498,0,0
2018/07/10 - 11:04:20.0532217,45.34735,0.03557321,-0.03628686,-0.1285918,8.330886,2.880818,359.4998,0.1003541,-0.4187359,0.03463355,356.3121,4.027064,355.0454,0,0
2018/07/10 - 11:04:20.0641916,45.35838,0.0355065,-0.03629029,-0.1286195,8.33913,2.867084,359.5207,0.1003411,-0.418671,0.03467047,356.342,4.046096,355.0211,0,0
2018/07/10 - 11:04:20.0751617,45.3694,0.03543148,-0.03627364,-0.1286563,8.358275,2.831205,359.5269,0.1002858,-0.4185928,0.0346836,356.3543,4.028865,355.0174,0,0
2018/07/10 - 11:04:20.0871294,45.38057,0.03538957,-0.036281,-0.1286716,8.356643,2.836535,359.5366,0.1001615,-0.418413,0.03465575,356.3704,3.978046,355.0103,0,0
2018/07/10 - 11:04:20.0981001,45.39169,0.03534341,-0.03629194,-0.1287115,8.353952,2.810925,359.5665,0.1000126,-0.4181496,0.03461199,356.375,3.867342,354.983,0,0
2018/07/10 - 11:04:20.1080738,45.40255,0.03530357,-0.03631862,-0.1287383,8.335161,2.807077,359.5677,0.09992486,-0.4179445,0.0345811,356.3578,3.754756,354.9351,0,0
