Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/27 - 01:51:23.3215278,0,0.06738994,-0.0591976,-0.1816919,10.88088,18.38198,4.726727,0.1789069,-0.4287355,-0.1730416,354.4549,14.5914,345.6201
2018/06/27 - 01:51:23.3324971,0.007380461,0.0660314,-0.05883555,-0.1828005,10.76026,18.3576,4.746058,0.1781791,-0.4286072,-0.1741464,354.5751,14.54498,345.4715
2018/06/27 - 01:51:23.3404763,0.02038836,0.06469697,-0.05848988,-0.1839051,10.67695,18.39084,4.835045,0.1773806,-0.4285137,-0.175322,354.6605,14.54706,345.4524
2018/06/27 - 01:51:23.3534415,0.02902293,0.06341495,-0.0581882,-0.184958,10.55487,18.34984,4.933497,0.1764428,-0.4284438,-0.1763932,354.6703,14.46953,345.5517
2018/06/27 - 01:51:23.3634138,0.04123325,0.06204648,-0.05782871,-0.1859564,10.49505,18.32168,5.000903,0.1753967,-0.4284216,-0.1773617,354.6012,14.33477,345.7297
2018/06/27 - 01:51:23.3743868,0.05230977,0.06068803,-0.05755594,-0.1868761,10.3731,18.30103,5.072066,0.1743336,-0.4284165,-0.1782468,354.5201,14.18823,345.9575
2018/06/27 - 01:51:23.3863525,0.06284899,0.05938735,-0.05725877,-0.1878072,10.29239,18.21658,5.152733,0.17329,-0.4283873,-0.1789523,354.3768,14.07403,346.2064
2018/06/27 - 01:51:23.3973232,0.07397074,0.05804628,-0.05693649,-0.1887528,10.223,18.15332,5.239026,0.1723079,-0.4283771,-0.1795515,354.2081,14.0143,346.4028
2018/06/27 - 01:51:23.4102887,0.0856773,0.05532931,-0.05629863,-0.1902157,10.02499,18.07213,5.345073,0.1703896,-0.4283572,-0.1806808,354.0349,13.86473,346.7715
2018/06/27 - 01:51:23.4232537,0.09775621,0.05398314,-0.05603977,-0.1909246,9.874431,17.98332,5.411817,0.1694607,-0.428353,-0.1809567,354.0356,13.75678,347.0216
2018/06/27 - 01:51:23.4362192,0.111422,0.05266164,-0.05572668,-0.1916127,9.821324,17.9298,5.571604,0.1685763,-0.4283238,-0.1812053,353.9881,13.63758,347.2216
2018/06/27 - 01:51:23.4461924,0.1212939,0.05134129,-0.05548711,-0.1922075,9.749702,17.86582,5.686971,0.1678022,-0.4282487,-0.1814334,353.9191,13.538,347.3335
2018/06/27 - 01:51:23.4561763,0.133686,0.05006422,-0.05525427,-0.1927493,9.639026,17.69371,5.710636,0.1671051,-0.4281229,-0.1816169,353.8842,13.50142,347.4247
2018/06/27 - 01:51:23.4681335,0.1448763,0.04880439,-0.05497531,-0.1932453,9.577381,17.58847,5.865693,0.166418,-0.4280204,-0.1818143,353.8895,13.46231,347.527
2018/06/27 - 01:51:23.4797075,0.1564793,0.04761267,-0.0547235,-0.1936876,9.444184,17.45958,5.998464,0.165743,-0.4279332,-0.1821143,353.9063,13.38462,347.6257
2018/06/27 - 01:51:23.4916564,0.1684396,0.04633779,-0.05446649,-0.1940121,9.289408,17.3979,6.096692,0.1651772,-0.4278853,-0.1825307,353.8802,13.27235,347.6184
2018/06/27 - 01:51:23.5026271,0.1801405,0.04517989,-0.05419514,-0.1943193,9.170972,17.19876,6.173615,0.1645922,-0.4279246,-0.1828723,353.8049,13.16317,347.579
2018/06/27 - 01:51:23.5155932,0.1915137,0.04391349,-0.0539595,-0.1944939,9.105019,17.10972,6.210911,0.1638699,-0.4279818,-0.1830086,353.7893,13.05141,347.6184
2018/06/27 - 01:51:23.5275603,0.2033397,0.04278137,-0.0538652,-0.1947238,9.01687,16.89756,6.264563,0.1631055,-0.4281039,-0.1830856,353.8121,12.89258,347.6699
