Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
0.01141333,0.01499488,-0.04795713,-0.2366471,12.30525,10.03338,358.6832,0.1123916,-0.3803053,0.03435948,358.33,4.438013,354.9069
0.02250694,0.01501472,-0.04795016,-0.2368547,12.28769,10.03279,358.6901,0.1120199,-0.3802098,0.03432377,358.3828,4.727464,354.806
0.03383722,0.01502913,-0.04802647,-0.2371869,12.22878,10.03221,358.7084,0.1111404,-0.3800889,0.03434035,358.3791,5.093203,355.0476
0.04475106,0.01498087,-0.04803268,-0.2371609,12.24438,10.04387,358.6954,0.1105291,-0.3800701,0.03469493,358.7811,5.293925,355.1908
0.05582079,0.01492943,-0.0481564,-0.2372762,12.23376,10.04312,358.6977,0.110374,-0.3799169,0.03557146,359.568,5.949976,354.6715
0.06704155,0.01481407,-0.048488,-0.237718,12.3688,9.94298,358.6955,0.1103354,-0.3797511,0.03673667,0.4429031,6.892298,354.0199
0.07792922,0.01457134,-0.04904046,-0.2379085,12.53168,9.929875,358.8003,0.1097457,-0.3795835,0.03771392,1.307717,6.733799,353.3085
0.08898586,0.01440665,-0.04934663,-0.2380395,12.7384,9.851959,358.8021,0.1087893,-0.3797276,0.03835886,2.170805,5.53633,352.8652
0.1002265,0.01413007,-0.04977705,-0.2379845,12.79328,9.901495,358.8059,0.107436,-0.3799422,0.03750733,2.411871,4.481068,352.8518
0.1106833,0.01398665,-0.04996804,-0.2380225,12.95114,9.831775,358.7999,0.1055787,-0.379943,0.03687648,2.24437,4.08413,353.6535
0.1220867,0.01375093,-0.05017604,-0.2379771,13.02185,9.873931,358.8176,0.1032506,-0.3795308,0.03573833,1.564287,2.243997,353.9842
0.1330673,0.01353202,-0.05039597,-0.2379703,13.0569,9.872428,358.8287,0.1016759,-0.3794196,0.03472301,1.407435,0.9785911,354.058
0.1441228,0.0132287,-0.05055396,-0.2380081,13.1614,9.884723,358.8687,0.1009316,-0.3789611,0.03411606,1.235406,1.021725,353.9611
0.1549556,0.01296415,-0.05075675,-0.238181,13.29958,9.81896,358.9261,0.1006508,-0.3784013,0.03355347,1.010177,1.410022,353.4204
0.1662751,0.01269846,-0.05098389,-0.2384881,13.472,9.698151,359.0198,0.1002959,-0.3779814,0.03314025,1.152073,1.259618,352.6695
0.1778508,0.01230782,-0.05113191,-0.2388764,13.69814,9.641585,359.0732,0.0999841,-0.3775991,0.0330093,1.562243,0.8099911,351.7621
0.1887226,0.01204592,-0.05135426,-0.2392654,13.77817,9.493562,359.097,0.09948733,-0.3772968,0.03290799,2.00978,0.4297549,350.9235
0.1997064,0.0117741,-0.05149791,-0.239646,13.81668,9.37348,359.1231,0.09889976,-0.3770159,0.03269519,2.340419,0.05002354,350.1472
