Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2.712515,0,1,Peer hit peer's target,-0.02555287,0.009615687,-0.3536482,332.5486,14.18485,1.465129,0.185205,-0.252286,0.0683399,338.422,14.82602,355.5499
4.512772,1,1,User hit user's target,-0.03686347,-0.01903907,-0.2960043,359.1844,290.6995,356.4923,-0.2167723,-0.3492675,-0.1182918,357.9012,282.6646,0.4846039
4.846657,1,2,Peer hit peer's target,-0.0272593,-0.007232248,-0.2778016,351.2518,303.2502,357.581,-0.1837087,-0.3160163,-0.07507587,347.4991,293.8245,357.6868
5.336267,1,3,Peer hit peer's target,0.01930923,0.02069285,-0.30952,329.7178,358.1205,353.59,0.04991103,-0.2256692,0.009320574,327.1969,358.5161,350.2738
5.913355,2,3,User hit user's target,-0.001989738,0.002748961,-0.3477567,348.1384,79.11307,352.5396,0.3900169,-0.2906926,-0.261102,349.7867,80.9594,348.2712
7.625005,1,3,User missed,-0.06980614,0.009969064,-0.2860499,340.7916,23.15779,359.2134,0.1520629,-0.336491,-0.05188834,348.1839,20.84099,4.147394
7.835864,0,3,User missed,-0.07371391,0.01858792,-0.3010055,334.4708,15.02633,1.814487,0.1052123,-0.2999714,-0.01274149,343.1689,9.762335,2.869438
8.158413,0,4,Peer hit peer's target,-0.08585381,0.004577515,-0.2979457,348.9775,347.9549,7.225232,0.0005269245,-0.3244354,0.0004451879,347.8068,347.4659,2.544656
11.33559,0,5,Peer hit peer's target,-0.01731915,0.02649453,-0.3591335,328.7332,51.00749,350.9076,0.2598195,-0.179179,-0.1144961,323.6701,49.88905,351.3697
11.38009,0,6,Peer hit peer's target,-0.0198763,0.02513579,-0.3586522,330.276,56.49305,351.356,0.2774838,-0.1822783,-0.141408,324.7616,56.558,350.9392
12.06881,1,6,User hit user's target,-0.09396455,0.02411339,-0.3098209,329.2956,71.66427,358.571,0.2801023,-0.1404833,-0.1941339,340.2482,66.08078,356.274
