Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:47:48.4106727,19.99876,0.117,-0.03928451,-0.1312326,8.475196,346.4966,0.2724679,0.1612724,-0.4003296,0.1239287,349.8831,339.7347,349.6035,0,0
2018/07/11 - 02:47:48.4196484,20.0099,0.11657,-0.03916951,-0.1309022,8.50579,346.5782,0.2090705,0.1610867,-0.4001065,0.1240736,349.8719,339.8131,349.5816,0,0
2018/07/11 - 02:47:48.4326244,20.02075,0.1162712,-0.03913166,-0.1306421,8.525933,346.6642,0.2078666,0.1609464,-0.3999068,0.1241837,349.8575,339.8935,349.554,0,0
2018/07/11 - 02:47:48.4435931,20.03269,0.1158337,-0.0390114,-0.1302919,8.610121,346.7831,0.1802928,0.1607861,-0.399716,0.1242943,349.8623,339.9779,349.5343,0,0
2018/07/11 - 02:47:48.4545573,20.04434,0.1155018,-0.0389705,-0.1300285,8.61587,346.8513,0.1374488,0.1606611,-0.3995998,0.1243581,349.874,340.0321,349.5143,0,0
2018/07/11 - 02:47:48.4645285,20.05463,0.1152956,-0.0388582,-0.1298456,8.662373,346.8688,0.1235285,0.1605346,-0.3994928,0.1243948,349.8781,340.0663,349.4814,0,0
2018/07/11 - 02:47:48.4765195,20.06534,0.1148752,-0.03872709,-0.1295505,8.700087,346.9825,0.154568,0.1603856,-0.3994051,0.1244274,349.8761,340.1112,349.4474,0,0
2018/07/11 - 02:47:48.4874671,20.07652,0.114741,-0.03869382,-0.1294627,8.682036,346.9732,0.1473892,0.1601626,-0.3993577,0.1244735,349.8769,340.1548,349.4099,0,0
2018/07/11 - 02:47:48.4974403,20.08707,0.1146565,-0.03863379,-0.1294412,8.693084,346.9271,0.1070793,0.1599396,-0.399373,0.1245247,349.9049,340.1822,349.3983,0,0
2018/07/11 - 02:47:48.5094080,20.0982,0.1143051,-0.03848854,-0.1292743,8.733166,346.9736,0.07884165,0.1597197,-0.399413,0.1245825,349.9213,340.1863,349.4067,0,0
2018/07/11 - 02:47:48.5193817,20.10921,0.1139946,-0.03837734,-0.1291388,8.722716,346.9791,0.02221191,0.1594712,-0.3994519,0.1246357,349.927,340.1792,349.4231,0,0
2018/07/11 - 02:47:48.5313497,20.12008,0.1139187,-0.03835694,-0.1291364,8.726665,346.9792,0.05257184,0.159181,-0.3994898,0.124697,349.9241,340.1818,349.4322,0,0
2018/07/11 - 02:47:48.5413237,20.13133,0.1135495,-0.03824779,-0.1290189,8.733485,346.9944,-0.004253297,0.1588971,-0.3995176,0.1247621,349.9214,340.1987,349.4278,0,0
2018/07/11 - 02:47:48.5532917,20.14219,0.113372,-0.03819417,-0.1289882,8.744971,346.9678,359.99,0.1584763,-0.3995202,0.1248848,349.9288,340.2513,349.4019,0,0
2018/07/11 - 02:47:48.5632651,20.15347,0.1132743,-0.03819245,-0.1289912,8.730937,346.9605,0.00695529,0.1581312,-0.3994777,0.1249974,349.9494,340.3114,349.341,0,0
2018/07/11 - 02:47:48.5752322,20.16446,0.1129283,-0.03806286,-0.128974,8.745589,346.9122,-0.001811208,0.1577458,-0.3993986,0.1250966,349.9466,340.3708,349.2185,0,0
2018/07/11 - 02:47:48.5872013,20.17577,0.1126395,-0.03801101,-0.1289275,8.680303,346.8682,0.003832087,0.1573485,-0.3993362,0.1251577,349.9442,340.3897,349.1035,0,0
2018/07/11 - 02:47:48.5971739,20.18748,0.1124683,-0.03795267,-0.1289345,8.669581,346.8105,0.0146371,0.1570416,-0.3993252,0.1251763,349.9479,340.3669,349.0617,0,0
