Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 04:00:55.702467,213.5553,36,37,Peer hit peer's target,1.156254,0.3466525,-0.7031077,336.1169,323.7014,356.8423,1.034715,0.00280559,-0.4571784,337.7793,314.4869,355.0112
2018/06/21 - 04:00:56.637071,214.4896,35,37,User missed,1.140274,0.3305917,-0.6857436,349.3995,327.0172,356.9874,0.994483,-0.05520836,-0.3311892,354.8913,328.7961,0.8565336
2018/06/21 - 04:00:56.925301,214.7782,36,37,User hit user's target,1.142103,0.3327454,-0.6838698,348.5026,323.3582,356.8694,0.8913127,0.03310884,-0.3655835,347.412,311.1903,3.465729
2018/06/21 - 04:00:57.480815,215.3334,35,37,User missed,1.118071,0.3099254,-0.6993335,4.322819,311.165,358.3127,0.8494715,-0.1755937,-0.4620772,18.25074,304.5279,4.480437
2018/06/21 - 04:00:57.641954,215.4894,35,38,Peer hit peer's target,1.113948,0.3117025,-0.708992,3.544679,302.7228,358.1938,0.7948863,-0.193094,-0.4966133,22.14715,300.9151,6.001418
2018/06/21 - 04:00:57.759178,215.6117,36,38,User hit user's target,1.110248,0.3120209,-0.7091268,3.323973,298.5707,358.5724,0.7644209,-0.1796252,-0.5270144,20.30188,292.7377,4.021191
2018/06/21 - 04:00:59.493696,217.3454,37,38,User hit user's target,1.172575,0.32829,-0.764688,352.5834,210.8263,2.568301,1.011568,-0.01032553,-0.901897,356.6726,202.0061,358.0149
2018/06/21 - 04:00:59.858720,217.7111,37,39,Peer hit peer's target,1.152892,0.3287876,-0.7600075,351.9828,214.6787,0.2564603,0.986325,-0.02044739,-0.8790773,352.8607,211.0608,0.1967204
2018/06/21 - 04:01:00.471090,218.3228,37,40,Peer hit peer's target,1.111195,0.3246988,-0.6642561,352.0747,302.6547,352.0788,0.9247204,-0.01750666,-0.5500138,349.9032,282.4638,357.9247
2018/06/21 - 04:01:01.281099,219.1338,38,40,User hit user's target,1.152029,0.3189504,-0.6722477,358.096,24.46714,356.4673,1.388445,-0.1223776,-0.3681445,10.89075,28.62052,4.024431
2018/06/21 - 04:01:01.671094,219.5229,38,41,Peer hit peer's target,1.155132,0.3153547,-0.6413121,0.6161562,26.32585,358.7766,1.361954,-0.125931,-0.3569632,11.24732,22.9402,5.981841
2018/06/21 - 04:01:01.749883,219.6021,39,41,User hit user's target,1.157903,0.3150469,-0.6398266,0.5490411,27.19524,358.9364,1.364356,-0.117276,-0.352252,8.086405,23.07853,6.311662
2018/06/21 - 04:01:05.170377,223.0219,39,42,Peer hit peer's target,1.173077,0.323406,-0.7080579,355.46,52.04052,359.6296,1.416579,-0.009150339,-0.529739,350.2543,48.45883,0.5109429
2018/06/21 - 04:01:05.971243,223.8227,39,43,Peer hit peer's target,1.142062,0.3060881,-0.6633859,5.600529,21.52499,1.111624,1.271252,-0.08361619,-0.3946388,4.767106,22.69771,0.9483064
2018/06/21 - 04:01:06.370509,224.2225,40,43,User hit user's target,1.171451,0.2983164,-0.6621774,8.814001,37.13567,2.369586,1.33024,-0.1147057,-0.4189784,15.47829,28.93052,1.777064
2018/06/21 - 04:01:07.848642,225.7003,41,43,User hit user's target,1.207054,0.3194862,-0.6898351,357.4192,39.37332,353.3384,1.440351,-0.04173483,-0.4141472,1.606798,46.22316,5.189226
2018/06/21 - 04:01:09.415157,227.267,41,44,Peer hit peer's target,1.064476,0.291895,-0.6717016,12.18604,324.7266,359.3741,0.9403598,-0.107648,-0.4653119,15.55346,320.2638,1.822211
2018/06/21 - 04:01:09.472004,227.324,42,44,User hit user's target,1.065478,0.2932478,-0.6724103,11.58016,323.217,359.2157,0.9271405,-0.09180684,-0.4671525,10.67054,318.6182,3.392336
2018/06/21 - 04:01:09.994607,227.8458,42,43,Peer missed,1.10262,0.3063639,-0.6569005,5.090289,329.6066,357.9586,0.9466537,-0.107351,-0.3647415,11.33681,329.4583,7.764405
2018/06/21 - 04:01:10.409497,228.2564,43,43,User hit user's target,1.142085,0.2947645,-0.6155148,11.27421,351.6461,357.2966,1.136575,-0.1779291,-0.2910936,20.21379,356.4838,11.68141
2018/06/21 - 04:01:10.748591,228.6006,43,42,Peer missed,1.166372,0.3102016,-0.6302777,3.894673,1.985687,356.7837,1.189445,-0.04968381,-0.2922649,2.142813,359.9784,8.226144
2018/06/21 - 04:01:11.303146,229.156,44,42,User hit user's target,1.14012,0.324036,-0.6617036,354.2965,354.8022,356.5785,1.13298,0.06577952,-0.3069032,345.4783,353.5901,3.630409
2018/06/21 - 04:01:13.972183,231.8237,43,42,User missed,1.102466,0.3171291,-0.6901518,0.479603,293.6561,359.4969,0.8597533,-0.0821509,-0.5586872,6.457222,289.9356,3.603498
2018/06/21 - 04:01:14.394074,232.2456,42,42,User missed,1.10934,0.3268259,-0.6788733,354.0224,298.1006,357.5562,0.8118929,0.02424971,-0.5087956,350.5994,296.8512,1.067254
2018/06/21 - 04:01:14.616271,232.4683,42,43,Peer hit peer's target,1.123241,0.3353599,-0.675885,347.291,304.0719,356.5185,0.8343785,0.07226021,-0.4754152,341.2279,303.5833,358.7061
2018/06/21 - 04:01:14.726772,232.5788,43,43,User hit user's target,1.133706,0.3390655,-0.6734247,344.5376,308.353,355.2713,0.8391465,0.09711854,-0.443246,338.6542,308.4283,358.1923
2018/06/21 - 04:01:14.771641,232.6233,43,44,Peer hit peer's target,1.138021,0.3404739,-0.6730676,343.5047,310.1853,354.5594,0.8433706,0.0994877,-0.4302383,340.1111,309.9136,356.6676
2018/06/21 - 04:01:17.138159,234.9906,43,43,Peer missed,1.151748,0.3250456,-0.6433873,355.3063,342.745,357.5764,1.074191,-0.04854746,-0.3676526,356.1538,337.1292,353.414
2018/06/21 - 04:01:18.049741,235.9011,44,43,User hit user's target,1.122695,0.3241331,-0.7023727,357.1295,286.6978,358.8245,0.9000129,-0.1051012,-0.6041051,9.049362,281.386,1.472121
2018/06/21 - 04:01:18.539437,236.3919,44,44,Peer hit peer's target,1.12332,0.3374707,-0.678911,345.5462,308.4369,355.7845,0.9421587,-0.1166179,-0.4526005,6.90576,311.2676,0.8116081
2018/06/21 - 04:01:19.227153,237.0788,44,45,Peer hit peer's target,1.115331,0.3380089,-0.6871187,345.1054,308.5464,358.8357,0.9704743,-0.04978162,-0.4344956,357.042,315.7612,355.483
2018/06/21 - 04:01:19.307936,237.1596,44,46,Peer hit peer's target,1.113598,0.3376662,-0.6921594,345.3172,304.7999,359.5426,0.9478329,-0.03802196,-0.469512,355.8175,307.7543,355.2715
2018/06/21 - 04:01:20.604388,238.4566,44,47,Peer hit peer's target,1.212151,0.3465615,-0.6829535,336.9421,184.1638,4.491351,1.103512,0.04816345,-0.8856524,344.9478,179.5055,0.7702501
2018/06/21 - 04:01:20.959414,238.812,45,47,User hit user's target,1.160278,0.3570146,-0.6199312,323.2797,210.6949,349.0344,0.9859027,0.1610403,-0.8180945,326.9778,214.177,345.4687
2018/06/21 - 04:01:22.003749,239.8564,45,48,Peer hit peer's target,1.149897,0.3425494,-0.6818873,343.1888,316.8287,352.5098,0.976543,0.03612646,-0.4279703,346.8063,313.9734,354.6281
