Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:59:39.990793,137.8429,6,9,User missed,1.04707,0.3444649,-0.6798334,336.2026,310.1857,354.0985,0.8724216,0.05382648,-0.4189908,330.4951,311.5598,349.2921
2018/06/21 - 03:59:40.300013,138.1537,5,9,User missed,1.056983,0.344285,-0.6736612,336.0238,315.0309,353.5043,0.8601482,0.00408918,-0.4353029,339.4697,304.1558,352.1763
2018/06/21 - 03:59:41.024031,138.8765,4,9,User missed,1.015584,0.3213016,-0.6848298,354.0241,287.2522,359.3274,0.7957448,-0.1316881,-0.584632,359.5318,280.0999,357.1686
2018/06/21 - 03:59:41.379156,139.2323,5,9,User hit user's target,1.016109,0.3273248,-0.6905781,349.3025,276.0589,359.2977,0.7685257,-0.08039594,-0.6509525,354.5686,264.1424,352.6591
2018/06/21 - 03:59:42.344469,140.1973,4,9,User missed,1.062075,0.306788,-0.6497214,4.640974,336.211,357.8694,0.9872766,-0.2230889,-0.2880427,12.91691,335.8648,6.873523
2018/06/21 - 03:59:42.677579,140.5311,5,9,User hit user's target,1.083638,0.320209,-0.6678047,355.8922,345.8563,357.2537,1.026331,-0.1600336,-0.2411465,3.867492,344.3742,4.633613
2018/06/21 - 03:59:43.145328,140.9983,5,10,Peer hit peer's target,1.090842,0.335697,-0.6997679,343.8867,340.5862,358.328,0.996483,-0.04449826,-0.2578771,345.8513,342.7864,2.182652
2018/06/21 - 03:59:44.743765,142.5965,6,10,User hit user's target,1.048611,0.3309408,-0.7092548,346.8182,265.204,358.2287,0.7957307,-0.06783795,-0.6853204,354.0121,255.4475,353.4277
2018/06/21 - 03:59:46.255861,144.1088,7,10,User hit user's target,1.026875,0.3257631,-0.7100675,351.078,254.6404,355.0481,0.7720847,-0.1147557,-0.7392445,4.250848,248.8518,355.5315
2018/06/21 - 03:59:46.856290,144.7085,7,11,Peer hit peer's target,1.032683,0.336083,-0.6934604,342.994,265.5452,357.3768,0.778448,-0.07120241,-0.6990775,354.8663,246.1203,358.3571
2018/06/21 - 03:59:47.877533,145.7308,7,12,Peer hit peer's target,1.051642,0.3248298,-0.7459809,350.2059,219.609,0.852176,0.8723391,-0.07287893,-0.841591,351.73,219.058,356.3544
2018/06/21 - 03:59:48.256103,146.1091,8,12,User hit user's target,1.038934,0.3248352,-0.7319261,352.4096,230.2869,356.7434,0.8094864,-0.07434183,-0.8346953,352.5312,228.765,356.9482
2018/06/21 - 03:59:49.456944,147.3092,8,11,Peer missed,1.021425,0.3285006,-0.6980149,349.6215,263.9459,356.1096,0.7604114,-0.1148052,-0.6768042,357.4059,257.6432,351.7393
2018/06/21 - 03:59:49.912327,147.765,8,12,Peer hit peer's target,1.025204,0.3312257,-0.6974578,348.0877,274.6684,356.8157,0.735679,-0.05672215,-0.6042031,349.3851,272.0347,352.4041
2018/06/21 - 03:59:50.300314,148.1542,9,12,User hit user's target,1.042338,0.3330924,-0.7063885,346.8684,275.7842,357.4428,0.6599526,-0.01417389,-0.5961844,349.8912,279.1837,351.435
2018/06/21 - 03:59:51.133785,148.9869,10,12,User hit user's target,1.033682,0.320837,-0.7038336,355.9661,274.3044,358.3511,0.7177174,-0.1181431,-0.6876885,1.72379,262.3646,356.6564
2018/06/21 - 03:59:51.622492,149.4755,11,12,User hit user's target,1.037973,0.3140684,-0.6651668,0.07005503,317.5209,357.1494,0.7758176,-0.08676843,-0.3064851,357.4554,321.0138,0.7053418
2018/06/21 - 03:59:53.055879,150.9091,11,13,Peer hit peer's target,1.057492,0.3261727,-0.750598,350.0125,246.2406,4.32368,0.7601375,-0.1063981,-0.7370354,358.299,252.3891,0.4495902
2018/06/21 - 03:59:53.434002,151.2871,12,13,User hit user's target,1.065699,0.3301098,-0.714387,347.9738,250.7723,358.6865,0.7442892,-0.004298729,-0.7246634,341.1097,251.4133,0.2813753
2018/06/21 - 03:59:53.823701,151.6768,12,14,Peer hit peer's target,1.050982,0.3261504,-0.6884373,351.5002,274.0275,353.9543,0.7412408,-0.04075198,-0.6548546,347.7846,264.0044,358.8187
2018/06/21 - 03:59:55.000538,152.8539,11,14,User missed,1.098509,0.3108063,-0.6787073,359.2613,7.658268,359.5852,1.250205,-0.1275518,-0.2240173,0.2574978,15.08838,3.673082
2018/06/21 - 03:59:55.113727,152.965,11,13,Peer missed,1.104232,0.3111679,-0.6813356,358.7216,11.74786,359.856,1.277331,-0.1026326,-0.2262255,358.9445,18.02558,2.833818
2018/06/21 - 03:59:55.357781,153.2103,10,13,User missed,1.110028,0.313978,-0.6845031,356.718,15.50316,359.1386,1.341682,-0.07642976,-0.2184143,356.6567,27.57508,1.405865
2018/06/21 - 03:59:55.678525,153.5315,11,13,User hit user's target,1.12568,0.3232056,-0.6985003,350.9735,27.01029,358.271,1.46128,0.04494628,-0.2525539,341.4514,42.2608,0.9174716
2018/06/21 - 03:59:56.767223,154.6206,12,12,Peer hit user's target,1.073112,0.3257379,-0.7223944,348.8209,355.6369,5.037146,1.213193,-0.03822462,-0.2644343,358.363,4.655752,4.753896
2018/06/21 - 03:59:56.812711,154.6652,13,12,User hit user's target,1.073788,0.3239675,-0.7187402,350.0438,356.5518,4.885169,1.219064,-0.05632142,-0.2646264,0.8933927,4.310846,3.771867
2018/06/21 - 03:59:57.312381,155.1647,13,13,Peer hit peer's target,1.082816,0.3263098,-0.6907935,351.1444,355.5571,4.066085,1.135248,-0.07487489,-0.3153078,354.7504,341.2985,11.78136
2018/06/21 - 03:59:57.899902,155.7536,13,14,Peer hit peer's target,1.064159,0.3306028,-0.705973,347.4442,326.5656,4.228174,0.9568595,-0.07865552,-0.3863477,351.7692,319.4889,2.152364
