Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:22:47.8797232,0,0.01655024,0.01153682,-0.04275821,0.4960006,352.6431,1.524337,0.08743294,-0.3444536,0.150254,345.407,345.5636,343.3193
2018/06/28 - 02:22:47.8896970,0.01117835,0.01658028,0.01158194,-0.04254745,0.485719,352.6579,1.515484,0.0874782,-0.3444632,0.1503445,345.4111,345.592,343.324
2018/06/28 - 02:22:47.9006674,0.0225305,0.01663064,0.01163144,-0.04234599,0.4709725,352.6765,1.513346,0.08750364,-0.3444566,0.1504066,345.4068,345.6024,343.331
2018/06/28 - 02:22:47.9156283,0.03363718,0.01667904,0.01171224,-0.04209173,0.450112,352.7142,1.505089,0.08758255,-0.3444483,0.1504582,345.3933,345.6231,343.3477
2018/06/28 - 02:22:47.9236183,0.04835202,0.01669435,0.01177305,-0.0419776,0.4436394,352.7332,1.484204,0.0876675,-0.3444308,0.1504753,345.3871,345.6464,343.3536
2018/06/28 - 02:22:47.9325826,0.05690809,0.01673017,0.0118112,-0.04183549,0.3941995,352.7647,1.478783,0.08776104,-0.3443975,0.1504881,345.3718,345.6598,343.3573
2018/06/28 - 02:22:47.9465456,0.06669836,0.01677598,0.01187244,-0.04173961,0.3581074,352.7983,1.489946,0.08789977,-0.3443372,0.1505177,345.3524,345.6835,343.3481
2018/06/28 - 02:22:47.9565182,0.07984734,0.01680186,0.01191218,-0.04171209,0.3399702,352.8136,1.487279,0.0881552,-0.344245,0.1505297,345.3214,345.7343,343.3161
2018/06/28 - 02:22:47.9684859,0.09010238,0.01685691,0.01193543,-0.04177594,0.3123231,352.8267,1.488147,0.08843388,-0.3441461,0.1505244,345.2907,345.804,343.2842
2018/06/28 - 02:22:47.9774629,0.100639,0.01690137,0.01197648,-0.04184833,0.2789868,352.8741,1.495854,0.08876796,-0.3440085,0.1505325,345.2515,345.893,343.2594
2018/06/28 - 02:22:47.9894301,0.1110522,0.01696896,0.01199347,-0.04206449,0.2610408,352.8709,1.481193,0.08905239,-0.3439161,0.1504792,345.2268,345.9654,343.2555
2018/06/28 - 02:22:48.0004005,0.1220178,0.01704721,0.01202377,-0.04218965,0.1641299,352.9326,1.485317,0.08931882,-0.3438305,0.1504138,345.2248,346.014,343.2578
2018/06/28 - 02:22:48.0128742,0.1334897,0.01710017,0.0120459,-0.04238929,0.1460775,352.9408,1.480678,0.08960453,-0.3436982,0.1503433,345.1793,346.0702,343.258
2018/06/28 - 02:22:48.0218512,0.1449499,0.01718974,0.01206642,-0.04266674,0.1046151,352.9649,1.508179,0.08994874,-0.3435254,0.1502916,345.1289,346.1352,343.2643
2018/06/28 - 02:22:48.0328296,0.1554266,0.01726057,0.01208466,-0.04292038,0.05560302,352.9625,1.48641,0.09021708,-0.3433593,0.1503706,345.0902,346.1914,343.267
2018/06/28 - 02:22:48.0447899,0.1660952,0.0172916,0.01216377,-0.04317686,-0.0001640579,353.0047,1.4734,0.0904052,-0.3432469,0.1504417,345.0662,346.2224,343.2635
2018/06/28 - 02:22:48.0547622,0.1779241,0.01732449,0.01224196,-0.04337617,359.9132,353.0385,1.485645,0.09058351,-0.343141,0.1505218,345.0561,346.2514,343.2557
2018/06/28 - 02:22:48.0667299,0.1882747,0.01733172,0.01238464,-0.04348468,359.8026,353.0483,1.484415,0.09077963,-0.3430259,0.1506164,345.057,346.2801,343.2465
2018/06/28 - 02:22:48.0767034,0.1994403,0.01729222,0.0125339,-0.04350226,359.7714,353.0653,1.490111,0.0910036,-0.3429125,0.1506844,345.0456,346.322,343.2274
