Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
3.110785,0,1,Peer hit peer's target,0.05378008,-0.02720504,0.0256342,356.3406,12.72341,357.8183,0.09524946,-0.6404177,0.142224,1.334198,342.8182,342.8328
6.344693,0,2,Peer hit peer's target,0.03307975,-0.004731472,-0.0008953566,345.8846,2.129873,359.3278,0.09226249,-0.64175,0.1453462,1.193987,342.0234,342.5133
8.199558,0,3,Peer hit peer's target,0.01858348,-0.0193349,0.01925018,355.4491,2.363285,1.030411,0.08971246,-0.5527072,0.1480111,8.109261,337.3107,328.4402
10.73314,0,4,Peer hit peer's target,0.02708666,-0.06307842,-0.05662112,22.99439,0.3413938,0.4556586,0.1167465,-0.6374941,0.121878,12.77817,345.7565,344.7656
12.06703,0,5,Peer hit peer's target,0.0165615,-0.06954089,-0.1145059,19.48009,7.551478,2.803207,0.1477497,-0.6542472,-0.01084902,13.77536,358.111,349.5232
12.96688,-1,5,User missed,-0.007649835,-0.05442904,-0.3023468,11.30391,18.5555,6.002785,0.2085933,-0.5462902,-0.1724375,0.321968,23.56134,355.9979
13.2538,0,5,User hit user's target,0.005877579,-0.05591381,-0.333269,12.68284,29.02374,5.716177,0.2398667,-0.5784335,-0.2111891,15.52849,28.55514,354.3825
13.64391,-1,5,User missed,0.02078951,-0.04964633,-0.3503808,9.66964,39.13125,4.929937,0.2784217,-0.5003511,-0.220211,2.209291,40.24827,357.4493
13.95503,0,5,User hit user's target,0.03163553,-0.04139173,-0.36617,4.133331,52.7759,3.581104,0.3596671,-0.4583402,-0.2638681,356.3123,51.11528,0.8666352
14.34459,-1,5,User missed,0.04138454,-0.03968649,-0.3914719,3.454367,69.62147,1.939953,0.4430906,-0.4317884,-0.3689271,356.2407,72.17311,0.9824184
14.66631,0,5,User hit user's target,0.04357366,-0.04154906,-0.4076228,5.244172,76.57439,0.6165298,0.4591482,-0.5085266,-0.4425225,11.65702,84.72942,5.0466
14.93366,0,6,Peer hit peer's target,0.04860211,-0.04418736,-0.4178852,6.596983,81.85693,1.159949,0.4667758,-0.5126859,-0.4726166,12.08966,88.019,4.423682
15.52129,1,6,User hit user's target,-0.00443438,-0.04379292,-0.3666722,9.44378,22.6782,1.226404,0.1771508,-0.4591068,-0.2114274,6.997872,17.41267,358.4111
16.44408,2,6,User hit user's target,-0.02491978,-0.02101018,-0.3763768,354.6154,14.03835,1.554814,0.1501008,-0.3511842,-0.1722561,349.1177,16.33917,352.6991
16.9333,3,6,User hit user's target,0.004130885,-0.0150383,-0.3903078,350.5459,34.10497,357.8146,0.2390134,-0.283613,-0.2268874,338.5707,33.23379,353.8057
17.41107,4,6,User hit user's target,-0.003654351,-0.00309935,-0.4193536,341.6608,35.43111,356.5644,0.2149495,-0.2273462,-0.2253745,332.7611,25.88099,358.0226
17.90092,4,5,Peer missed,0.002936365,-0.00894843,-0.4219834,347.1501,46.67251,356.8273,0.3175133,-0.2895889,-0.2455914,346.6639,47.39001,354.4517
17.93364,3,5,User missed,0.003074035,-0.009392782,-0.4213049,347.4494,46.1116,357.0248,0.3137817,-0.2971682,-0.2401362,347.5892,45.56186,355.9452
18.15562,3,6,Peer hit peer's target,0.003184596,-0.01173042,-0.4151424,349.386,42.6127,356.7074,0.2902208,-0.3293476,-0.2086936,352.2977,41.25498,356.6638
18.20014,2,6,User missed,0.003421383,-0.01227868,-0.4129589,349.9417,42.11195,356.9264,0.2820401,-0.3347211,-0.2027873,353.2709,39.39807,356.1656
18.4226,2,7,Peer hit peer's target,-0.0008849669,-0.01303867,-0.4032964,350.3222,32.80392,357.835,0.2078432,-0.3181369,-0.1790422,347.9438,24.50473,358.1587
18.44427,3,7,User hit user's target,-0.001587939,-0.0128659,-0.4030711,350.3382,31.7908,357.8287,0.1999158,-0.3145968,-0.1764483,347.2941,23.04646,359.7849
18.95555,4,7,User hit user's target,-0.00288713,-0.009003273,-0.4151581,347.5068,39.93358,356.7469,0.3040613,-0.2739379,-0.2028753,341.5811,43.76564,355.9572
19.63363,3,7,User missed,-0.04386643,-0.0176981,-0.3977721,355.4634,357.2847,5.311478,0.1103063,-0.3614428,-0.1718732,352.4261,358.1223,0.9525686
20.48959,3,8,Peer hit peer's target,-0.06908781,-0.07412115,-0.3380391,27.29792,339.1077,5.258772,0.01474358,-0.4650119,-0.1816011,10.02764,329.5959,356.501
22.80132,2,8,User missed,-0.04974282,-0.01747203,-0.4053724,351.8556,315.8484,2.859843,-0.09774825,-0.3107513,-0.2326491,355.1631,311.7535,352.5409
23.12254,1,8,User missed,-0.05769363,-0.03178488,-0.3915593,2.298965,315.4753,1.522236,-0.1130557,-0.3576471,-0.2365052,3.323476,309.6212,354.0283
23.51162,0,8,User missed,-0.06567016,-0.04578652,-0.3704068,10.96068,319.5886,0.3123408,-0.08975577,-0.4171903,-0.208585,18.21772,314.2556,352.5063
23.77804,1,8,User hit user's target,-0.05358572,-0.05492297,-0.348184,16.42971,334.5098,0.1863878,-0.02463898,-0.4788175,-0.1682015,25.09247,332.0027,359.7578
24.24456,2,7,Peer hit user's target,-0.02617739,-0.04346329,-0.3429286,10.75102,349.8249,1.661695,0.01196773,-0.4313237,-0.1435977,13.95626,341.1817,357.4446
26.21188,3,7,User hit user's target,-0.05448453,-0.01794968,-0.3824623,353.5338,311.82,356.3944,-0.1090082,-0.3129463,-0.2059595,359.0003,306.9278,358.6686
26.92358,4,6,Peer hit user's target,0.02043609,0.01658484,-0.4389054,325.5016,356.416,351.559,0.03671869,-0.1129969,-0.1844649,321.333,342.6572,357.3667
26.94507,3,6,User missed,0.02196609,0.01626466,-0.4399799,325.7282,357.2604,351.21,0.04094965,-0.1149818,-0.1820262,321.2526,345.9035,356.683
27.6345,3,7,Peer hit peer's target,0.04498056,0.001221671,-0.4424636,343.815,28.8783,353.2374,0.2191285,-0.304262,-0.1643907,352.056,16.85394,354.3392
27.84541,4,7,User hit user's target,0.04795323,-0.004651229,-0.4439784,348.8293,41.30499,353.9219,0.3373315,-0.3433929,-0.2040198,359.1005,39.79097,355.8944
28.7013,4,8,Peer hit peer's target,-0.03328326,0.01091412,-0.458121,331.1672,26.8668,6.474625,0.2773354,-0.2744341,-0.2505018,346.526,33.91722,358.5438
29.96714,4,9,Peer hit peer's target,-0.1172979,-0.03662387,-0.4197626,6.816162,300.6478,4.163179,-0.1040144,-0.3736639,-0.2644535,5.891219,296.6799,3.617359
31.41155,5,9,User hit user's target,-0.05046878,-0.01257949,-0.3973441,355.5294,334.8229,0.4426959,-0.1062445,-0.2780796,-0.1318004,353.3004,323.2289,356.0396
32.6342,5,10,Peer hit peer's target,-0.06297877,0.0004308377,-0.436384,342.7075,312.9348,4.926221,-0.1102123,-0.3179468,-0.2168277,352.8904,302.8159,3.439883
35.82328,4,10,User missed,0.008168893,0.004455853,-0.4822108,339.1017,80.36786,350.7369,0.3757311,-0.1887174,-0.4537535,329.2922,88.54204,349.6666
35.88984,4,9,Peer missed,0.006739952,0.00431073,-0.4867296,339.1746,82.49467,349.8506,0.379808,-0.1825556,-0.4741809,323.6005,98.72354,347.182
36.17784,3,9,User missed,-0.00265036,0.004206987,-0.5075377,339.4374,95.25371,345.6562,0.395727,-0.1622113,-0.5670757,326.5046,119.4429,340.8466
36.50155,2,10,User hit peer's target,-0.01261891,-0.00291169,-0.5277635,345.4666,110.3936,342.6629,0.4135065,-0.1961868,-0.6870305,346.17,131.6267,336.8112
37.64536,3,9,Peer hit user's target,-0.005899192,-0.002355777,-0.4529206,349.0393,67.38446,356.7738,0.35071,-0.2873181,-0.3506365,351.8475,71.3674,356.6053
37.81265,4,9,User hit user's target,-0.004739259,-0.005095433,-0.4564972,350.4768,76.17702,355.8555,0.3993453,-0.3215887,-0.3859201,359.4755,83.17338,356.9915
37.89082,4,8,Peer missed,-0.002613893,-0.005936264,-0.4598486,350.6623,80.61797,355.4874,0.4134605,-0.3224809,-0.4146314,358.7304,89.1582,358.1272
38.00175,4,9,Peer hit peer's target,-0.0001179134,-0.006528198,-0.4654349,350.8906,84.49768,354.9714,0.4219826,-0.3141026,-0.4436039,358.5323,92.08485,357.5049
40.12289,4,10,Peer hit peer's target,0.002022386,-0.03690766,-0.3988392,11.15403,56.81535,8.113372,0.3474119,-0.4025569,-0.3447758,6.263925,66.06512,359.7551
40.43477,5,10,User hit user's target,0.01667048,-0.04121234,-0.415111,12.45908,80.79872,9.975551,0.4297834,-0.4349514,-0.4995616,14.34863,98.17973,6.132216
41.32328,5,11,Peer hit peer's target,0.004006945,-0.02849702,-0.3958336,7.973711,52.84809,4.303797,0.3375754,-0.3475657,-0.3351649,1.719324,62.15728,357.9734
42.83482,6,11,User hit user's target,-0.01870615,-0.002643612,-0.4089045,351.1643,5.521772,356.2218,0.09766138,-0.2275383,-0.1348111,344.7456,8.247251,356.2346
43.49047,7,11,User hit user's target,-0.01469844,0.006697357,-0.418905,344.034,5.143836,356.1418,0.05448864,-0.1671999,-0.1132787,341.4125,0.7552485,359.8477
44.77894,6,11,User missed,-0.02849767,0.01600317,-0.4179766,334.4267,17.21708,359.4414,0.101358,-0.08687134,-0.151639,325.9983,19.98358,354.7969
45.07888,7,11,User hit user's target,-0.04819782,0.01778028,-0.4303413,332.0731,7.979606,1.334216,0.03676599,-0.0948361,-0.1326597,329.5617,6.530114,1.665305
45.51311,8,11,User hit user's target,-0.04479031,0.01839678,-0.4386824,331.4561,13.82553,357.9853,0.1011474,-0.0665924,-0.1483153,325.4799,20.91007,352.0531
45.96857,8,12,Peer hit peer's target,-0.01819145,0.01515631,-0.4352145,335.9802,21.56137,356.1105,0.1888601,-0.1385001,-0.1606582,333.6061,29.436,355.032
46.80075,7,12,User missed,-0.01151637,0.01129514,-0.4349215,338.8347,15.51614,354.608,0.09653834,-0.1243095,-0.1938919,329.4798,13.95654,354.04
47.12251,8,12,User hit user's target,-0.006067716,0.01594723,-0.449102,334.0409,24.27422,352.7138,0.1415375,-0.07512964,-0.2079434,322.1765,25.58799,349.3601
48.84521,8,13,Peer hit peer's target,-0.04987305,7.815461E-05,-0.4303804,348.2289,348.6407,2.371304,-0.009303791,-0.2999751,-0.1423257,356.1381,350.2532,0.6095715
49.0213,7,14,User hit peer's target,-0.04818839,-0.004742313,-0.4196379,352.0722,344.929,1.004023,-0.05251078,-0.3061751,-0.1388732,357.4655,345.9863,3.362596
49.14447,7,13,Peer missed,-0.04922097,-0.005928772,-0.4113179,353.0646,342.7347,0.6644885,-0.0610563,-0.3311834,-0.124317,2.61517,345.0089,2.423886
49.76735,6,14,User hit peer's target,-0.01838529,0.00883577,-0.4039922,341.3918,349.6755,354.9461,-0.01512761,-0.08743878,-0.1587906,321.6085,349.3075,353.7704
50.44567,5,14,User missed,0.03172148,-0.002391851,-0.4399706,351.2657,47.82367,352.6473,0.3506613,-0.2625858,-0.2029873,352.0504,50.11316,358.9943
50.73375,4,14,User missed,0.0354041,-0.004469499,-0.4590814,352.5051,64.94141,351.3585,0.4685145,-0.3048175,-0.3380269,359.0313,72.95436,358.7706
51.03426,3,15,User hit peer's target,0.03746847,-0.005277475,-0.4813402,352.9275,81.80291,350.5545,0.4616688,-0.2561465,-0.4675819,347.9372,85.36073,359.1181
51.80781,3,14,Peer missed,0.01415586,-0.02273641,-0.4353923,7.769654,54.45675,359.3992,0.336793,-0.3681999,-0.3091603,358.0032,46.62254,3.930068
52.07756,3,13,Peer missed,0.02160941,-0.05410914,-0.4056984,25.62255,50.96005,2.309,0.3017725,-0.4123726,-0.2072056,352.5478,35.14697,10.90594
52.32075,3,12,Peer missed,0.03329896,-0.06245169,-0.3916954,29.73165,51.99382,3.061309,0.315093,-0.4202826,-0.1945313,359.2438,20.01619,337.7163
52.82186,3,11,Peer missed,0.0586388,-0.06829365,-0.3862728,32.74506,54.69241,2.828074,0.3289326,-0.4500441,-0.215334,336.7743,4.00733,312.0269
53.14482,4,10,Peer hit user's target,0.06752294,-0.07043897,-0.3835921,33.72817,55.17802,2.779753,0.3267933,-0.4706316,-0.2222632,343.2592,0.6252907,339.7215
53.8336,5,10,User hit user's target,0.03855279,-0.03990337,-0.38262,17.21281,43.43015,357.4433,0.3236577,-0.5250455,-0.1653271,15.72054,37.434,5.139976
55.91341,6,9,Peer hit user's target,0.002601981,0.0003491112,-0.421676,347.5869,54.13668,353.9763,0.3909087,-0.296694,-0.2093055,346.1839,59.16395,347.937
56.11145,5,9,User missed,0.01367631,-0.004780762,-0.4307225,351.6856,64.748,354.4391,0.4874147,-0.3145563,-0.3248004,353.912,76.52203,349.737
56.4008,6,9,User hit user's target,0.0308921,-0.01066897,-0.4486793,355.763,75.23978,353.4845,0.5568295,-0.3556424,-0.4465754,356.5597,99.61679,351.2024
56.74532,6,10,Peer hit peer's target,0.04416301,-0.01211599,-0.4596494,356.4624,80.7466,354.8195,0.5330564,-0.3594875,-0.4941261,353.3192,94.2417,350.2246
59.66734,6,11,Peer hit peer's target,-0.03256638,-0.02303207,-0.3737628,4.519152,354.1734,359.1253,-0.01855893,-0.4099576,-0.1425673,6.347815,339.9017,3.959849
60.16714,7,11,User hit user's target,-0.03079278,-0.02474506,-0.3671949,5.400716,358.8678,358.1423,0.0432879,-0.4104792,-0.08041543,7.887175,2.790942,7.574029
61.94428,8,11,User hit user's target,-0.02746872,0.003040091,-0.400611,345.697,359.4396,355.6116,0.06751251,-0.1715072,-0.09785875,334.205,5.691275,354.3891
62.45577,9,10,Peer hit user's target,-0.01453979,0.01035201,-0.4158379,338.3085,4.411702,356.7671,0.09442862,-0.2425373,-0.1154642,338.0867,2.269298,356.681
62.56655,9,11,Peer hit peer's target,-0.01733478,0.01020111,-0.4169552,338.025,1.063751,357.8823,0.07704247,-0.2641381,-0.1180081,341.1905,358.681,358.381
62.8223,9,12,Peer hit peer's target,-0.02604705,0.009628835,-0.4171754,337.9506,355.1089,359.2452,0.03639064,-0.2870872,-0.1276163,343.0526,348.725,3.56093
63.3793,9,13,Peer hit peer's target,-0.05179879,-0.001538311,-0.4006965,347.9746,341.1771,359.9539,-0.02218022,-0.3133637,-0.1357208,346.5726,334.4146,6.109363
66.12435,10,13,User hit user's target,-0.03335964,-0.02671263,-0.3720956,5.851267,359.9877,357.5151,0.07739324,-0.3948353,-0.07921185,357.5349,357.7816,0.476408
66.53522,10,14,Peer hit peer's target,-0.020668,-0.02510961,-0.380212,5.245726,6.067355,356.8166,0.08378024,-0.4010343,-0.07909349,3.441741,359.6909,8.752383
66.59155,9,14,User missed,-0.01858841,-0.0247505,-0.3820853,4.908317,7.497504,356.7966,0.09905473,-0.4191373,-0.07192161,7.407959,3.501443,7.774769
66.87984,8,14,User missed,-0.005266625,-0.02278557,-0.3891792,4.023499,16.04073,356.8958,0.151149,-0.3845271,-0.05598987,2.224103,11.11241,5.332316
67.11442,9,14,User hit user's target,0.00478669,-0.0212303,-0.3944586,2.820933,25.16679,356.4548,0.2485695,-0.415021,-0.04101089,8.83437,25.34495,4.052406
67.44651,9,13,Peer missed,0.01597982,-0.01762193,-0.4006288,0.6091437,29.54158,356.3908,0.2730852,-0.3954844,-0.06724291,4.794025,26.15274,0.7211105
