Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/27 - 01:56:37.2547105,0,0.659581,0.2594069,-0.01759328,12.31359,252.217,359.2476,0.5058366,-0.2573983,-0.01813517,2.484698,247.7736,350.4016
2018/06/27 - 01:56:37.2656812,0.0110458,0.6595606,0.2594575,-0.0176629,12.29589,252.2183,359.2633,0.5058315,-0.2573927,-0.01814337,2.5455,247.8476,350.3925
2018/06/27 - 01:56:37.2746591,0.023794,0.6595603,0.2595251,-0.01771884,12.28943,252.1968,359.2752,0.5058089,-0.2573897,-0.01813511,2.62216,247.8268,350.3259
2018/06/27 - 01:56:37.2856262,0.03318861,0.6595456,0.2595492,-0.01779204,12.25898,252.1882,359.272,0.5057999,-0.2573885,-0.01813177,2.653756,247.8222,350.2974
2018/06/27 - 01:56:37.2966100,0.04385354,0.6595314,0.2595812,-0.01784424,12.25708,252.1915,359.2933,0.5057899,-0.2573835,-0.01813563,2.72078,247.8736,350.2717
2018/06/27 - 01:56:37.3075679,0.055105,0.6595247,0.2596153,-0.0179104,12.25118,252.1859,359.2973,0.5057625,-0.2573715,-0.01814297,2.884594,247.9709,350.2083
2018/06/27 - 01:56:37.3195358,0.06615592,0.6595235,0.259654,-0.01795476,12.25835,252.1787,359.2889,0.5057352,-0.2573636,-0.01814183,3.016726,248.0185,350.1321
2018/06/27 - 01:56:37.3305065,0.07780559,0.6595311,0.2596877,-0.01802481,12.23775,252.1702,359.3127,0.5057206,-0.2573565,-0.01814728,3.118039,248.104,350.0895
2018/06/27 - 01:56:37.3414770,0.08976048,0.6595221,0.2597156,-0.01806343,12.23383,252.1685,359.3098,0.5057143,-0.2573475,-0.01816205,3.204154,248.2052,350.0954
2018/06/27 - 01:56:37.3514507,0.09976551,0.6595113,0.2597368,-0.01810762,12.21694,252.1674,359.3203,0.5057057,-0.2573388,-0.01817466,3.279479,248.2565,350.1115
