Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:41:06.3693145,0.01198621,0,0,User missed,0.2555557,0.1002417,-0.7299615,2.087567,13.53506,358.3734,0.2880584,-0.3357297,-0.516211,4.044324,14.58086,5.718051
2018/06/22 - 01:41:06.7223990,0.01198621,1,0,User hit user's target,0.2400441,0.09661153,-0.7132933,2.948889,359.2841,359.3019,0.2116094,-0.3397089,-0.4883821,2.678407,351.4684,8.868065
2018/06/22 - 01:41:07.9866702,0.01198621,0,0,User missed,0.2658778,0.09972642,-0.7359818,0.8283908,318.0936,359.4533,0.09629696,-0.3661871,-0.5809973,10.50882,316.0416,15.57958
2018/06/22 - 01:41:09.1435966,0.01198621,1,0,User hit user's target,0.2306202,0.07870109,-0.7413645,13.33179,285.2828,354.5762,-0.0170476,-0.4263385,-0.7194306,24.77279,272.4535,20.45779
2018/06/22 - 01:41:10.7655822,0.01198621,2,0,User hit user's target,0.2641724,0.08810552,-0.7229663,9.70584,337.4124,357.2987,0.1115519,-0.3538334,-0.5336348,12.80666,330.1745,9.586235
2018/06/22 - 01:41:11.6536436,0.01198621,1,0,User missed,0.2926819,0.1214002,-0.7425304,345.29,358.6349,359.2431,0.2720507,-0.1430292,-0.5127428,331.0026,359.816,3.329166
2018/06/22 - 01:41:12.1134142,0.01198621,2,0,User hit user's target,0.291528,0.1309738,-0.7677774,335.9016,352.46,359.3361,0.2454786,-0.0633132,-0.5417609,313.5828,353.3388,1.563843
2018/06/22 - 01:41:13.6878262,0.01198621,3,0,User hit user's target,0.3208503,0.1257378,-0.7862714,335.7305,344.6257,353.2668,0.2361264,-0.2101012,-0.5383568,340.1765,346.3666,7.01175
2018/06/22 - 01:41:16.0110730,0.01198621,4,0,User hit user's target,0.2938213,0.1253086,-0.7642521,339.496,326.3143,357.1517,0.1761238,-0.1800881,-0.5452116,325.4749,331.5109,1.36884
2018/06/22 - 01:41:16.8221185,0.01198621,3,0,User missed,0.3237509,0.1090219,-0.7321905,352.7892,349.7895,352.887,0.2519265,-0.293275,-0.5247377,354.7921,350.4287,2.75309
2018/06/22 - 01:41:17.2011053,0.01198621,4,0,User hit user's target,0.3327159,0.1118604,-0.7332705,350.3334,357.97,352.2988,0.3283998,-0.2337912,-0.5213194,347.0188,11.66126,354.8564
2018/06/22 - 01:41:18.2323738,0.01198621,3,0,User missed,0.4028058,0.09332985,-0.7602851,3.655201,45.58153,349.8703,0.4392925,-0.2587005,-0.6217746,9.894621,66.23499,9.891404
2018/06/22 - 01:41:18.7649499,0.01198621,2,0,User missed,0.4276672,0.07525412,-0.7560706,12.52351,55.79303,353.4861,0.4605972,-0.2972873,-0.6592006,22.52202,80.61344,14.4742
2018/06/22 - 01:41:19.2885502,0.01198621,3,0,User hit user's target,0.3841707,0.106785,-0.7531942,354.9294,38.0051,353.6334,0.4441524,-0.2173728,-0.6015207,351.2172,45.55991,358.8059
2018/06/22 - 01:41:19.6323424,0.01198621,2,0,User missed,0.3554654,0.1176064,-0.7733913,347.4547,33.56316,354.516,0.4598958,-0.1760175,-0.6304327,334.9072,48.44701,349.4881
2018/06/22 - 01:41:23.2225411,0.01198621,3,0,User hit user's target,0.3184252,0.09879187,-0.7290234,357.7486,349.2576,352.8813,0.369243,-0.4655469,-0.3896039,350.5601,342.5388,309.0707
2018/06/22 - 01:41:24.6473594,0.01198621,4,0,User hit user's target,0.3193668,0.1085414,-0.7379397,344.6601,348.8345,354.1657,0.3956519,-0.3981043,-0.4212602,325.9304,344.1482,316.3092
2018/06/22 - 01:41:25.5784831,0.01198621,5,0,User hit user's target,0.2868276,0.09566099,-0.7414866,355.6575,323.5009,357.3009,0.2681445,-0.398875,-0.4600259,341.248,313.296,338.4171
2018/06/22 - 01:41:26.3001751,0.01198621,4,0,User missed,0.2893336,0.09280836,-0.7343175,357.1832,327.9641,357.3098,0.2680717,-0.435655,-0.4475227,358.5536,319.9974,348.9837
2018/06/22 - 01:41:26.9105438,0.01198621,5,0,User hit user's target,0.293772,0.1055838,-0.7531575,347.8055,321.1407,357.513,0.2270208,-0.3506722,-0.4883305,345.1641,307.7009,354.3495
2018/06/22 - 01:41:27.5888343,0.01198621,6,0,User hit user's target,0.324554,0.08838596,-0.7292435,3.63489,2.864326,354.2081,0.4651285,-0.4678686,-0.3972678,10.73914,357.306,352.6903
2018/06/22 - 01:41:28.1783017,0.01198621,7,0,User hit user's target,0.3645168,0.070808,-0.7536835,14.49378,47.07367,358.8904,0.8493735,-0.4710673,-0.571954,12.47102,59.13295,353.5125
2018/06/22 - 01:41:29.4555866,0.01198621,8,0,User hit user's target,0.3415575,0.0849429,-0.7449394,7.123204,24.85743,358.7985,0.6477933,-0.4598199,-0.4255312,8.736463,28.73964,351.6835
