Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.01085212,0.2852686,0.4372371,0.3832906,4.438027,225.3653,358.9128,0.0250183,0.1111913,0.2415912,347.4685,222.4708,1.699786
0.02217983,0.2855328,0.4372106,0.383432,4.498692,225.3377,358.9118,0.01923747,0.101157,0.2352994,351.4385,222.7849,1.474857
0.03290794,0.2857016,0.4372,0.3835599,4.480631,225.2935,358.9504,0.01355842,0.09270743,0.2300867,354.4359,223.3311,0.7511291
0.04409656,0.2859527,0.437357,0.383671,4.541772,225.2361,358.8795,0.008435397,0.08650807,0.2276617,355.8605,224.5023,358.8768
0.05535686,0.2860384,0.4373301,0.3837275,4.459722,225.1847,358.868,0.003629644,0.08097743,0.2253632,357.7019,225.479,357.0367
0.06639358,0.2861541,0.4373905,0.3837119,4.423574,225.1578,358.8457,-0.0001203002,0.07661021,0.2237078,359.7009,225.7055,355.2247
0.07741722,0.2862216,0.4374617,0.3836704,4.399866,225.0938,358.8518,-0.002632185,0.07266116,0.2219915,1.320132,225.4033,354.4658
0.08888773,0.2863248,0.4376457,0.3834377,4.330172,224.901,358.7629,-0.003819531,0.0702885,0.2206433,2.611817,224.6005,354.2033
0.09962778,0.2862445,0.4377397,0.3832105,4.293074,224.7762,358.8205,-0.004574704,0.06868169,0.2196101,3.654424,223.682,353.5527
0.1106745,0.2861221,0.4378248,0.3828322,4.231443,224.6799,358.8368,-0.005053791,0.06831932,0.2197749,4.287323,222.6853,352.2479
0.12197,0.2859071,0.4379499,0.382512,4.151153,224.4704,358.8043,-0.004917377,0.06901726,0.2204534,4.08148,222.9565,351.5492
0.1328964,0.2856968,0.4381215,0.3821742,4.162091,224.3093,358.836,-0.004803037,0.07017323,0.2204424,4.089785,223.1869,350.9711
0.1436177,0.2854175,0.4381255,0.3817325,4.068311,224.1404,358.8319,-0.003875643,0.07120506,0.2200579,4.042461,221.1781,349.578
0.1549474,0.2851183,0.4381515,0.381377,4.146937,223.956,358.9013,-0.003260947,0.07243471,0.2201734,3.986025,219.5165,348.1923
0.1660521,0.2848062,0.4380791,0.3810428,4.218911,223.7574,358.9386,-0.002679885,0.07372095,0.2199914,4.003463,219.4678,347.5447
0.1774236,0.2845494,0.4380561,0.3806755,4.339569,223.5931,358.9073,-0.00212545,0.07500941,0.2197082,3.995789,219.5069,347.1603
0.1885559,0.2842264,0.437873,0.3803714,4.427103,223.3717,358.9029,-0.001625908,0.07607506,0.2192732,4.049734,219.0211,346.8069
0.1995161,0.2838835,0.4376108,0.3800738,4.501364,223.1449,358.943,-0.00115125,0.07734051,0.21861,4.101007,218.6944,346.66
0.2108939,0.2835906,0.4373647,0.379797,4.661009,222.9523,358.9252,-0.0007452794,0.07888385,0.2180695,3.854968,218.5655,346.4251
0.2218234,0.2833207,0.4371372,0.3795452,4.831136,222.7836,358.8931,-0.0005139,0.08045978,0.2175813,3.631839,218.5858,346.006
0.2328541,0.2830539,0.4369093,0.3793867,5.016648,222.5744,358.834,-0.0002247514,0.08184882,0.2169756,3.443901,218.6555,345.7813
0.2438462,0.2827866,0.4367571,0.3791698,5.166762,222.3691,358.7793,0.0003012257,0.08319315,0.2161595,3.345197,218.6624,345.8372
0.2552365,0.2825345,0.4366688,0.3790036,5.249712,222.1332,358.7488,0.001010109,0.08469078,0.215193,3.217701,218.6112,345.8709
0.2664026,0.2823193,0.436525,0.3787642,5.27969,221.9046,358.7303,0.001798609,0.08611469,0.21425,3.05115,218.3598,345.6505
0.277267,0.2821979,0.4364835,0.3785729,5.391258,221.6059,358.6839,0.002756974,0.08749832,0.2131433,2.97128,217.9787,345.3578
0.2884732,0.2821006,0.4363156,0.378364,5.473256,221.338,358.7109,0.004005891,0.08886041,0.2117897,2.966819,217.4582,345.0764
0.2994596,0.2820504,0.4360729,0.3782651,5.54011,220.9458,358.7065,0.005515763,0.09007408,0.2102096,2.902581,216.8726,344.9601
0.3106059,0.2820368,0.4358414,0.378161,5.640417,220.5136,358.6276,0.007020711,0.09132104,0.2085092,2.867691,216.3961,344.9286
0.3216102,0.282091,0.4354745,0.3780508,5.781689,220.2064,358.731,0.008642658,0.09265466,0.2067755,2.637918,216.1118,344.934
0.3327897,0.2821281,0.4350292,0.3779735,5.897283,219.8049,358.6881,0.01054309,0.0939791,0.2049922,2.215216,216.0203,345.1464
0.3440599,0.2822516,0.4346296,0.3779878,6.133421,219.4271,358.6485,0.01280482,0.09517673,0.2029554,1.7286,215.9479,345.7065
0.3548364,0.2823159,0.4341667,0.3779626,6.118868,219.1065,358.6788,0.0151441,0.09631352,0.2008334,1.363614,215.8397,346.2652
0.366283,0.2823346,0.4338684,0.3779072,6.03196,218.7309,358.6764,0.01755644,0.0972643,0.1986697,1.192356,215.6297,346.5578
0.3772278,0.2824261,0.4338121,0.3778281,5.939023,218.3589,358.6793,0.01995726,0.09809915,0.196534,1.120111,215.2294,346.6144
0.3883593,0.2825543,0.4337873,0.3777709,5.911343,217.9314,358.6724,0.02253149,0.09867246,0.1942563,1.270017,214.5927,346.5947
0.4034124,0.2827757,0.4336916,0.3777828,5.920234,217.4525,358.6962,0.02520753,0.09911041,0.1918959,1.477426,213.7629,346.5127
0.4104885,0.2828953,0.4334199,0.3777243,5.889154,216.9741,358.7204,0.02776113,0.09964826,0.1896248,1.59306,213.0776,346.4972
0.4231679,0.2831628,0.4331683,0.3777577,6.078113,216.5277,358.7098,0.03021117,0.09999511,0.1872933,1.853475,212.3896,346.2511
0.4341474,0.2833677,0.4328486,0.3777743,6.243412,216.1056,358.7135,0.03253201,0.1003055,0.1850502,1.915184,211.8472,345.9863
0.4448263,0.2835783,0.4325227,0.3778048,6.463689,215.6834,358.6642,0.03479175,0.1005578,0.1828458,1.893031,211.6034,345.8636
0.4557041,0.2837786,0.4322399,0.3778523,6.74454,215.2396,358.6035,0.0373015,0.100489,0.1807843,2.073437,211.4359,345.9364
