Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.01167673,-0.4549287,0.3428372,-0.02315404,20.5022,72.26723,359.5789,-0.1456801,0.006815216,0.02089574,326.5327,102.9474,357.7212
0.02280248,-0.4549486,0.3428339,-0.02318948,20.50024,72.2706,359.5982,-0.1452443,0.006605957,0.02085185,326.8009,102.7598,357.9683
0.03411967,-0.4549668,0.342831,-0.02319562,20.4998,72.26952,359.5991,-0.1447612,0.006450252,0.02066371,326.9785,103.008,358.1917
0.04536774,-0.454996,0.3428013,-0.0232375,20.48918,72.27024,359.627,-0.1443654,0.006341633,0.02024284,327.1316,103.6581,358.2111
0.05652678,-0.4550168,0.3427756,-0.0232684,20.48779,72.25921,359.6326,-0.1444869,0.006152358,0.01980136,326.7882,104.4161,358.0297
0.06798704,-0.4550254,0.3427531,-0.02326265,20.50271,72.26452,359.6435,-0.1443274,0.005976329,0.01951629,326.6869,104.8456,357.9573
0.08030178,-0.4550259,0.3427297,-0.02326916,20.50701,72.25015,359.641,-0.1439763,0.005796108,0.01941259,327.0322,104.7207,358.0941
0.08915056,-0.4550251,0.3427149,-0.02324815,20.5018,72.25527,359.6407,-0.1438826,0.005541486,0.01937908,327.4424,104.1208,358.1838
0.1009903,-0.4550308,0.3426912,-0.02326764,20.50625,72.24333,359.6447,-0.1440077,0.005343669,0.01943473,327.527,103.5658,357.8591
0.1122932,-0.4550356,0.3426597,-0.02329956,20.51546,72.22079,359.6395,-0.1441888,0.005256853,0.0195875,327.5422,103.1056,357.6423
0.1230259,-0.4550376,0.3426316,-0.02328296,20.51703,72.22916,359.6509,-0.1445018,0.005122188,0.01974522,327.4161,102.8274,357.5595
0.1393655,-0.4550218,0.3425561,-0.02330413,20.55563,72.21471,359.6543,-0.145312,0.00463698,0.0203546,326.6839,102.4157,358.0096
0.1467736,-0.4550213,0.3425168,-0.02329842,20.55019,72.21568,359.6538,-0.1455482,0.004354972,0.0208335,326.4428,102.2809,358.5631
0.1572795,-0.4550077,0.3424741,-0.02331116,20.57472,72.2003,359.6501,-0.1456661,0.004188513,0.02128773,326.274,102.283,359.0635
0.1677169,-0.4549932,0.3424222,-0.02330574,20.59621,72.21047,359.6662,-0.1456389,0.004233539,0.02126943,326.4691,102.5382,359.0593
0.1804558,-0.4549743,0.3423682,-0.02330455,20.63028,72.21003,359.6763,-0.1455914,0.004278176,0.0210422,326.8615,102.6033,358.9949
0.1907598,-0.4549587,0.3423373,-0.02327909,20.64702,72.21523,359.6678,-0.1455115,0.004326408,0.02088697,327.3496,102.4703,358.9443
0.2031704,-0.4549281,0.3423033,-0.02325973,20.66677,72.22594,359.6832,-0.1454253,0.004379189,0.02066386,327.74,102.3688,358.7335
0.2163859,-0.4548963,0.3422509,-0.02325975,20.66738,72.23642,359.7134,-0.1451358,0.004406279,0.02047837,328.2168,102.4457,358.6557
0.2281921,-0.4548744,0.3422225,-0.0232436,20.666,72.24095,359.718,-0.1448902,0.004373439,0.02054435,328.5098,102.4682,358.8885
0.2400028,-0.4548386,0.3421924,-0.02321341,20.67625,72.26321,359.7291,-0.1446664,0.004345687,0.02062172,328.7021,102.3688,359.1529
0.2513515,-0.4548141,0.3421699,-0.02319883,20.6771,72.2714,359.752,-0.1443409,0.004360558,0.0205006,329.05,102.5397,359.2819
0.2634287,-0.4547907,0.34216,-0.02315338,20.67386,72.27475,359.7521,-0.1437885,0.004407225,0.02027284,329.663,102.828,359.407
0.2741807,-0.4547631,0.3421449,-0.02312938,20.66345,72.27004,359.763,-0.1429997,0.004466323,0.02010315,330.4016,103.2655,359.5642
0.2857514,-0.4547335,0.3421437,-0.02309724,20.65472,72.26641,359.7794,-0.1425127,0.004473732,0.02004759,330.8361,103.5307,359.691
0.2974025,-0.4547073,0.3421448,-0.02306623,20.64567,72.25247,359.7769,-0.1427309,0.004371576,0.02011566,330.8086,103.2094,359.7078
0.308743,-0.4546812,0.3421511,-0.02302055,20.64231,72.25311,359.7814,-0.1427657,0.004365017,0.02047278,330.8562,102.3852,359.8427
0.3200898,-0.4546513,0.3421732,-0.02298036,20.63347,72.24297,359.7742,-0.1424795,0.004296475,0.02142509,331.3784,100.69,0.3505055
0.33104,-0.4546186,0.3422219,-0.02298273,20.60188,72.21323,359.7682,-0.1419258,0.004130006,0.02278487,331.9856,98.46146,1.406599
0.3429745,-0.4545733,0.3423147,-0.0229639,20.54808,72.20792,359.7795,-0.1411112,0.003913737,0.02389629,332.5007,96.71385,2.575841
0.3536659,-0.4545394,0.3424786,-0.02296391,20.44732,72.19939,359.7776,-0.1407161,0.003606901,0.02439894,333.1307,95.99715,3.602353
0.3656225,-0.4545485,0.3426477,-0.02298076,20.40532,72.18558,359.7431,-0.1404747,0.003580091,0.02426573,333.07,96.32198,3.974403
0.3767377,-0.4545824,0.3429003,-0.02304707,20.26304,72.15742,359.7091,-0.1404751,0.003741276,0.02368934,332.8814,96.78454,3.941905
