Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
0.01064106,0.01996264,0.02711248,-0.0907338,329.8376,273.4133,351.4605,-0.2450494,-0.2961669,-0.1007806,333.8655,292.0045,354.5105
0.02236159,0.02077214,0.02731044,-0.09069563,329.8256,273.2887,351.4974,-0.2416739,-0.2968412,-0.1019883,331.9847,292.5275,354.9327
0.03373055,0.02154288,0.02749546,-0.09069789,329.797,273.2137,351.5355,-0.2393891,-0.2971232,-0.1025514,331.075,293.4721,356.1042
0.05940052,0.02194156,0.02769166,-0.09056481,329.7211,273.0782,351.678,-0.2387259,-0.2978447,-0.1005518,331.1613,293.0171,356.9285
0.06661402,0.02410865,0.02817898,-0.09065533,329.6969,272.799,351.7657,-0.2362094,-0.298597,-0.09782276,331.4903,292.7596,356.7035
0.07792041,0.02496121,0.02837697,-0.09067426,329.649,272.7502,351.8383,-0.2356523,-0.2994685,-0.09587513,332.8565,292.3103,356.0186
0.08897278,0.02578693,0.02853901,-0.09060276,329.5241,272.59,351.8868,-0.2355018,-0.3004326,-0.09396899,334.143,292.7011,355.9537
0.1000601,0.02661853,0.02860056,-0.09044634,329.4613,272.499,352.015,-0.2353355,-0.3014216,-0.09220049,335.3586,292.8013,356.2244
0.111329,0.02743473,0.02865589,-0.09039252,329.3689,272.5623,352.0073,-0.2352692,-0.3027385,-0.08996769,336.5845,293.007,355.9791
0.1225199,0.02832077,0.02875628,-0.09019096,329.3423,272.4701,352.1182,-0.2350961,-0.3041584,-0.08765554,337.5169,293.4748,355.3465
0.1332528,0.02906873,0.02885674,-0.08999314,329.3168,272.4405,352.2005,-0.2348266,-0.3054863,-0.08582889,338.0235,293.7668,354.8745
0.1444664,0.02982816,0.02891113,-0.08981194,329.254,272.3949,352.2556,-0.234763,-0.3066524,-0.08425936,338.162,293.3452,354.3081
0.1554907,0.03050974,0.0289401,-0.08950798,329.2398,272.2852,352.3933,-0.2342562,-0.3078689,-0.08369131,337.7952,291.2223,353.5932
0.1669907,0.03142388,0.0290599,-0.08933388,329.2823,272.2534,352.4008,-0.2338987,-0.309156,-0.08353046,337.0742,288.7408,352.848
0.1779945,0.03220646,0.02913439,-0.08895225,329.2598,272.1461,352.4437,-0.2340542,-0.3104307,-0.08261881,337.1469,286.8958,351.6041
0.1891734,0.03306771,0.02923049,-0.0885478,329.2437,272.0547,352.4832,-0.2335657,-0.3122722,-0.0821434,337.6127,286.6984,350.6411
0.1998947,0.03388575,0.02936054,-0.08808574,329.1845,271.9727,352.434,-0.2329787,-0.313929,-0.08244283,337.4219,286.795,350.7412
0.2113018,0.03478116,0.02947056,-0.08764746,329.1341,271.9867,352.4673,-0.232725,-0.3149388,-0.08240498,337.0912,286.5752,351.0375
0.2222782,0.03556649,0.02959528,-0.08716181,329.0247,271.9496,352.4166,-0.2328736,-0.3158988,-0.08271339,336.8477,286.4781,351.597
0.2332529,0.03645673,0.0297714,-0.08671694,329.0462,271.9271,352.3388,-0.2334651,-0.3170339,-0.08371138,337.0694,285.8965,352.5116
0.2448375,0.03724533,0.02982121,-0.08618151,329.0214,271.8537,352.3315,-0.2341491,-0.3179841,-0.08485977,337.598,284.9684,353.4366
0.2559049,0.03785167,0.02987356,-0.08575428,329.056,271.8383,352.3696,-0.235132,-0.3188508,-0.08661777,338.2554,284.0981,354.7098
0.2668177,0.03888304,0.02997017,-0.08519477,329.0186,271.7717,352.2795,-0.23614,-0.3196841,-0.08846472,338.8531,283.4402,355.8568
0.2777796,0.03964719,0.02997181,-0.08461665,328.9861,271.7033,352.3959,-0.237218,-0.3206429,-0.09025912,339.5514,283.0865,356.2397
0.2888741,0.04042722,0.03001259,-0.08410034,328.9583,271.7081,352.3251,-0.2381598,-0.3217314,-0.09194639,340.1153,282.8871,356.0838
0.300063,0.04116039,0.03005396,-0.08359894,328.9323,271.6933,352.3353,-0.2391644,-0.3226991,-0.09376747,340.4603,282.7253,355.8373
0.3112868,0.04214502,0.03011046,-0.08297314,328.8683,271.6441,352.3188,-0.2401417,-0.3235807,-0.0955141,341.0181,282.7578,355.6981
0.3225224,0.04283025,0.0300738,-0.08231048,328.7702,271.5614,352.3667,-0.2410318,-0.3243436,-0.09748778,341.6792,282.7196,355.6633
0.3338353,0.04341224,0.03008438,-0.08175554,328.7368,271.5851,352.3384,-0.2416641,-0.3251791,-0.09951195,342.1105,282.0678,355.7938
0.3446926,0.04394479,0.03012513,-0.08126884,328.7536,271.5654,352.299,-0.2423581,-0.3257214,-0.1019548,342.4878,281.1808,355.9749
0.3552845,0.04425409,0.03015241,-0.08083003,328.8216,271.5292,352.2932,-0.2433946,-0.3261247,-0.1041377,342.8982,280.6572,355.5338
0.3669996,0.04450312,0.0301518,-0.08035367,328.8589,271.519,352.3097,-0.2444623,-0.3263031,-0.1064761,342.8297,280.1911,354.7248
0.3780758,0.04464166,0.03017777,-0.08001405,328.8648,271.5483,352.2821,-0.245528,-0.3259056,-0.1095038,342.7566,279.525,354.7159
0.3890801,0.04596273,0.03031701,-0.07892714,328.9704,271.4828,352.2135,-0.2466501,-0.3247077,-0.1134621,342.8429,278.2219,355.7068
