Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 12:31:13.3411831,2.05448,1, ,User hit user's target,-3.436164,2.752542,3.158181
2018/07/02 - 12:31:15.7867847,4.500092,2, ,User hit user's target,2.196622,3.853539,4.3946
2018/07/02 - 12:31:20.0534603,8.767089,3, ,User hit user's target,-4.002933,7.523335,-1.193193
2018/07/02 - 12:31:21.0533462,9.76642,4, ,User hit user's target,-0.8376216,8.028825,3.6942
2018/07/02 - 12:31:21.4761053,10.18884,3, ,User missed, , , 
2018/07/02 - 12:31:21.8870058,10.60063,4, ,User hit user's target,1.33595,8.389706,1.912703
2018/07/02 - 12:31:22.5753525,11.28794,5, ,User hit user's target,5.556142,7.393296,0.06154557
2018/07/02 - 12:31:25.3100820,14.02265,6, ,User hit user's target,3.580231,5.438561,2.918772
2018/07/02 - 12:31:26.4860193,15.19932,7, ,User hit user's target,3.273593,3.558036,4.463482
2018/07/02 - 12:31:27.5526485,16.26584,8, ,User hit user's target,0.5586635,3.77057,4.720648
2018/07/02 - 12:31:29.0764419,17.78911,7, ,User missed, , , 
2018/07/02 - 12:31:29.2978629,18.01188,8, ,User hit user's target,0.170355,5.281169,5.394988
2018/07/02 - 12:31:29.7539471,18.46734,9, ,User hit user's target,0.7494614,6.083205,4.417816
2018/07/02 - 12:31:33.3326182,22.04571,10, ,User hit user's target,3.35825,6.355073,1.614687
2018/07/02 - 12:31:40.1666251,28.87921,11, ,User hit user's target,-0.801672,3.879613,4.289188
2018/07/02 - 12:31:43.6215470,32.33507,10, ,User missed, , , 
2018/07/02 - 12:31:44.0696645,32.7784,11, ,User hit user's target,-3.271791,5.221759,4.50234
2018/07/02 - 12:31:45.5980446,34.31213,12, ,User hit user's target,0.8794293,7.335151,3.947482
2018/07/02 - 12:31:48.4977853,37.21223,13, ,User hit user's target,-2.615906,3.037528,3.861259
2018/07/02 - 12:31:51.2101484,39.92338,14, ,User hit user's target,-0.2034343,6.037239,5.621485
2018/07/02 - 12:31:52.0878052,40.80122,15, ,User hit user's target,-0.4531189,5.027054,4.557455
2018/07/02 - 12:31:53.5320778,42.24536,16, ,User hit user's target,3.269196,6.107881,3.82197
