Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 12:31:11.6084023,0.3115395,0.01768674,0.01930319,-0.09014498,354.81,357.9797,359.9848,0.08089267,-0.3609771,0.1551193,346.3071,351.8285,348.4163
2018/07/02 - 12:31:11.6183513,0.3221313,0.01747812,0.01925933,-0.09029201,354.8257,357.8879,0.04633629,0.07874654,-0.3611522,0.1537885,345.9158,351.4554,349.1345
2018/07/02 - 12:31:11.6303184,0.3334198,0.01725194,0.01925092,-0.09046607,354.8776,357.741,0.01172726,0.07638803,-0.3613685,0.1522474,345.4495,350.8268,349.9683
2018/07/02 - 12:31:11.6412889,0.3447685,0.01711057,0.01909276,-0.09057157,354.8243,357.5692,0.1143753,0.07414921,-0.3615707,0.1507569,345.0369,350.3062,350.6419
2018/07/02 - 12:31:11.6532580,0.3556991,0.01686281,0.01906325,-0.09076186,354.897,357.4273,0.1189278,0.07191098,-0.361947,0.1491825,344.7779,349.8412,351.2036
2018/07/02 - 12:31:11.6632311,0.3672902,0.01673563,0.01896276,-0.09098943,354.9443,357.2047,0.2171406,0.06972067,-0.3623656,0.1475804,344.5751,349.338,351.7617
2018/07/02 - 12:31:11.6752051,0.3779998,0.01652153,0.01887883,-0.09122782,354.9957,357.019,0.2427802,0.06749526,-0.3627885,0.1459288,344.4288,348.7003,352.3829
2018/07/02 - 12:31:11.6861695,0.3890791,0.0162472,0.01876985,-0.09143963,355.0018,356.8867,0.2946981,0.06532863,-0.3630863,0.144247,344.1926,347.9106,353.0961
2018/07/02 - 12:31:11.6971408,0.4000726,0.01601205,0.01870545,-0.09164264,354.9751,356.6851,0.3194512,0.06339455,-0.3632423,0.1426633,343.9207,347.2025,353.6728
2018/07/02 - 12:31:11.7081300,0.4114153,0.01572539,0.01876447,-0.09182897,355.0148,356.4892,0.3205751,0.06167864,-0.3632654,0.1412814,343.7273,346.7502,353.9234
2018/07/02 - 12:31:11.7190873,0.4222532,0.01542928,0.01874531,-0.09195253,354.9831,356.3091,0.3706833,0.06015136,-0.3633117,0.1401406,343.644,346.4554,354.0057
2018/07/02 - 12:31:11.7310502,0.4335126,0.01517729,0.0187798,-0.09204578,355.0066,356.0633,0.4646092,0.05876268,-0.3634618,0.139148,343.6679,346.2,354.0312
2018/07/02 - 12:31:11.7410453,0.445191,0.01478945,0.01881268,-0.09210516,355.0547,355.8812,0.5026048,0.05730674,-0.3636521,0.1381327,343.6532,345.7924,354.2594
2018/07/02 - 12:31:11.7579998,0.4557302,0.01444196,0.01882872,-0.09211272,355.1458,355.6001,0.5689294,0.05587048,-0.3637744,0.1371305,343.5148,345.2286,354.7795
2018/07/02 - 12:31:11.7659560,0.4671231,0.01394074,0.01876458,-0.09216898,355.2539,355.3704,0.6192071,0.05466752,-0.3637788,0.1362127,343.1889,344.6676,355.3905
2018/07/02 - 12:31:11.7739358,0.4797805,0.01348226,0.01860654,-0.09220541,355.3247,355.0606,0.6998491,0.05371108,-0.3636787,0.1355241,342.9306,344.2855,355.7807
2018/07/02 - 12:31:11.7859046,0.4887416,0.01300784,0.01841643,-0.09223989,355.438,354.7055,0.788472,0.05303552,-0.3634815,0.1351204,342.8528,344.127,355.8605
2018/07/02 - 12:31:11.7968742,0.4997826,0.01243721,0.01827017,-0.09221911,355.6508,354.3347,0.8534412,0.05272239,-0.3632205,0.1350627,342.9581,344.2719,355.463
2018/07/02 - 12:31:11.8078651,0.5109069,0.01190902,0.01801261,-0.09206854,355.7751,353.9293,0.9760926,0.05234895,-0.363034,0.1350409,343.14,344.5112,354.8951
2018/07/02 - 12:31:11.8188139,0.5222442,0.01133796,0.01772841,-0.09190405,355.9803,353.4788,1.062904,0.05177272,-0.3629853,0.1349824,343.399,344.6302,354.3953
2018/07/02 - 12:31:11.8307833,0.533329,0.01065901,0.01735945,-0.09168707,356.2307,353.1019,1.174464,0.05099121,-0.3629912,0.1346312,343.4744,344.1906,354.4257
2018/07/02 - 12:31:11.8407550,0.5442394,0.01005061,0.01696615,-0.09157249,356.5499,352.6602,1.27068,0.05034165,-0.3629521,0.1342079,343.3922,343.6128,354.6756
2018/07/02 - 12:31:11.8517274,0.5553011,0.009393311,0.01645073,-0.09135354,356.9069,352.2247,1.405468,0.05001708,-0.3628474,0.1339788,343.276,343.3475,354.7943
2018/07/02 - 12:31:11.8626976,0.5663643,0.008765362,0.01599689,-0.09112452,357.3468,351.7193,1.502959,0.04983257,-0.3627322,0.1339857,343.3122,343.5643,354.5247
2018/07/02 - 12:31:11.8746709,0.577647,0.008039121,0.01542489,-0.090908,357.8274,351.2496,1.563988,0.0496066,-0.3627274,0.1341242,343.4957,344.0303,354.008
2018/07/02 - 12:31:11.8866568,0.5888081,0.007457153,0.01473117,-0.09071016,358.2628,350.731,1.744802,0.049033,-0.3628296,0.1340322,343.6249,344.1252,353.8425
2018/07/02 - 12:31:11.8966061,0.6000621,0.006748646,0.01416697,-0.09054957,358.8895,350.2317,1.727409,0.04820614,-0.3630385,0.1335437,343.4461,343.7021,354.2625
2018/07/02 - 12:31:11.9085741,0.6110063,0.006141228,0.01335849,-0.09032139,359.4166,349.6856,1.814851,0.04739081,-0.3631797,0.132969,343.1129,343.1508,354.886
2018/07/02 - 12:31:11.9185720,0.6222597,0.005419211,0.01265271,-0.09003884,0.03840816,349.1856,1.862478,0.04685185,-0.3632403,0.1325654,342.9214,342.8216,355.2619
2018/07/02 - 12:31:11.9305158,0.6332421,0.004778164,0.01183022,-0.08966295,0.5762109,348.6519,1.914297,0.04672283,-0.3632033,0.1323996,342.9439,342.8038,355.2177
2018/07/02 - 12:31:11.9414862,0.6444085,0.004107963,0.01105881,-0.08930171,1.086901,348.1484,1.968275,0.04677304,-0.3630899,0.1324134,343.0894,343.041,354.8506
2018/07/02 - 12:31:11.9524572,0.6557988,0.003428742,0.01038187,-0.08889012,1.586289,347.6367,1.982346,0.04648435,-0.3629713,0.1322933,343.2485,343.391,354.3969
2018/07/02 - 12:31:11.9634279,0.6664248,0.002741433,0.009721797,-0.08841276,2.012689,347.1513,2.007924,0.04578053,-0.3629229,0.1319524,343.2451,343.308,354.4335
2018/07/02 - 12:31:11.9743983,0.6781421,0.002061274,0.009129628,-0.0879394,2.439569,346.7028,2.016584,0.04479377,-0.3628983,0.1312438,342.9935,342.6279,355.0087
2018/07/02 - 12:31:11.9863859,0.6888705,0.00144767,0.008463075,-0.08744666,2.819946,346.244,2.050753,0.04413224,-0.362812,0.1305405,342.6172,341.8941,355.6015
2018/07/02 - 12:31:11.9973370,0.7000989,0.0008789711,0.007815203,-0.08703941,3.199135,345.7811,2.073941,0.04384461,-0.3626404,0.1301858,342.4375,341.5813,355.8854
2018/07/02 - 12:31:12.0083069,0.7114775,0.0002532676,0.007183802,-0.08660314,3.53433,345.3921,2.082014,0.04393235,-0.3623478,0.1301309,342.3828,341.6647,355.8052
2018/07/02 - 12:31:12.0182803,0.7220469,-0.0002525263,0.006670423,-0.08616009,3.89775,344.9449,2.044107,0.04420363,-0.3621213,0.1302909,342.5078,342.2058,355.2818
2018/07/02 - 12:31:12.0302719,0.7330045,-0.0007898621,0.006191412,-0.08572847,4.213582,344.6148,2.091152,0.044172,-0.3621099,0.1303669,342.8419,342.8222,354.68
2018/07/02 - 12:31:12.0402547,0.7439058,-0.001332212,0.005791007,-0.0853295,4.509577,344.2493,1.999213,0.04372825,-0.362226,0.1300451,342.917,342.6683,354.6526
2018/07/02 - 12:31:12.0522324,0.7549681,-0.00186424,0.005432761,-0.0848112,4.769622,343.9036,1.87062,0.04312432,-0.3625284,0.129419,342.7577,342.0089,354.9642
2018/07/02 - 12:31:12.0631997,0.7659977,-0.002329879,0.004958052,-0.08424514,4.969625,343.6096,1.898892,0.04274359,-0.3628196,0.1289973,342.6379,341.4412,355.2299
2018/07/02 - 12:31:12.0741633,0.7776306,-0.002767909,0.004580492,-0.08377595,5.268385,343.289,1.856418,0.04268805,-0.3631273,0.1289661,342.6575,341.1698,355.3769
2018/07/02 - 12:31:12.0851946,0.7884298,-0.003250056,0.004131269,-0.08323217,5.457055,343.0174,1.822415,0.04287202,-0.3634373,0.129204,342.7207,341.2857,355.25
2018/07/02 - 12:31:12.0951771,0.7995172,-0.003676634,0.003876869,-0.08276365,5.755984,342.707,1.75069,0.04322057,-0.363921,0.1297053,342.8753,341.8325,354.8652
2018/07/02 - 12:31:12.1071365,0.8102555,-0.004035619,0.003598941,-0.08227836,5.894727,342.3928,1.744794,0.0433261,-0.3645384,0.1301851,343.1007,342.2995,354.6195
2018/07/02 - 12:31:12.1176897,0.8212825,-0.004422314,0.00341157,-0.08184408,6.044979,342.1381,1.697391,0.04310938,-0.3653911,0.1305869,343.2854,342.4816,354.6385
2018/07/02 - 12:31:12.1296571,0.8323036,-0.004813577,0.003159714,-0.08130826,6.039137,341.9377,1.700291,0.04265833,-0.3663385,0.1307894,343.3182,342.3817,354.9294
2018/07/02 - 12:31:12.1396320,0.8435818,-0.005174235,0.003050554,-0.08081822,6.169115,341.7248,1.661732,0.04194048,-0.367412,0.1308456,343.1592,342.0454,355.6444
2018/07/02 - 12:31:12.1515991,0.854608,-0.005523418,0.00282416,-0.08023797,6.171002,341.5487,1.640837,0.04133805,-0.3684213,0.1309715,342.8814,341.7313,356.4507
2018/07/02 - 12:31:12.1625704,0.8659636,-0.00581318,0.00268717,-0.07974128,6.292906,341.3737,1.618897,0.04098762,-0.3694209,0.1313253,342.6058,341.6006,357.2095
2018/07/02 - 12:31:12.1735556,0.8768313,-0.006118038,0.002459868,-0.07925208,6.36718,341.2561,1.570683,0.04087373,-0.3703103,0.1319327,342.549,341.7225,357.6918
2018/07/02 - 12:31:12.1855329,0.8880312,-0.006355214,0.002253448,-0.07882442,6.494163,341.1424,1.558862,0.04114043,-0.3710473,0.132708,342.5775,342.0758,357.8784
2018/07/02 - 12:31:12.1955013,0.8991507,-0.006469105,0.001979403,-0.07842769,6.602141,341.0176,1.601352,0.04153406,-0.3716272,0.1335355,342.6836,342.5574,357.7214
2018/07/02 - 12:31:12.2074505,0.9103259,-0.006657632,0.001858022,-0.07808337,6.746274,340.9666,1.522555,0.04182362,-0.3722397,0.1342845,342.9392,342.9829,357.3824
2018/07/02 - 12:31:12.2174506,0.9214912,-0.006734669,0.001719741,-0.07770686,6.809682,340.8441,1.49579,0.04196752,-0.3729286,0.1348901,343.4121,343.2037,356.838
2018/07/02 - 12:31:12.2304139,0.9324022,-0.006883782,0.001604669,-0.07730322,6.768773,340.8059,1.434233,0.04185552,-0.3736752,0.1353836,343.9009,343.2185,356.3695
2018/07/02 - 12:31:12.2393884,0.9441102,-0.006983867,0.001537741,-0.07698086,6.750693,340.7975,1.43151,0.04139075,-0.3745212,0.1355991,344.391,342.9696,356.038
2018/07/02 - 12:31:12.2513586,0.9545006,-0.006978077,0.00154148,-0.07669825,6.699423,340.7169,1.384901,0.04074603,-0.3753037,0.135662,344.6905,342.538,355.9807
2018/07/02 - 12:31:12.2613451,0.9657159,-0.007033139,0.001521681,-0.07663291,6.614828,340.7751,1.344811,0.03994394,-0.3760493,0.1354785,344.7165,342.0045,356.2595
2018/07/02 - 12:31:12.2732995,0.9764193,-0.007030355,0.00152008,-0.07638424,6.571351,340.7663,1.302261,0.03918275,-0.376745,0.1353192,344.5762,341.6733,356.728
2018/07/02 - 12:31:12.2842793,0.987824,-0.006996306,0.001548293,-0.076174,6.546618,340.7712,1.284811,0.03853937,-0.3773527,0.1351814,344.2823,341.4791,357.3797
2018/07/02 - 12:31:12.2952406,0.9988104,-0.006844126,0.001567251,-0.07554263,6.351088,340.7602,1.203474,0.03814318,-0.3777316,0.1351599,343.8626,341.5068,358.0295
2018/07/02 - 12:31:12.3072077,1.009813,-0.006787096,0.001793787,-0.07535058,6.342319,340.8321,1.136554,0.03795509,-0.3779925,0.1352856,343.499,341.7607,358.5196
