Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.4117688,-1,0,User missed,-0.03094066,0.4894091,-0.2312171,29.35689,16.89821,359.3156,0.1752515,0.1350835,-0.01067903,345.7151,21.77813,345.1975
0.6396303,-2,0,User missed,-0.03220641,0.4941653,-0.2319556,27.43162,17.30035,359.8786,0.1727755,0.1355412,-0.01130082,344.9396,19.96951,350.6238
0.6793604,-2,-1,Peer missed,-0.03300107,0.4975907,-0.2324325,25.97713,17.07451,359.8873,0.172482,0.1379824,-0.01358876,342.9579,20.5859,352.5607
1.789206,-1,-2,Peer hit user's target,-0.06368443,0.5394462,-0.24717,3.911221,349.9672,1.710093,0.1267232,0.1179479,-0.02823408,346.9148,9.68632,1.759218
2.733438,-1,-3,Peer missed,-0.07516526,0.5310778,-0.2501575,9.700592,347.0656,1.801303,0.08498825,0.0924812,-0.01058595,351.2828,1.958519,7.073766
2.777443,-1,-2,Peer hit peer's target,-0.07482588,0.5307953,-0.2493484,9.791884,347.4369,1.689155,0.0850635,0.09247838,-0.01038375,351.4612,1.981275,6.929193
5.033901,-2,-2,User missed,-0.003826518,0.5078294,-0.2303711,19.21153,44.52896,4.144394,0.2634458,-0.04190515,-0.2158014,23.31746,60.43869,13.60129
5.455635,-2,-1,Peer hit peer's target,0.01208713,0.4989421,-0.2253965,23.28661,54.98847,4.717597,0.2859075,-0.07018651,-0.3079017,27.18587,87.69872,18.51784
5.822345,-3,-1,User missed,0.03718998,0.4959958,-0.2562942,23.40103,81.72462,5.934893,0.3002814,-0.04968486,-0.4171034,24.73465,107.0021,15.57009
7.767392,-3,0,Peer hit peer's target,-0.0667498,0.5562379,-0.2465433,336.6319,41.62909,8.06847,0.2319356,0.2437614,-0.1802455,326.1152,45.7312,16.78412
8.012424,-4,0,User missed,-0.06859751,0.5504125,-0.2453627,344.0669,31.05892,7.444431,0.1965946,0.2012875,-0.1426858,335.0657,35.34748,14.17767
8.769377,-5,0,User missed,-0.05438517,0.5158082,-0.2263724,11.99346,31.84267,5.026959,0.1839762,0.02089979,-0.1509078,16.05679,30.41477,11.09134
9.511279,-5,-1,Peer missed,-0.08268265,0.4990196,-0.2083275,22.43064,6.352493,2.791687,0.0501316,0.01583036,-0.1227282,20.01714,355.6255,4.994374
9.866885,-4,-1,User hit user's target,-0.1068205,0.5025243,-0.2142379,21.17244,355.6289,2.481915,-0.02104258,0.06065571,-0.1002706,10.36951,336.3008,5.255826
10.70043,-3,-2,Peer hit user's target,-0.08772863,0.5168486,-0.2381228,13.28788,16.76556,2.53353,0.1453494,0.08975071,-0.1171345,0.8709553,27.61165,8.856577
12.63393,-3,-1,Peer hit peer's target,-0.1334385,0.5365005,-0.2575519,3.358121,313.8896,2.15945,-0.05929511,0.07025521,-0.05736051,0.9300668,333.6102,9.656651
14.64379,-3,0,Peer hit peer's target,-0.2010332,0.5105429,-0.3100182,18.41986,282.9535,2.451035,-0.1755029,0.0507934,-0.1687917,23.78882,275.265,19.60722
15.06108,-3,1,Peer hit peer's target,-0.1857995,0.50473,-0.257963,21.83025,308.163,3.075225,-0.09606022,0.03485028,-0.09058698,21.3696,308.7495,23.13081
