Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:03:30.1795147,0,-0.00561028,-0.03034145,-0.08430294,8.960229,2.511875,359.7972,0.09104272,-0.3738372,0.109949,2.532349,1.7055,349.6688,0,0
2018/07/10 - 11:03:30.1924814,0.01492106,-0.005576407,-0.03033196,-0.08393633,8.948908,2.485676,359.743,0.09000039,-0.3739542,0.1097085,2.467691,1.026034,349.5186,0,0
2018/07/10 - 11:03:30.2044485,0.03052934,-0.005519517,-0.03031017,-0.08369893,8.961006,2.453996,359.7268,0.08933975,-0.3738651,0.1096268,2.614157,0.9007153,349.4655,0,0
2018/07/10 - 11:03:30.2114378,0.04211047,-0.00547723,-0.03033765,-0.08357423,8.941984,2.443867,359.7411,0.08880372,-0.3737937,0.1096008,2.782853,0.8696428,349.386,0,0
2018/07/10 - 11:03:30.2184112,0.04971621,-0.005469501,-0.03034718,-0.08347586,8.93478,2.451415,359.7316,0.08771928,-0.3736921,0.1095415,3.115622,0.8532829,349.3279,0,0
2018/07/10 - 11:03:30.2303795,0.05674709,-0.005419955,-0.03035588,-0.0833234,8.936834,2.446688,359.7342,0.0876858,-0.3735283,0.1098723,3.453742,1.138602,349.0226,0,0
2018/07/10 - 11:03:30.2443423,0.06859872,-0.005293101,-0.03037325,-0.08296867,8.934962,2.420123,359.7182,0.08734514,-0.3734354,0.1103547,3.794927,1.150268,348.9058,0,0
2018/07/10 - 11:03:30.2533210,0.08256035,-0.005245987,-0.03039362,-0.08280603,8.934455,2.423804,359.7142,0.08687183,-0.3734443,0.1108293,4.219869,0.9627298,348.8513,0,0
2018/07/10 - 11:03:30.2639879,0.09205566,-0.005155955,-0.0304223,-0.08254809,8.933764,2.417337,359.6989,0.08649912,-0.3734978,0.1110609,4.710536,0.7423494,348.7867,0,0
2018/07/10 - 11:03:30.2749365,0.1023497,-0.005063403,-0.03045489,-0.08235246,8.937185,2.408649,359.701,0.08607084,-0.373523,0.110735,4.886834,0.4259161,348.7677,0,0
2018/07/10 - 11:03:30.2859069,0.1129569,-0.004970022,-0.03050669,-0.08209403,8.940701,2.420002,359.6887,0.08544002,-0.3733555,0.1104143,4.843058,359.8844,348.9099,0,0
2018/07/10 - 11:03:30.2978749,0.1236289,-0.004856467,-0.03057565,-0.08189927,8.951521,2.397815,359.6753,0.08517195,-0.3729314,0.1104978,4.665731,359.4038,348.8156,0,0
2018/07/10 - 11:03:30.3078486,0.1352567,-0.004718781,-0.03064702,-0.08160786,9.013618,2.399425,359.659,0.08533236,-0.3726988,0.1098431,4.302431,359.4121,348.6109,0,0
2018/07/10 - 11:03:30.3208138,0.1464521,-0.004618728,-0.03074994,-0.08154255,9.008793,2.385547,359.6811,0.08594056,-0.3722497,0.109633,4.037213,359.968,348.4285,0,0
2018/07/10 - 11:03:30.3617038,0.1582946,-0.004567661,-0.03080346,-0.08146118,9.018543,2.399536,359.6664,0.08636464,-0.3718557,0.1097993,3.922654,0.4179477,348.3698,0,0
2018/07/10 - 11:03:30.3690896,0.1686999,-0.004214417,-0.0310033,-0.08105117,8.956266,2.36971,359.6327,0.08678368,-0.3714333,0.1097945,3.738953,0.8001892,348.4514,0,0
2018/07/10 - 11:03:30.3760713,0.2067784,-0.004130033,-0.03102808,-0.0808982,8.950354,2.371368,359.6028,0.08712322,-0.3704513,0.1094912,3.490748,0.8647296,348.4159,0,0
2018/07/10 - 11:03:30.3870417,0.2143289,-0.004027196,-0.03109615,-0.08079257,8.944205,2.354851,359.6085,0.08717571,-0.3700674,0.1094444,3.339072,0.5894223,348.2645,0,0
2018/07/10 - 11:03:30.3980124,0.2253747,-0.003927533,-0.03116586,-0.08059457,8.944718,2.369177,359.5901,0.08715651,-0.3698484,0.1094956,3.356691,0.3655625,348.1794,0,0
2018/07/10 - 11:03:30.4099812,0.235927,-0.003806739,-0.03124239,-0.08040427,8.957303,2.36659,359.5906,0.08706451,-0.3696674,0.1096574,3.50595,0.08376918,348.0862,0,0
2018/07/10 - 11:03:30.4219614,0.2481726,-0.003662121,-0.03133903,-0.08014214,8.987259,2.3701,359.5819,0.0868961,-0.3694835,0.1097024,3.460452,359.8428,348.038,0,0
2018/07/10 - 11:03:30.4329199,0.2599306,-0.003495552,-0.03146944,-0.07984984,9.028011,2.369083,359.5591,0.08687859,-0.3692286,0.1097936,3.380259,359.8335,348.0175,0,0
2018/07/10 - 11:03:30.4458849,0.2715769,-0.003266674,-0.03166045,-0.07945617,9.151123,2.41223,359.5651,0.08710156,-0.3690606,0.1099569,3.228626,0.2319897,347.9578,0,0
2018/07/10 - 11:03:30.4568564,0.2834382,-0.003088006,-0.0318302,-0.0792354,9.244052,2.407232,359.5609,0.08722473,-0.3689874,0.1100732,3.157015,0.5406784,347.9446,0,0
2018/07/10 - 11:03:30.4678269,0.2953041,-0.002954565,-0.03200845,-0.07906479,9.36393,2.424972,359.5225,0.08715118,-0.3689211,0.1101932,3.114194,0.7000967,347.9557,0,0
2018/07/10 - 11:03:30.4807907,0.3066096,-0.002844631,-0.03216849,-0.07903042,9.394739,2.398255,359.5285,0.08702068,-0.3688309,0.1102691,3.046868,0.6076655,347.8325,0,0
2018/07/10 - 11:03:30.4907650,0.3182183,-0.002783231,-0.0322644,-0.07896809,9.456531,2.418556,359.523,0.08681186,-0.3688167,0.1102921,3.018855,0.3687673,347.7021,0,0
2018/07/10 - 11:03:30.5027324,0.3294331,-0.002714969,-0.03234915,-0.07894825,9.464489,2.406046,359.517,0.08634885,-0.3687965,0.1102791,3.014331,359.9386,347.6844,0,0
2018/07/10 - 11:03:30.5137036,0.3406965,-0.002701502,-0.03239761,-0.07896712,9.456174,2.40946,359.5047,0.08594074,-0.3687567,0.1102803,2.996192,359.6135,347.7086,0,0
2018/07/10 - 11:03:30.5246738,0.3518759,-0.002626187,-0.03245253,-0.07892933,9.48313,2.418349,359.499,0.08560543,-0.3687338,0.1103582,2.958892,359.3528,347.6817,0,0
2018/07/10 - 11:03:30.5366611,0.3632284,-0.002573763,-0.03249827,-0.07894198,9.470485,2.401882,359.4909,0.08556912,-0.3687311,0.1105336,2.953399,359.3087,347.5468,0,0
2018/07/10 - 11:03:30.5476122,0.3742682,-0.002479885,-0.03255374,-0.07880499,9.493959,2.404025,359.4737,0.08575092,-0.3687297,0.1106938,2.971368,359.5949,347.3739,0,0
2018/07/10 - 11:03:30.5596043,0.3858123,-0.002319233,-0.03262232,-0.07863574,9.53746,2.36313,359.4415,0.08585083,-0.368708,0.1107574,3.025658,359.8329,347.3225,0,0
2018/07/10 - 11:03:30.5695530,0.3971838,-0.00227689,-0.03268508,-0.07854959,9.52858,2.366796,359.4345,0.08582466,-0.3686492,0.1108035,3.016143,359.9226,347.3687,0,0
2018/07/10 - 11:03:30.5815238,0.4080703,-0.002153371,-0.03277544,-0.07840865,9.591077,2.372239,359.4232,0.08574663,-0.3685941,0.1108563,2.961994,359.9112,347.3832,0,0
2018/07/10 - 11:03:30.5914987,0.4194151,-0.002024882,-0.03287951,-0.07829101,9.645033,2.366706,359.3784,0.08565822,-0.3685551,0.1108908,2.929997,359.8351,347.4305,0,0
2018/07/10 - 11:03:30.6034644,0.4301079,-0.001876082,-0.03297666,-0.0782166,9.697424,2.372057,359.3539,0.08538441,-0.3684644,0.1109637,2.770675,359.7083,347.5336,0,0
2018/07/10 - 11:03:30.6144422,0.4413221,-0.001799572,-0.03305304,-0.07822155,9.682466,2.396143,359.355,0.08521613,-0.3683379,0.111039,2.627243,359.5867,347.6122,0,0
2018/07/10 - 11:03:30.6254033,0.4528119,-0.001523167,-0.03313049,-0.07815032,9.784318,2.43001,359.2938,0.0852669,-0.3682254,0.1111897,2.592191,359.5299,347.6696,0,0
2018/07/10 - 11:03:30.6373715,0.464017,-0.001327805,-0.03328658,-0.07808708,9.784897,2.544634,359.3114,0.08547468,-0.3682017,0.1112758,2.68338,359.6352,347.6342,0,0
2018/07/10 - 11:03:30.6473467,0.4749092,-0.001065243,-0.03340258,-0.07803901,9.82883,2.605365,359.2603,0.0859945,-0.3679796,0.111504,2.67096,359.8069,347.5391,0,0
2018/07/10 - 11:03:30.6593394,0.4863239,-0.0006406792,-0.03355686,-0.07790863,9.967305,2.804368,359.1915,0.0868708,-0.3676035,0.1117613,2.553675,0.0912074,347.2983,0,0
2018/07/10 - 11:03:30.6702845,0.4977335,-0.0002717189,-0.03370554,-0.07786738,10.04408,2.949403,359.1613,0.08760425,-0.3673169,0.1119219,2.471191,0.2962177,347.1277,0,0
2018/07/10 - 11:03:30.6812552,0.5084121,0.0001279861,-0.0338709,-0.07778995,10.11506,3.090048,359.127,0.08839228,-0.3669926,0.1121274,2.412747,0.5258328,347.0507,0,0
2018/07/10 - 11:03:30.6922279,0.5193544,0.0005369522,-0.03398269,-0.0777009,10.26741,3.384792,359.0921,0.08908556,-0.3667136,0.1122832,2.351903,0.5887758,347.152,0,0
2018/07/10 - 11:03:30.7042149,0.5307811,0.001094054,-0.03423095,-0.07758038,10.27937,3.612737,359.0613,0.08977626,-0.366416,0.1124573,2.235542,0.5123993,347.4167,0,0
2018/07/10 - 11:03:30.7141688,0.5420405,0.001661488,-0.03439194,-0.07751203,10.35351,3.896488,359.0143,0.09059237,-0.3661215,0.1126887,2.049085,0.5159405,347.5794,0,0
2018/07/10 - 11:03:30.7261347,0.5529984,0.002298175,-0.03461288,-0.07745143,10.44859,4.301905,359.0018,0.09153651,-0.3658434,0.1130019,1.882756,0.5022883,347.7863,0,0
2018/07/10 - 11:03:30.7371046,0.5643042,0.0030062,-0.03486882,-0.07743975,10.53241,4.719883,358.851,0.09269008,-0.3654488,0.1134172,1.760932,0.4437489,348.0866,0,0
2018/07/10 - 11:03:30.7480759,0.5754948,0.003837798,-0.0351802,-0.0774179,10.5952,5.199814,358.7735,0.09429756,-0.3648541,0.1138716,1.537635,0.5723308,348.2357,0,0
2018/07/10 - 11:03:30.7600433,0.5868106,0.00476649,-0.0354432,-0.07739412,10.72723,5.871287,358.6153,0.096762,-0.3640037,0.1144554,1.253712,1.106864,348.1796,0,0
2018/07/10 - 11:03:30.7700167,0.597822,0.005769947,-0.03566559,-0.07740904,10.90587,6.576915,358.4642,0.09957903,-0.3631974,0.1150686,1.038194,1.785826,348.0294,0,0
2018/07/10 - 11:03:30.7879916,0.6089886,0.006972444,-0.03605673,-0.07745066,10.995,7.459375,358.4034,0.1027515,-0.362414,0.1157905,0.9341606,2.595103,347.9591,0,0
2018/07/10 - 11:03:30.7939532,0.6199073,0.00830435,-0.03633425,-0.0775274,11.16272,8.456509,358.2831,0.1059641,-0.3615414,0.1165077,0.7331612,3.348081,348.0937,0,0
2018/07/10 - 11:03:30.8039270,0.6330202,0.00979184,-0.03670987,-0.07760058,11.25379,9.521899,358.2731,0.1089477,-0.3607465,0.1171276,0.4969375,3.917963,348.2033,0,0
2018/07/10 - 11:03:30.8148971,0.6419677,0.01145758,-0.03707399,-0.07769363,11.36662,10.83134,358.272,0.1125628,-0.3599018,0.1177954,0.3117914,4.447756,348.3497,0,0
2018/07/10 - 11:03:30.8258692,0.653856,0.01313129,-0.03734044,-0.07787064,11.58354,12.1762,358.2641,0.1160506,-0.3591371,0.1183692,0.08997487,4.948265,348.4451,0,0
2018/07/10 - 11:03:30.8378605,0.664098,0.01496977,-0.03774432,-0.07819008,11.74461,13.67527,358.3828,0.1198325,-0.358457,0.1188963,359.87,5.602416,348.5216,0,0
2018/07/10 - 11:03:30.8488301,0.675703,0.01686919,-0.03811425,-0.07859897,11.90302,15.16906,358.4268,0.1237974,-0.3578337,0.1194102,359.6913,6.409329,348.5853,0,0
2018/07/10 - 11:03:30.8597769,0.6868848,0.01889822,-0.03850927,-0.07917938,12.05571,16.88659,358.5178,0.1281948,-0.3572114,0.1198624,359.5176,7.447532,348.6165,0,0
2018/07/10 - 11:03:30.8707482,0.6978942,0.02091306,-0.03885464,-0.07964196,12.19838,18.66723,358.6134,0.1328494,-0.3564502,0.1202832,359.3078,8.590095,348.5667,0,0
2018/07/10 - 11:03:30.8817178,0.7091268,0.02306545,-0.0392342,-0.08026972,12.27201,20.59793,358.7127,0.1379751,-0.3556819,0.1205217,359.0796,9.923193,348.3771,0,0
2018/07/10 - 11:03:30.8927093,0.7199311,0.02526315,-0.03964198,-0.08101946,12.34366,22.54196,358.8416,0.1429918,-0.3550224,0.1206237,358.9424,11.15782,348.3052,0,0
2018/07/10 - 11:03:30.9036592,0.7310076,0.02754946,-0.03995676,-0.08193736,12.4544,24.60784,359.1054,0.1479926,-0.3543665,0.1205313,358.8787,12.20642,348.3472,0,0
2018/07/10 - 11:03:30.9146302,0.7419795,0.02980407,-0.04040475,-0.08277679,12.50702,26.69958,359.4827,0.1530488,-0.3536459,0.1202223,358.8613,12.99059,348.245,0,0
2018/07/10 - 11:03:30.9265984,0.7531459,0.03200183,-0.04080336,-0.08384702,12.62384,28.67755,359.8032,0.1581835,-0.3528953,0.1198033,358.7665,13.70468,347.9525,0,0
