Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:42:49.0008232,39.96601,0.01182249,-0.0419201,-0.05232958,1.868401,22.79471,359.1125,0.2133998,-0.3857582,0.1620556,344.1216,25.08302,0.2149484,0,0
2018/07/11 - 02:42:49.0167799,39.9822,0.01190672,-0.04199845,-0.0525539,1.924046,22.88682,359.0804,0.2123277,-0.3852864,0.1610518,344.2432,24.36711,0.1639219,0,0
2018/07/11 - 02:42:49.0347320,39.9992,0.01219741,-0.04213036,-0.05295894,1.988297,22.98043,359.0555,0.2100786,-0.3842414,0.1590605,344.0228,23.33751,0.516702,0,0
2018/07/11 - 02:42:49.0496918,40.01701,0.01230692,-0.04227048,-0.05319943,1.947135,23.10981,359.0814,0.2093948,-0.3837986,0.1580444,343.6525,23.02155,0.5163406,0,0
2018/07/11 - 02:42:49.0663198,40.03243,0.01250049,-0.04234868,-0.05354535,2.036631,23.25563,359.026,0.2079335,-0.3829446,0.1563532,343.0388,22.82188,0.7485319,0,0
2018/07/11 - 02:42:49.0892584,40.04902,0.01250713,-0.04248514,-0.05382232,2.014711,23.35585,359.0193,0.2077115,-0.3827424,0.1559608,342.8431,23.27803,0.7917411,0,0
2018/07/11 - 02:42:49.1092048,40.07178,0.01268282,-0.04261986,-0.05421308,2.055498,23.47047,358.9668,0.2074205,-0.3827839,0.1556761,342.9312,23.47238,0.8941727,0,0
2018/07/11 - 02:42:49.1281544,40.09228,0.01269688,-0.04269816,-0.0544496,2.084912,23.51263,358.9182,0.2055674,-0.3820517,0.1543812,342.7995,23.03618,1.081992,0,0
2018/07/11 - 02:42:49.1431142,40.1106,0.01265544,-0.0427536,-0.05456636,2.087367,23.51563,358.9373,0.2045208,-0.381458,0.1534891,342.9029,22.33425,0.7093869,0,0
2018/07/11 - 02:42:49.1620638,40.12669,0.01262076,-0.04280025,-0.05472285,2.100701,23.51853,358.9198,0.2043339,-0.3810776,0.153078,342.9732,22.14612,0.3069693,0,0
2018/07/11 - 02:42:49.1770238,40.1446,0.01258024,-0.04283254,-0.0548781,2.118486,23.51563,358.9161,0.2031838,-0.380134,0.1519687,343.0202,21.87706,359.6977,0,0
2018/07/11 - 02:42:49.1929803,40.16012,0.01252926,-0.0428853,-0.05506337,2.13038,23.48926,358.8941,0.2032239,-0.3802536,0.1521236,342.8415,22.04498,359.9267,0,0
2018/07/11 - 02:42:49.2109327,40.17601,0.01246207,-0.04294505,-0.05520716,2.126436,23.44593,358.8914,0.2022659,-0.379912,0.151668,342.6115,21.946,359.9923,0,0
2018/07/11 - 02:42:49.2268905,40.19297,0.01234652,-0.04296518,-0.0553773,2.162927,23.39741,358.8895,0.201251,-0.3796672,0.1514142,342.5818,21.6649,0.04024832,0,0
