Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 04:01:23.483044,240.0009,0,0,User missed,1.135968,0.3336852,-0.682824,349.1792,4.346894,359.3318,1.220714,0.05288924,-0.4284576,339.81,355.9245,2.21784
2018/06/21 - 04:01:25.336328,241.854,0,0,User missed,1.141502,0.3247049,-0.7050998,357.8621,324.8859,0.3805659,1.040029,0.110964,-0.4523816,339.085,316.7724,359.2144
2018/06/21 - 04:01:26.124267,242.6425,1,0,User hit user's target,1.210242,0.3549753,-0.7687586,332.8137,345.1113,356.8462,1.217871,0.1902283,-0.4214991,323.9645,354.8639,344.4629
