Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 01:08:12.7294041,0,0.04348639,-0.006035321,0.00126332,5.506937,30.20969,1.386866,0.1747278,-0.4166291,0.05448602,351.1024,18.59793,330.3781
2018/07/02 - 01:08:12.7403868,0.009104759,0.04333981,-0.006021768,0.001074246,5.509459,30.19345,1.372725,0.1747277,-0.4166315,0.05448389,351.079,18.58571,330.3841
2018/07/02 - 01:08:12.7493723,0.0226275,0.04326651,-0.00602735,0.0009958427,5.505902,30.1999,1.373527,0.1747271,-0.4166326,0.0544826,351.0594,18.57218,330.3958
2018/07/02 - 01:08:12.7603433,0.031949,0.04310186,-0.006020834,0.0008393773,5.482854,30.19789,1.374375,0.1747278,-0.4166312,0.05448417,351.0543,18.55202,330.4109
2018/07/02 - 01:08:12.7702946,0.04217191,0.0430241,-0.005989097,0.0007280689,5.492731,30.18489,1.376808,0.1747277,-0.4166297,0.05448547,351.0526,18.53932,330.4236
2018/07/02 - 01:08:12.7812647,0.05315258,0.04289884,-0.005960062,0.0006196145,5.477491,30.18636,1.373463,0.1747278,-0.4166296,0.05448563,351.0422,18.52478,330.4351
2018/07/02 - 01:08:12.7922596,0.06342128,0.04267135,-0.005918382,0.0004260354,5.434242,30.18794,1.384641,0.174728,-0.4166287,0.05448651,351.036,18.50954,330.4477
2018/07/02 - 01:08:12.8032070,0.07495888,0.04254951,-0.005892805,0.0003163293,5.418931,30.18379,1.383879,0.1747293,-0.4166257,0.05448985,351.0426,18.48864,330.4632
2018/07/02 - 01:08:12.8151741,0.08552198,0.04239893,-0.005864653,0.0001859181,5.408747,30.17768,1.39819,0.1747317,-0.4166221,0.05449424,351.0643,18.47669,330.4677
2018/07/02 - 01:08:12.8251473,0.09658627,0.04222707,-0.00582604,8.242764E-05,5.3933,30.18772,1.414452,0.1747313,-0.4166225,0.05449373,351.0641,18.48114,330.465
2018/07/02 - 01:08:12.8361180,0.1072728,0.0421394,-0.005790989,1.169369E-05,5.386943,30.17561,1.406346,0.1747308,-0.4166207,0.054495,351.0687,18.47754,330.473
2018/07/02 - 01:08:12.8470884,0.1181716,0.04199738,-0.005734758,-9.319E-05,5.373374,30.16032,1.403183,0.174732,-0.4166178,0.05449821,351.0753,18.45795,330.4879
2018/07/02 - 01:08:12.8590567,0.1293098,0.04188796,-0.005685002,-0.000161143,5.358653,30.16798,1.41881,0.1747306,-0.4166168,0.05449842,351.0691,18.45066,330.5016
2018/07/02 - 01:08:12.8750143,0.1411393,0.0416081,-0.005576783,-0.0003366731,5.311843,30.15176,1.439729,0.1747239,-0.4166152,0.05449646,351.0509,18.45428,330.5314
2018/07/02 - 01:08:12.8819954,0.1570067,0.0415933,-0.00554035,-0.0003604442,5.327594,30.1497,1.437884,0.1747206,-0.4166148,0.05449511,351.0388,18.45545,330.5464
2018/07/02 - 01:08:12.8909721,0.1650746,0.04135324,-0.005475384,-0.0004957691,5.263822,30.14077,1.471878,0.1747162,-0.4166139,0.05449367,351.0302,18.46319,330.5613
2018/07/02 - 01:08:12.9029392,0.1741481,0.04126319,-0.005436278,-0.0005756002,5.248158,30.12961,1.469412,0.1747119,-0.4166131,0.05449224,351.0231,18.47289,330.5748
2018/07/02 - 01:08:12.9139102,0.1853438,0.04113111,-0.0053796,-0.0006836522,5.22614,30.11735,1.469289,0.1747092,-0.4166134,0.05449066,351.0141,18.47869,330.5817
2018/07/02 - 01:08:12.9248804,0.1966402,0.04099524,-0.005357761,-0.0008211415,5.192316,30.10189,1.469905,0.1747051,-0.4166156,0.05448663,350.9971,18.49645,330.5826
2018/07/02 - 01:08:12.9378467,0.2074075,0.04084084,-0.005346197,-0.0009961645,5.174239,30.11183,1.481111,0.1746988,-0.4166168,0.05448239,350.9868,18.52824,330.5843
2018/07/02 - 01:08:12.9468244,0.2203241,0.04073834,-0.005338073,-0.001164729,5.166353,30.09197,1.484828,0.1746906,-0.4166159,0.05447907,350.9847,18.56625,330.5926
2018/07/02 - 01:08:12.9597870,0.2297048,0.04068696,-0.005320739,-0.001260632,5.17311,30.08893,1.470498,0.174683,-0.4166164,0.0544749,350.9791,18.60555,330.5951
2018/07/02 - 01:08:12.9687643,0.2409472,0.04054911,-0.00529281,-0.001394056,5.15035,30.09648,1.460309,0.1746736,-0.416616,0.05447054,350.9789,18.65642,330.598
2018/07/02 - 01:08:12.9807317,0.2516636,0.04049042,-0.005262083,-0.001484035,5.148428,30.08827,1.455706,0.1746728,-0.4166166,0.0544695,350.9931,18.68449,330.5789
2018/07/02 - 01:08:12.9917033,0.2631528,0.04043839,-0.005229084,-0.001569944,5.126138,30.08727,1.464686,0.1746736,-0.4166195,0.05446742,350.9998,18.70856,330.5512
2018/07/02 - 01:08:13.0026735,0.2736755,0.04044431,-0.005201702,-0.001592048,5.128719,30.09331,1.464125,0.1746681,-0.4166251,0.05445968,350.988,18.76553,330.5219
2018/07/02 - 01:08:13.0136436,0.2847256,0.04039576,-0.005159908,-0.001639187,5.104439,30.09481,1.456733,0.1746501,-0.4166282,0.05444808,350.9648,18.86059,330.5231
