Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:49.2080945,0.2896678,-0.006405582,-0.0396449,-0.1440301,8.758451,21.04846,1.063516,0.1162529,-0.6552961,-0.0197313,356.4445,350.3733,51.25319,0,0
2018/07/10 - 10:33:49.2190660,0.3000861,-0.006420458,-0.03964791,-0.1440439,8.768237,21.02973,1.050542,0.1162791,-0.6552629,-0.01971802,356.3912,350.5049,50.98651,0,0
2018/07/10 - 10:33:49.2310391,0.3107627,-0.006435256,-0.03962952,-0.1440136,8.766689,21.00352,1.045493,0.1163226,-0.6552,-0.01968697,356.3434,350.7444,50.52183,0,0
2018/07/10 - 10:33:49.2410129,0.3219835,-0.006465133,-0.03960627,-0.1439739,8.751781,20.98833,1.036269,0.116402,-0.6550859,-0.01962901,356.3564,351.0843,49.75204,0,0
2018/07/10 - 10:33:49.2529811,0.3331095,-0.006486921,-0.03957719,-0.143974,8.725984,20.96055,1.048374,0.1165108,-0.6549538,-0.0195729,356.3059,351.4739,48.78899,0,0
2018/07/10 - 10:33:49.2639507,0.344246,-0.006510651,-0.03954045,-0.1439814,8.719871,20.95253,1.06722,0.1166381,-0.654803,-0.01950672,356.2281,351.9745,47.64732,0,0
2018/07/10 - 10:33:49.2759195,0.355958,-0.00654725,-0.03950848,-0.1439862,8.690638,20.93184,1.050165,0.116787,-0.6546156,-0.0194089,356.2402,352.6113,46.28636,0,0
2018/07/10 - 10:33:49.2858918,0.3673406,-0.006571598,-0.03947529,-0.1440004,8.669841,20.90056,1.043172,0.1169357,-0.6544217,-0.01929433,356.3747,353.2426,44.94748,0,0
2018/07/10 - 10:33:49.2978868,0.3777797,-0.006600378,-0.03944659,-0.1440256,8.664091,20.8781,1.052495,0.1170879,-0.6542146,-0.01915597,356.6416,353.9,43.58766,0,0
2018/07/10 - 10:33:49.3088316,0.3889916,-0.006624673,-0.03941257,-0.1440494,8.662397,20.85388,1.074972,0.1172587,-0.6540076,-0.01902199,356.9085,354.5313,42.17905,0,0
