Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.3993651,0.0145079,-0.04538408,-0.48924,19.21734,345.0083,6.893682,-0.01687639,-0.4058161,-0.1749099,356.063,329.3526,347.4548
0.4106837,0.01322796,-0.04547122,-0.4898421,19.26168,344.4402,6.771333,-0.01842088,-0.4051998,-0.1764427,355.7795,328.9027,347.6849
0.4218769,0.01216677,-0.04553397,-0.4902974,19.08772,343.8062,6.742973,-0.02032453,-0.4049002,-0.1776622,356.027,328.5009,348.1416
0.4328809,0.01101101,-0.04547997,-0.4907916,19.03161,343.2235,6.682514,-0.02241476,-0.4046399,-0.1787198,356.2943,328.1231,348.4007
0.4442547,0.009773182,-0.04537507,-0.4912714,18.92592,342.5192,6.502523,-0.02455837,-0.4043861,-0.179882,356.4034,327.5901,348.5271
0.4550485,0.008495288,-0.04524313,-0.4917662,18.83443,341.8375,6.297884,-0.02717254,-0.4042637,-0.1812197,356.5316,326.7124,348.6364
0.4663426,0.007403423,-0.04521743,-0.4921649,18.68004,341.2368,6.200681,-0.02958347,-0.4041939,-0.1825699,356.573,325.7784,348.6598
0.4775164,0.006278761,-0.04510445,-0.4927854,18.91923,340.7581,6.186166,-0.03190032,-0.4040572,-0.1839108,356.4496,324.7457,348.5406
0.4886464,0.005052298,-0.04525992,-0.4932892,18.84408,340.0424,5.986916,-0.03409486,-0.4038022,-0.1852474,356.1986,323.9352,348.3802
0.4998552,0.003777134,-0.04525222,-0.4938787,18.92073,339.2124,5.899168,-0.03624339,-0.4034744,-0.1865198,355.7414,323.2603,348.1651
0.5108498,0.002629311,-0.04534973,-0.4945115,18.98162,338.4112,5.798852,-0.03844774,-0.40322,-0.1876239,355.3647,322.733,347.9884
0.5222148,0.001218213,-0.04527156,-0.4951096,18.9527,337.5679,5.688711,-0.04082197,-0.4031108,-0.1886645,355.106,322.2708,347.9518
0.5332962,-0.0001820866,-0.04524974,-0.4956841,18.82099,336.6592,5.513472,-0.04349673,-0.4032402,-0.1896217,355.0073,321.864,348.1246
0.544309,-0.001722238,-0.04510733,-0.4963156,18.65295,335.7051,5.241335,-0.04631506,-0.4034438,-0.1905824,354.9985,321.4717,348.4135
0.5553255,-0.003297244,-0.0449344,-0.4969456,18.43787,334.6445,4.974492,-0.04928089,-0.4037279,-0.1915871,354.9799,321.047,348.8294
0.5660325,-0.004824835,-0.04471361,-0.4976349,18.27897,333.4809,4.809565,-0.05222427,-0.4039705,-0.1926496,354.9918,320.4947,349.2042
0.5772109,-0.006299636,-0.04447784,-0.4983698,18.15869,332.4069,4.68947,-0.05524523,-0.404264,-0.1937744,355.1107,319.7963,349.4044
0.5883261,-0.007587285,-0.04434245,-0.4991467,18.03268,331.2773,4.535938,-0.05826349,-0.4045177,-0.1949622,355.1875,319.0013,349.4708
0.5995369,-0.008779555,-0.04430323,-0.499934,17.97937,330.2532,4.509281,-0.0613646,-0.4047265,-0.1963261,355.1456,318.1405,349.5251
0.6105073,-0.009939697,-0.04437507,-0.5007978,18.02229,329.2504,4.340154,-0.06443971,-0.4049109,-0.1977238,355.1574,317.2476,349.6317
0.6215332,-0.01103495,-0.04424952,-0.5016935,18.1517,328.1938,4.017869,-0.0675595,-0.4050905,-0.1991948,355.4626,316.3003,349.742
0.6328527,-0.01199398,-0.04404603,-0.5025643,18.2868,327.2614,3.694597,-0.07057489,-0.4053227,-0.2006607,355.7426,315.4064,349.7107
0.6438882,-0.01275341,-0.0438927,-0.5032694,18.31654,326.4752,3.41738,-0.07347303,-0.4055501,-0.2020538,355.8788,314.5288,349.672
0.654793,-0.01339493,-0.04357621,-0.5039229,18.38484,325.7092,3.047756,-0.07624986,-0.4056785,-0.203172,355.7801,314.0338,349.7725
0.6661946,-0.01395577,-0.04335388,-0.5044719,18.29365,325.1367,2.876025,-0.07902849,-0.4059152,-0.2040524,355.6511,313.9081,350.0738
0.677291,-0.01449387,-0.04293201,-0.5051029,18.30146,324.5476,2.679325,-0.08182152,-0.4062342,-0.2045592,355.6194,314.1701,350.4944
0.6881909,-0.01498778,-0.04238487,-0.5057046,18.2554,323.9114,2.345428,-0.08469096,-0.4065865,-0.2049595,355.7089,314.3706,350.8358
0.6995812,-0.0154468,-0.04191425,-0.5062897,18.06704,323.3712,2.150755,-0.08763889,-0.4069085,-0.2052395,355.8926,314.6018,351.1018
0.7104086,-0.01579366,-0.041394,-0.5068803,17.86406,322.7845,1.86822,-0.09050775,-0.4071486,-0.2056251,356.0502,314.6541,351.2197
