Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.008552379,-0.5268861,-0.2462334,0.5611163,44.50238,19.75385,299.0888,-0.3569658,-0.2097754,0.3582451,353.1045,122.2093,358.1212
0.02314379,-0.5299923,-0.2539691,0.5621329,43.7958,18.83277,296.5857,-0.3585079,-0.2116993,0.3597274,351.7955,123.3202,359.3228
0.03319519,-0.5321118,-0.2590957,0.5628631,43.34128,18.14113,294.8153,-0.3591759,-0.2131712,0.3602834,351.3739,123.5916,359.5123
0.04258867,-0.5341741,-0.2637444,0.5635684,42.93105,17.47246,293.0944,-0.3595179,-0.2145008,0.3605902,351.2475,123.8506,359.5081
0.05116153,-0.5358999,-0.267596,0.5641055,42.60946,16.89589,291.5925,-0.3595358,-0.215764,0.3607772,351.3645,124.1432,359.4107
0.05817137,-0.5373883,-0.2710518,0.5644981,42.35666,16.3646,290.2072,-0.3592995,-0.2169032,0.3608567,351.6369,124.4066,359.2966
0.06539255,-0.5387416,-0.2742381,0.5647907,42.16056,15.87879,288.9212,-0.3589041,-0.2181705,0.3608735,352.0308,124.6564,359.151
0.07181814,-0.5400058,-0.2770366,0.5650254,42.0214,15.44522,287.7863,-0.3584621,-0.2194095,0.3608685,352.4676,124.865,359.0036
0.07867722,-0.5412697,-0.2798114,0.5652051,41.90928,15.01261,286.6768,-0.3578702,-0.2207807,0.3609003,352.9987,125.0052,358.8867
0.08563899,-0.5427205,-0.2829164,0.5653707,41.81469,14.53288,285.4784,-0.3570462,-0.2223855,0.3609761,353.6843,125.066,358.8404
0.09220652,-0.5438154,-0.2853514,0.5653694,41.82667,14.15731,284.6517,-0.3562591,-0.2239494,0.3611516,354.3641,125.0122,358.8446
0.09911339,-0.5448161,-0.2874303,0.5652078,41.78574,14.10451,284.3507,-0.3554646,-0.225838,0.3615499,355.1181,124.8551,358.9298
0.1066167,-0.5454544,-0.289543,0.5648515,41.74005,14.30844,284.4521,-0.3547108,-0.227944,0.3621124,355.9094,124.6939,359.055
0.1121003,-0.5456084,-0.2909749,0.5644859,41.71634,14.52668,284.6412,-0.3542975,-0.2297549,0.3627853,356.4287,124.5929,359.2261
0.1189571,-0.5455897,-0.2923535,0.5640311,41.75764,14.856,285.0368,-0.3538896,-0.2319246,0.3636999,356.8815,124.4996,359.4515
0.1261279,-0.5452867,-0.2937496,0.5633563,41.80613,15.3736,285.7441,-0.353469,-0.2344855,0.3648863,357.1739,124.3324,359.6804
0.1333357,-0.544933,-0.2950276,0.5626385,41.87517,15.94404,286.542,-0.3529892,-0.237508,0.3663161,357.5905,123.9931,359.8914
0.1408123,-0.5443814,-0.2960797,0.561885,42.02861,16.58543,287.3601,-0.3526567,-0.240493,0.36774,357.9146,123.5882,359.9849
0.1478096,-0.5439182,-0.2968483,0.5611901,42.19592,17.17526,288.0674,-0.3524051,-0.2435616,0.3692013,358.1801,123.1746,0.05317958
0.1547401,-0.5434608,-0.2976407,0.5604041,42.36864,17.77764,288.7406,-0.3522483,-0.2466422,0.3706441,358.4012,122.7668,0.08476013
0.1611194,-0.5431436,-0.2983688,0.5596333,42.57488,18.34912,289.3191,-0.352203,-0.2495341,0.3719667,358.6237,122.399,0.09082361
0.1680959,-0.5428078,-0.2990732,0.5589123,42.81332,18.8234,289.712,-0.3521523,-0.2528518,0.373471,358.9408,122.0073,0.1078337
0.1758112,-0.5425189,-0.3000134,0.5580431,43.13093,19.34838,290.055,-0.3521489,-0.2563993,0.3750443,359.3809,121.7017,0.1413749
0.1826265,-0.5422368,-0.3009099,0.5572748,43.41223,19.70953,290.2203,-0.3521746,-0.2600092,0.3766485,359.8491,121.4457,0.1615483
0.1902524,-0.5421557,-0.301848,0.5565669,43.69362,20.00429,290.2638,-0.3522631,-0.2637783,0.3783184,0.4134791,121.253,0.1340498
0.1959856,-0.5421135,-0.3027268,0.5560036,43.92775,20.2109,290.2139,-0.3523892,-0.2667327,0.3796217,0.9448721,121.157,-0.004824637
0.2015775,-0.542133,-0.3035801,0.555545,44.12113,20.38793,290.1328,-0.3525663,-0.2697238,0.3809782,1.513047,121.0568,359.7546
0.2075935,-0.5421279,-0.3045685,0.5550799,44.27925,20.56503,290.0441,-0.3528306,-0.2727431,0.3823991,2.093858,120.9251,359.43
0.2133108,-0.5421,-0.3055907,0.5546845,44.38935,20.72377,289.9644,-0.3531568,-0.275715,0.3838837,2.675202,120.7633,359.0746
0.2190916,-0.5419773,-0.3067043,0.5543035,44.48252,20.84573,289.8896,-0.3535301,-0.2786277,0.3854362,3.269295,120.5705,358.7148
0.2268168,-0.5416556,-0.3081238,0.5538844,44.59039,20.94187,289.851,-0.3540918,-0.2822162,0.3874531,4.019448,120.3104,358.2868
0.2329318,-0.5413824,-0.3094162,0.5535857,44.68459,20.96233,289.8528,-0.3547253,-0.2853267,0.3893801,4.684132,120.0721,357.9271
0.239687,-0.5409495,-0.3109973,0.5532702,44.80257,20.91294,289.8998,-0.355486,-0.2885819,0.391456,5.370784,119.8216,357.5221
0.2465311,-0.5405419,-0.3120908,0.5530323,44.87078,20.85956,289.9574,-0.3563796,-0.2917883,0.3936049,6.034264,119.5889,357.0897
0.2521056,-0.5401053,-0.3133122,0.5528014,44.95646,20.75125,290.0004,-0.35711,-0.2941871,0.3952594,6.50266,119.4238,356.7782
0.2578127,-0.5397596,-0.3144583,0.5526202,45.04301,20.62119,290.0255,-0.357981,-0.2967571,0.3971074,6.957721,119.2606,356.4727
0.2643768,-0.5390959,-0.315875,0.5523083,45.15934,20.37302,289.9864,-0.3589769,-0.2994479,0.3990897,7.389289,119.1174,356.2124
0.2867042,-0.5370032,-0.3199022,0.551429,45.71429,18.95097,289.5149,-0.3626725,-0.3086187,0.4063236,8.935483,118.645,355.7581
0.2928183,-0.5365804,-0.3207995,0.5512739,45.89977,18.40508,289.2783,-0.3636738,-0.3110044,0.408297,9.402527,118.4753,355.688
0.2986221,-0.535941,-0.3216926,0.5510383,46.08402,17.83304,289.0052,-0.3646578,-0.3133216,0.4102569,9.905556,118.2633,355.5783
0.3044791,-0.5352659,-0.3225162,0.550832,46.28615,17.2254,288.6926,-0.3655781,-0.315476,0.4120883,10.3868,118.0546,355.4478
0.3112915,-0.5345202,-0.323303,0.5506418,46.49806,16.53904,288.3224,-0.3666633,-0.3179443,0.4142517,10.9931,117.7498,355.2235
0.3175633,-0.5336583,-0.3240354,0.55045,46.70711,15.80213,287.9047,-0.3676303,-0.3200861,0.4161659,11.53187,117.4549,354.9916
0.3231472,-0.5328225,-0.3246432,0.5502637,46.85801,15.1384,287.5113,-0.368545,-0.3220315,0.4179427,12.04384,117.16,354.7388
0.3293398,-0.5319247,-0.3252361,0.550089,47.00719,14.39847,287.0611,-0.3694372,-0.3238543,0.4196369,12.53971,116.8741,354.4649
0.335642,-0.5310397,-0.3257606,0.549927,47.14014,13.6019,286.5672,-0.370413,-0.3257875,0.4214574,13.0788,116.5876,354.1441
0.3416838,-0.529855,-0.3263142,0.5496959,47.27761,12.64992,285.9325,-0.3712575,-0.3273844,0.4229775,13.5306,116.3853,353.8481
0.3539815,-0.5281636,-0.327049,0.5494485,47.45974,11.10514,284.8598,-0.3729361,-0.3303367,0.425817,14.35908,116.1428,353.2539
0.3596328,-0.5271792,-0.3274423,0.5493243,47.54422,10.2176,284.227,-0.3737295,-0.3316233,0.4270867,14.71343,116.0949,352.9783
0.3654528,-0.5262417,-0.3278205,0.549226,47.60148,9.363626,283.6047,-0.3745016,-0.3328145,0.4283078,15.0333,116.0695,352.7166
0.3714361,-0.5253434,-0.3281985,0.5491539,47.63683,8.548503,282.9829,-0.3752407,-0.3339186,0.4294932,15.33429,116.0488,352.4654
0.3772101,-0.5245684,-0.3285624,0.5491033,47.64011,7.875595,282.4198,-0.3759462,-0.3349356,0.4306274,15.63958,116.0247,352.2225
0.3828406,-0.5240448,-0.3288568,0.549159,47.64327,7.301327,281.8693,-0.3765768,-0.335856,0.431677,15.97173,115.9828,351.9716
0.3892002,-0.5236375,-0.329152,0.5492037,47.64426,6.915734,281.3771,-0.3772371,-0.336868,0.4328097,16.39946,115.9078,351.6502
0.3947236,-0.5233057,-0.3293887,0.5492626,47.68584,6.676342,280.929,-0.377723,-0.337684,0.4336658,16.80948,115.8086,351.3211
0.4009586,-0.5230054,-0.3295854,0.5492995,47.749,6.603953,280.5659,-0.3781944,-0.3385684,0.4345206,17.31121,115.6517,350.8758
0.4084176,-0.5229479,-0.3296761,0.5494546,47.8514,6.676313,280.3657,-0.3785973,-0.3394914,0.4352968,17.90462,115.4144,350.3029
0.4139457,-0.5228744,-0.3297233,0.5496086,47.96408,6.809956,280.3494,-0.3787872,-0.3401625,0.4357367,18.38584,115.1734,349.8168
0.4201776,-0.5228673,-0.3297625,0.5497767,48.04993,6.974724,280.4344,-0.3789182,-0.3408292,0.436107,18.86173,114.887,349.3313
0.4270219,-0.5229412,-0.3297847,0.5499628,48.12141,7.134855,280.587,-0.3789711,-0.3414136,0.4363451,19.23194,114.5593,348.9048
0.4335081,-0.5229329,-0.329922,0.5501098,48.19902,7.328091,280.8129,-0.3789837,-0.341893,0.4364112,19.51411,114.2662,348.4835
0.4392291,-0.5230156,-0.3300848,0.5502332,48.26928,7.514855,281.0516,-0.3789523,-0.3422588,0.4363163,19.73861,114.0118,348.0681
0.4455563,-0.5232278,-0.3302921,0.5503861,48.35723,7.761746,281.3851,-0.3788849,-0.3425072,0.436122,19.91638,113.7645,347.6617
