Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 01:11:23.4123210,0,0.01153805,-0.06525753,-0.2947554,336.561,33.8758,352.5013,0.2608932,-0.4302919,-0.09371195,346.8655,15.81954,340.0273
2018/07/02 - 01:11:23.4232923,0.006737903,0.01143987,-0.06529318,-0.2949581,336.5648,33.89191,352.4936,0.2608754,-0.4301854,-0.09392148,346.8665,15.82693,340.01
2018/07/02 - 01:11:23.4372551,0.01890271,0.01123465,-0.06535099,-0.2953982,336.5673,33.9027,352.4975,0.2607817,-0.4298522,-0.09463042,346.7863,15.82941,339.9785
2018/07/02 - 01:11:23.4442356,0.03345428,0.01107287,-0.06537586,-0.2956614,336.5768,33.92574,352.5067,0.2607439,-0.4297014,-0.0948737,346.7403,15.81986,339.9925
2018/07/02 - 01:11:23.4562042,0.04069366,0.01097527,-0.06540065,-0.2959419,336.5539,33.94144,352.4831,0.260656,-0.429426,-0.09533769,346.657,15.80846,340.0508
2018/07/02 - 01:11:23.4681716,0.05307805,0.01083027,-0.06544438,-0.2962223,336.5372,33.97299,352.5,0.2606398,-0.4292335,-0.09545132,346.6294,15.79342,340.0912
2018/07/02 - 01:11:23.4781450,0.06404222,0.01083362,-0.06543362,-0.2963597,336.5529,33.96073,352.4935,0.2606338,-0.4288729,-0.09559742,346.5563,15.76983,340.1702
2018/07/02 - 01:11:23.4901124,0.07483856,0.01074706,-0.06544466,-0.2966027,336.5549,33.96379,352.5052,0.2607002,-0.4287264,-0.0955055,346.5721,15.78697,340.1605
2018/07/02 - 01:11:23.5000859,0.08577002,0.01061339,-0.06543491,-0.2968804,336.5708,33.96402,352.5294,0.260798,-0.4284898,-0.09548721,346.5638,15.82084,340.1429
2018/07/02 - 01:11:23.5120541,0.09671172,0.0105575,-0.06543154,-0.2970946,336.577,33.95895,352.5345,0.2608896,-0.4282256,-0.09567505,346.5344,15.86174,340.1125
