Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.009824424,0.06161916,-0.05673889,-0.1845414,37.30476,352.1396,0.1144109,0.08039407,-0.3815716,0.06362282,1.09548,344.0107,340.1409
0.02641151,0.06180009,-0.05679734,-0.185023,37.42842,352.2965,0.1952944,0.08011741,-0.3813948,0.06306899,0.802474,344.3189,340.6035
0.04008817,0.06236616,-0.05682275,-0.185847,37.57378,352.4783,0.2692551,0.07995272,-0.3811134,0.06256308,0.4946215,344.4705,340.8447
0.0538749,0.06254745,-0.05679122,-0.186252,37.64282,352.5478,0.3050808,0.07965514,-0.3806673,0.0618432,0.3134443,344.7535,341.1979
0.06475063,0.06265891,-0.05677519,-0.1866046,37.67759,352.6625,0.3616964,0.07980689,-0.3806636,0.06259935,0.8765357,344.941,340.8611
0.07719307,0.06319432,-0.05672113,-0.1872555,37.75229,352.8013,0.4930003,0.08013135,-0.3806998,0.06362777,1.615165,345.5426,340.4836
0.09356882,0.06320085,-0.05668269,-0.1873689,37.6799,352.7833,0.4711839,0.08049197,-0.3809832,0.06482135,2.259938,346.2795,340.372
0.1088679,0.06343856,-0.05652616,-0.1876994,37.67781,352.8538,0.5040433,0.08042774,-0.38112,0.06560389,2.652301,346.4357,340.6313
0.1242786,0.06378835,-0.05633892,-0.1881488,37.64012,352.9559,0.4611672,0.0807901,-0.3811333,0.06578439,3.086712,346.2394,340.429
0.1402791,0.06403846,-0.05629718,-0.1884195,37.58527,352.9758,0.5222715,0.08135968,-0.3810969,0.06622737,4.009106,346.4135,340.0255
0.1550003,0.0644798,-0.05619862,-0.1889032,37.50563,353.0699,0.5083168,0.08141378,-0.3809961,0.06678316,4.329506,345.8584,339.4212
0.176118,0.06496788,-0.05607642,-0.1894309,37.47869,353.1693,0.5702791,0.08078079,-0.3812134,0.06618144,4.54251,343.0404,338.3817
0.1963195,0.06524879,-0.05603169,-0.1898281,37.43957,353.1983,0.6221733,0.08055869,-0.3814853,0.06594907,4.533522,343.6301,339.1456
0.2203903,0.06569924,-0.05590682,-0.1904472,37.34148,353.1686,0.586924,0.0802405,-0.3821084,0.06573175,4.744269,343.6835,339.1748
0.2435828,0.06630389,-0.05564376,-0.1912221,37.1377,353.0443,0.5030566,0.07991767,-0.3829171,0.06573413,5.323431,343.0542,338.5955
0.2654338,0.06663505,-0.05531417,-0.1918781,36.99477,352.8535,0.390026,0.07936612,-0.3838499,0.0657822,6.109619,341.8152,337.5403
0.2880335,0.06704723,-0.05482794,-0.1928344,36.78318,352.5621,0.4112468,0.07815924,-0.3847691,0.06540436,6.53404,340.0667,336.4971
0.3102992,0.06713068,-0.0540884,-0.19361,36.41754,352.3548,0.4768423,0.0766171,-0.3851747,0.06419326,6.261651,339.1324,336.4424
0.3330966,0.06688007,-0.05324177,-0.1942555,35.98275,352.2085,0.662186,0.07466364,-0.3853285,0.06270225,5.896894,338.9854,336.9794
0.3556029,0.06676111,-0.05203696,-0.1947903,35.25994,352.6258,1.598174,0.07232916,-0.3855875,0.06138369,5.893077,338.4555,337.0236
0.378274,0.06628322,-0.05012866,-0.1955163,34.20583,353.5505,3.754074,0.06968597,-0.3855689,0.06014073,5.964561,337.0753,336.2526
0.4003651,0.06442308,-0.04772528,-0.1964585,32.69482,354.0695,6.092391,0.06665658,-0.3843669,0.05774877,5.041301,335.6541,336.1309
0.4232549,0.06196658,-0.04529088,-0.1978109,31.122,353.6121,6.996292,0.06371059,-0.382364,0.05437868,3.40067,334.8025,337.2468
0.4445183,0.06043154,-0.04346183,-0.199677,29.83626,352.6796,7.495497,0.0609029,-0.3811425,0.05205907,2.765435,334.0222,337.7841
0.4653962,0.05959991,-0.04221077,-0.2020815,29.2878,351.6208,7.311063,0.05807382,-0.3805844,0.05066922,2.706245,333.5379,337.5849
0.4881392,0.05922834,-0.04152121,-0.2045574,29.26177,350.2183,6.603862,0.05473718,-0.3807715,0.04980702,2.832103,333.1537,337.3749
