Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/11 - 02:49:46.0607487,4.532653,1,0,User hit user's target,-4.246,2.395585,0.8003193
2018/07/11 - 02:49:47.6482017,6.122266,0,0,User missed, , , 
2018/07/11 - 02:49:47.9476803,6.421916,1,0,User hit user's target,0.3115291,7.677933,4.103626
2018/07/11 - 02:49:48.5151617,6.988963,0,0,User missed, , , 
2018/07/11 - 02:49:48.9480088,7.422311,1,0,User hit user's target,0.6144997,4.748794,5.182651
2018/07/11 - 02:49:49.4039784,7.878128,0,0,User missed, , , 
2018/07/11 - 02:49:49.6493221,8.123185,1,0,User hit user's target,0.3655863,6.629299,4.681095
2018/07/11 - 02:49:50.7042115,9.177842,0,0,User missed, , , 
2018/07/11 - 02:49:50.9370961,9.410767,1,0,User hit user's target,-0.5959876,6.932313,3.686877
2018/07/11 - 02:49:53.4146732,11.88792,2,0,User hit user's target,1.922405,2.872472,4.49298
2018/07/11 - 02:49:54.5707525,13.04449,3,0,User hit user's target,1.98329,4.925159,4.392424
2018/07/11 - 02:49:55.2706445,13.74459,4,0,User hit user's target,2.69828,3.220494,4.827902
2018/07/11 - 02:49:56.1118379,14.58581,5,0,User hit user's target,-1.525368,4.297493,4.645789
2018/07/11 - 02:50:00.6150857,19.08878,6,0,User hit user's target,2.752307,5.768873,4.04792
