Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:55:59.1940836,95.38597,1,1,Peer hit peer's target,-3.738529,4.611721,-1.353781
2018/07/02 - 10:55:59.7603007,95.95277,1,2,Peer hit peer's target,-1.471213,5.228074,-4.378831
2018/07/02 - 10:56:00.8934872,97.08612,1,3,Peer hit peer's target,-1.175727,9.741196,0.3158275
2018/07/02 - 10:56:04.6040353,100.7977,2,2,Peer missed, , , 
2018/07/02 - 10:56:04.9162293,101.1087,2,3,Peer hit peer's target,0.5845337,6.369527,4.945696
2018/07/02 - 10:56:05.3051936,101.4984,2,4,Peer hit peer's target,-5.557549,7.259184,-0.7823906
2018/07/02 - 10:56:06.2611665,102.4535,2,3,Peer missed, , , 
2018/07/02 - 10:56:26.7693588,106.812,2,4,Peer hit peer's target,1.835793,2.849925,4.868661
2018/07/02 - 10:56:27.5921449,107.6348,2,5,Peer hit peer's target,-4.854619,3.455822,0.3304874
2018/07/02 - 10:56:30.8721724,110.9154,5,6,Peer hit peer's target,0.2617713,4.333216,-5.780781
2018/07/02 - 10:56:33.8087636,113.8509,5,7,Peer hit peer's target,1.656636,5.440814,-5.283862
2018/07/02 - 10:56:38.0841518,118.1276,5,8,Peer hit peer's target,-1.359877,8.822252,3.244864
2018/07/02 - 10:56:38.6389274,118.683,5,9,Peer hit peer's target,-2.37566,5.158132,-3.263877
2018/07/02 - 10:56:39.3949475,119.4388,5,10,Peer hit peer's target,-3.615993,6.691601,-1.222193
2018/07/02 - 10:56:40.4846266,120.5276,5,11,Peer hit peer's target,3.555563,7.882125,2.049764
2018/07/02 - 10:56:42.8850517,122.9279,6,10,Peer missed, , , 
2018/07/02 - 10:56:43.3955554,123.4392,6,9,Peer missed, , , 
2018/07/02 - 10:56:44.6395947,124.6832,7,8,Peer missed, , , 
2018/07/02 - 10:56:48.9846946,129.0273,6,7,Peer missed, , , 
2018/07/02 - 10:56:49.2848905,129.3277,6,8,Peer hit peer's target,-2.872323,2.380737,-1.963489
2018/07/02 - 10:56:49.5841148,129.6277,6,9,Peer hit peer's target,3.071469,7.760579,-0.6131758
2018/07/02 - 10:56:50.0398710,130.0833,6,10,Peer hit peer's target,-2.571146,8.415429,2.024095
2018/07/02 - 10:56:51.2072920,131.2502,5,11,Peer hit peer's target,3.851478,1.782825,0.1276797
2018/07/02 - 10:56:51.5071958,131.5509,5,10,Peer missed, , , 
2018/07/02 - 10:56:51.8171416,131.8612,4,9,Peer missed, , , 
2018/07/02 - 10:56:52.3180009,132.3613,4,8,Peer missed, , , 
2018/07/02 - 10:56:53.5735372,133.6171,4,7,Peer missed, , , 
