Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/10 - 10:34:44.9115935,46.00009,1,0,User hit user's target,-1.548125,4.726654,5.077184
2018/07/10 - 10:34:45.1217411,46.21187,0,0,User missed, , , 
2018/07/10 - 10:34:47.6784662,48.76651,1,0,User hit user's target,-2.530857,3.645959,3.275275
2018/07/10 - 10:34:49.0889578,50.179,2,0,User hit user's target,-2.492238,5.094424,4.350871
2018/07/10 - 10:34:49.4440912,50.53447,2,1,Peer hit peer's target,1.166562,3.292807,4.585361
2018/07/10 - 10:34:50.2999669,51.39058,3,1,User hit user's target,0.2196786,4.692761,5.391786
2018/07/10 - 10:34:51.5565315,52.64593,3,2,Peer hit peer's target,-4.19188,7.302963,-2.248492
2018/07/10 - 10:34:51.6572837,52.74643,4,2,User hit user's target,-0.6611142,5.329027,4.808627
2018/07/10 - 10:34:52.2893691,53.37925,5,2,User hit user's target,-1.068189,4.074053,5.107992
2018/07/10 - 10:34:52.2903664,53.37925,5,3,Peer hit peer's target,-3.379041,3.353661,-3.159073
2018/07/10 - 10:34:54.5563932,55.64589,6,3,User hit user's target,1.579494,5.689696,4.709536
2018/07/10 - 10:34:55.0889589,56.17912,6,4,Peer hit peer's target,2.357034,8.874301,1.050342
2018/07/10 - 10:34:55.1208741,56.21185,7,4,User hit user's target,1.762659,4.575197,5.044019
2018/07/10 - 10:34:57.8121022,58.90161,8,4,User hit user's target,-1.069089,3.3067,4.334791
2018/07/10 - 10:34:58.2572142,59.34721,8,5,Peer hit peer's target,-3.455316,7.913201,2.405921
2018/07/10 - 10:34:58.5434499,59.63414,9,5,User hit user's target,0.6978028,2.69761,3.861942
2018/07/10 - 10:34:58.6990318,59.79005,9,4,Peer missed, , , 
2018/07/10 - 10:34:59.9441307,61.03467,8,4,User missed, , , 
2018/07/10 - 10:35:00.2902236,61.37976,9,4,User hit user's target,1.941845,8.001124,2.81514
2018/07/10 - 10:35:00.9681833,62.05775,10,4,User hit user's target,0.9856587,5.266954,4.848631
2018/07/10 - 10:35:01.4997884,62.59065,11,3,Peer hit user's target,-4.256102,4.189701,-3.026587
2018/07/10 - 10:35:02.2223593,63.3132,11,4,Peer hit peer's target,-2.258561,7.220077,4.342898
2018/07/10 - 10:35:02.9117411,64.00184,11,5,Peer hit peer's target,-4.700612,5.76634,-3.002303
2018/07/10 - 10:35:03.4891960,64.5795,12,5,User hit user's target,2.06715,7.084969,4.609337
2018/07/10 - 10:35:03.8340914,64.92419,12,6,Peer hit peer's target,4.203877,3.462586,-0.6278551
2018/07/10 - 10:35:04.1442693,65.23504,12,7,Peer hit peer's target,4.458381,6.345178,1.407677
2018/07/10 - 10:35:04.1781883,65.26909,13,7,User hit user's target,-0.2916685,8.266412,3.912354
2018/07/10 - 10:35:05.1997643,66.29082,13,8,Peer hit peer's target,-2.773093,4.930918,-3.568699
2018/07/10 - 10:35:05.6570499,66.74659,14,8,User hit user's target,-3.504909,8.760331,1.350814
2018/07/10 - 10:35:06.5127968,67.60258,14,9,Peer hit peer's target,2.116191,7.400058,-2.954238
2018/07/10 - 10:35:07.0570685,68.14624,15,9,User hit user's target,-2.195383,3.189225,4.735713
2018/07/10 - 10:35:07.6894025,68.77949,15,10,Peer hit peer's target,1.453282,3.782516,5.301185
2018/07/10 - 10:35:07.7342528,68.82365,14,10,User missed, , , 
2018/07/10 - 10:35:07.9901497,69.07997,14,11,Peer hit peer's target,2.982101,8.268714,-1.671972
2018/07/10 - 10:35:08.5217272,69.61185,15,11,User hit user's target,-0.4590455,2.484286,4.4875
2018/07/10 - 10:35:09.5338955,70.62397,15,12,Peer hit peer's target,4.214892,4.117107,-2.685297
2018/07/10 - 10:35:09.6794863,70.76813,16,12,User hit user's target,3.294519,3.09776,3.860571
2018/07/10 - 10:35:09.8440472,70.93436,16,11,Peer missed, , , 
2018/07/10 - 10:35:10.2559439,71.34609,17,11,User hit user's target,4.548293,4.96864,1.9276
2018/07/10 - 10:35:10.6219643,71.71235,17,12,Peer hit peer's target,1.400429,3.792765,-5.492116
2018/07/10 - 10:35:11.7454516,72.83552,18,12,User hit user's target,-2.972315,2.665562,3.319134
2018/07/10 - 10:35:12.2128088,73.30238,18,13,Peer hit peer's target,-0.7207224,5.564677,5.006976
2018/07/10 - 10:35:12.9493192,74.03931,18,12,Peer missed, , , 
2018/07/10 - 10:35:12.9682677,74.0585,19,12,User hit user's target,1.267435,4.798251,4.365252
2018/07/10 - 10:35:13.4000325,74.49085,19,11,Peer missed, , , 
