Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:20.702242,0.6448516,0.8621311,0.2960863,-0.6968579,12.89392,261.1456,2.974785,0.6304854,-0.09932701,-0.5335996,2.302917,272.5229,348.3885
2018/06/21 - 03:57:20.725180,0.6671355,0.8663635,0.2969538,-0.6987971,12.30015,260.0151,2.563605,0.6336545,-0.1011626,-0.5421735,2.66351,270.6968,349.7279
2018/06/21 - 03:57:20.747122,0.6893404,0.8699064,0.2977765,-0.7002994,11.93586,259.2728,2.359977,0.6373887,-0.1026068,-0.5496238,2.568481,269.2264,350.645
2018/06/21 - 03:57:20.769064,0.7118514,0.8726084,0.2982703,-0.7015194,11.36651,258.5668,2.376193,0.6409288,-0.10415,-0.5566098,2.738705,267.9024,350.9767
2018/06/21 - 03:57:20.792002,0.7342044,0.8748354,0.2985727,-0.7030135,11.01818,258.1213,2.16303,0.6440157,-0.106163,-0.563473,3.201687,266.5735,351.1456
2018/06/21 - 03:57:20.813944,0.7560464,0.8769723,0.2986684,-0.7043674,10.91642,257.8047,1.732112,0.6471316,-0.1085038,-0.5704526,3.313477,265.4224,351.7195
2018/06/21 - 03:57:20.835973,0.7783101,0.8789373,0.2987694,-0.7055849,10.96021,257.4911,1.607262,0.6500278,-0.1109998,-0.5770481,3.105448,264.5501,352.2118
2018/06/21 - 03:57:20.858912,0.8007283,0.8802433,0.299071,-0.7067715,10.76435,257.0407,1.766543,0.6525654,-0.1133225,-0.5829694,2.954877,263.9498,352.3963
2018/06/21 - 03:57:20.880855,0.8230581,0.8809879,0.2994543,-0.7080473,10.29583,256.6347,1.733256,0.6551513,-0.1153988,-0.5886616,2.838123,263.3725,352.3217
2018/06/21 - 03:57:20.902797,0.8453275,0.8814383,0.2997876,-0.7095522,9.943083,256.3165,1.579321,0.6579914,-0.1174843,-0.5945421,2.941844,262.1523,352.1163
2018/06/21 - 03:57:20.925737,0.8674996,0.8818075,0.299861,-0.7111193,9.937989,255.6849,1.569189,0.6607988,-0.1195494,-0.6004894,3.161264,260.6258,351.8162
2018/06/21 - 03:57:20.947675,0.8899753,0.8821406,0.2996866,-0.71281,9.929191,254.8883,1.553393,0.6633421,-0.1216854,-0.6065083,3.349662,259.2617,351.8566
2018/06/21 - 03:57:20.969616,0.9116918,0.8822735,0.2997421,-0.7145318,9.698358,254.0588,1.363662,0.6656842,-0.1237708,-0.6124279,3.564493,258.091,352.1827
2018/06/21 - 03:57:20.992574,0.9343942,0.8825563,0.2999839,-0.7162405,9.605519,253.3576,1.270825,0.6679211,-0.1257601,-0.6181979,3.741236,257.0506,352.5402
2018/06/21 - 03:57:21.014536,0.9567159,0.8827187,0.3004599,-0.7177287,9.283074,252.5835,1.348873,0.669867,-0.1275331,-0.623907,3.882932,256.1071,352.7732
2018/06/21 - 03:57:21.036477,0.9787826,0.8829304,0.3007524,-0.7189585,8.781775,251.8146,1.371771,0.6716474,-0.129077,-0.6296625,3.945539,255.0268,353.0444
2018/06/21 - 03:57:21.059415,1.00148,0.8832912,0.3010363,-0.720168,8.497185,251.1551,1.372193,0.6733836,-0.1304608,-0.6355534,3.975885,253.9477,353.6081
2018/06/21 - 03:57:21.080360,1.023083,0.8834388,0.3012757,-0.7213172,8.243748,250.3616,1.303892,0.6751128,-0.1315981,-0.6412612,3.944401,252.9336,354.2914
2018/06/21 - 03:57:21.107311,1.048203,0.8835176,0.301184,-0.7225613,7.963667,249.5181,1.164739,0.6768314,-0.1325166,-0.6466816,3.670254,251.9666,354.9529
2018/06/21 - 03:57:21.125251,1.067509,0.8837368,0.3010609,-0.7237445,7.609255,248.5968,0.9781187,0.6782465,-0.1335563,-0.6519603,3.578913,251.0063,355.4679
2018/06/21 - 03:57:21.147181,1.089278,0.8840507,0.3011578,-0.7249789,7.413443,247.7919,0.8285317,0.6799865,-0.1351461,-0.657337,3.627075,250.0162,355.8491
2018/06/21 - 03:57:21.168125,1.110862,0.8846799,0.3009464,-0.7263983,7.25132,246.8726,0.6023969,0.6812494,-0.1367174,-0.6626774,3.898036,249.1299,356.3905
2018/06/21 - 03:57:21.191064,1.134099,0.8856728,0.3009006,-0.7279525,7.129685,245.8349,0.4791842,0.6830854,-0.1387046,-0.6682932,4.261945,248.0441,357.1862
2018/06/21 - 03:57:21.215000,1.157379,0.8867419,0.3010574,-0.729515,6.88353,244.7172,0.3306757,0.6852686,-0.1403553,-0.6737412,4.275083,246.9088,358.117
2018/06/21 - 03:57:21.237938,1.17935,0.8881436,0.3012876,-0.7310229,6.598422,243.6358,0.2885674,0.6877181,-0.1417794,-0.6787587,4.055872,246.0494,358.9066
2018/06/21 - 03:57:21.258882,1.201156,0.8897602,0.3014807,-0.7326738,6.410152,242.6896,0.249402,0.6900959,-0.1432023,-0.6835471,4.085793,245.1752,359.3838
2018/06/21 - 03:57:21.279887,1.222054,0.8915157,0.3014616,-0.7342037,6.342219,241.5852,0.3541754,0.6925381,-0.1445079,-0.6881503,4.313004,244.1116,359.619
2018/06/21 - 03:57:21.301828,1.244567,0.8934149,0.3016054,-0.735707,6.319631,240.3811,0.3692987,0.6951123,-0.145764,-0.6925172,4.706868,242.7858,359.5928
2018/06/21 - 03:57:21.325764,1.26764,0.8952015,0.3017575,-0.7372143,6.072437,239.43,0.4560131,0.6976577,-0.1463979,-0.6964011,4.808899,241.7148,359.3832
2018/06/21 - 03:57:21.347707,1.290099,0.8969674,0.301997,-0.7382888,6.005025,238.5322,0.3316642,0.6997893,-0.1464124,-0.6995745,4.610178,241.1681,359.0255
2018/06/21 - 03:57:21.369648,1.311806,0.8986247,0.3020381,-0.7391347,5.97824,237.909,0.2817228,0.7018143,-0.1465782,-0.7025272,4.612283,240.628,358.7689
2018/06/21 - 03:57:21.392586,1.334949,0.9001289,0.3022988,-0.739561,5.866558,237.4804,0.4233171,0.7039504,-0.1469098,-0.7052636,4.672896,240.0556,358.7857
2018/06/21 - 03:57:21.414527,1.356558,0.9015155,0.3028071,-0.7398697,5.738023,237.2276,0.5516305,0.7059762,-0.1472228,-0.7075821,4.744317,239.4816,358.7479
2018/06/21 - 03:57:21.436468,1.378713,0.9024915,0.3032368,-0.7399184,5.450141,237.2354,0.6884127,0.7079262,-0.1474531,-0.7093762,4.822753,238.8951,358.6713
2018/06/21 - 03:57:21.458410,1.400889,0.9032055,0.3036961,-0.7396364,5.181372,237.417,0.8005967,0.7095892,-0.1476342,-0.7105438,4.783334,238.4523,358.6459
2018/06/21 - 03:57:21.481349,1.423429,0.9038853,0.3045183,-0.7389659,4.769646,237.9227,0.7671237,0.7108945,-0.1477945,-0.7108766,4.578553,238.2036,358.6383
2018/06/21 - 03:57:21.502294,1.445018,0.904252,0.3055555,-0.7378156,4.294847,238.789,0.9215349,0.7115558,-0.1479902,-0.7104064,4.545325,238.0759,358.6115
2018/06/21 - 03:57:21.528823,1.470306,0.9044917,0.3069888,-0.7359087,3.658839,240.1023,0.9838822,0.7108271,-0.147834,-0.708401,4.363214,238.5048,358.6138
2018/06/21 - 03:57:21.549767,1.491763,0.9045966,0.3087333,-0.7335401,2.663608,241.7208,1.23702,0.7090069,-0.1474061,-0.7055753,4.424266,239.37,358.4904
2018/06/21 - 03:57:21.569736,1.511833,0.9047951,0.310963,-0.7309474,1.443855,243.6365,1.420301,0.7065188,-0.1461169,-0.7017342,4.184361,240.6826,358.381
2018/06/21 - 03:57:21.591674,1.534207,0.9048154,0.3138344,-0.7279059,359.9055,245.9254,1.662513,0.7028202,-0.1431823,-0.6963109,3.472981,242.74,358.2816
2018/06/21 - 03:57:21.613596,1.555919,0.9048904,0.3167224,-0.724396,358.0453,248.5081,1.599562,0.6991289,-0.1390667,-0.6902104,2.788509,244.5337,358.1076
2018/06/21 - 03:57:21.635785,1.578403,0.9053465,0.3196993,-0.7204056,356.4127,251.2412,1.621731,0.6950237,-0.1332083,-0.6831706,1.955119,246.2077,357.8967
2018/06/21 - 03:57:21.658724,1.600949,0.906028,0.3221549,-0.7166162,354.9787,253.8372,1.685313,0.6912186,-0.1261743,-0.6758909,1.00168,247.9608,357.8511
2018/06/21 - 03:57:21.681663,1.623667,0.9070311,0.3242681,-0.7132295,353.7264,256.2203,1.658801,0.6882456,-0.1162242,-0.667863,359.2677,250.2754,358.1965
2018/06/21 - 03:57:21.702607,1.645475,0.9080836,0.3264632,-0.7098869,352.4235,258.4466,1.562842,0.6867669,-0.1035739,-0.6595299,356.9811,252.6867,358.6165
2018/06/21 - 03:57:21.724548,1.667476,0.9089394,0.3284728,-0.7066976,351.1387,260.5655,1.506278,0.686664,-0.08927258,-0.6510794,354.1486,254.547,358.3087
2018/06/21 - 03:57:21.748483,1.690073,0.9098952,0.3302425,-0.7037251,349.9832,262.6201,1.544005,0.6876944,-0.07445549,-0.6426455,351.0852,255.8561,357.7577
2018/06/21 - 03:57:21.769428,1.711766,0.9109946,0.3316855,-0.7007547,349.0002,264.6498,1.522242,0.6894983,-0.06011766,-0.6343099,347.9732,257.225,357.3362
