Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:41.428602,21.37039,6,6,User hit user's target,1.059856,0.3185743,-0.7112989,357.7811,38.75184,358.493,1.364001,-0.08871911,-0.4258418,3.886312,36.00042,5.234516
2018/06/21 - 03:57:41.583199,21.52569,6,7,Peer hit peer's target,1.053643,0.316658,-0.7064098,358.4802,38.64105,359.1795,1.37928,-0.0911273,-0.430848,2.640398,40.23487,6.660787
2018/06/21 - 03:57:42.105833,22.04838,6,6,Peer missed,1.004219,0.3328926,-0.6999966,349.1814,6.760807,1.241256,1.234607,-0.07546381,-0.3729339,352.6124,10.84591,9.948207
2018/06/21 - 03:57:43.039162,22.98156,6,5,Peer missed,0.9629121,0.3205626,-0.6804079,357.1696,341.482,2.020927,0.9365475,-0.1436807,-0.3630198,1.75857,327.9725,3.521361
2018/06/21 - 03:57:43.439630,23.38162,6,4,Peer missed,0.9336303,0.3216064,-0.6912531,357.0318,306.6562,2.187076,0.7998099,-0.1366797,-0.4420119,356.1295,302.3769,3.852167
2018/06/21 - 03:57:44.163156,24.10507,7,4,User hit user's target,0.9598536,0.3456158,-0.6781592,338.1215,305.8558,354.5092,0.768328,-0.07941929,-0.4242899,344.3459,308.6072,355.1294
2018/06/21 - 03:57:44.617472,24.55982,8,4,User hit user's target,0.9725769,0.3426907,-0.6573871,341.6447,309.5611,353.2928,0.7788955,-0.1077428,-0.4405329,353.2673,297.4098,357.1053
2018/06/21 - 03:57:45.329634,25.27148,8,5,Peer hit peer's target,0.9684602,0.3450365,-0.6652176,340.4612,310.763,355.1402,0.7987833,0.02157427,-0.385882,335.3114,316.6425,349.6472
2018/06/21 - 03:57:45.487194,25.42853,9,5,User hit user's target,0.9680141,0.3441998,-0.6685703,341.2633,311.4326,355.046,0.7869873,-0.02806457,-0.3686742,346.9449,316.9735,350.1201
2018/06/21 - 03:57:46.230136,26.17149,10,5,User hit user's target,0.977834,0.3465314,-0.6578791,338.3356,316.3031,352.0703,0.8184987,0.03260321,-0.385252,332.8669,318.9759,347.819
2018/06/21 - 03:57:47.541351,27.48323,10,6,Peer hit peer's target,1.023742,0.3595319,-0.7372313,323.071,2.155618,351.6611,1.088189,0.1003674,-0.3615382,320.0488,359.2175,347.7937
2018/06/21 - 03:57:47.784701,27.7272,11,6,User hit user's target,1.032562,0.3580766,-0.7526982,325.6698,4.676306,351.4693,1.103433,0.07414167,-0.3746428,323.2423,0.5610775,347.9627
2018/06/21 - 03:57:48.505774,28.44807,11,7,Peer hit peer's target,1.00437,0.3480465,-0.714783,337.7729,341.9172,2.008908,0.9723097,0.0021177,-0.3872757,332.7887,331.4625,356.0241
2018/06/21 - 03:57:48.804986,28.74785,11,8,Peer hit peer's target,0.9720644,0.329208,-0.6832734,352.9134,327.8067,3.107758,0.8699088,-0.08449725,-0.3956034,346.9778,316.4124,356.1222
2018/06/21 - 03:57:49.439291,29.38165,12,8,User hit user's target,0.9891938,0.335106,-0.6612697,347.6828,348.6192,359.2353,1.072667,0.04300601,-0.254135,333.2283,6.274252,341.2376
2018/06/21 - 03:57:49.617836,29.55991,12,9,Peer hit peer's target,0.9998058,0.3356695,-0.6626478,348.0954,355.0601,358.6015,1.113613,0.01682207,-0.2636119,339.1592,8.937761,342.4302
2018/06/21 - 03:57:49.717475,29.65959,12,10,Peer hit peer's target,1.001905,0.3352036,-0.6640424,349.0122,355.8364,358.675,1.099813,-0.008520838,-0.276373,342.7227,4.180729,345.8609
2018/06/21 - 03:57:50.163104,30.10533,13,10,User hit user's target,0.977901,0.328272,-0.6702154,353.8269,335.7599,359.9104,0.8992983,-0.1543033,-0.3229265,7.926972,329.2601,354.5461
2018/06/21 - 03:57:50.705655,30.64843,14,10,User hit user's target,0.9612623,0.3217784,-0.6552129,358.1845,319.4177,359.9934,0.8188258,-0.1867794,-0.3277648,9.622883,321.3911,358.2519
2018/06/21 - 03:57:51.097606,31.03928,14,11,Peer hit peer's target,0.9683867,0.325121,-0.6408451,355.9407,321.7473,358.2315,0.8271926,-0.1488326,-0.3218097,0.2992955,321.0845,356.4865
2018/06/21 - 03:57:51.529763,31.47152,14,12,Peer hit peer's target,0.962982,0.3337269,-0.65966,349.4702,313.3798,1.865341,0.8009259,-0.07736492,-0.3880872,348.7158,309.6798,353.4981
2018/06/21 - 03:57:52.262805,32.20487,15,12,User hit user's target,0.972682,0.3455231,-0.6948406,341.0234,294.2747,3.045234,0.7552148,0.02114172,-0.494434,336.5103,289.637,354.033
2018/06/21 - 03:57:52.873907,32.81566,15,13,Peer hit peer's target,0.9822627,0.3492553,-0.6854576,338.2076,296.4072,0.09648246,0.7663581,0.01776223,-0.4712884,335.9625,293.1304,352.5946
2018/06/21 - 03:57:53.484331,33.42696,15,14,Peer hit peer's target,0.9730539,0.3466042,-0.6872243,339.8978,292.3207,1.259962,0.7616912,-0.01520842,-0.4985501,340.543,288.1999,353.6619
2018/06/21 - 03:57:53.919059,33.86119,16,14,User hit user's target,0.9597836,0.3390519,-0.686872,346.1745,288.5807,0.08212522,0.7469057,-0.1149642,-0.5327969,357.4913,282.5906,356.9978
2018/06/21 - 03:57:55.262325,35.20484,16,15,Peer hit peer's target,0.9668579,0.3474149,-0.6871102,338.37,302.3701,358.4553,0.7504608,-0.06629356,-0.512026,342.1005,286.6059,358.5927
2018/06/21 - 03:57:55.661814,35.60449,17,15,User hit user's target,0.956278,0.3432963,-0.6960912,341.7381,298.0639,0.2508184,0.7589297,-0.05672735,-0.5250635,343.4984,285.8252,358.3068
2018/06/21 - 03:57:56.249944,36.19225,16,15,User missed,0.9680622,0.3416005,-0.6898931,343.5398,314.1008,356.6817,0.7779067,-0.04257432,-0.3474538,346.9778,317.8174,354.2233
