Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:58:45.018748,84.9613,42,41,User missed,0.9671839,0.3246922,-0.6918609,353.1202,274.1321,0.7273926,0.7155438,-0.1508334,-0.5938545,358.1392,274.3201,354.6545
2018/06/21 - 03:58:45.399274,85.34211,41,41,User missed,0.9617329,0.3197092,-0.6645777,356.8391,280.5941,357.9354,0.7174662,-0.2238976,-0.5397487,14.32753,280.7638,352.9995
2018/06/21 - 03:58:45.941845,85.88426,42,41,User hit user's target,0.9594843,0.3086891,-0.6277213,4.506747,302.2069,357.6973,0.7585027,-0.2825667,-0.4076844,22.56231,304.0793,358.0966
2018/06/21 - 03:58:46.677613,86.6185,43,41,User hit user's target,1.02731,0.3471991,-0.6631836,336.007,322.3361,353.1674,0.8582603,0.01445262,-0.3165805,335.9979,321.4016,353.3202
2018/06/21 - 03:58:47.354941,87.29671,44,40,Peer hit user's target,1.007758,0.3395925,-0.6760339,343.3443,312.2996,0.5446152,0.8530695,-0.08911608,-0.4248452,352.1966,304.236,352.8334
2018/06/21 - 03:58:47.954098,87.89565,44,41,Peer hit peer's target,0.9737781,0.3263028,-0.6889061,352.7078,290.0885,2.820446,0.7978821,-0.09628195,-0.5291111,352.8819,282.8202,356.1513
2018/06/21 - 03:58:48.688521,88.62946,44,42,Peer hit peer's target,0.9950416,0.3426672,-0.6976429,336.0801,284.3098,359.8202,0.8094081,-0.01304137,-0.573254,334.1645,276.1328,355.5841
2018/06/21 - 03:58:48.786261,88.7286,44,43,Peer hit peer's target,0.9963432,0.342977,-0.7024194,336.074,282.5039,0.6414245,0.8086321,-0.01716264,-0.5830323,334.7456,274.3613,356.1134
2018/06/21 - 03:58:49.264003,89.20677,44,44,Peer hit peer's target,0.9914405,0.3407786,-0.7090101,338.2437,280.4892,1.897301,0.7954097,-0.05669517,-0.5811789,344.8012,275.9893,356.4744
2018/06/21 - 03:58:49.842224,89.78461,44,45,Peer hit peer's target,0.9869425,0.3397578,-0.7008822,339.377,284.036,0.4069617,0.7974651,-0.08092932,-0.571077,348.0912,276.6757,355.2672
2018/06/21 - 03:58:49.854193,89.79629,44,46,Peer hit peer's target,0.9868047,0.3396294,-0.700695,339.4731,284.0455,0.4309324,0.7974608,-0.08137994,-0.5713663,348.1111,276.5748,355.3322
2018/06/21 - 03:58:50.410706,90.35208,45,46,User hit user's target,0.9785594,0.3338747,-0.6943709,345.1034,286.7368,0.5613777,0.790938,-0.06884786,-0.5528213,345.0279,282.5176,353.9276
2018/06/21 - 03:58:50.977238,90.91837,45,47,Peer hit peer's target,0.9953676,0.3411608,-0.6910459,339.0315,304.005,358.616,0.8061174,-0.06125603,-0.4904747,343.0395,294.6556,355.4337
2018/06/21 - 03:58:51.954501,91.89578,46,47,User hit user's target,0.9758662,0.3243967,-0.7215557,353.0892,268.9854,2.475436,0.7827743,-0.182283,-0.690882,13.34835,253.7727,358.4838
2018/06/21 - 03:58:53.276455,93.21833,46,48,Peer hit peer's target,0.9986606,0.3348794,-0.6661844,344.855,326.8224,355.7288,0.9022666,-0.001335522,-0.3490716,338.1132,329.4135,350.7808
2018/06/21 - 03:58:54.021549,93.96385,46,49,Peer hit peer's target,0.9763712,0.3322778,-0.6876346,346.7255,305.8702,1.736342,0.8042006,-0.03482333,-0.4796113,342.1244,296.1351,356.0554
2018/06/21 - 03:58:55.211421,95.15293,47,49,User hit user's target,0.9583459,0.3175778,-0.6792396,357.0809,296.5233,2.076606,0.740356,-0.2466704,-0.4238721,13.9742,304.9986,357.5746
2018/06/21 - 03:58:56.442139,96.38491,46,49,User missed,0.9791965,0.3250921,-0.6705678,352.1669,310.7032,359.913,0.7788967,-0.1914085,-0.362889,5.027321,314.9477,357.3216
2018/06/21 - 03:58:56.642603,96.58481,46,50,Peer hit peer's target,0.978383,0.323037,-0.6738449,354.2744,307.4756,0.3938867,0.7601203,-0.2044249,-0.4193052,9.862843,304.0826,356.6253
2018/06/21 - 03:58:56.791733,96.73034,47,50,User hit user's target,0.9746633,0.3210534,-0.6803535,355.8638,302.0395,0.9501889,0.7287216,-0.2196639,-0.4905007,13.01589,292.4106,358.6621
2018/06/21 - 03:58:57.441981,97.38482,48,50,User hit user's target,0.9841868,0.3215892,-0.6714804,355.0253,319.951,359.1869,0.8241789,-0.1431924,-0.2905102,2.251819,325.4568,355.8637
2018/06/21 - 03:58:57.510809,97.45254,48,49,Peer missed,0.9876547,0.3204142,-0.6691598,355.778,322.0322,358.7843,0.834211,-0.1701363,-0.2951968,5.668929,325.525,357.639
2018/06/21 - 03:58:57.809911,97.75137,48,50,Peer hit peer's target,0.9962265,0.3211789,-0.6653201,355.2336,323.6191,358.5557,0.8233711,-0.1653838,-0.3278289,2.966095,321.9336,357.8432
2018/06/21 - 03:58:59.988051,99.92997,48,51,Peer hit peer's target,0.9649872,0.3233486,-0.7263719,352.8667,252.0948,1.952661,0.7919872,-0.09770551,-0.7568566,350.8402,239.7733,358.1488
2018/06/21 - 03:59:00.609393,100.551,49,51,User hit user's target,0.9446543,0.3092353,-0.6966285,3.164755,266.7195,358.3989,0.674529,-0.223364,-0.6234117,14.68268,272.8245,2.005006
2018/06/21 - 03:59:00.610412,100.551,49,50,Peer missed,0.9446543,0.3092353,-0.6966285,3.164755,266.7195,358.3989,0.674529,-0.223364,-0.6234117,14.68268,272.8245,2.005006
2018/06/21 - 03:59:01.376065,101.3177,49,49,Peer missed,0.9494163,0.3186361,-0.6886796,357.1576,268.5999,359.166,0.6736286,-0.1854229,-0.6383973,1.264009,266.3438,358.9786
2018/06/21 - 03:59:03.576909,103.5182,50,49,User hit user's target,0.971687,0.3170266,-0.6832709,359.0119,302.0311,358.3438,0.7562253,-0.1252064,-0.4894627,358.606,295.0608,357.4536
2018/06/21 - 03:59:04.620504,104.5632,50,50,Peer hit peer's target,0.9373154,0.2979016,-0.7197896,7.790232,275.0252,1.883253,0.7329016,-0.1288739,-0.5898058,355.8765,277.7154,352.1232
2018/06/21 - 03:59:05.554002,105.4956,50,51,Peer hit peer's target,0.9593278,0.3222483,-0.6845396,351.6024,301.113,0.8907354,0.7424492,0.003726376,-0.4358154,337.2444,304.6236,350.6278
2018/06/21 - 03:59:05.576941,105.5182,51,51,User hit user's target,0.9601581,0.322563,-0.6822178,351.504,302.3954,0.8091372,0.7431018,0.006382397,-0.4284431,337.4079,305.214,350.4352
2018/06/21 - 03:59:06.298013,106.2405,51,52,Peer hit peer's target,0.9494012,0.3137617,-0.6532432,357.5935,306.2767,0.9272508,0.7549006,-0.1145899,-0.4741988,355.2701,293.0801,354.9714
2018/06/21 - 03:59:08.055549,107.9968,52,52,User hit user's target,0.9969747,0.338194,-0.6696838,340.2213,296.7182,351.7307,0.7501141,-0.1104819,-0.5135289,355.1815,290.7458,350.5221
2018/06/21 - 03:59:08.878171,108.8203,52,53,Peer hit peer's target,0.970957,0.3310293,-0.6889913,347.4185,283.4995,0.09413464,0.7566631,-0.1244383,-0.5879362,350.5402,273.4352,357.5237
2018/06/21 - 03:59:09.056716,108.9973,52,52,Peer missed,0.9671878,0.328591,-0.694521,348.8764,279.0185,1.026217,0.7520002,-0.0762875,-0.5911986,341.6656,275.0846,355.7084
2018/06/21 - 03:59:09.131493,109.0735,53,52,User hit user's target,0.968182,0.3285295,-0.6936099,349.1335,279.805,0.3697323,0.7477766,-0.0735845,-0.5959483,343.1283,273.234,358.4572
2018/06/21 - 03:59:09.531988,109.4735,54,52,User hit user's target,0.9753028,0.3262561,-0.6862453,351.5357,284.0641,357.7956,0.7379348,-0.1160393,-0.5478079,354.1753,285.6671,358.4069
2018/06/21 - 03:59:10.842221,110.7851,55,52,User hit user's target,1.016161,0.3362669,-0.6519486,341.8481,245.6671,353.6697,0.6885617,0.02850449,-0.68845,327.529,259.3593,347.2873
2018/06/21 - 03:59:12.443226,112.3855,56,51,Peer hit user's target,0.9679461,0.3037353,-0.7014709,1.953684,325.9277,1.158188,0.903264,-0.1099307,-0.3876937,357.3668,329.8938,352.7784
2018/06/21 - 03:59:12.987770,112.93,56,52,Peer hit peer's target,1.003945,0.3336409,-0.7495535,338.4163,337.8206,2.992658,0.9520045,0.03255241,-0.4007774,327.0101,335.8045,354.3182
2018/06/21 - 03:59:13.144178,113.0864,56,53,Peer hit peer's target,1.004155,0.3325336,-0.7499828,339.9761,335.4011,3.877004,0.9437354,0.02584621,-0.3992699,328.4367,332.2869,355.8033
2018/06/21 - 03:59:14.432535,114.3746,56,54,Peer hit peer's target,1.000796,0.3055713,-0.7199944,0.6422824,327.455,7.401066,0.946481,-0.01228009,-0.3842823,343.9227,324.8079,358.1751
2018/06/21 - 03:59:15.177439,115.1193,57,54,User hit user's target,1.016768,0.2936956,-0.6933635,10.30019,327.5026,6.167211,0.940868,-0.2565643,-0.3413332,20.89147,332.7169,6.313323
2018/06/21 - 03:59:15.754896,115.6964,58,54,User hit user's target,0.9910635,0.2975817,-0.6941624,10.5326,300.7726,2.46665,0.7247804,-0.2204459,-0.5272781,17.95123,292.5432,358.6898
2018/06/21 - 03:59:16.333443,116.2751,59,54,User hit user's target,0.9951816,0.2978489,-0.6791356,9.660952,315.8598,2.831546,0.7832893,-0.2516644,-0.3373727,19.95997,320.0984,6.296311
2018/06/21 - 03:59:17.421045,117.3639,59,55,Peer hit peer's target,1.040563,0.3450853,-0.7373894,337.2079,273.9077,3.397999,0.6805556,0.004187634,-0.5975919,342.7324,282.1229,354.0129
2018/06/21 - 03:59:17.532825,117.475,59,56,Peer hit peer's target,1.047036,0.3460456,-0.7264534,336.9839,278.2902,1.338402,0.6958904,0.0695388,-0.5603429,333.6481,287.0367,351.8743
2018/06/21 - 03:59:17.644129,117.587,60,56,User hit user's target,1.05377,0.3476161,-0.7158583,336.4514,281.9439,359.4638,0.7119799,0.1010927,-0.5273522,328.7044,292.9582,350.1959
2018/06/21 - 03:59:18.043753,117.9859,60,57,Peer hit peer's target,1.066234,0.3477067,-0.696829,337.3596,275.1942,359.4088,0.7102978,0.05030597,-0.5995387,337.4131,277.2545,352.042
2018/06/21 - 03:59:18.354943,118.2969,60,58,Peer hit peer's target,1.059852,0.3386417,-0.7083548,343.091,243.681,5.071243,0.7407857,0.003098147,-0.7663984,343.703,247.656,354.2184
2018/06/21 - 03:59:18.565381,118.5078,61,58,User hit user's target,1.04915,0.3324126,-0.6997896,348.0358,243.7847,2.159603,0.7012926,-0.08078796,-0.7579734,359.3102,248.9416,357.2069
2018/06/21 - 03:59:19.321405,119.2639,62,58,User hit user's target,1.038792,0.3385633,-0.6791906,343.4851,228.1266,359.3927,0.7812431,-0.05879214,-0.839898,354.7594,225.8597,357.676
2018/06/21 - 03:59:19.487966,119.4301,62,59,Peer hit peer's target,1.03018,0.3367442,-0.679206,344.0462,230.1357,358.6554,0.7851646,-0.1116237,-0.8303671,4.34865,224.3936,356.2232
2018/06/21 - 03:59:19.741271,119.6843,61,59,User missed,1.021656,0.3392621,-0.6615127,340.9231,238.4238,355.1173,0.7300192,0.0420868,-0.8003883,334.9445,240.4998,353.9037
2018/06/21 - 03:59:20.032491,119.9739,62,59,User hit user's target,1.028075,0.3476338,-0.6445836,333.7597,251.9316,351.6272,0.6943392,0.1521714,-0.7183923,317.446,255.2972,351.7385
