Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.6101103,0,1,Peer hit peer's target,-0.006516397,-0.01491072,-0.04231596,7.49814,301.1099,358.5119,-0.2335757,-0.3554823,0.1984158,355.0355,292.8136,338.1105
0.6881282,0,2,Peer hit peer's target,-0.005517832,-0.01352716,-0.04595793,6.965208,297.6741,358.7359,-0.2511757,-0.3573658,0.1812508,354.7443,290.2385,340.5565
1.398582,-1,2,User missed,0.0009365492,-0.01320539,-0.05346749,7.598851,323.7874,358.9413,-0.1681115,-0.423494,0.2330017,12.49491,315.8094,352.3598
1.677044,-2,2,User missed,0.006580409,-0.01946664,-0.04639283,12.09996,338.0792,359.1793,-0.1055661,-0.4808642,0.2841819,21.79186,328.0468,355.8566
1.932477,-2,1,Peer missed,0.01951937,-0.02028295,-0.04248413,12.70178,348.4443,0.00679269,-0.04710384,-0.4692796,0.3075633,17.57882,343.5714,359.6777
2.066069,-1,1,User hit user's target,0.02704825,-0.01995346,-0.04145184,12.45134,355.1972,359.4938,0.009618116,-0.4901955,0.3377226,23.3917,352.5806,357.9122
3.187449,-2,1,User missed,-0.01071954,-0.009182292,-0.05670349,6.565238,332.9917,359.9743,-0.1229247,-0.423129,0.3102216,13.89788,336.3333,352.6921
3.454233,-2,0,Peer missed,0.0002242588,-0.01007834,-0.04622535,7.39851,346.4181,359.9708,-0.047981,-0.4127799,0.3568819,7.605442,349.4948,354.2386
3.498415,-1,0,User hit user's target,0.002149019,-0.008915042,-0.0452365,6.657949,348.5445,359.6579,-0.03337811,-0.4014767,0.3613503,4.790766,349.5004,353.8808
4.899038,-2,1,User hit peer's target,0.003515895,0.004787102,-0.07538745,355.2854,324.2909,359.3709,-0.1029327,-0.2355326,0.1943408,338.3674,317.2545,353.2272
5.310225,-1,1,User hit user's target,0.02398722,0.006654088,-0.07509459,354.3485,344.1713,354.8839,-0.0003264123,-0.2267167,0.2493451,338.1226,337.7396,350.55
5.788424,0,1,User hit user's target,0.04757183,0.005844515,-0.0870391,354.9429,10.54438,354.7469,0.179939,-0.2805816,0.3053568,351.5883,8.214878,350.3265
6.089075,0,2,Peer hit peer's target,0.05809234,-0.0004209762,-0.09226515,358.6342,28.69899,353.9975,0.3005114,-0.3007284,0.2594824,353.2559,27.88992,352.2704
6.302547,1,2,User hit user's target,0.05754574,0.000294531,-0.1021329,357.8499,42.0114,354.8899,0.4114107,-0.3368627,0.1808522,358.0717,42.95766,354.7026
6.667001,1,1,Peer missed,0.04070783,0.01154724,-0.1040871,350.1919,48.20483,357.0916,0.3652301,-0.2506926,0.1364788,342.1941,29.36159,349.0104
7.444573,1,0,Peer missed,-0.008833043,0.01150146,-0.08987439,349.3299,1.170737,3.191305,0.04249125,-0.3035448,0.2430663,345.9569,342.65,14.4862
8.678087,1,1,Peer hit peer's target,-0.03495207,-0.01426848,-0.08657294,4.166008,282.8914,0.1926362,-0.2428617,-0.4104186,0.05051611,355.7942,271.8837,355.9241
8.789689,1,2,Peer hit peer's target,-0.03199822,-0.01212674,-0.08681517,2.671029,278.3411,0.08679377,-0.2469784,-0.4039257,0.03094539,354.7373,266.5685,355.76
9.156081,2,2,User hit user's target,-0.0229222,-0.005842229,-0.06443911,358.7689,283.1625,357.6298,-0.242117,-0.3651916,0.0805085,352.3813,281.3485,353.945
10.55613,2,3,Peer hit peer's target,-0.03221092,-0.008846095,-0.08136765,0.9624157,235.1681,358.0797,-0.2362448,-0.3832323,-0.1060755,353.57,223.9068,1.33085
12.4007,3,3,User hit user's target,-0.006189134,0.006726828,-0.1017326,354.0538,272.2286,0.4469616,-0.3085323,-0.3276325,-0.05755001,356.2824,258.0168,359.6718
13.0786,4,3,User hit user's target,0.03399945,0.03151957,-0.07021885,334.2793,280.0393,356.4312,-0.3341949,-0.08021852,0.02897603,324.4428,276.2615,353.1236
14.59407,4,4,Peer hit peer's target,-0.002230419,-0.008058473,-0.1193078,5.147167,236.0586,2.856335,-0.2589246,-0.3810231,-0.1640481,339.7686,242.1436,345.9099
16.5449,5,4,User hit user's target,-0.004079638,0.01133274,-0.08708405,352.2809,215.935,357.8481,-0.2263248,-0.3705471,-0.2698027,356.0819,213.3157,354.7821
17.16786,4,4,User missed,0.004234014,0.03460405,-0.04455996,334.1089,235.8884,353.9573,-0.280108,-0.1228878,-0.1735166,327.1755,234.3152,351.6292
17.41253,5,4,User hit user's target,0.008604203,0.03131023,-0.03034576,335.8982,247.4553,351.2433,-0.3280285,-0.2073343,-0.1534357,344.5168,242.4768,349.8414
17.75669,4,4,User missed,0.009346469,0.02682733,-0.02717511,341.3004,257.1138,350.1937,-0.3438584,-0.2028235,-0.1195867,344.1846,248.2665,354.429
18.13415,5,4,User hit user's target,0.008892199,0.02297679,-0.05053106,346.3003,248.9453,352.841,-0.331566,-0.3488798,-0.1778734,5.992741,240.3438,1.064207
18.71378,4,5,User hit peer's target,0.003622684,0.03011693,-0.05770552,342.5733,256.7001,358.7623,-0.3653329,-0.1131971,-0.1133035,335.3742,254.7687,355.6238
19.07887,3,5,User missed,0.04121063,0.03959953,-0.0544375,329.9597,245.1894,359.7759,-0.2768437,-0.01181698,-0.1405932,315.8006,247.5972,353.3342
19.40158,2,5,User missed,0.06783336,0.04109682,-0.04628853,324.1641,235.4799,2.199944,-0.1947752,0.001534349,-0.1874207,315.4392,223.0949,8.008248
19.67935,3,5,User hit user's target,0.07011855,0.03610241,-0.05718786,329.4987,225.4842,4.49003,-0.1857227,-0.06982956,-0.2771952,331.2372,212.9605,9.995984
19.93485,3,6,Peer hit peer's target,0.05251592,0.03004554,-0.07658527,338.0173,222.7883,3.328366,-0.1895312,-0.1250082,-0.2942569,339.5432,213.8379,7.377153
20.25625,4,6,User hit user's target,0.02303462,0.004359044,-0.1225125,357.6618,220.6896,2.066246,-0.2258514,-0.3952967,-0.2824252,18.24495,215.7015,9.909346
20.77863,3,6,User missed,0.006725176,0.0125333,-0.112796,355.4081,244.6103,358.6732,-0.3354766,-0.2352971,-0.1629665,344.1591,248.134,359.8613
21.04544,2,6,User missed,0.0009207635,0.013556,-0.07096224,356.5009,266.627,354.4256,-0.379791,-0.2938605,-0.05248116,356.4099,258.3517,359.3797
21.31264,3,6,User hit user's target,-0.008444576,0.0105837,-0.03526819,359.5444,291.0887,354.3676,-0.3765173,-0.3111601,0.08249235,351.9548,280.2447,3.768504
21.96703,4,6,User hit user's target,0.02681999,0.0161454,-0.05497697,353.7066,354.4448,353.5156,-0.0174724,-0.2037781,0.4311449,344.5634,353.6915,352.686
22.66737,4,7,Peer hit peer's target,-0.003216145,-0.01564108,-0.09330061,14.25503,336.9999,0.6143098,-0.1168055,-0.4795556,0.1761091,21.97589,327.4489,358.5767
22.78872,5,7,User hit user's target,-0.006139258,-0.01726215,-0.1102254,15.31932,327.6957,0.3240453,-0.1422119,-0.477399,0.1295566,20.63744,318.0416,356.9427
23.27774,4,7,User missed,0.05919835,-0.003582997,-0.205398,4.039279,351.5872,0.4986248,0.04272934,-0.3088357,0.2039143,359.0677,352.493,3.655984
23.58931,3,7,User missed,0.07647492,-0.01462596,-0.23412,9.017791,1.865622,0.9831235,0.1038574,-0.4154884,0.1251822,17.93898,350.7097,359.9757
24.44498,4,7,User hit user's target,0.08027462,-0.001728423,-0.2501622,354.8579,59.67116,0.917318,0.5285472,-0.1904497,-0.07843201,346.6568,65.3989,0.6239341
25.02278,4,8,Peer hit peer's target,0.03574279,-0.001226735,-0.2538247,355.8366,27.83113,4.798419,0.3036049,-0.3002014,0.04300535,350.6337,30.52789,1.774084
25.2118,4,7,Peer missed,0.04109827,-0.005175641,-0.2604274,0.02243301,20.24342,4.388847,0.2066272,-0.314277,0.07462581,351.1456,13.85954,0.6678993
25.86773,3,7,User missed,0.04770551,-0.003489266,-0.2629556,0.3667598,339.7704,5.820628,0.04024198,-0.3724525,0.06277493,5.347247,339.8588,5.196498
26.09006,3,6,Peer missed,0.05430801,-0.006360942,-0.2595947,2.775848,339.2312,4.924635,0.06309662,-0.4583966,0.07108419,19.45735,347.1125,5.390364
26.1012,3,5,Peer missed,0.05489136,-0.006732816,-0.259176,3.057695,339.506,4.837954,0.06517836,-0.4625035,0.07104426,20.20722,347.3575,5.385077
26.15655,4,5,User hit user's target,0.05745871,-0.007566107,-0.2569904,3.40917,340.191,3.909759,0.07351588,-0.4818124,0.06755797,23.80903,346.4639,5.660411
26.17822,4,4,Peer missed,0.05851418,-0.007707092,-0.2560879,3.610854,340.986,3.774824,0.07842192,-0.4883773,0.06676455,25.29924,347.5225,5.427898
26.57923,5,4,User hit user's target,0.07792559,-0.01792719,-0.2289446,9.499927,358.4484,2.412052,0.1315318,-0.4658692,0.07895306,21.46324,354.0952,2.790685
