Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:41:41.6117008,0,0.005736765,-0.03930896,-0.02057218,6.103289,4.119175,356.6889,0.08840749,-0.4769951,0.2565545,332.8568,7.463908,357.3589,0,0
2018/07/11 - 02:41:41.6356393,0.01598972,0.005655658,-0.03930485,-0.02052697,6.084348,4.120682,356.6868,0.08840968,-0.4770117,0.2565431,332.7801,7.480242,357.3272,0,0
2018/07/11 - 02:41:41.6566085,0.0434007,0.005609665,-0.03930526,-0.02053543,6.068347,4.111662,356.6794,0.0883926,-0.4770368,0.2565239,332.6442,7.499218,357.3761,0,0
2018/07/11 - 02:41:41.6805162,0.06364086,0.005566266,-0.03929511,-0.02056866,6.069023,4.106703,356.6736,0.08839443,-0.4770486,0.2565159,332.5872,7.496035,357.3659,0,0
2018/07/11 - 02:41:41.7164201,0.08768773,0.005500372,-0.03929591,-0.02061018,6.064528,4.106189,356.6793,0.08840168,-0.4770458,0.2565184,332.6087,7.504419,357.3268,0,0
2018/07/11 - 02:41:41.7393591,0.1236238,0.005454507,-0.03931609,-0.02064529,6.061642,4.094276,356.6909,0.08841876,-0.4770392,0.2565246,332.6565,7.502751,357.2544,0,0
2018/07/11 - 02:41:41.7573112,0.146784,0.005408539,-0.03933515,-0.02066566,6.061322,4.094646,356.6788,0.08842485,-0.477035,0.2565282,332.6943,7.563627,357.1731,0,0
2018/07/11 - 02:41:41.7762608,0.1654734,0.005390611,-0.03934596,-0.02068958,6.052814,4.101819,356.6908,0.088431,-0.4770276,0.256534,332.7445,7.605892,357.11,0,0
2018/07/11 - 02:41:41.7922173,0.1834659,0.005371409,-0.03934394,-0.02072172,6.026526,4.090175,356.6966,0.08844336,-0.477011,0.2565468,332.8412,7.623789,357.0452,0,0
2018/07/11 - 02:41:41.8151562,0.2004543,0.005343217,-0.03932286,-0.02073033,6.023167,4.099809,356.6848,0.08845933,-0.4769758,0.2565731,333.0173,7.556574,357.0498,0,0
2018/07/11 - 02:41:41.8311135,0.2224893,0.005344081,-0.03930802,-0.02075029,6.024696,4.106735,356.6914,0.08847505,-0.4769557,0.2565889,333.1262,7.527459,357.0143,0,0
2018/07/11 - 02:41:41.8470703,0.2388744,0.00535395,-0.03930553,-0.02079051,6.021524,4.116414,356.6887,0.08849951,-0.4769445,0.2565993,333.2024,7.51501,356.9205,0,0
2018/07/11 - 02:41:41.8660199,0.2549947,0.005376738,-0.03931237,-0.02085195,6.020635,4.138134,356.6899,0.08854662,-0.4769349,0.256611,333.3116,7.600619,356.6351,0,0
2018/07/11 - 02:41:41.8879622,0.2739338,0.005369686,-0.03935215,-0.02095732,6.031602,4.177313,356.6849,0.08862139,-0.4768547,0.2566768,333.7923,7.633691,356.3043,0,0
2018/07/11 - 02:41:41.9099027,0.2963374,0.00532385,-0.03942407,-0.02115464,6.103233,4.186947,356.6799,0.08869534,-0.4767702,0.256747,334.2728,7.542269,356.0918,0,0
2018/07/11 - 02:41:41.9328409,0.3183733,0.005244572,-0.03944859,-0.02131183,6.1452,4.189288,356.6804,0.08874645,-0.4767104,0.2567975,334.6161,7.486974,355.9382,0,0
2018/07/11 - 02:41:41.9567959,0.3406628,0.005145989,-0.03942882,-0.02146139,6.163598,4.199591,356.711,0.08885594,-0.4766988,0.2568203,334.7685,7.37533,355.5506,0,0
2018/07/11 - 02:41:41.9787415,0.3645248,0.004978206,-0.03939658,-0.02167266,6.237313,4.257499,356.6986,0.08891997,-0.4767114,0.2568197,334.7476,7.249475,355.3692,0,0
2018/07/11 - 02:41:41.9996840,0.3871039,0.004825301,-0.03948856,-0.02199416,6.42605,4.323922,356.6484,0.0889159,-0.4767253,0.2568087,334.6451,7.123277,355.4944,0,0
2018/07/11 - 02:41:42.0226011,0.4080925,0.00488015,-0.03986937,-0.02246261,6.893055,4.906173,356.6296,0.08909366,-0.4766278,0.2569083,335.4299,7.495334,354.4052,0,0
2018/07/11 - 02:41:42.0465370,0.4306946,0.005794171,-0.04026383,-0.02250014,7.328512,5.871167,356.9678,0.08956943,-0.4764144,0.2571596,337.182,7.578968,352.2852,0,0
2018/07/11 - 02:41:42.0694771,0.4539587,0.007194064,-0.04053326,-0.02213079,7.527668,7.223113,357.3351,0.08978184,-0.4763565,0.2572514,337.6472,7.042576,351.8166,0,0
2018/07/11 - 02:41:42.0904198,0.4771707,0.008758105,-0.04060537,-0.02161659,7.660753,8.791939,357.5194,0.0896865,-0.4764059,0.2571908,337.5476,8.092347,351.3135,0,0
2018/07/11 - 02:41:42.1123615,0.4978083,0.01077838,-0.04091414,-0.02092669,7.671666,10.89526,357.6111,0.0901302,-0.4763387,0.2573498,339.4771,10.4798,347.2873,0,0
2018/07/11 - 02:41:42.1343018,0.5204127,0.01335389,-0.04142991,-0.02033749,7.891525,13.48914,358.0471,0.09086862,-0.476396,0.2575203,341.5013,12.07206,342.5299,0,0
2018/07/11 - 02:41:42.1562438,0.5420197,0.01606179,-0.04212049,-0.02002288,8.362385,16.29559,358.5814,0.09096031,-0.4767027,0.2573048,341.441,14.74052,339.5362,0,0
2018/07/11 - 02:41:42.1791819,0.5646989,0.0189749,-0.04291134,-0.02007226,8.928096,19.12815,359.1096,0.08989978,-0.4767925,0.2569392,340.3626,19.06552,340.4439,0,0
2018/07/11 - 02:41:42.2011236,0.5866045,0.02195237,-0.04350783,-0.02041204,9.452333,22.39074,359.6792,0.08911388,-0.4769228,0.2566934,340.2277,24.01642,339.3923,0,0
2018/07/11 - 02:41:42.2230645,0.609188,0.02504657,-0.04409548,-0.0210089,9.625328,25.7543,0.1608858,0.08887303,-0.4769612,0.2566311,341.7802,28.2756,336.6367,0,0
2018/07/11 - 02:41:42.2470189,0.6310424,0.02819951,-0.04445343,-0.02194946,9.752378,29.11639,0.7514758,0.08885903,-0.4770893,0.2565391,343.0573,31.30525,333.7954,0,0
2018/07/11 - 02:41:42.2679562,0.6544575,0.03098956,-0.04492727,-0.02301177,9.850363,32.42007,1.277283,0.08841942,-0.4768074,0.2566903,345.5135,35.13327,332.9746,0,0
2018/07/11 - 02:41:42.2978646,0.6758878,0.03328447,-0.04521628,-0.02443599,9.930242,35.63445,1.662034,0.08783628,-0.4764462,0.2569213,348.2997,39.69065,332.5434,0,0
2018/07/11 - 02:41:42.3158159,0.7055097,0.03558005,-0.04548185,-0.02566646,10.07131,38.55937,2.176364,0.08783845,-0.4760362,0.257252,352.317,42.69852,331.3906,0,0
2018/07/11 - 02:41:42.3347661,0.7239934,0.03748927,-0.04594445,-0.0267918,10.14822,41.20244,2.688641,0.08791982,-0.4758154,0.2574449,355.8234,45.55939,329.7066,0,0
2018/07/11 - 02:41:42.3577261,0.7424507,0.0389259,-0.04616075,-0.02797107,10.21048,43.44458,2.953338,0.0879729,-0.4758185,0.2574452,357.2852,47.03889,328.4378,0,0
2018/07/11 - 02:41:42.3796456,0.7660288,0.04030774,-0.04629616,-0.02916605,10.11626,45.63238,3.312705,0.2811901,-0.3556586,0.2312044,359.1548,49.74448,329.0709,0,0
2018/07/11 - 02:41:42.4025851,0.7880169,0.04146086,-0.04655353,-0.03035326,10.0185,47.41523,3.599097,0.3287229,-0.3467722,0.2083153,359.0678,52.09863,328.5299,0,0
2018/07/11 - 02:41:42.4235282,0.810397,0.04245734,-0.04681662,-0.03141042,10.06964,48.9874,3.776665,0.3416096,-0.3441335,0.1994598,359.7303,54.67202,328.7878,0,0
2018/07/11 - 02:41:42.4464677,0.8313434,0.04325825,-0.04706905,-0.03229472,10.19073,50.34663,4.160676,0.351938,-0.3420698,0.1870195,359.2747,55.15424,328.7954,0,0
2018/07/11 - 02:41:42.4684080,0.8545185,0.04395632,-0.0471217,-0.03299969,10.25832,51.5581,4.309104,0.3600128,-0.3403762,0.1764567,358.4771,54.16018,328.0386,0,0
2018/07/11 - 02:41:42.4903497,0.8761985,0.04476409,-0.04730035,-0.03392937,10.1497,52.52512,4.384355,0.3662174,-0.3390839,0.169848,357.933,53.39284,327.3587,0,0
2018/07/11 - 02:41:42.5122911,0.8984084,0.04551829,-0.04729338,-0.03490428,10.08347,53.42381,4.361754,0.3724279,-0.3385271,0.1639236,358.0957,55.61807,327.6606,0,0
2018/07/11 - 02:41:42.5352295,0.9206607,0.04620266,-0.04723067,-0.0359166,10.00825,54.14826,4.44957,0.3776082,-0.3377036,0.158483,358.2532,58.26253,328.4621,0,0
2018/07/11 - 02:41:42.5571706,0.9434481,0.04683265,-0.04727018,-0.03670941,9.868212,54.69813,4.48409,0.3805362,-0.3371783,0.1541489,357.2506,59.04394,329.0393,0,0
2018/07/11 - 02:41:42.5811290,0.9657226,0.0473755,-0.04716786,-0.0376914,9.925638,55.04919,4.501266,0.3831668,-0.3372797,0.1506143,357.0687,58.67112,328.9323,0,0
2018/07/11 - 02:41:42.6030491,0.9891275,0.04799331,-0.04714159,-0.03860423,9.835387,55.40095,4.526206,0.3857276,-0.3376306,0.1473629,357.3262,58.54918,328.5512,0,0
2018/07/11 - 02:41:42.6268309,1.01097,0.04829885,-0.04703769,-0.03945315,9.980089,55.59078,4.539573,0.387568,-0.3379207,0.1440219,357.4601,59.39141,328.0509,0,0
2018/07/11 - 02:41:42.6477753,1.034902,0.04874528,-0.04686775,-0.0403154,10.3214,55.73865,4.542853,0.3883587,-0.3376351,0.141863,357.4766,59.85325,327.9964,0,0
2018/07/11 - 02:41:42.6697176,1.054471,0.04877464,-0.04678868,-0.04058205,10.00898,55.49277,4.208153,0.387854,-0.3370281,0.1406367,356.6739,59.9488,328.3547,0,0
2018/07/11 - 02:41:42.6926756,1.077855,0.04918806,-0.04654491,-0.04141191,9.878016,55.46334,4.006859,0.3872732,-0.3368219,0.1400793,355.9721,59.592,328.7439,0,0
