Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:51:19.6349767,0,0.4233801,-0.3057968,-0.2329981,42.57922,242.6549,310.005,-0.1397919,-0.2726685,-0.6918018,352.8482,281.8506,356.0241
2018/06/22 - 01:51:19.6459943,0.008074244,0.42327,-0.3052821,-0.2327296,42.39487,242.5816,309.8438,-0.1399783,-0.2726537,-0.6916484,353.3848,282.1957,355.7221
2018/06/22 - 01:51:19.6569824,0.0206612,0.4231499,-0.3048109,-0.2325228,42.28551,242.5137,309.6572,-0.1399729,-0.2726535,-0.6916522,353.7674,281.8041,355.5444
2018/06/22 - 01:51:19.6689328,0.03242213,0.4230251,-0.3044234,-0.2323809,42.29268,242.4752,309.482,-0.1399204,-0.2726265,-0.6916602,353.9349,281.4424,355.3577
2018/06/22 - 01:51:19.6799024,0.04417908,0.4229356,-0.3042059,-0.2323543,42.39082,242.5857,309.4928,-0.1398738,-0.2725799,-0.6916409,354.3366,280.9018,354.979
2018/06/22 - 01:51:19.6898770,0.05496636,0.4229208,-0.3041637,-0.2322938,42.43309,242.797,309.596,-0.1397873,-0.2725344,-0.6916519,354.7462,280.1633,354.5963
2018/06/22 - 01:51:19.7028406,0.06593483,0.4228841,-0.3041067,-0.2322367,42.58238,243.0153,309.7482,-0.1396969,-0.2725087,-0.6916878,355.0651,279.4682,354.3347
2018/06/22 - 01:51:19.7138113,0.07745682,0.4228675,-0.3040868,-0.2320979,42.73457,243.307,309.9402,-0.1396564,-0.2725272,-0.6917382,355.526,278.803,354.1796
2018/06/22 - 01:51:19.7397422,0.08963105,0.4229875,-0.3042096,-0.2313342,42.84309,243.7101,310.241,-0.139678,-0.2725815,-0.6917848,355.5504,278.8192,354.3887
2018/06/22 - 01:51:19.7487189,0.1132803,0.4229158,-0.3042276,-0.2314838,43.1405,244.5552,310.7454,-0.1396038,-0.2725793,-0.6918349,356.0134,278.0264,354.1441
