Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 03:25:17.4992749,0,0.03880847,0.05190877,-0.04237978,327.4302,349.7967,359.2062,0.008556657,-0.524694,0.2010654,32.36906,335.2606,342.9964
2018/06/28 - 03:25:17.5122390,0.01150575,0.03891004,0.05186101,-0.04201448,327.5462,349.332,359.158,0.006211568,-0.5246518,0.2006358,32.1959,334.7297,342.8287
2018/06/28 - 03:25:17.5212164,0.02571457,0.03883433,0.05180532,-0.04158836,327.6459,348.9243,359.0496,0.003865979,-0.5246875,0.2003337,32.16736,334.2482,342.7112
2018/06/28 - 03:25:17.5311895,0.03537825,0.03872956,0.05173714,-0.041103,327.7263,348.5394,358.9539,0.001510277,-0.5247222,0.2001044,32.19608,333.786,342.5879
2018/06/28 - 03:25:17.5411633,0.0445746,0.03871506,0.05168182,-0.04068127,327.8383,348.0313,358.89,-0.0008554823,-0.524753,0.199892,32.2412,333.3029,342.4224
2018/06/28 - 03:25:17.5541282,0.05596202,0.03862527,0.05165618,-0.04025426,327.9031,347.5866,358.8113,-0.003217218,-0.5247937,0.1996252,32.27871,332.7848,342.1945
2018/06/28 - 03:25:17.5631052,0.0677104,0.03856301,0.05158366,-0.03996997,327.8912,347.1358,358.6935,-0.005548157,-0.5247739,0.1993404,32.2425,332.2712,341.9637
2018/06/28 - 03:25:17.5750709,0.07792421,0.03861344,0.051542,-0.03988643,327.9322,346.6688,358.6394,-0.007910578,-0.5247428,0.1990349,32.14083,331.7379,341.7697
2018/06/28 - 03:25:17.5870389,0.08864461,0.03861555,0.05151626,-0.03980893,327.9828,346.1974,358.537,-0.01032473,-0.5247911,0.1986954,32.07005,331.2219,341.7176
2018/06/28 - 03:25:17.5970126,0.1004374,0.03851314,0.05144357,-0.03958521,327.9535,345.7711,358.4541,-0.01272688,-0.5248539,0.1983723,32.03982,330.8156,341.7787
2018/06/28 - 03:25:17.6089800,0.1116783,0.03836339,0.05138727,-0.03930172,327.9921,345.28,358.3748,-0.01509304,-0.5248976,0.1980366,32.01644,330.4807,341.8963
2018/06/28 - 03:25:17.6199508,0.1223409,0.03819709,0.05128416,-0.03904685,328.0323,344.7785,358.3289,-0.01738621,-0.5248824,0.197688,31.95115,330.162,342.0005
2018/06/28 - 03:25:17.6309399,0.1342444,0.03800964,0.05117767,-0.03890394,328.1083,344.3459,358.2685,-0.01970061,-0.5247888,0.1974452,31.88433,329.7719,342.028
2018/06/28 - 03:25:17.6418927,0.1443375,0.03785665,0.05105816,-0.03884942,328.1957,343.8456,358.1777,-0.02199175,-0.5247112,0.1971841,31.8352,329.3671,342.0082
2018/06/28 - 03:25:17.6538735,0.1560228,0.03765538,0.05091644,-0.03877676,328.2724,343.3847,358.0959,-0.02414544,-0.5246597,0.1967699,31.75502,328.9828,341.9624
2018/06/28 - 03:25:17.6628363,0.1672287,0.03741312,0.05076241,-0.03853339,328.4124,342.8846,358.0712,-0.02630238,-0.5245387,0.1964123,31.67235,328.573,341.8797
2018/06/28 - 03:25:17.6758016,0.1779423,0.03707915,0.05061325,-0.03829697,328.5597,342.428,358.0044,-0.02852011,-0.5243862,0.1961333,31.59926,328.1537,341.8114
2018/06/28 - 03:25:17.6867720,0.1893095,0.03672092,0.05045237,-0.03803464,328.6766,341.9688,357.9889,-0.03072582,-0.5242445,0.1958876,31.55478,327.7524,341.792
2018/06/28 - 03:25:17.6967457,0.2004924,0.03630743,0.05026012,-0.03777906,328.7967,341.5713,357.9781,-0.03290597,-0.5241173,0.1956378,31.5443,327.405,341.8206
