Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/06/28 - 03:23:39.4258862,76.65739,26,30,Peer hit peer's target,-4.719311,4.415763,-2.015935
2018/06/28 - 03:23:40.4273243,77.65878,27,29,Peer missed, , , 
2018/06/28 - 03:23:44.4039672,81.63485,30,30,Peer hit peer's target,-0.7328375,5.047297,-4.809258
2018/06/28 - 03:23:45.8820955,83.1136,30,31,Peer hit peer's target,2.746355,2.757003,-3.672538
2018/06/28 - 03:23:48.0604389,85.29159,30,30,Peer missed, , , 
2018/06/28 - 03:23:50.7828275,88.01366,30,31,Peer hit peer's target,-3.73525,8.517735,0.9041592
2018/06/28 - 03:23:50.9833100,88.21401,30,32,Peer hit peer's target,-4.476415,5.791668,1.732979
2018/06/28 - 03:23:51.5039162,88.73508,30,33,Peer hit peer's target,-4.471865,3.251711,-0.87196
2018/06/28 - 03:23:53.5704883,90.80222,28,34,Peer hit peer's target,-4.219474,3.246809,2.24287
2018/06/28 - 03:23:56.5167045,93.7485,28,33,Peer missed, , , 
2018/06/28 - 03:23:59.3729427,96.60406,29,34,Peer hit peer's target,-0.5099441,2.934711,-4.072912
2018/06/28 - 03:23:59.8823797,97.11391,29,33,Peer missed, , , 
2018/06/28 - 03:24:00.6386896,97.86994,30,32,Peer missed, , , 
2018/06/28 - 03:24:01.7386229,98.96949,30,31,Peer missed, , , 
2018/06/28 - 03:24:05.6854249,102.916,32,32,Peer hit peer's target,-3.601641,7.05292,-1.685038
2018/06/28 - 03:24:06.2149905,103.4472,32,33,Peer hit peer's target,4.68317,3.235229,2.445068
2018/06/28 - 03:24:07.0941568,104.3259,32,34,Peer hit peer's target,4.042627,4.289429,2.855213
2018/06/28 - 03:24:09.0274866,106.2597,33,35,Peer hit peer's target,1.946695,9.482385,0.8189293
2018/06/28 - 03:24:09.2279529,106.4588,33,36,Peer hit peer's target,-3.136192,6.297695,4.070657
2018/06/28 - 03:24:10.0053299,107.2361,34,37,Peer hit peer's target,4.852988,5.792487,-2.51914
2018/06/28 - 03:24:10.1848588,107.4159,34,38,Peer hit peer's target,1.506206,5.702124,4.090312
2018/06/28 - 03:24:10.6396451,107.8706,34,39,Peer hit peer's target,-2.857705,3.880375,4.147958
2018/06/28 - 03:24:14.0152885,111.2475,34,40,Peer hit peer's target,0.1434288,9.712093,-0.8483564
2018/06/28 - 03:24:16.1835012,113.4145,34,39,Peer missed, , , 
2018/06/28 - 03:24:16.7720269,114.0038,35,38,Peer missed, , , 
2018/06/28 - 03:24:18.1071078,115.3375,36,37,Peer missed, , , 
2018/06/28 - 03:24:21.2498790,118.4819,35,36,Peer missed, , , 
