Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/11 - 02:50:05.4479369,19.9987,0, ,User missed, , , 
2018/07/11 - 02:50:05.7142240,19.9987,0, ,User missed, , , 
2018/07/11 - 02:50:13.5054608,21.97702,1, ,User hit user's target,-2.320511,6.803361,4.045134
2018/07/11 - 02:50:16.2939547,24.76555,2, ,User hit user's target,1.916898,2.458671,3.396497
2018/07/11 - 02:50:16.7256629,25.19805,3, ,User hit user's target,0.5342618,3.721878,4.897864
2018/07/11 - 02:50:18.3141209,26.78601,2, ,User missed, , , 
2018/07/11 - 02:50:18.6691931,27.14129,3, ,User hit user's target,0.787382,2.686921,3.731129
2018/07/11 - 02:50:19.8945027,28.36551,2, ,User missed, , , 
2018/07/11 - 02:50:20.1707405,28.64257,3, ,User hit user's target,2.49971,8.704316,2.649054
2018/07/11 - 02:50:23.1718000,31.64336,4, ,User hit user's target,3.022842,4.862943,3.732519
2018/07/11 - 02:50:24.1158639,32.58713,5, ,User hit user's target,2.102244,5.309547,3.523922
2018/07/11 - 02:50:24.4604083,32.93194,6, ,User hit user's target,3.246054,5.467858,3.066659
2018/07/11 - 02:50:25.3944651,33.86551,7, ,User hit user's target,3.077176,4.219541,2.688406
2018/07/11 - 02:50:25.6715483,34.14301,6, ,User missed, , , 
2018/07/11 - 02:50:28.0037197,36.47598,5, ,User missed, , , 
2018/07/11 - 02:50:28.5828875,37.05427,4, ,User hit peer's target,3.454711,8.575859,3.313418
2018/07/11 - 02:50:29.6378463,38.10979,3, ,User missed, , , 
2018/07/11 - 02:50:30.0926331,38.56472,4, ,User hit user's target,3.515737,6.719669,3.79273
