Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.00716287,0,0,0,0,0,0,0.1042486,-0.2532521,-0.1275667,326.7461,161.8453,26.82864
0.01673128,0,0,0,0,0,0,0.1043812,-0.2535572,-0.1274111,325.3461,162.4983,26.99902
0.02419993,0,0,0,0,0,0,0.1043867,-0.2537112,-0.127336,324.5996,162.7189,26.90804
0.02977276,0,0,0,0,0,0,0.1042959,-0.2537369,-0.1273232,324.4639,162.3904,26.84923
0.03620774,0,0,0,0,0,0,0.1041717,-0.2537081,-0.1273375,324.6621,161.5767,27.09227
0.04285491,0,0,0,0,0,0,0.1041365,-0.2536896,-0.1273468,324.6935,161.6154,26.88165
0.05036708,0,0,0,0,0,0,0.1041736,-0.2536807,-0.1273507,324.6006,162.2941,26.35792
0.05739797,0,0,0,0,0,0,0.1042047,-0.2536613,-0.1273599,324.6104,162.7413,26.03395
0.06918135,0,0,0,0,0,0,0.104243,-0.2536281,-0.1273759,324.5226,163.8936,25.02496
0.07563965,0,0,0,0,0,0,0.104254,-0.2535872,-0.127396,324.5291,164.7246,24.2142
0.08309379,0,0,0,0,0,0,0.1042746,-0.2534892,-0.1274447,324.7743,165.7354,23.23677
0.0900402,0,0,0,0,0,0,0.1042954,-0.2533463,-0.1275176,325.291,166.4745,22.51236
0.09705573,0,0,0,0,0,0,0.1043178,-0.2531598,-0.1276158,326.0291,167.1497,21.8416
0.104377,0,0,0,0,0,0,0.1043167,-0.2529345,-0.1277391,327.0062,167.4503,21.41719
0.1111067,0,0,0,0,0,0,0.1042902,-0.2527415,-0.1278489,327.8774,167.4449,21.19406
0.118017,0,0,0,0,0,0,0.1042467,-0.2525741,-0.1279476,328.6552,167.2571,21.08038
0.129391,0,0,0,0,0,0,0.1041707,-0.2523995,-0.1280542,329.4572,166.9951,20.88139
0.1377099,0,0,0,0,0,0,0.1040513,-0.2523276,-0.1281006,329.8124,166.342,20.91825
0.1449894,0,0,0,0,0,0,0.1039459,-0.2522812,-0.1281322,330.0582,165.6962,21.02373
0.1524552,0,0,0,0,0,0,0.1038546,-0.2522563,-0.1281509,330.2142,165.0563,21.1993
0.159991,0,0,0,0,0,0,0.1037966,-0.2522418,-0.1281623,330.3112,164.6296,21.33032
0.167791,0,0,0,0,0,0,0.1037493,-0.2522189,-0.128179,330.4598,164.194,21.51013
0.1742612,0,0,0,0,0,0,0.1037167,-0.25219,-0.128199,330.6035,164.0033,21.51985
0.1811655,0,0,0,0,0,0,0.1036792,-0.2521436,-0.1282307,330.797,163.9594,21.35473
0.1876816,0,0,0,0,0,0,0.1036303,-0.2520765,-0.1282771,331.0581,164.0308,21.01317
0.1956787,0,0,0,0,0,0,0.1035612,-0.251988,-0.1283396,331.4058,164.1044,20.56147
0.2032188,0,0,0,0,0,0,0.1034903,-0.2519027,-0.1284015,331.7397,164.1827,20.09908
0.2110074,0,0,0,0,0,0,0.103411,-0.2518161,-0.1284664,332.0785,164.2562,19.60155
0.2178779,0,0,0,0,0,0,0.1033323,-0.2517281,-0.1285336,332.4325,164.3088,19.12466
0.2252268,0,0,0,0,0,0,0.1032602,-0.2516416,-0.1286009,332.7929,164.3364,18.70005
0.231094,0,0,0,0,0,0,0.1032046,-0.2515691,-0.128658,333.1051,164.3359,18.38649
0.2374909,0,0,0,0,0,0,0.1031502,-0.2514952,-0.1287169,333.4301,164.3154,18.09397
0.2446352,0,0,0,0,0,0,0.1030899,-0.2514196,-0.1287788,333.7638,164.2815,17.78489
0.2508452,0,0,0,0,0,0,0.1030367,-0.2513576,-0.1288308,334.038,164.2442,17.52138
0.2581281,0,0,0,0,0,0,0.1029829,-0.2513082,-0.1288742,334.2509,164.2122,17.26131
0.2654949,0,0,0,0,0,0,0.1029276,-0.2512605,-0.128917,334.4538,164.1976,16.98009
0.2725329,0,0,0,0,0,0,0.1028803,-0.2512199,-0.128954,334.6261,164.1943,16.7308
0.282751,0,0,0,0,0,0,0.1028016,-0.2511536,-0.1290157,334.9109,164.1818,16.32288
0.291484,0,0,0,0,0,0,0.1027386,-0.2511049,-0.1290625,335.1206,164.1612,16.0089
0.2986816,0,0,0,0,0,0,0.1026915,-0.2510689,-0.1290977,335.2769,164.1427,15.77666
0.306334,0,0,0,0,0,0,0.1026516,-0.2510419,-0.129125,335.3948,164.1091,15.59892
0.312738,0,0,0,0,0,0,0.1026202,-0.2510227,-0.1291451,335.4795,164.066,15.47531
0.3195302,0,0,0,0,0,0,0.1025909,-0.2510062,-0.1291628,335.5531,164.0088,15.37605
0.3277339,0,0,0,0,0,0,0.1025582,-0.2509901,-0.1291809,335.6248,163.9378,15.27328
0.3341757,0,0,0,0,0,0,0.1025358,-0.2509811,-0.1291918,335.6641,163.8857,15.20807
0.3416739,0,0,0,0,0,0,0.1025093,-0.250972,-0.1292033,335.7022,163.8245,15.13154
0.348364,0,0,0,0,0,0,0.1024868,-0.2509662,-0.1292117,335.7258,163.7714,15.0699
0.354799,0,0,0,0,0,0,0.1024659,-0.2509621,-0.1292185,335.7408,163.7204,15.01523
0.3620079,0,0,0,0,0,0,0.1024425,-0.2509602,-0.1292239,335.7444,163.6613,14.95822
0.3680271,0,0,0,0,0,0,0.1024227,-0.2509591,-0.1292282,335.7448,163.6131,14.90918
0.3745937,0,0,0,0,0,0,0.1024012,-0.2509561,-0.1292343,335.7539,163.5643,14.85053
0.3825149,0,0,0,0,0,0,0.1023789,-0.2509454,-0.1292469,335.8001,163.5374,14.7615
0.3893763,0,0,0,0,0,0,0.1023615,-0.2509308,-0.1292619,335.8647,163.552,14.65396
0.3967988,0,0,0,0,0,0,0.1023471,-0.2509101,-0.1292814,335.9596,163.5939,14.53041
0.4034571,0,0,0,0,0,0,0.1023382,-0.2508932,-0.1292969,336.038,163.6323,14.43896
0.410715,0,0,0,0,0,0,0.1023281,-0.2508787,-0.1293108,336.1059,163.6566,14.35663
0.4180861,0,0,0,0,0,0,0.1023168,-0.2508689,-0.129321,336.1507,163.6587,14.2931
0.4256397,0,0,0,0,0,0,0.102305,-0.2508669,-0.1293248,336.1581,163.6276,14.26389
0.4332498,0,0,0,0,0,0,0.102294,-0.2508689,-0.1293251,336.1476,163.5741,14.26213
0.4422888,0,0,0,0,0,0,0.102279,-0.2508776,-0.1293207,336.1055,163.4689,14.29406
0.4483307,0,0,0,0,0,0,0.1022687,-0.2508837,-0.1293175,336.0763,163.3878,14.32362
0.4550869,0,0,0,0,0,0,0.1022571,-0.250891,-0.1293136,336.0417,163.2982,14.35626
0.463061,0,0,0,0,0,0,0.1022432,-0.2509009,-0.129308,335.9928,163.2063,14.38332
0.4708371,0,0,0,0,0,0,0.1022302,-0.2509123,-0.129301,335.9338,163.1456,14.3891
0.4795388,0,0,0,0,0,0,0.1022191,-0.2509252,-0.1292925,335.8655,163.1237,14.37121
0.5014006,0,0,0,0,0,0,0.1022179,-0.2509351,-0.1292846,335.8054,163.2277,14.28583
0.5103242,0,0,0,0,0,0,0.1022293,-0.2509081,-0.1293047,335.9422,163.2983,14.24792
0.519803,0,0,0,0,0,0,0.1022377,-0.2508722,-0.1293328,336.1249,163.3458,14.20664
0.5307001,0,0,0,0,0,0,0.1022306,-0.2508301,-0.1293692,336.3401,163.307,14.1622
0.5402728,0,0,0,0,0,0,0.1022144,-0.2508079,-0.129391,336.4532,163.2365,14.12457
0.5504212,0,0,0,0,0,0,0.1021914,-0.250805,-0.1293979,336.4667,163.1268,14.1108
0.5600914,0,0,0,0,0,0,0.1021745,-0.250808,-0.1293986,336.4524,163.0244,14.12521
0.5702498,0,0,0,0,0,0,0.1021611,-0.2508158,-0.1293947,336.4145,162.9262,14.15737
