Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:47:59.9897916,0,-0.02421584,-0.005946764,0.05988957,0.9505022,259.1357,4.075339,-0.3462846,-0.3255818,-0.00646025,348.0232,256.463,38.49471
2018/06/29 - 02:48:00.0027375,0.01154472,-0.02399661,-0.005920308,0.0598259,0.9654883,259.1389,4.018354,-0.3471515,-0.3257938,-0.009205976,349.2114,254.6812,39.33294
2018/06/29 - 02:48:00.0127109,0.02613639,-0.0239026,-0.005940099,0.05979113,0.9729452,259.1554,4.059689,-0.348614,-0.3265415,-0.01133469,350.7522,253.3323,39.5103
2018/06/29 - 02:48:00.0216993,0.0371839,-0.02377817,-0.005883024,0.05973899,0.9647868,259.1675,4.021457,-0.3501818,-0.3274708,-0.01312261,352.3538,252.2001,39.43494
2018/06/29 - 02:48:00.0316605,0.04576443,-0.02362661,-0.005820978,0.05967579,0.9415966,259.1957,3.986145,-0.3519796,-0.3288153,-0.01439187,354.0033,251.4003,39.01062
2018/06/29 - 02:48:00.0426378,0.05519033,-0.02348068,-0.005754999,0.05963377,0.9178364,259.2256,3.96912,-0.3538909,-0.3304879,-0.01508347,355.5521,250.8489,38.26442
2018/06/29 - 02:48:00.0526036,0.06616928,-0.02332911,-0.005703552,0.05960279,0.9136335,259.233,3.961299,-0.3559682,-0.3325084,-0.01496028,357.0306,250.5023,36.96558
2018/06/29 - 02:48:00.0645809,0.07759681,-0.02309414,-0.005652659,0.05956759,0.8841553,259.2494,3.960898,-0.3581319,-0.3344554,-0.01448095,358.4409,250.2305,35.44385
2018/06/29 - 02:48:00.0745461,0.08837012,-0.02289831,-0.005582621,0.05951333,0.8891582,259.2692,3.953183,-0.360379,-0.3365738,-0.01317063,359.852,250.4599,33.51819
2018/06/29 - 02:48:00.0875108,0.0993488,-0.02263319,-0.005475258,0.0594146,0.8672681,259.3135,3.981209,-0.362408,-0.3385909,-0.01169453,1.101369,250.9818,31.74733
2018/06/29 - 02:48:00.0974845,0.1110519,-0.02243325,-0.00543795,0.05939684,0.8494477,259.2754,4.001782,-0.3638525,-0.3403876,-0.009769416,2.013243,252.0149,30.16084
2018/06/29 - 02:48:00.1094519,0.1218489,-0.02219909,-0.005386476,0.05932951,0.8439041,259.2706,4.019225,-0.3644235,-0.3417904,-0.007349644,2.348691,253.6562,29.05685
2018/06/29 - 02:48:00.1204417,0.132749,-0.02196576,-0.005308928,0.05924869,0.8081475,259.2491,4.059303,-0.364687,-0.3428116,-0.004483044,2.248404,255.8187,28.19534
2018/06/29 - 02:48:00.1324108,0.1442764,-0.02171557,-0.005241819,0.0591858,0.7301632,259.1863,4.118534,-0.3643214,-0.343266,-0.000900851,1.70899,258.6156,27.33602
2018/06/29 - 02:48:00.1453558,0.1555984,-0.02151247,-0.005185712,0.05912875,0.7252979,259.1473,4.12178,-0.3636272,-0.3434535,0.002421697,1.25486,261.0056,26.45012
2018/06/29 - 02:48:00.1543326,0.1675405,-0.02128225,-0.00516067,0.05908895,0.6179381,259.0316,4.124897,-0.3621746,-0.3430877,0.005302451,0.4741853,263.0099,25.91933
2018/06/29 - 02:48:00.1663014,0.1793838,-0.02113329,-0.005149681,0.05905192,0.5845544,258.9969,4.154657,-0.3604905,-0.3426704,0.007785183,359.6021,264.6421,25.52162
2018/06/29 - 02:48:00.1752762,0.1897348,-0.02106841,-0.005155618,0.05902207,0.5180935,258.9634,4.165967,-0.3585619,-0.3419457,0.009639598,358.6642,265.7301,25.24016
2018/06/29 - 02:48:00.1862469,0.1998684,-0.0209596,-0.005127544,0.05901999,0.4801267,258.8701,4.127021,-0.356829,-0.3411948,0.01108854,357.9063,266.4322,24.95404
2018/06/29 - 02:48:00.2041978,0.210341,-0.02083904,-0.005156578,0.05898898,0.4337195,258.8572,4.131734,-0.3551451,-0.3400522,0.01142138,357.0714,266.2696,25.01347
2018/06/29 - 02:48:00.2121762,0.2220137,-0.0206638,-0.005122111,0.05894742,0.4285256,258.8289,4.075031,-0.3536326,-0.338718,0.01077419,356.1529,265.1979,25.52498
2018/06/29 - 02:48:00.2191593,0.2358991,-0.02058746,-0.005147557,0.05895017,0.4000581,258.8207,4.091803,-0.3523135,-0.3376301,0.01055959,355.437,264.5251,25.88295
2018/06/29 - 02:48:00.2311259,0.2439782,-0.0205272,-0.005150292,0.0589549,0.3815622,258.7816,4.038273,-0.3515166,-0.3365818,0.009858348,355.0525,263.6061,26.37519
2018/06/29 - 02:48:00.2430941,0.2547836,-0.02041048,-0.005167944,0.05891556,0.3877078,258.7884,4.005976,-0.350951,-0.3358012,0.009316703,354.9353,263.0981,26.80188
2018/06/29 - 02:48:00.2530687,0.2664302,-0.02031668,-0.005184582,0.05890134,0.4143719,258.7699,3.969962,-0.3507959,-0.3353267,0.008717176,355.1619,262.9269,27.35424
2018/06/29 - 02:48:00.2650358,0.2774817,-0.02027509,-0.005238233,0.0589055,0.4410663,258.7595,3.945693,-0.3507587,-0.3350059,0.008162163,355.4568,262.874,27.98274
2018/06/29 - 02:48:00.2750087,0.2881674,-0.02024223,-0.005331161,0.05890409,0.4697623,258.7645,3.895674,-0.3509794,-0.3348674,0.007504093,355.8454,262.7065,28.65568
