2018/06/29 - 02:48:07.9892173,8.01187,0,1,Peer hit peer's target,-4.047527,2.57747,-2.212006
2018/06/29 - 02:48:10.3905884,10.4118,1,2,Peer hit peer's target,-2.844895,3.91364,-3.832416
2018/06/29 - 02:48:11.2151191,11.23645,2,3,Peer hit peer's target,-4.764143,3.302498,-1.048166
2018/06/29 - 02:48:12.1895237,12.2109,3,4,Peer hit peer's target,4.284167,4.695222,1.501857
2018/06/29 - 02:48:13.6038910,13.62303,4,5,Peer hit peer's target,2.462687,2.459179,3.20625
2018/06/29 - 02:48:13.6228137,13.64466,4,4,Peer missed, , , 
2018/06/29 - 02:48:14.2445721,14.26714,4,3,Peer missed, , , 
2018/06/29 - 02:48:16.4228716,16.44489,6,2,Peer missed, , , 
2018/06/29 - 02:48:16.6442803,16.66574,6,3,Peer hit peer's target,2.569663,4.240841,-4.006608
2018/06/29 - 02:48:19.0707593,19.08998,6,4,Peer hit peer's target,-0.1675029,3.324323,4.675999
2018/06/29 - 02:48:19.2473087,19.2678,6,5,Peer hit peer's target,-0.987223,8.196889,3.55242
2018/06/29 - 02:48:20.8576131,20.87934,7,6,Peer hit peer's target,-2.723925,5.378351,4.00708
2018/06/29 - 02:48:22.2263353,22.24553,9,5,Peer missed, , , 
2018/06/29 - 02:48:24.5235243,24.5457,9,6,Peer hit peer's target,-3.922716,2.46308,-2.238021
2018/06/29 - 02:48:24.8466606,24.86754,10,7,Peer hit peer's target,4.196212,3.710708,0.595386
2018/06/29 - 02:48:26.6177241,26.63861,7,8,Peer hit peer's target,2.550554,4.504944,4.318703
2018/06/29 - 02:48:28.9497484,28.97015,8,9,Peer hit peer's target,0.4672135,9.132313,2.856176
2018/06/29 - 02:48:29.5481680,29.56911,7,10,Peer hit peer's target,-3.757443,6.803232,2.789303
2018/06/29 - 02:48:29.9475625,29.96876,7,9,Peer missed, , , 
2018/06/29 - 02:48:30.7793612,30.80128,6,8,Peer missed, , , 
2018/06/29 - 02:48:30.8351870,30.85644,6,7,Peer missed, , , 
2018/06/29 - 02:48:31.7229666,31.74528,5,6,Peer missed, , , 
2018/06/29 - 02:48:31.7508918,31.76719,5,5,Peer missed, , , 
2018/06/29 - 02:48:34.8712861,34.89162,4,4,Peer hit user's target,2.997214,7.476026,-1.75393
