Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 01:09:27.7295187,47.95197,0,3,User missed, , , 
2018/07/02 - 01:09:28.0057790,48.23039,1,3,User hit user's target,0.9175754,5.646886,5.241102
2018/07/02 - 01:09:28.4844986,48.70839,2,4,User hit user's target,3.487303,5.441983,4.006526
2018/07/02 - 01:09:29.0179600,49.24207,3,4,User hit user's target,4.919934,3.0302,-0.0642212
2018/07/02 - 01:09:30.7514044,50.97654,4,4,User hit user's target,3.223151,7.883126,2.325295
2018/07/02 - 01:09:31.6062215,51.83134,3,5,User missed, , , 
2018/07/02 - 01:09:31.9972033,52.22113,2,5,User missed, , , 
2018/07/02 - 01:09:32.5407403,52.76497,3,6,User hit user's target,1.570729,6.478109,-4.4276
2018/07/02 - 01:09:33.9848656,54.20982,4,5,User hit user's target,2.781677,3.644584,4.685435
2018/07/02 - 01:09:35.7187551,55.94293,5,4,User hit user's target,0.5511842,6.119771,5.412971
2018/07/02 - 01:09:36.7286828,56.95433,6,3,User hit user's target,-0.9054807,2.611526,3.909503
2018/07/02 - 01:09:37.9283955,58.15405,7,3,User hit user's target,-0.02843712,3.515058,4.490774
2018/07/02 - 01:09:38.5181657,58.74294,8,3,User hit user's target,4.49882,2.38717,0.8406113
