Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 01:08:34.7610846,14.98575,0.06144789,-0.004093525,-0.03078588,6.403228,42.96379,358.9169,0.2225477,-0.4000912,0.06207401,352.5541,39.36238,353.5323
2018/07/02 - 01:08:34.7710566,14.99667,0.06147171,-0.004094218,-0.03077242,6.401062,42.95913,358.9094,0.2225608,-0.4000528,0.06215137,352.5558,39.35642,353.5355
2018/07/02 - 01:08:34.7830354,15.00823,0.06148933,-0.004086721,-0.030753,6.404758,42.95853,358.9108,0.2225662,-0.4000047,0.06219825,352.5622,39.33862,353.5213
2018/07/02 - 01:08:34.7939950,15.01974,0.06150479,-0.004092597,-0.03074919,6.408638,42.95491,358.9083,0.2225793,-0.3999122,0.06220527,352.5611,39.3174,353.4582
2018/07/02 - 01:08:34.8049660,15.03089,0.06152431,-0.004089473,-0.03074465,6.424695,42.95251,358.9039,0.222597,-0.3998645,0.06221057,352.562,39.32787,353.4265
2018/07/02 - 01:08:34.8155035,15.042,0.06154904,-0.004095637,-0.03073474,6.421253,42.94509,358.8972,0.2226081,-0.3998383,0.06224239,352.565,39.33837,353.4263
2018/07/02 - 01:08:34.8264731,15.05245,0.06157618,-0.004090478,-0.0307281,6.433307,42.94867,358.8995,0.2226151,-0.3998101,0.06228054,352.5623,39.34564,353.4294
2018/07/02 - 01:08:34.8384405,15.06404,0.06160753,-0.004101859,-0.03073358,6.428874,42.93941,358.9052,0.2225995,-0.3997866,0.0622865,352.5524,39.35021,353.4431
2018/07/02 - 01:08:34.8494115,15.07433,0.06164374,-0.004105542,-0.0307259,6.4297,42.942,358.9062,0.2225799,-0.3997946,0.06228244,352.5325,39.34441,353.4612
2018/07/02 - 01:08:34.8623767,15.08668,0.0616921,-0.004102986,-0.03072834,6.438256,42.94139,358.9152,0.2225889,-0.3998211,0.06230595,352.5289,39.34232,353.4656
2018/07/02 - 01:08:34.8743447,15.09873,0.06172413,-0.004099858,-0.03070934,6.438949,42.94508,358.9044,0.2226073,-0.3999119,0.06229916,352.5607,39.34086,353.4572
2018/07/02 - 01:08:34.8853174,15.11067,0.06176203,-0.004096576,-0.03071121,6.451413,42.95155,358.9051,0.2226396,-0.3999962,0.06229451,352.6082,39.33997,353.4305
2018/07/02 - 01:08:34.8973061,15.12256,0.06180054,-0.00410175,-0.0307277,6.454067,42.95033,358.8882,0.222644,-0.40003,0.06228784,352.6121,39.33898,353.4172
2018/07/02 - 01:08:34.9132418,15.13376,0.06181844,-0.004096773,-0.0307303,6.456741,42.95917,358.8937,0.2226395,-0.4000591,0.06228203,352.6126,39.33784,353.4186
2018/07/02 - 01:08:34.9212204,15.14553,0.06185679,-0.004086676,-0.03075771,6.452918,42.97752,358.882,0.2226153,-0.4001226,0.06225513,352.6187,39.33812,353.4333
2018/07/02 - 01:08:34.9311939,15.15848,0.0618811,-0.004074781,-0.03078761,6.45114,42.97995,358.8683,0.2225819,-0.4001689,0.0622271,352.6184,39.33522,353.4463
2018/07/02 - 01:08:34.9441765,15.16919,0.06190601,-0.004083487,-0.03081337,6.439391,43.0095,358.8621,0.2225454,-0.400221,0.06220146,352.6151,39.32706,353.4576
2018/07/02 - 01:08:34.9551293,15.18091,0.06192574,-0.004098921,-0.03084185,6.438648,43.00961,358.8611,0.2225125,-0.4002896,0.06218906,352.6164,39.31495,353.4688
2018/07/02 - 01:08:34.9661005,15.19234,0.06193736,-0.004124929,-0.0308698,6.438673,43.02955,358.8702,0.2224917,-0.4003598,0.06217891,352.6318,39.30434,353.4769
2018/07/02 - 01:08:34.9790643,15.20369,0.0619397,-0.004137349,-0.03091967,6.450912,43.03382,358.8639,0.2224711,-0.4004322,0.06216764,352.6477,39.29919,353.4827
2018/07/02 - 01:08:34.9900356,15.21552,0.06193335,-0.004179867,-0.03094819,6.439456,43.05901,358.8684,0.2224381,-0.4005149,0.06213361,352.6591,39.29504,353.493
2018/07/02 - 01:08:35.0020033,15.22704,0.06192372,-0.004185936,-0.03098836,6.449944,43.04663,358.8557,0.2224099,-0.4005963,0.06210345,352.6723,39.30013,353.5094
2018/07/02 - 01:08:35.0129737,15.23877,0.06191066,-0.004216791,-0.0310159,6.446074,43.0465,358.8623,0.2223819,-0.4006852,0.0620703,352.6793,39.31773,353.5397
2018/07/02 - 01:08:35.0239456,15.25026,0.06188471,-0.004253355,-0.0310452,6.448933,43.04922,358.8727,0.2223588,-0.4007666,0.06205696,352.6854,39.33767,353.5796
2018/07/02 - 01:08:35.0359118,15.26156,0.06184839,-0.004292991,-0.03107516,6.450971,43.04608,358.8792,0.2223334,-0.4008602,0.06205427,352.6975,39.36317,353.6334
2018/07/02 - 01:08:35.0469027,15.2729,0.06178494,-0.004298815,-0.03111837,6.485657,43.03284,358.8774,0.22232,-0.4009208,0.06204437,352.7018,39.35976,353.6629
