Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:05:14.7018404,89.98291,0.05976898,-0.05466355,-0.1175261,15.63159,3.645756,2.475542,0.1212333,-0.5867304,0.03107596,339.6038,9.399029,3.260866,0,0
2018/07/10 - 11:05:14.7108172,89.99473,0.05996083,-0.05471222,-0.117476,15.56554,3.813875,2.482947,0.1212307,-0.5867348,0.03107197,339.5807,9.424562,3.248495,0,0
2018/07/10 - 11:05:14.7228085,90.00493,0.06018413,-0.05463315,-0.1174792,15.63871,3.936468,2.477785,0.1212284,-0.5867406,0.03106676,339.5528,9.471365,3.216269,0,0
2018/07/10 - 11:05:14.7337558,90.0162,0.06036847,-0.05472092,-0.1174478,15.58052,4.027574,2.49164,0.1212293,-0.5867411,0.03106616,339.5515,9.487492,3.1988,0,0
2018/07/10 - 11:05:14.7447271,90.02764,0.06047188,-0.05462553,-0.1174299,15.66342,4.14307,2.518374,0.1212294,-0.586744,0.03106359,339.5373,9.496337,3.188782,0,0
2018/07/10 - 11:05:14.7547000,90.03896,0.06054815,-0.05463397,-0.1174191,15.66377,4.114188,2.541098,0.1212259,-0.5867462,0.03106167,339.5247,9.511633,3.190529,0,0
2018/07/10 - 11:05:14.7676641,90.04951,0.060557,-0.05469744,-0.1173989,15.62025,4.150591,2.504825,0.1212245,-0.5867472,0.03106082,339.5189,9.513213,3.194748,0,0
2018/07/10 - 11:05:14.7786351,90.06085,0.06058057,-0.05473521,-0.1174295,15.63066,4.137434,2.517246,0.1212232,-0.5867494,0.0310589,339.5065,9.513707,3.199002,0,0
2018/07/10 - 11:05:14.7886083,90.07182,0.0606084,-0.05474451,-0.1174737,15.6661,4.144175,2.490693,0.1212204,-0.5867575,0.03105151,339.4631,9.538289,3.185644,0,0
2018/07/10 - 11:05:14.8015735,90.08288,0.06063827,-0.05478103,-0.1174827,15.6842,4.153384,2.48959,0.1212137,-0.5867682,0.03104207,339.4062,9.579648,3.174309,0,0
2018/07/10 - 11:05:14.8125445,90.09518,0.06064318,-0.05480333,-0.1174783,15.6848,4.147142,2.477739,0.1212149,-0.5867749,0.03103582,339.3713,9.590492,3.155029,0,0
2018/07/10 - 11:05:14.8235149,90.10624,0.06065352,-0.05484064,-0.1174841,15.69695,4.155685,2.475066,0.1212112,-0.5867941,0.03101849,339.2733,9.666585,3.095853,0,0
