Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:32:52.5802435,0.3108182,-0.0001647398,0.006198379,-0.009443384,355.0508,6.620782,5.130453,0.1128862,-0.4427516,0.1213232,345.822,13.18145,346.7311
2018/06/28 - 02:32:52.5912143,0.3230948,-0.0002013259,0.00627733,-0.009644924,355.0251,6.594564,5.162469,0.1128088,-0.4427705,0.1214615,345.8435,13.15477,346.7296
2018/06/28 - 02:32:52.6061740,0.3349601,-0.0002500489,0.006527767,-0.01011476,355.0447,6.521144,5.129698,0.1127005,-0.4427918,0.1216491,345.8754,13.11217,346.7271
2018/06/28 - 02:32:52.6141535,0.3476782,-0.0002997257,0.006722072,-0.01052588,354.9693,6.448582,5.087611,0.1125566,-0.4428353,0.1218652,345.9151,13.05801,346.7202
2018/06/28 - 02:32:52.6241261,0.3574539,-0.0003088899,0.006931735,-0.01082092,354.9274,6.379385,5.088153,0.1124703,-0.4428529,0.1219836,345.9391,13.02617,346.719
2018/06/28 - 02:32:52.6341001,0.3666139,-0.0003081076,0.007161236,-0.01114009,354.857,6.301903,5.103022,0.1123549,-0.4428616,0.1221232,345.9682,12.9782,346.7207
2018/06/28 - 02:32:52.6450703,0.3773914,-0.0003632754,0.007420439,-0.01141551,354.8157,6.242015,5.041011,0.1122335,-0.4428571,0.1222479,345.9828,12.93567,346.7241
2018/06/28 - 02:32:52.6580355,0.388528,-0.0003381558,0.007613499,-0.01171339,354.7206,6.168432,5.061418,0.1121258,-0.4428464,0.1223415,345.9933,12.89936,346.7294
2018/06/28 - 02:32:52.6670114,0.4012619,-0.0003428869,0.007814417,-0.01205597,354.6499,6.072876,4.981621,0.111969,-0.4428358,0.1224147,345.9944,12.83696,346.7498
2018/06/28 - 02:32:52.6779841,0.4103556,-0.0002982542,0.007993767,-0.01242006,354.5663,6.003694,4.985264,0.1117655,-0.4428264,0.1224656,345.9795,12.76598,346.8066
2018/06/28 - 02:32:52.6889528,0.421421,-0.0003228784,0.008173571,-0.01279767,354.4651,5.968229,4.923935,0.1116435,-0.4427999,0.1225019,345.9552,12.74188,346.8388
2018/06/28 - 02:32:52.7009401,0.4324677,-0.0002794042,0.008313049,-0.01325708,354.3253,5.899733,4.913811,0.1114569,-0.4427794,0.1225179,345.9251,12.69251,346.8914
2018/06/28 - 02:32:52.7108939,0.4435547,-0.0002404228,0.008451064,-0.01375056,354.1971,5.818697,4.870987,0.1113119,-0.4427725,0.1224574,345.8939,12.65407,346.9403
2018/06/28 - 02:32:52.7248570,0.4546392,-0.0002065077,0.008569169,-0.01434209,354.1016,5.770041,4.803459,0.1112092,-0.4427737,0.1223903,345.8648,12.63201,346.9699
2018/06/28 - 02:32:52.7348316,0.4670376,-9.183586E-05,0.008652473,-0.01485421,353.9408,5.697092,4.792976,0.1111393,-0.4427787,0.1223378,345.8492,12.61644,346.9895
2018/06/28 - 02:32:52.7487927,0.4789668,-3.823265E-05,0.008851679,-0.01535012,353.8455,5.681666,4.737517,0.1110939,-0.4428012,0.1222599,345.8362,12.6055,347.0067
2018/06/28 - 02:32:52.7567716,0.4906023,9.723008E-05,0.009034809,-0.01569219,353.6828,5.617237,4.672384,0.1110697,-0.4428248,0.1221539,345.8304,12.59718,347.0129
2018/06/28 - 02:32:52.7677437,0.5007148,0.0002486221,0.009289202,-0.01604985,353.56,5.536992,4.584476,0.1110668,-0.4428418,0.1220605,345.8268,12.59811,347.0103
2018/06/28 - 02:32:52.7807087,0.5106678,0.0003907047,0.009490041,-0.01637915,353.4188,5.553616,4.578118,0.1110645,-0.4428593,0.1219364,345.8259,12.59548,347.0034
2018/06/28 - 02:32:52.7896837,0.5226295,0.0004758388,0.009659291,-0.01672292,353.2657,5.570511,4.503518,0.1110889,-0.4428513,0.121859,345.8289,12.60182,346.9883
2018/06/28 - 02:32:52.8006544,0.5329494,0.0005826131,0.009771375,-0.01731263,353.1443,5.545423,4.421048,0.1111577,-0.4428316,0.1217505,345.8297,12.61868,346.9612
2018/06/28 - 02:32:52.8116251,0.5437187,0.0007183403,0.009886061,-0.01779992,353.0244,5.536567,4.410023,0.1112484,-0.4428121,0.1216402,345.8346,12.64244,346.9282
2018/06/28 - 02:32:52.8235934,0.5550916,0.0008430108,0.009970741,-0.01814105,352.8829,5.560987,4.41007,0.1113598,-0.4428163,0.1214805,345.8321,12.67506,346.8961
2018/06/28 - 02:32:52.8335657,0.5663476,0.0009478256,0.01019565,-0.01845969,352.8097,5.565344,4.352013,0.1114813,-0.4428196,0.1213216,345.8339,12.70598,346.8697
2018/06/28 - 02:32:52.8455337,0.5770575,0.001019787,0.01042194,-0.01870169,352.7034,5.603979,4.261199,0.1115885,-0.4428162,0.1212033,345.8354,12.73007,346.85
2018/06/28 - 02:32:52.8584998,0.5886909,0.001090866,0.01058811,-0.01895812,352.5936,5.694461,4.250189,0.1117575,-0.4427873,0.1210473,345.8382,12.77404,346.8155
2018/06/28 - 02:32:52.8684735,0.601312,0.001154818,0.01077599,-0.01920404,352.5287,5.768877,4.205944,0.111898,-0.4427427,0.1209225,345.8395,12.81205,346.798
2018/06/28 - 02:32:52.8844294,0.6120185,0.00127029,0.01092769,-0.01943194,352.4315,5.804164,4.154251,0.1120834,-0.4427016,0.120709,345.8427,12.85652,346.7825
2018/06/28 - 02:32:52.8914230,0.621679,0.001408573,0.01106292,-0.01956752,352.3748,5.879595,4.123551,0.1122877,-0.4426523,0.1205122,345.8523,12.91228,346.7705
2018/06/28 - 02:32:52.9023863,0.634748,0.001525056,0.01116478,-0.01958992,352.3035,5.989472,4.066651,0.1124646,-0.4425939,0.1203764,345.8557,12.95078,346.7503
2018/06/28 - 02:32:52.9133525,0.6442266,0.001681744,0.01130549,-0.01960135,352.2975,6.09112,4.034511,0.1126724,-0.4425378,0.1202291,345.856,13.00733,346.7355
2018/06/28 - 02:32:52.9243249,0.6566428,0.001870025,0.01135388,-0.01964449,352.2397,6.179128,4.024685,0.1128674,-0.4424965,0.1201241,345.8667,13.0372,346.7162
2018/06/28 - 02:32:52.9332999,0.6670747,0.001995716,0.01138091,-0.01971478,352.1924,6.346674,3.970537,0.1130789,-0.4424487,0.1200003,345.8777,13.07271,346.699
