Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.01113684,-1.050923,0.3953126,-0.1542389,15.91544,53.45234,6.862183,-0.8060685,0.03872281,-0.07301376,355.9738,47.3598,356.8546
0.02270034,-1.053628,0.3953613,-0.1551371,15.80645,53.35469,6.81694,-0.8085279,0.03854269,-0.07404289,356.2292,49.29456,357.7689
0.03443451,-1.056327,0.395487,-0.1559412,15.72402,53.29323,6.946249,-0.8103913,0.03829095,-0.0753043,356.3774,49.71517,357.6822
0.04487986,-1.059157,0.3957401,-0.1566435,15.61977,53.10779,6.906063,-0.8118335,0.03796291,-0.07645849,356.6316,49.53591,357.1196
0.05549901,-1.062002,0.3959011,-0.1573323,15.46738,52.9738,6.933909,-0.8124106,0.03765399,-0.07732948,357.3435,49.23248,356.1995
0.0673134,-1.064781,0.3961273,-0.1580213,15.34456,52.95118,7.004798,-0.8130782,0.03722497,-0.0781593,358.0348,49.34859,355.5802
0.07788333,-1.067566,0.3961894,-0.1588006,15.1967,52.91199,7.024868,-0.8142045,0.0366271,-0.07879771,358.7062,49.52932,355.3717
0.08906028,-1.07022,0.3962763,-0.1591523,15.00211,53.03456,7.205636,-0.8155658,0.03588735,-0.07933494,359.524,49.47731,355.1342
0.1000458,-1.072923,0.3966441,-0.1598738,14.79018,53.05878,7.239686,-0.8174914,0.03507309,-0.08010581,0.295983,49.2061,354.9655
0.1113698,-1.075553,0.3967403,-0.1603003,14.58883,53.12052,7.479197,-0.8198266,0.03425502,-0.08059786,1.077433,48.94217,355.1261
0.1232044,-1.078152,0.396894,-0.160889,14.40902,53.28769,7.485823,-0.8220683,0.03379078,-0.08084756,1.764688,48.78396,355.3191
0.1329725,-1.080711,0.397011,-0.1615124,14.28616,53.40088,7.523839,-0.8246656,0.03348472,-0.08158181,2.119481,47.98737,355.0795
0.1438917,-1.083289,0.3970766,-0.1620901,14.2228,53.39039,7.608799,-0.8271414,0.03324442,-0.08257447,2.378476,47.37039,354.7011
0.155193,-1.085885,0.3970373,-0.1626408,14.15065,53.39159,7.637765,-0.8291056,0.03336136,-0.08380047,2.413265,47.3736,354.2303
0.1660488,-1.088418,0.3970496,-0.1631887,14.13153,53.37507,7.661499,-0.8310052,0.03348658,-0.08481858,2.370835,47.56373,353.9978
0.1774504,-1.090881,0.3971488,-0.1637077,14.17541,53.3022,7.695424,-0.8331094,0.03365973,-0.08559667,2.113866,47.68718,354.0359
0.1881623,-1.093166,0.3972394,-0.1644498,14.05608,53.09484,7.500537,-0.8352998,0.03377393,-0.0863402,1.879091,47.60176,353.9747
0.1997033,-1.095435,0.3972685,-0.16497,13.9621,53.01384,7.475942,-0.8375082,0.03395551,-0.08700758,1.671104,47.3976,353.8589
0.2107048,-1.097647,0.3974644,-0.1656161,13.98118,52.9926,7.402263,-0.8396664,0.03416105,-0.08764325,1.673404,47.08706,353.6796
0.2218507,-1.099718,0.3975206,-0.1662153,13.79679,52.9018,7.372503,-0.8417305,0.03442726,-0.08820114,1.84705,46.5706,353.3038
0.2329127,-1.101828,0.3978906,-0.1664725,13.70207,53.09791,7.226982,-0.8437013,0.03467793,-0.08864171,2.026528,45.9396,352.7473
0.2442225,-1.1037,0.3980547,-0.1672356,13.28616,53.07553,6.98486,-0.845624,0.0348643,-0.08886278,2.388326,45.41539,352.3345
0.2555175,-1.105659,0.3982105,-0.1675913,13.15689,53.37784,7.098407,-0.8473828,0.03498532,-0.08891354,3.090546,45.06636,352.0161
0.2669948,-1.107448,0.3982807,-0.1681742,13.06215,53.61319,7.126854,-0.8489909,0.03499119,-0.08888034,3.761653,44.92867,351.9292
0.2773457,-1.109255,0.3983398,-0.1687487,12.96626,53.79974,7.180249,-0.850615,0.03503461,-0.08891214,3.975708,44.87017,351.8917
0.2884206,-1.110911,0.3982917,-0.1693388,12.88687,54.06789,7.315999,-0.8522621,0.03512435,-0.08897768,3.863466,44.74831,351.7281
0.2996797,-1.112524,0.3982161,-0.1699782,12.94466,54.30825,7.485807,-0.8539566,0.03521043,-0.08910618,3.672411,44.56985,351.5409
