Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/06/28 - 02:58:13.0334929,11.11827,1,1,Peer hit peer's target,4.630698,5.353054,-2.70603
2018/06/28 - 02:58:15.0027122,13.08849,1,0,Peer missed, , , 
2018/06/28 - 02:58:17.3375769,15.42263,2,1,Peer hit peer's target,-3.099764,7.217896,3.916452
2018/06/28 - 02:58:17.6028673,15.68901,2,0,Peer missed, , , 
2018/06/28 - 02:58:23.9928186,22.07816,4,1,Peer hit peer's target,-2.023835,8.597999,-2.602485
2018/06/28 - 02:58:25.4042517,23.49002,4,0,Peer missed, , , 
2018/06/28 - 02:58:25.9601065,24.04528,4,1,Peer hit peer's target,-1.69917,4.228705,-4.001276
2018/06/28 - 02:58:27.3474039,25.43325,4,0,Peer missed, , , 
2018/06/28 - 02:58:30.2379716,28.32305,4,1,Peer hit peer's target,0.2795419,4.755719,5.22683
2018/06/28 - 02:58:33.5260786,31.61212,5,0,Peer hit user's target,2.498048,3.933947,-3.927333
2018/06/28 - 02:58:33.5480323,31.63429,5,1,Peer hit peer's target,-3.881205,3.565399,1.998052
2018/06/28 - 02:58:33.6158385,31.70049,5,2,Peer hit peer's target,5.080209,6.473552,-1.6965
2018/06/28 - 02:58:35.3945100,33.47923,6,3,Peer hit peer's target,-3.361489,3.5764,-3.646828
2018/06/28 - 02:58:36.6834084,34.76904,6,4,Peer hit peer's target,-1.879469,1.9793,3.626206
2018/06/28 - 02:58:37.9052464,35.99131,8,5,Peer hit peer's target,-1.395314,1.632306,3.422241
2018/06/28 - 02:58:39.9916718,38.07795,10,6,Peer hit peer's target,0.96345,3.426948,4.79759
2018/06/28 - 02:58:41.6827656,39.76704,10,7,Peer hit peer's target,-3.52411,8.647915,-0.5782717
2018/06/28 - 02:58:42.9271229,41.01296,8,8,Peer hit peer's target,-4.254417,4.295372,-2.186472
2018/06/28 - 02:58:45.6721695,43.75803,9,9,Peer hit peer's target,0.8833253,8.489895,-2.974779
2018/06/28 - 02:58:45.8609989,43.94608,10,8,Peer missed, , , 
2018/06/28 - 02:58:46.3826030,44.46832,11,7,Peer missed, , , 
2018/06/28 - 02:58:46.8044788,44.89031,11,6,Peer missed, , , 
2018/06/28 - 02:58:49.7385675,47.82357,9,5,Peer missed, , , 
2018/06/28 - 02:58:51.7156004,49.80068,4,4,Peer missed, , , 
