Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:33.5372415,0.30974,0.5659692,0.2447083,-0.748049,19.59519,300.7914,359.2547,0.3981437,-0.2566882,-0.5968066,2.448602,314.6734,355.3065
2018/06/22 - 01:52:33.5482108,0.3212543,0.566033,0.2450945,-0.7489814,19.39492,300.4372,359.2168,0.3976873,-0.2570044,-0.5978907,2.443366,314.1924,355.2878
2018/06/22 - 01:52:33.5602690,0.3326793,0.5661848,0.24551,-0.7498991,19.13798,300.0456,359.1835,0.3970182,-0.2575875,-0.5986941,2.661066,313.7271,355.2235
2018/06/22 - 01:52:33.5702226,0.3439035,0.5663075,0.2460076,-0.750811,18.85628,299.6486,359.1207,0.3963887,-0.2581686,-0.5994672,2.961975,313.2779,355.1136
2018/06/22 - 01:52:33.5811936,0.3547903,0.566393,0.246517,-0.7517248,18.44559,299.3224,359.0966,0.395755,-0.2587532,-0.6002588,3.407851,313.1501,355.3615
2018/06/22 - 01:52:33.5911659,0.3654823,0.5665496,0.2472141,-0.7525851,18.03601,298.9529,359.0565,0.3949654,-0.2592157,-0.6011088,3.776195,312.9673,355.7372
2018/06/22 - 01:52:33.6041321,0.3761544,0.5667573,0.2479541,-0.7534379,17.46877,298.6132,359.0333,0.3939737,-0.259495,-0.6019991,4.000601,312.3517,355.985
2018/06/22 - 01:52:33.6151025,0.3876463,0.5670429,0.2487752,-0.754298,16.94282,298.2485,358.9493,0.3930258,-0.2596313,-0.6029041,4.267407,311.8985,356.4435
2018/06/22 - 01:52:33.6250976,0.3989162,0.567349,0.2495131,-0.7551356,16.43203,297.9244,358.9135,0.3919578,-0.2596563,-0.603982,4.433871,311.6895,357.3091
2018/06/22 - 01:52:33.6380603,0.4096395,0.5677052,0.2502197,-0.7560235,15.92062,297.6686,358.8626,0.3908366,-0.25969,-0.6050417,4.366947,311.1612,357.9898
2018/06/22 - 01:52:33.6470172,0.4216214,0.5681529,0.2508562,-0.7567992,15.46794,297.354,358.8668,0.3897442,-0.259909,-0.6057867,4.143702,310.265,358.287
2018/06/22 - 01:52:33.6600041,0.4316689,0.56863,0.2513998,-0.7575605,15.06126,297.099,358.8677,0.3888356,-0.2602534,-0.60633,3.908469,309.2917,358.2298
2018/06/22 - 01:52:33.6699759,0.4434511,0.5690616,0.2519045,-0.758307,14.69561,296.9034,358.8587,0.3880073,-0.260608,-0.6067379,3.559101,308.3257,358.0111
2018/06/22 - 01:52:33.6809261,0.4543488,0.5696201,0.2524014,-0.758975,14.45965,296.709,358.8893,0.3872129,-0.2612147,-0.6068324,3.555075,307.2746,357.5564
2018/06/22 - 01:52:33.6918974,0.4650829,0.5701593,0.2528568,-0.7596341,14.23458,296.5131,358.8193,0.3864128,-0.2620069,-0.6068305,4.173368,306.3775,357.0804
2018/06/22 - 01:52:33.7038652,0.4767951,0.5706695,0.2532704,-0.7602361,14.00662,296.3736,358.8498,0.3856782,-0.2630482,-0.6063522,5.335303,305.7164,356.4828
2018/06/22 - 01:52:33.7148359,0.4877056,0.5711896,0.2537189,-0.7607887,13.78823,296.2254,358.7861,0.3851555,-0.2640665,-0.6057104,6.497602,305.086,355.7563
2018/06/22 - 01:52:33.7248091,0.4987423,0.5716524,0.2541285,-0.7612866,13.54125,296.1446,358.8626,0.3849315,-0.2651355,-0.6053213,7.439917,304.39,355.0094
2018/06/22 - 01:52:33.7377747,0.5098869,0.5721458,0.2545904,-0.7617329,13.32167,296.0241,358.8475,0.384356,-0.2659928,-0.6049119,8.324271,303.0492,354.2747
2018/06/22 - 01:52:33.7477595,0.5213121,0.5726243,0.2549467,-0.7621993,13.03571,295.9545,358.8964,0.3838791,-0.2668916,-0.6048043,9.059056,301.1237,353.4768
2018/06/22 - 01:52:33.7598057,0.5321975,0.5732362,0.2553836,-0.7626811,12.87938,295.8499,358.9049,0.3841085,-0.2677304,-0.604723,9.51085,299.8614,352.6859
2018/06/22 - 01:52:33.7697738,0.5435506,0.5738099,0.2556099,-0.7631393,12.59895,295.8193,359.0016,0.3852083,-0.2682756,-0.6048618,9.635793,298.8587,351.7687
2018/06/22 - 01:52:33.7817444,0.5546598,0.5744327,0.2559574,-0.7635733,12.41717,295.7094,359.0017,0.3869952,-0.2687095,-0.6052096,9.645901,298.919,350.9482
2018/06/22 - 01:52:33.7917147,0.5656357,0.5749784,0.2562495,-0.7640111,12.2236,295.6932,358.9858,0.3887551,-0.2689478,-0.6051437,9.364886,299.1957,350.4938
2018/06/22 - 01:52:33.8036833,0.5765558,0.5755347,0.256482,-0.7643318,12.01995,295.6766,359.0871,0.3879114,-0.2689241,-0.6047269,6.747848,294.9512,349.0818
2018/06/22 - 01:52:33.8156712,0.5879515,0.5761515,0.2568033,-0.7647968,11.93296,295.6768,359.0616,0.3868275,-0.2696973,-0.6034449,4.976834,289.5334,344.7007
2018/06/22 - 01:52:33.8256441,0.5989922,0.57682,0.2570069,-0.765206,11.76215,295.6385,359.1073,0.3861709,-0.2706531,-0.6015993,4.883332,286.0865,340.7573
2018/06/22 - 01:52:33.8376113,0.6098136,0.5773178,0.2572373,-0.7655421,11.58395,295.6725,359.126,0.3862762,-0.2719185,-0.5996758,5.441248,284.7552,337.846
2018/06/22 - 01:52:33.8475845,0.6214523,0.5778181,0.2575063,-0.7658252,11.41921,295.6583,359.105,0.3869379,-0.2734331,-0.5976145,6.153268,284.9435,335.5736
2018/06/22 - 01:52:33.8595534,0.6323934,0.5782389,0.2575707,-0.766041,11.14363,295.7227,359.2378,0.3888166,-0.2748074,-0.5963405,6.086542,285.9417,334.0756
2018/06/22 - 01:52:33.8705238,0.6432606,0.5787141,0.2578412,-0.7662835,11.05303,295.7095,359.1614,0.3908477,-0.2759063,-0.5953946,5.665386,286.7859,332.994
2018/06/22 - 01:52:33.8895011,0.654592,0.5791106,0.2578371,-0.7664163,10.88484,295.7438,359.2277,0.3939431,-0.2765383,-0.5951455,4.839956,288.9589,333.4261
2018/06/22 - 01:52:33.9024396,0.6727709,0.5796048,0.2579546,-0.7665974,10.80561,295.7648,359.2468,0.3954955,-0.2763231,-0.5952535,4.347434,290.5047,334.6008
2018/06/22 - 01:52:33.9134092,0.6838645,0.5800987,0.2580037,-0.766774,10.69778,295.8078,359.2625,0.3959309,-0.2757653,-0.5955813,3.889493,291.1533,336.1044
2018/06/22 - 01:52:33.9203909,0.6974294,0.5806587,0.2581606,-0.7669818,10.68245,295.8531,359.2311,0.3964315,-0.2757214,-0.5955041,3.431845,291.4653,336.5275
2018/06/22 - 01:52:33.9273715,0.7051017,0.5812544,0.2582567,-0.7671596,10.66649,295.9133,359.2599,0.3969107,-0.2757943,-0.5952769,3.08862,291.6368,336.7267
2018/06/22 - 01:52:33.9373447,0.7116331,0.5818489,0.2583678,-0.7673818,10.66229,295.9837,359.1848,0.3969888,-0.276096,-0.5947635,3.083562,291.1046,336.7828
2018/06/22 - 01:52:33.9473241,0.7213097,0.5824844,0.2584672,-0.7675244,10.65003,296.0552,359.1597,0.3969209,-0.276403,-0.5939879,3.135408,290.0453,336.9505
2018/06/22 - 01:52:33.9592862,0.7323177,0.5830753,0.2585698,-0.767687,10.60244,296.1761,359.1692,0.3965191,-0.2766342,-0.5932993,2.999646,288.8218,337.5135
2018/06/22 - 01:52:33.9702564,0.7431266,0.5838017,0.2587427,-0.7678884,10.56628,296.2137,359.1021,0.3963165,-0.2766979,-0.5927391,2.564917,288.1524,337.8743
2018/06/22 - 01:52:33.9822246,0.7545396,0.5844048,0.2588717,-0.7681524,10.46752,296.3752,359.1384,0.3965788,-0.2767439,-0.5916922,1.712656,288.1812,337.2101
2018/06/22 - 01:52:33.9921981,0.765918,0.5848941,0.2590021,-0.7681895,10.33536,296.4246,359.1234,0.3975346,-0.2767633,-0.5904424,0.6608047,288.8736,336.2669
2018/06/22 - 01:52:34.0041664,0.7769544,0.5853382,0.2591392,-0.7682464,10.22009,296.4883,359.111,0.399168,-0.2770256,-0.5887172,359.6523,290.4749,334.8556
2018/06/22 - 01:52:34.0151369,0.7880535,0.585803,0.2592923,-0.7683159,10.15607,296.5542,359.1067,0.4004776,-0.2774465,-0.5867412,358.8879,292.0653,333.5624
2018/06/22 - 01:52:34.0251101,0.7988052,0.5862182,0.259391,-0.7683645,10.09105,296.5659,359.0752,0.4005928,-0.2777952,-0.584437,359.0395,293.7485,332.9652
2018/06/22 - 01:52:34.0370781,0.8096872,0.5866131,0.259456,-0.7684349,10.04199,296.5899,359.0275,0.3998862,-0.27794,-0.582353,0.0495923,295.332,333.1035
2018/06/22 - 01:52:34.0470516,0.8213233,0.5869086,0.2594855,-0.7684137,10.01271,296.5951,358.9984,0.3988514,-0.2779411,-0.580768,1.235003,296.9804,333.7761
2018/06/22 - 01:52:34.0590193,0.8319072,0.5871177,0.2594915,-0.7684536,10.01532,296.6505,358.9857,0.397828,-0.2768777,-0.5799169,1.615778,298.3422,335.2634
2018/06/22 - 01:52:34.0699903,0.8433051,0.5874891,0.259566,-0.7685348,10.04932,296.6274,358.7982,0.3968638,-0.2764553,-0.5795345,1.614845,299.0084,336.0229
2018/06/22 - 01:52:34.0819592,0.8547526,0.5876319,0.2595728,-0.7685722,10.10945,296.6706,358.7941,0.3962568,-0.2758063,-0.5797305,1.202782,299.1801,336.7084
2018/06/22 - 01:52:34.0919315,0.8652989,0.5876562,0.2595074,-0.7685506,10.09201,296.656,358.7835,0.3957901,-0.2750999,-0.5800453,0.6074679,299.1771,337.3463
2018/06/22 - 01:52:34.1038995,0.8761337,0.5879144,0.2594666,-0.7686741,10.09717,296.7119,358.7095,0.3955346,-0.2741679,-0.5805944,359.6593,298.8178,337.9802
2018/06/22 - 01:52:34.1148703,0.8880457,0.5879611,0.2594732,-0.7686787,10.11821,296.6806,358.6945,0.3958621,-0.27309,-0.581064,357.8005,298.6668,338.6828
2018/06/22 - 01:52:34.1248440,0.898922,0.5880193,0.2594804,-0.7686967,10.12162,296.642,358.6801,0.3970888,-0.2718749,-0.5812342,354.7556,298.7827,339.246
2018/06/22 - 01:52:34.1378090,0.9097633,0.5880084,0.2594638,-0.7687116,10.0887,296.6291,358.7041,0.3990155,-0.2710193,-0.5810601,351.4288,299.1228,339.6826
2018/06/22 - 01:52:34.1477831,0.9216727,0.5882427,0.2594444,-0.768815,10.05213,296.5974,358.6979,0.4015809,-0.2708223,-0.5805419,348.1929,299.7083,339.9103
2018/06/22 - 01:52:34.1597499,0.9326241,0.5884096,0.2594679,-0.7689242,10.0174,296.5638,358.6879,0.4035304,-0.2710845,-0.5795777,346.5084,299.8898,339.8297
2018/06/22 - 01:52:34.1697234,0.9435277,0.5886635,0.2594868,-0.7690097,9.965991,296.4746,358.7102,0.4047131,-0.2713215,-0.5783172,345.8942,299.1224,339.3762
2018/06/22 - 01:52:34.1816911,0.9542763,0.5887553,0.2594853,-0.7690806,9.930573,296.439,358.7014,0.4056254,-0.2718042,-0.5770932,344.7992,297.0662,339.0111
2018/06/22 - 01:52:34.1916655,0.9653986,0.5888964,0.2594815,-0.7691356,9.907891,296.4,358.7484,0.4068871,-0.272173,-0.5764604,342.9208,295.0826,339.129
2018/06/22 - 01:52:34.2036332,0.97649,0.5888969,0.2595283,-0.7691292,9.924351,296.3944,358.7564,0.4080186,-0.2720616,-0.5763501,340.699,292.8019,340.9766
2018/06/22 - 01:52:34.2162904,0.9874886,0.5889413,0.2596008,-0.7691249,9.927877,296.3596,358.7271,0.4086076,-0.271441,-0.5765654,338.8934,290.1041,345.117
2018/06/22 - 01:52:34.2262628,0.9997072,0.5890524,0.2595887,-0.7691087,9.845937,296.3192,358.7309,0.4098886,-0.2703746,-0.5774488,337.7507,288.0187,351.3122
2018/06/22 - 01:52:34.2392073,1.010875,0.5890872,0.2595959,-0.7690955,9.818226,296.2963,358.7109,0.4121116,-0.269901,-0.5781223,336.1994,286.4599,357.007
2018/06/22 - 01:52:34.2471862,1.02254,0.5890456,0.259593,-0.769082,9.828202,296.3015,358.721,0.4133589,-0.2686139,-0.5775472,336.3855,287.1699,359.2572
2018/06/22 - 01:52:34.2591531,1.031944,0.5890487,0.259589,-0.7690603,9.836492,296.2781,358.717,0.4135828,-0.2675658,-0.5760398,338.01,291.4261,355.9004
2018/06/22 - 01:52:34.2701238,1.04333,0.589096,0.2595526,-0.7690167,9.807291,296.2257,358.7029,0.4136534,-0.2679835,-0.573533,338.4157,292.5693,353.6505
