Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:37:09.3555799,0,0.03626902,0.3287813,0.1555137,10.97011,174.1858,358.5288,0.1151686,-0.03184814,-0.06244934,350.6254,169.0485,17.3108
2018/06/29 - 02:37:09.3655534,0.01130635,0.03598849,0.3285051,0.1552904,11.18644,174.2836,358.5038,0.1148819,-0.03191552,-0.06236878,350.8437,169.1614,17.23892
2018/06/29 - 02:37:09.3765232,0.02476595,0.03566691,0.3282489,0.154999,11.2826,174.3103,358.4756,0.1146633,-0.03197933,-0.06221902,350.964,169.146,17.18962
2018/06/29 - 02:37:09.3855006,0.03474338,0.03538375,0.3280744,0.154686,11.32989,174.3459,358.4271,0.1145411,-0.03194201,-0.06209037,351.0286,169.0322,17.16037
2018/06/29 - 02:37:09.3974796,0.04471683,0.03517889,0.3278963,0.1543288,11.30562,174.4238,358.3712,0.1144174,-0.03185402,-0.06179348,350.9714,168.8652,17.11597
2018/06/29 - 02:37:09.4084390,0.05582521,0.03492972,0.3277864,0.1540652,11.41272,174.3923,358.253,0.1142347,-0.03178196,-0.06149564,350.9236,168.7973,16.99655
2018/06/29 - 02:37:09.4184124,0.06671087,0.03474687,0.3274747,0.1537805,11.43629,174.4362,358.2556,0.1140538,-0.03163102,-0.06129221,350.9944,168.8913,16.84299
2018/06/29 - 02:37:09.4313782,0.07755017,0.03449733,0.3272573,0.1535577,11.54296,174.4251,358.2046,0.113899,-0.0314788,-0.06107855,351.052,169.0965,16.78665
2018/06/29 - 02:37:09.4413502,0.08910228,0.03431448,0.3269863,0.1533418,11.61596,174.4482,358.1629,0.1137781,-0.03137239,-0.06086482,351.0624,169.3959,16.79315
2018/06/29 - 02:37:09.4523204,0.1000707,0.03413877,0.3268211,0.1531259,11.75273,174.3879,358.0919,0.1136731,-0.0313431,-0.06065943,351.0899,169.7463,16.84015
2018/06/29 - 02:37:09.4642895,0.1108742,0.03389797,0.3266284,0.1529249,11.85884,174.3121,358.0724,0.1135715,-0.03135962,-0.06044356,351.0994,169.9884,16.83981
2018/06/29 - 02:37:09.4752602,0.1232145,0.03373564,0.3264594,0.152669,12.00176,174.2813,358.0611,0.1135299,-0.03154485,-0.06031837,351.1071,170.0839,16.76588
2018/06/29 - 02:37:09.4852334,0.1335924,0.03356962,0.326256,0.1524004,12.13337,174.2297,358.03,0.1134903,-0.03177971,-0.06012257,351.0741,170.1283,16.66025
2018/06/29 - 02:37:09.4981986,0.144725,0.03337603,0.325965,0.1521067,12.23613,174.1716,357.9964,0.1135132,-0.03206579,-0.05997011,351.0194,170.1039,16.56995
2018/06/29 - 02:37:09.5091690,0.1558692,0.03317121,0.3257508,0.1518117,12.35036,174.0947,357.9729,0.1135183,-0.03230861,-0.05983451,350.9896,170.121,16.48554
2018/06/29 - 02:37:09.5191422,0.1670492,0.03294065,0.3255472,0.1515281,12.46091,174.0646,357.9436,0.113481,-0.03267493,-0.05980411,351.0802,170.2168,16.33747
2018/06/29 - 02:37:09.5311099,0.1781294,0.03271361,0.3252935,0.1512336,12.55519,174.041,357.9492,0.1134177,-0.03293776,-0.05971306,351.123,170.4327,16.28403
2018/06/29 - 02:37:09.5410827,0.188876,0.03247504,0.3250775,0.151,12.7601,174.0137,357.901,0.1133686,-0.03313998,-0.05957235,351.1226,170.678,16.3408
2018/06/29 - 02:37:09.5530507,0.2000549,0.03219459,0.3246476,0.1507847,12.85293,173.9583,357.8826,0.1132819,-0.03333645,-0.05942217,351.123,170.9466,16.41276
2018/06/29 - 02:37:09.5630281,0.2115692,0.03199038,0.3242989,0.1506152,13.04602,173.9474,357.8369,0.1130893,-0.03348656,-0.05929821,351.0847,171.2251,16.42743
2018/06/29 - 02:37:09.5749924,0.2224529,0.03162423,0.323898,0.150457,13.18278,173.8785,357.8255,0.1129185,-0.03352964,-0.05927278,351.0997,171.3748,16.43954
2018/06/29 - 02:37:09.5859640,0.2330538,0.03131109,0.3236612,0.1503041,13.37149,173.9325,357.8526,0.1127893,-0.03354803,-0.05922157,351.1017,171.4297,16.48137
2018/06/29 - 02:37:09.5989284,0.2445016,0.03099158,0.3234421,0.1501369,13.48687,173.9528,357.8546,0.1125737,-0.03348737,-0.05915372,351.1116,171.4977,16.48699
2018/06/29 - 02:37:09.6089018,0.2555297,0.03066853,0.323217,0.1499998,13.56081,174.0112,357.8914,0.1123149,-0.03334221,-0.05905621,351.1184,171.6637,16.45451
2018/06/29 - 02:37:09.6198725,0.266701,0.0304677,0.3228795,0.1498989,13.52289,174.1339,357.86,0.1120568,-0.03297544,-0.05891794,350.9785,171.8437,16.48768
2018/06/29 - 02:37:09.6308432,0.2786965,0.03009802,0.3227554,0.1498133,13.69788,174.1111,357.8596,0.1117455,-0.03260913,-0.05870027,350.7637,172.0031,16.49391
2018/06/29 - 02:37:09.6408170,0.2894548,0.02987787,0.3226691,0.1498592,13.86022,174.156,357.8269,0.1113454,-0.03227146,-0.05844992,350.5219,172.1697,16.36687
