Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:14:22.9514904,0,0.03128827,0.009135353,-0.003672559,5.69775,22.02755,0.8452953,0.1554281,-0.3800866,0.09272062,3.440275,8.551328,355.1758
2018/06/28 - 02:14:22.9624600,0.01107453,0.03116488,0.009097711,-0.003453108,5.706473,22.06079,0.8764797,0.1554311,-0.3800869,0.09272096,3.46189,8.623967,355.1292
2018/06/28 - 02:14:22.9744276,0.02563691,0.03105174,0.009041747,-0.003247546,5.701965,22.09749,0.8977515,0.1554272,-0.3800838,0.09272628,3.50039,8.696026,355.1178
2018/06/28 - 02:14:22.9834053,0.03684627,0.03099402,0.008951775,-0.003094815,5.687227,22.11788,0.9599735,0.1554264,-0.3800794,0.09273511,3.555227,8.762197,355.0978
2018/06/28 - 02:14:22.9943745,0.04620276,0.03089914,0.008909832,-0.00291187,5.711134,22.15497,0.9845184,0.1554152,-0.380076,0.09273831,3.58168,8.846051,355.1131
2018/06/28 - 02:14:23.0033519,0.0564416,0.03081958,0.008863691,-0.00272201,5.728087,22.18262,1.002742,0.1554091,-0.3800754,0.09273744,3.580585,8.876041,355.1268
2018/06/28 - 02:14:23.0163154,0.06607002,0.03078743,0.008813799,-0.002562748,5.729383,22.18246,1.015931,0.1554007,-0.3800738,0.09273791,3.586433,8.916995,355.1468
2018/06/28 - 02:14:23.0277935,0.0782226,0.03072898,0.008773517,-0.002377499,5.742989,22.21047,1.020857,0.1553931,-0.3800715,0.09274003,3.602767,8.969011,355.1595
2018/06/28 - 02:14:23.0367695,0.08949908,0.03068009,0.008695997,-0.002165199,5.742213,22.24374,1.058193,0.1553852,-0.3800661,0.09274863,3.647084,9.019404,355.1793
2018/06/28 - 02:14:23.0497347,0.100092,0.03058209,0.008668361,-0.001920274,5.77527,22.29188,1.051115,0.1553828,-0.3800622,0.09275617,3.683332,9.038761,355.187
2018/06/28 - 02:14:23.0636977,0.1114394,0.03052592,0.008622294,-0.001693523,5.782445,22.30472,1.06705,0.1553803,-0.3800565,0.09276731,3.739981,9.07701,355.1893
2018/06/28 - 02:14:23.0716764,0.1258419,0.03048125,0.008589916,-0.00153404,5.787092,22.31934,1.08701,0.1553809,-0.3800491,0.0927834,3.82244,9.121736,355.1782
2018/06/28 - 02:14:23.0816504,0.133994,0.0303943,0.008550695,-0.001268138,5.797734,22.34892,1.107249,0.1553826,-0.3800438,0.09279526,3.88752,9.167998,355.1581
2018/06/28 - 02:14:23.0926214,0.1448385,0.03033347,0.008560164,-0.001089415,5.803502,22.35906,1.094982,0.1553817,-0.3800432,0.09279625,3.896344,9.189113,355.1538
2018/06/28 - 02:14:23.1035921,0.155391,0.03025242,0.008544081,-0.0008679265,5.788169,22.39082,1.10734,0.1553814,-0.3800426,0.09279745,3.90861,9.218395,355.1429
2018/06/28 - 02:14:23.1155592,0.1664513,0.03021096,0.008562442,-0.0007213615,5.79357,22.38237,1.128278,0.1553861,-0.3800421,0.09280033,3.929832,9.237724,355.1147
2018/06/28 - 02:14:23.1255321,0.1778044,0.03011511,0.008549016,-0.0005090619,5.761305,22.39816,1.14144,0.1553947,-0.3800416,0.09280436,3.957495,9.250008,355.073
2018/06/28 - 02:14:23.1365031,0.1884895,0.03002742,0.008579132,-0.0003368901,5.739875,22.39997,1.157486,0.1554064,-0.3800425,0.0928068,3.97705,9.248131,355.0224
2018/06/28 - 02:14:23.1494678,0.1994133,0.0298929,0.008599704,-0.0001340695,5.670524,22.41304,1.201387,0.1554221,-0.3800442,0.09280887,3.994778,9.232491,354.9592
2018/06/28 - 02:14:23.1604388,0.2114529,0.02978834,0.008645561,2.367981E-05,5.592941,22.37812,1.221337,0.1554313,-0.3800446,0.09281132,4.012198,9.229681,354.9203
2018/06/28 - 02:14:23.1714097,0.2233569,0.02967286,0.008683377,0.0001362991,5.501576,22.36148,1.201268,0.1554402,-0.3800449,0.09281389,4.029673,9.226104,354.8831
2018/06/28 - 02:14:23.1813832,0.2336298,0.02956841,0.008783184,0.0002183868,5.430016,22.36622,1.23524,0.1554467,-0.3800481,0.09280949,4.014091,9.22036,354.8523
2018/06/28 - 02:14:23.1943490,0.245069,0.0294604,0.008906683,0.0002705306,5.334318,22.35425,1.235157,0.1554495,-0.380051,0.09280431,3.992611,9.217206,354.8374
2018/06/28 - 02:14:23.2023265,0.2567878,0.0293214,0.009022397,0.0003434345,5.19288,22.34505,1.232193,0.1554495,-0.3800521,0.09280191,3.982949,9.22076,354.834
2018/06/28 - 02:14:23.2152920,0.2660178,0.02918365,0.009165614,0.0003834944,5.103327,22.3188,1.236131,0.1554493,-0.3800524,0.09280121,3.980794,9.225116,354.8325
2018/06/28 - 02:14:23.2252652,0.2777727,0.02907921,0.009330666,0.0003625955,5.010548,22.20944,1.199519,0.1554479,-0.380052,0.09280157,3.981014,9.223997,354.8394
2018/06/28 - 02:14:23.2372334,0.2885918,0.02893423,0.009439437,0.0003854148,4.839652,22.08919,1.213837,0.1554457,-0.3800509,0.09280302,3.982965,9.213239,354.8554
2018/06/28 - 02:14:23.2492008,0.3003703,0.02874605,0.009602531,0.0004179087,4.681086,21.8701,1.161639,0.1554386,-0.3800486,0.09280541,3.97967,9.180668,354.904
2018/06/28 - 02:14:23.2601727,0.3117037,0.02835014,0.009959843,0.0005722884,4.535282,21.55614,1.036693,0.155426,-0.3800451,0.0928083,3.973532,9.14503,354.9797
2018/06/28 - 02:14:23.2711423,0.3229759,0.02782384,0.01028129,0.0008225106,4.219899,21.01113,0.896308,0.1554138,-0.3800389,0.09281708,3.993394,9.107735,355.0585
2018/06/28 - 02:14:23.2811220,0.3340963,0.02712391,0.01070107,0.001088356,3.930951,20.2263,0.6429571,0.1554131,-0.380034,0.09282739,4.030122,9.074893,355.0839
2018/06/28 - 02:14:23.2940818,0.3446781,0.02611342,0.0111898,0.001431194,3.629547,19.16131,0.3555009,0.1554238,-0.3800257,0.09284924,4.115045,8.995209,355.0865
2018/06/28 - 02:14:23.3040820,0.3562325,0.02498553,0.01167301,0.001649746,3.360854,17.94289,359.9529,0.15544,-0.3800216,0.09286428,4.168185,8.891457,355.0692
2018/06/28 - 02:14:23.3150245,0.3669498,0.02355842,0.01214939,0.001884216,3.078257,16.50048,359.5208,0.1554598,-0.3800202,0.09287469,4.177907,8.684622,355.0775
2018/06/28 - 02:14:23.3269931,0.3778258,0.02200924,0.012716,0.002253356,2.832743,15.06583,359.1422,0.1554719,-0.380022,0.09287533,4.135844,8.4665,355.1194
2018/06/28 - 02:14:23.3369668,0.3893207,0.02026833,0.01324116,0.002619216,2.410859,13.3525,358.7864,0.1554878,-0.3800282,0.09286793,4.045172,8.184289,355.1669
2018/06/28 - 02:14:23.3489575,0.4003975,0.01843075,0.01386297,0.0029764,1.957739,11.6131,358.4623,0.1555206,-0.3800386,0.09285772,3.940889,7.850615,355.1588
2018/06/28 - 02:14:23.3589091,0.4113958,0.01627247,0.01469606,0.003573841,1.451444,9.808095,358.1053,0.1555766,-0.3800545,0.0928451,3.823061,7.447872,355.0748
2018/06/28 - 02:14:23.3738677,0.4226058,0.01402225,0.0155305,0.004161654,0.8513755,7.894381,357.8061,0.1556387,-0.3800685,0.09283964,3.734864,7.031281,354.974
2018/06/28 - 02:14:23.3808494,0.4349065,0.01187358,0.0161886,0.003965691,0.223394,5.96534,357.5636,0.15571,-0.3800906,0.09282141,3.584778,6.584781,354.8379
2018/06/28 - 02:14:23.3938362,0.4444835,0.009587165,0.0169483,0.003566688,359.6188,3.92356,357.3021,0.1557735,-0.3801126,0.09280093,3.422602,6.162731,354.7271
2018/06/28 - 02:14:23.4038151,0.4559014,0.007305656,0.01763355,0.003295361,358.9882,1.898223,357.0715,0.1558318,-0.3801329,0.09278264,3.26779,5.754898,354.6369
2018/06/28 - 02:14:23.4147798,0.4668786,0.004983146,0.0183965,0.002926469,358.4966,359.878,356.8376,0.1558913,-0.3801531,0.09276572,3.114823,5.33896,354.5465
2018/06/28 - 02:14:23.4277248,0.4776812,0.002837177,0.01909034,0.002480993,358.0117,357.8087,356.6479,0.1559594,-0.3801724,0.09275527,2.990983,4.919321,354.4223
