Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:42:15.3470149,0.01114824,0,0,User missed,0.1019555,0.002308794,-0.1606676,5.080006,355.2142,356.3989,0.166335,-0.368252,0.04069535,336.9721,338.9726,3.059455
2018/06/22 - 01:42:19.4833532,0.01114824,1,0,User hit user's target,0.1388623,0.04498239,-0.2355842,336.7254,12.18658,351.0833,0.2882882,-0.2700999,0.005590218,322.6814,24.7755,351.4823
2018/06/22 - 01:42:19.5152676,0.01114824,1,1,Peer hit peer's target,0.1398123,0.04451199,-0.2354345,337.2795,12.87217,350.9584,0.2919972,-0.2710262,0.003666923,322.9944,27.64064,350.5232
2018/06/22 - 01:42:20.2395432,0.01114824,1,0,Peer missed,0.1301842,0.03291797,-0.214826,346.3036,5.505228,354.847,0.2349667,-0.3000522,0.02111321,331.7873,5.663192,7.961196
2018/06/22 - 01:42:21.2677840,0.01114824,2,0,User hit user's target,0.1258105,0.0106033,-0.1791167,1.278691,12.304,356.749,0.2980263,-0.4180073,0.09522156,5.861259,28.25833,7.94156
2018/06/22 - 01:42:22.4346398,0.01114824,1,0,User missed,0.1074057,0.009063442,-0.1761081,1.992224,357.5029,358.0146,0.1863205,-0.3962573,0.07031593,0.668428,357.3898,11.71612
2018/06/22 - 01:42:22.8455362,0.01114824,2,0,User hit user's target,0.1227068,0.005566217,-0.1740296,4.693295,8.680449,357.7585,0.2720015,-0.458876,0.09405169,16.57968,13.97501,9.727972
2018/06/22 - 01:42:23.2807953,0.01114824,3,0,User hit user's target,0.1376953,0.002182187,-0.1746848,6.552514,16.73989,357.293,0.3149574,-0.4446085,0.07941339,8.526098,20.27097,12.35021
2018/06/22 - 01:42:23.8024153,0.01114824,4,0,User hit user's target,0.1494076,0.005708009,-0.1867277,4.335458,27.60128,356.5679,0.4275627,-0.3922399,0.07509404,1.57971,41.20908,9.031364
2018/06/22 - 01:42:24.0829519,0.01114824,4,1,Peer hit peer's target,0.151998,0.007278465,-0.1913975,3.851002,27.56268,356.6444,0.4312069,-0.3615834,0.05855073,353.0368,45.84169,10.28602
2018/06/22 - 01:42:24.2804284,0.01114824,4,2,Peer hit peer's target,0.144281,0.008602738,-0.1897151,3.236595,21.84391,357.6074,0.3587311,-0.3679854,0.0704365,350.4011,27.62045,15.12803
2018/06/22 - 01:42:25.0671996,0.01114824,5,2,User hit user's target,0.1244306,0.01112729,-0.1741641,0.3264153,12.12793,358.2705,0.2866375,-0.3572729,0.07056686,347.1801,18.2848,8.950037
2018/06/22 - 01:42:25.2357689,0.01114824,5,3,Peer hit peer's target,0.1261661,0.01002638,-0.1746629,0.8382077,12.30105,358.1476,0.2769581,-0.3709755,0.07853088,354.0757,13.33486,8.358121
2018/06/22 - 01:42:26.4030812,0.01114824,6,3,User hit user's target,0.1209058,0.007617382,-0.1768848,2.561648,7.167207,358.4449,0.2873743,-0.4281326,0.09650949,7.452631,21.04216,11.36475
2018/06/22 - 01:42:28.3491505,0.01114824,6,4,Peer hit peer's target,0.08427732,0.004676096,-0.1802503,3.597642,336.7574,1.10332,0.1462573,-0.3403432,-0.02968015,329.0737,311.4082,7.527447
2018/06/22 - 01:42:29.5796730,0.01114824,7,4,User hit user's target,0.07888684,0.00872236,-0.1842381,0.5413417,335.8051,359.0877,0.139322,-0.4018118,0.03895333,6.514002,344.4938,19.67134
