Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
4.448235,-1,0,User missed,-0.8159914,0.4362915,0.01248498,330.954,154.6076,351.1758,-0.751776,0.233382,-0.2884912,314.9039,156.2682,348.9049
5.492329,0,0,User hit user's target,-0.7472857,0.3903776,0.04519924,5.391837,98.48213,1.240176,-0.5181799,0.01396506,-0.1361607,16.12691,93.92936,2.407029
6.070388,1,0,User hit user's target,-0.7205133,0.403355,0.0419378,355.8608,66.64666,356.6493,-0.5056586,0.1289565,0.01344216,354.2237,59.22897,358.3128
7.603752,2,0,User hit user's target,-0.7116691,0.4275317,0.009967228,330.413,56.76493,356.6086,-0.5736486,0.2657109,-0.02939319,322.7514,52.4266,352.0511
7.937109,2,-1,Peer missed,-0.7013987,0.4237868,-0.01508212,338.1756,88.87444,351.3726,-0.5448951,0.2418663,-0.1113881,326.2957,81.37739,348.8
8.137881,2,0,Peer hit peer's target,-0.7076075,0.4180755,-0.03616788,344.6562,120.8453,351.186,-0.5268957,0.1809641,-0.2449813,342.461,114.0903,355.3073
8.15941,2,1,Peer hit peer's target,-0.70952,0.4172705,-0.03681089,345.4392,122.7237,351.3045,-0.5294609,0.17852,-0.2536367,343.0748,116.3918,356.6396
8.359591,2,2,Peer hit peer's target,-0.7211625,0.4133556,-0.03632106,349.151,134.4761,350.848,-0.5576903,0.1458081,-0.3179114,353.0523,128.7909,0.06547905
8.448148,3,2,User hit user's target,-0.7240964,0.4108804,-0.03525444,350.9717,138.1566,351.4561,-0.5764816,0.1334029,-0.3367825,353.8604,134.7044,1.084648
8.603787,3,3,Peer hit peer's target,-0.7288199,0.407931,-0.03331717,353.1931,144.0974,351.6983,-0.6109889,0.1206101,-0.355682,355.879,141.9989,2.798671
9.492991,3,4,Peer hit peer's target,-0.735442,0.4424587,0.06074109,319.4481,129.5949,2.492399,-0.6316019,0.1754153,-0.2651205,338.5479,130.1615,1.871623
10.13777,4,4,User hit user's target,-0.7024055,0.4208542,0.05551368,344.7574,129.0698,0.8101555,-0.5973054,0.07989562,-0.2352512,3.832225,123.5114,1.668026
10.27068,4,5,Peer hit peer's target,-0.6982626,0.4166072,0.04727381,348.1012,132.5123,359.7778,-0.6124923,0.06678753,-0.2520638,6.223003,130.6515,1.872543
13.71513,5,5,User hit user's target,-0.6881704,0.4058742,-0.02076614,358.4213,114.9952,358.3849,-0.5513552,-0.01447681,-0.2153741,23.31065,112.5324,5.048875
13.8261,5,6,Peer hit peer's target,-0.6878006,0.4035901,-0.02788874,359.9664,120.0451,358.2551,-0.5633214,-0.02411959,-0.2305338,24.82121,115.1007,3.153689
15.42694,5,7,Peer hit peer's target,-0.7076741,0.4463568,0.06758353,315.6558,153.1616,4.331263,-0.7850173,0.1378293,-0.2879442,346.0386,170.3703,359.8863
16.45006,6,7,User hit user's target,-0.6946714,0.4284768,0.01596751,341.3163,156.3368,357.3376,-0.7025958,0.1692507,-0.2548612,346.942,156.2548,356.5707
17.55036,6,8,Peer hit peer's target,-0.6809366,0.4383381,0.06889536,323.9209,112.2226,11.68716,-0.611761,0.1153771,-0.1964664,351.2721,117.6804,1.306662
18.52823,7,8,User hit user's target,-0.6960655,0.4369533,0.001313698,329.9269,100.3935,354.0652,-0.6040064,0.2023437,-0.1742109,326.847,98.42085,353.8968
18.62805,7,9,Peer hit peer's target,-0.7006748,0.4367684,-0.005081791,330.5558,103.9153,352.6318,-0.6108944,0.2038603,-0.1876968,325.796,104.1534,351.3829
20.53885,7,10,Peer hit peer's target,-0.7152245,0.4136928,0.006157223,353.0476,221.111,357.7602,-0.9285063,0.07205826,-0.1824327,359.1151,227.6895,1.338685
21.21686,8,10,User hit user's target,-0.6663977,0.4142551,0.007227526,349.4638,176.2287,358.8098,-0.6910989,0.1807385,-0.2574169,350.6045,170.0352,353.0511
22.27242,9,10,User hit user's target,-0.6838017,0.4150164,0.01351099,350.365,164.2996,357.0476,-0.6928865,0.1137737,-0.2856124,1.798043,169.257,359.5907
22.42795,9,11,Peer hit peer's target,-0.6927169,0.4164964,0.01052586,349.2393,170.3479,356.0158,-0.7204854,0.1326765,-0.2944502,354.9954,178.3322,2.261306
22.81696,8,11,User missed,-0.7320824,0.4043129,0.001214099,357.2539,206.4128,354.6388,-0.9143293,0.07983699,-0.2661204,6.81255,209.9942,7.662298
23.06164,9,11,User hit user's target,-0.7496319,0.4018301,0.01547716,359.0437,222.1567,354.1734,-1.013037,0.04660232,-0.2065238,16.52555,229.7597,14.06362
25.03879,10,11,User hit user's target,-0.6737781,0.3872408,0.03420767,6.570805,125.6199,4.003038,-0.57228,0.0353802,-0.2009566,17.31959,123.4421,0.2806504
26.17262,10,12,Peer hit peer's target,-0.6405484,0.4616077,0.09168371,333.3206,66.4053,355.3734,-0.408297,0.09987638,0.02267167,338.7513,83.04257,353.8298
