Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:42:31.7152742,0.01114824,0,0,User missed,0.0935602,0.007428474,-0.1787654,0.8598271,349.0769,357.8541,0.1475808,-0.3749361,0.02751443,354.3081,341.072,10.53843
2018/06/22 - 01:42:32.3907901,0.01114824,0,0,User missed,0.08985787,0.006599684,-0.1769769,1.216338,347.8279,358.1562,0.145161,-0.3687384,0.02059972,352.0035,342.8875,12.12567
2018/06/22 - 01:42:33.3368261,0.01114824,1,0,User hit user's target,0.0936915,0.00579113,-0.1769731,2.093292,348.7514,358.1238,0.1570576,-0.4257106,0.05480002,10.00431,352.245,12.20734
2018/06/22 - 01:42:34.4579802,0.01114824,1,1,Peer hit peer's target,0.07148249,0.004474089,-0.1819282,2.369702,328.5281,357.1534,0.09755556,-0.380095,-0.01404996,353.8692,323.1392,24.03394
2018/06/22 - 01:42:36.6259683,0.01114824,1,2,Peer hit peer's target,0.11155,0.05268008,-0.05129946,342.8338,2.791965,1.129565,0.1030815,-0.3982572,0.1518182,347.6309,354.8272,39.3498
2018/06/22 - 01:42:36.8250519,0.01114824,1,3,Peer hit peer's target,0.1110191,0.03200717,0.04146019,343.9125,2.379081,0.8572454,0.07315251,-0.4522573,0.2047113,346.1126,350.5146,72.21517
2018/06/22 - 01:42:37.2688982,0.01114824,1,4,Peer hit peer's target,0.07599971,0.0491851,0.06120227,340.8124,6.399367,0.6963168,0.004727351,-0.5493252,0.2393995,345.2386,338.4586,50.52015
2018/06/22 - 01:42:37.9061943,0.01114824,1,5,Peer hit peer's target,0.05554219,0.03771964,0.1363001,339.7414,10.35845,359.8999,0.03711009,-0.5897269,0.2378926,344.3975,353.685,43.72934
