Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:48:18.4106938,39.99688,0.1387979,-0.04832652,-0.1508143,17.19883,347.8521,1.556018,0.185436,-0.3949457,0.09541202,354.8608,345.3176,346.5522,0,0
2018/07/11 - 02:48:18.4204627,40.00748,0.1389522,-0.04830521,-0.1508201,17.23646,347.9327,1.503061,0.1852903,-0.3948506,0.09543391,354.7139,345.24,346.685,0,0
2018/07/11 - 02:48:18.4324307,40.0191,0.1390337,-0.04836053,-0.150785,17.20922,347.9568,1.523538,0.185515,-0.3947915,0.09585384,354.9069,345.4433,346.545,0,0
2018/07/11 - 02:48:18.4424047,40.02991,0.1390708,-0.04834722,-0.1507648,17.21245,347.9848,1.511465,0.1854879,-0.3947703,0.0964294,355.4182,346.0169,346.2092,0,0
2018/07/11 - 02:48:18.4543724,40.04107,0.1390952,-0.04834627,-0.1507448,17.19267,347.9783,1.474899,0.1855255,-0.3948513,0.09676044,355.6925,346.4856,345.7859,0,0
2018/07/11 - 02:48:18.4653482,40.05212,0.1391412,-0.04835692,-0.1507336,17.16562,347.9425,1.425505,0.1852328,-0.3950133,0.09683716,355.8267,346.6694,345.4734,0,0
2018/07/11 - 02:48:18.4763130,40.06339,0.1391361,-0.04837137,-0.1507512,17.15741,347.937,1.430524,0.1847102,-0.3951531,0.09665044,355.8664,346.4764,345.5164,0,0
2018/07/11 - 02:48:18.4882832,40.07466,0.1391193,-0.04834195,-0.1507672,17.14858,347.8895,1.364522,0.1839848,-0.3951539,0.09617544,355.7164,345.8846,345.9129,0,0
2018/07/11 - 02:48:18.4982544,40.08564,0.1391,-0.04833364,-0.150801,17.12513,347.8301,1.32897,0.1834039,-0.3950195,0.09565783,355.4144,345.3606,346.2489,0,0
2018/07/11 - 02:48:18.5102226,40.09692,0.1390878,-0.04832818,-0.1508282,17.11259,347.8083,1.330899,0.1830243,-0.3948722,0.09512872,355.0473,345.0647,346.4326,0,0
2018/07/11 - 02:48:18.5201955,40.10757,0.1390968,-0.04831663,-0.1508497,17.09798,347.786,1.351867,0.1827466,-0.3947829,0.0947487,354.8281,345.0305,346.4782,0,0
2018/07/11 - 02:48:18.5321640,40.11896,0.1391014,-0.04829426,-0.1508674,17.10494,347.7892,1.355399,0.1824696,-0.3947394,0.09446444,354.7673,345.1078,346.4886,0,0
2018/07/11 - 02:48:18.5421372,40.13002,0.1390911,-0.04828541,-0.1508834,17.10048,347.7964,1.354485,0.1820963,-0.3947774,0.09428053,354.9098,345.174,346.5193,0,0
2018/07/11 - 02:48:18.5551019,40.14038,0.139079,-0.04826787,-0.1509032,17.08554,347.7743,1.356817,0.1817927,-0.3948383,0.0941452,355.0019,345.1151,346.4888,0,0
2018/07/11 - 02:48:18.5650759,40.15224,0.1390393,-0.04827434,-0.1509105,17.06698,347.7505,1.350943,0.1815724,-0.3948967,0.09402833,355.001,345.017,346.3635,0,0
2018/07/11 - 02:48:18.5750491,40.16321,0.13898,-0.0482752,-0.150898,17.05386,347.7204,1.342881,0.1814307,-0.3949824,0.0939719,355.0383,344.9785,346.2449,0,0
2018/07/11 - 02:48:18.5880143,40.17381,0.1388873,-0.04826763,-0.1508753,17.04623,347.6471,1.31489,0.1812939,-0.3950958,0.09393985,355.1522,344.9601,346.1737,0,0
