Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
4.77835,-18,-9,User missed,-0.8729593,0.3334868,-0.1969201,321.4161,55.52871,6.097885,-0.6158474,-0.1918576,-0.1448002,358.2432,39.06436,0.6540381
4.800725,-18,-10,Peer missed,-0.8729539,0.3335235,-0.1967546,321.4431,55.58788,6.087502,-0.6154116,-0.1925247,-0.1451457,358.3777,38.95279,0.234051
4.978293,-19,-10,User missed,-0.8718793,0.3331285,-0.1947957,321.6789,55.62402,6.243655,-0.6166453,-0.1996373,-0.1473387,358.822,38.65949,2.764185
5.033644,-19,-11,Peer missed,-0.8715993,0.3329934,-0.1942862,321.705,55.61455,6.263151,-0.6144208,-0.2008902,-0.1484859,359.4485,38.17146,1.718217
5.178259,-19,-12,Peer missed,-0.8703634,0.3324237,-0.1930703,322.1706,56.03876,6.023184,-0.6160034,-0.2026109,-0.1488326,358.751,38.3468,7.452809
5.189286,-20,-12,User missed,-0.8702201,0.3324114,-0.1929095,322.2161,56.04677,5.977111,-0.6188863,-0.203347,-0.1488532,358.4245,37.65612,8.819686
5.400531,-21,-12,User missed,-0.8661521,0.3306419,-0.1903134,324.1363,56.98574,5.091609,-0.6391847,-0.2417921,-0.132201,358.7245,37.30437,49.99673
5.500458,-21,-13,Peer missed,-0.8623215,0.3287005,-0.1888773,325.7036,57.75081,4.602888,-0.6412196,-0.2579734,-0.1266839,358.727,38.31204,62.73236
5.611686,-22,-13,User missed,-0.8545994,0.3241452,-0.1864141,329.3616,59.02596,3.59651,-0.6504433,-0.2787384,-0.1201305,359.6013,33.98507,69.42171
5.633979,-22,-14,Peer missed,-0.8538009,0.3236102,-0.1861934,329.8974,59.15674,3.487016,-0.6522248,-0.2813894,-0.1190926,0.219936,32.88129,70.06489
5.711706,-21,-15,Peer hit user's target,-0.8472869,0.3196195,-0.1841462,333.4652,59.83675,2.499586,-0.6591278,-0.2966617,-0.1112494,1.099593,32.82718,78.21201
5.834115,-22,-15,User missed,-0.8353453,0.3094492,-0.1804904,341.7273,61.30875,1.363216,-0.6730174,-0.3115702,-0.1074811,2.85887,26.97913,85.48955
5.867274,-22,-16,Peer missed,-0.8333907,0.307009,-0.1797969,343.373,61.54185,1.232751,-0.6739597,-0.312559,-0.1071866,3.530107,26.29876,85.77868
6.022676,-22,-17,Peer missed,-0.8199944,0.2864181,-0.1741521,354.7861,62.55006,0.6028748,-0.6721056,-0.3122703,-0.1048817,2.134332,27.92519,86.85492
6.04455,-23,-17,User missed,-0.8171595,0.2813217,-0.1729506,357.5623,62.82533,0.5813928,-0.676496,-0.3126789,-0.107138,2.065759,25.10535,87.05525
6.100223,-23,-18,Peer missed,-0.8133754,0.2744539,-0.1714408,1.070456,63.16457,0.5961873,-0.6764111,-0.3131427,-0.1058904,1.856736,25.54952,87.98965
6.244501,-24,-18,User missed,-0.8046768,0.2526077,-0.1682078,11.2845,63.43467,0.4104094,-0.6783808,-0.313887,-0.1066556,359.7973,24.9168,90.31811
6.455609,-25,-18,User missed,-0.8006071,0.234884,-0.1672384,19.1003,63.12975,359.9223,-0.6809301,-0.3140116,-0.1069116,1.162969,23.81094,90.76047
6.666896,-26,-18,User missed,-0.7997118,0.2264047,-0.1658733,22.2534,63.00138,359.5762,-0.6796557,-0.3127578,-0.1065686,1.249795,24.71472,89.49366
6.833469,-27,-18,User missed,-0.7993293,0.2235197,-0.164811,23.09276,63.0471,359.5771,-0.683296,-0.3131767,-0.1080246,1.525611,22.97404,90.09632
7.022326,-28,-18,User missed,-0.799173,0.2225823,-0.1647952,23.16229,62.94685,359.3938,-0.6836046,-0.3127088,-0.1083178,0.8754824,22.77173,89.87788
7.088925,-28,-19,Peer missed,-0.799067,0.2226257,-0.1651517,23.06631,63.01595,359.3424,-0.6820031,-0.311514,-0.1072288,0.9494167,24.20538,88.76939
7.11116,-28,-20,Peer missed,-0.7990182,0.2226901,-0.1652565,23.04155,63.04509,359.3271,-0.680947,-0.3109331,-0.1069252,0.8418025,24.78695,88.14918
7.144303,-28,-21,Peer missed,-0.7989821,0.2227119,-0.1655312,22.97329,63.09378,359.3372,-0.6792822,-0.3100725,-0.1065693,0.4189197,25.7902,87.31357
7.200219,-29,-21,User missed,-0.7989523,0.2227726,-0.1661771,22.85751,63.23449,359.3254,-0.6833513,-0.312134,-0.1081006,1.388907,22.88173,89.40873
7.588959,-30,-21,User missed,-0.7992952,0.2273065,-0.1687602,19.88444,63.8721,359.2851,-0.6820999,-0.3106602,-0.1080532,2.077904,22.78051,88.18287
7.655598,-30,-22,Peer missed,-0.7995622,0.2284489,-0.1687427,19.29092,63.91529,359.2955,-0.6848713,-0.3118178,-0.1090014,1.536414,21.85997,89.59592
7.82266,-30,-23,Peer missed,-0.8007296,0.2314432,-0.1685354,17.5283,63.76767,359.4836,-0.6825478,-0.3096406,-0.1088695,2.258503,21.91528,87.88913
7.833511,-31,-23,User missed,-0.8008952,0.231874,-0.1684784,17.2543,63.6954,359.4258,-0.6833931,-0.3104551,-0.1091926,1.585941,22.00023,88.28998
8.011502,-31,-24,Peer missed,-0.8024474,0.2342693,-0.1680306,15.7161,63.598,359.6973,-0.682003,-0.3103126,-0.1079077,2.588486,22.71685,87.49216
8.033405,-32,-24,User missed,-0.8027074,0.2348088,-0.1679403,15.42833,63.5316,359.7334,-0.6838724,-0.3109986,-0.1094031,2.385416,21.85685,87.89062
8.244567,-33,-24,User missed,-0.8041315,0.2376752,-0.1674197,13.5684,63.32936,359.9818,-0.684016,-0.3109732,-0.1090317,2.888699,22.17912,87.37238
8.444674,-34,-24,User missed,-0.8045932,0.241341,-0.1673333,11.50159,63.38972,0.1999646,-0.685452,-0.3119582,-0.1092415,2.516238,21.78845,88.53897
8.578154,-34,-25,Peer missed,-0.8046445,0.2433012,-0.1675443,10.30465,63.51136,0.3759347,-0.6796557,-0.3081787,-0.1069394,1.848141,25.33662,85.57562
8.633566,-33,-26,Peer hit user's target,-0.8047812,0.2435482,-0.16766,10.06514,63.56365,0.5037349,-0.6843148,-0.3102385,-0.109357,2.966678,21.63245,87.74296
