Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
0.01098752,-0.8158159,0.2914265,-0.1808068,10.27505,61.57733,1.132005,-0.6059205,-0.1511202,-0.1354446,5.322057,47.28157,7.171505
0.02244266,-0.8160488,0.2916358,-0.1814547,9.957369,61.64627,1.219994,-0.6063194,-0.1525264,-0.1359472,5.602165,47.37901,7.231473
0.03381105,-0.8163846,0.2916982,-0.182097,9.636889,61.70358,1.268302,-0.6068885,-0.1538007,-0.1365727,5.701673,47.332,7.162738
0.04426409,-0.8168218,0.2917968,-0.1827214,9.415905,61.84887,1.365035,-0.6073915,-0.1549706,-0.1372446,5.925193,47.26665,7.079336
0.0557693,-0.8173634,0.2919578,-0.1834269,9.220881,61.95795,1.423781,-0.6081243,-0.1560251,-0.1379437,5.956492,47.16051,7.047885
0.06674971,-0.8179855,0.2922652,-0.1840833,9.012166,62.11727,1.406074,-0.60888,-0.1569398,-0.1384555,5.901641,46.91742,7.084811
0.07757196,-0.8185565,0.2925237,-0.1848466,8.708687,62.22007,1.470288,-0.6093841,-0.1580486,-0.1389628,6.013845,46.68747,7.01827
0.08889455,-0.8192113,0.2929543,-0.1856042,8.46277,62.37169,1.610836,-0.6096463,-0.1592592,-0.1394969,6.254725,46.45252,6.836043
0.0998852,-0.8198256,0.2932878,-0.1863258,8.074801,62.49096,1.673529,-0.6099574,-0.1603825,-0.1399045,6.495671,46.25353,6.746598
0.1107695,-0.8205108,0.2937307,-0.1870575,7.737781,62.56776,1.710928,-0.6104563,-0.1614165,-0.1403345,6.637347,46.15706,6.741182
0.1223702,-0.8211758,0.2941093,-0.187807,7.399152,62.63647,1.797526,-0.6112059,-0.1622524,-0.1408277,6.813426,46.22388,6.785322
0.1331245,-0.8218504,0.2943769,-0.188436,7.003202,62.71625,1.815023,-0.6121743,-0.1628612,-0.1413526,7.018717,46.35566,6.832121
0.1443296,-0.8224934,0.2945568,-0.1891014,6.603892,62.75335,1.863293,-0.6137865,-0.1631021,-0.1424932,7.007452,46.71711,6.903255
0.1556101,-0.823159,0.2947262,-0.1896647,6.27057,62.83446,1.917107,-0.6153727,-0.1629212,-0.1432375,6.655957,46.90963,7.086947
0.1664887,-0.823815,0.2948828,-0.190263,5.961845,62.88794,1.968452,-0.6172915,-0.1627534,-0.144209,5.932343,46.71893,7.425764
0.1776025,-0.824461,0.2949738,-0.1908265,5.667788,62.89381,1.95566,-0.6182123,-0.1633284,-0.1454441,5.987102,46.89668,7.198161
0.1888375,-0.8250873,0.294947,-0.1913488,5.355409,62.93849,1.992848,-0.6188424,-0.163973,-0.1465107,6.151441,46.78263,6.855632
0.1996191,-0.8257409,0.2950054,-0.1918905,5.100646,62.94092,1.978463,-0.6194205,-0.1647525,-0.1474996,6.463707,46.71933,6.457236
0.2107787,-0.8263204,0.2949549,-0.1923321,4.717176,62.96438,1.951067,-0.6202861,-0.1654347,-0.1483654,6.600076,46.70422,6.290524
0.2228303,-0.8269101,0.2949895,-0.1927844,4.399776,62.99195,1.977303,-0.6213502,-0.1660524,-0.1491182,6.527808,46.67009,6.276197
0.2329801,-0.8275332,0.2950306,-0.1931603,4.103484,63.08004,1.981789,-0.622543,-0.1667394,-0.1498187,6.41808,46.6299,6.331461
0.2441451,-0.8281761,0.2949866,-0.1936445,3.83229,63.07674,1.994563,-0.6238763,-0.167487,-0.1503637,6.155199,46.49755,6.462718
0.25553,-0.8288836,0.2949129,-0.1940924,3.679645,63.12168,2.053172,-0.6246481,-0.1684197,-0.1510053,6.24565,46.12808,6.050524
0.2664103,-0.8296556,0.2949284,-0.1945373,3.560091,63.138,2.041245,-0.6257542,-0.1694712,-0.1515052,5.832853,45.69318,6.116222
0.2775494,-0.8303874,0.2949096,-0.1950286,3.361275,63.14279,2.116099,-0.6266577,-0.1705225,-0.1519758,5.419881,45.26186,6.032227
0.2890543,-0.8311782,0.29499,-0.1954078,3.146799,63.21235,2.12883,-0.6275637,-0.1716383,-0.1523501,5.041817,44.85296,6.050315
0.2996243,-0.8320182,0.2951706,-0.1958401,2.997587,63.22822,2.11635,-0.6283301,-0.1730513,-0.1526653,4.852513,44.52326,6.083176
0.3110003,-0.8328411,0.295273,-0.1961954,2.752897,63.31348,2.158361,-0.6288581,-0.1744736,-0.1529106,4.834623,44.24929,6.062842
0.3221662,-0.8337206,0.2954744,-0.1965984,2.545229,63.30747,2.10586,-0.6294503,-0.1759483,-0.1531304,4.887321,43.99424,6.119021
0.3336287,-0.8345895,0.2957101,-0.1970293,2.313285,63.30976,2.145744,-0.6300879,-0.1770464,-0.1532772,4.902768,43.86506,6.090986
0.3440952,-0.8355001,0.2960861,-0.1974072,2.077196,63.3289,2.121938,-0.6309674,-0.1775662,-0.1529173,4.199332,43.23118,6.624114
0.3553028,-0.8363464,0.2963632,-0.1977709,1.709805,63.37244,2.184783,-0.6321137,-0.1781834,-0.1531509,3.49802,42.86092,6.869607
0.3663811,-0.8373121,0.2968751,-0.1981196,1.452071,63.39201,2.145636,-0.6330487,-0.1788524,-0.1537807,3.000251,43.10481,6.617569
0.377863,-0.8381968,0.2972849,-0.1985221,1.082348,63.34289,2.151689,-0.6339838,-0.1792755,-0.1545309,2.3267,43.01656,6.36579
0.38865,-0.8390868,0.2977157,-0.1988292,0.7459007,63.38037,2.188534,-0.6348916,-0.1796418,-0.1553971,1.756775,43.26016,6.011448
0.3997555,-0.8399593,0.2982094,-0.1991358,0.4149352,63.39584,2.238679,-0.6357896,-0.1799734,-0.1562117,1.14955,43.69999,5.759146
0.4111168,-0.8408212,0.2986766,-0.1993296,0.02716836,63.42674,2.203362,-0.636475,-0.1803849,-0.1568781,0.7079189,44.19428,5.562018
0.4221863,-0.8416287,0.2990663,-0.1995536,359.6203,63.44997,2.281048,-0.636976,-0.1808061,-0.1572689,0.4755798,44.63046,5.535902
0.4333939,-0.8425324,0.2995789,-0.1998178,359.3963,63.42136,2.30723,-0.6372817,-0.1812449,-0.1576014,0.3411672,45.04204,5.587671
0.444314,-0.8433768,0.2999474,-0.1999851,359.0683,63.40704,2.317342,-0.6374611,-0.1815815,-0.1577967,0.32177,45.37395,5.660187
0.4553946,-0.8442474,0.3003296,-0.2001438,358.7374,63.39567,2.364714,-0.6377279,-0.1815784,-0.1580005,0.2249872,45.47813,5.724549
0.4665946,-0.8451387,0.3007973,-0.2003255,358.4753,63.3544,2.416817,-0.6380381,-0.1811847,-0.1582626,0.1434933,45.52282,5.834621
