Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.005810914,-0.0001397096,0.01256919,-0.01388952,350.2354,359.9584,0.06937732,-0.2878765,0.07800664,-0.263207,326.9926,327.2455,3.263809
0.0398461,-0.0001296438,0.01256493,-0.013885,350.2376,359.9594,0.06662087,-0.2884069,0.07154817,-0.2629287,326.1619,331.0493,2.46178
0.04600319,-0.0001282245,0.01256131,-0.01387887,350.243,359.9615,0.0629895,-0.2885484,0.07087112,-0.2626607,326.0553,331.1071,2.598434
0.05240745,-0.0001285635,0.01255707,-0.01387442,350.2426,359.9617,0.06426375,-0.2886763,0.07028025,-0.2624092,325.9633,331.663,2.446361
0.05814327,-0.0001398958,0.01255865,-0.01387653,350.2423,359.9564,0.06968582,-0.2888325,0.06987297,-0.2621738,325.8862,332.268,2.312362
0.06392176,-0.0001531951,0.01255977,-0.01387776,350.2409,359.9533,0.07503294,-0.2889707,0.06959727,-0.2619691,325.8411,332.7432,2.228652
0.07123426,-0.0001580603,0.01255615,-0.0138734,350.2436,359.9518,0.07899868,-0.2891406,0.06936881,-0.2618114,325.8218,333.0974,2.120951
0.07775543,-0.0001567192,0.01255762,-0.01387773,350.2345,359.9544,0.08347793,-0.2894291,0.06919311,-0.2615717,325.9919,333.2945,1.979572
0.08372762,-0.0001553856,0.01257116,-0.01389315,350.2255,359.9575,0.07564552,-0.2897525,0.06906421,-0.2613328,326.2691,333.3998,1.851069
0.08951493,-0.0001500361,0.01258885,-0.01391799,350.2046,359.9592,0.07446557,-0.2900751,0.06883295,-0.2611766,326.76,333.1945,1.813955
0.0958714,-0.0001460612,0.01260426,-0.01393889,350.1881,359.964,0.07505289,-0.2903841,0.06858174,-0.2611141,327.2115,333.0244,1.834367
0.1024111,-0.0001420565,0.01262466,-0.01396285,350.1854,359.9581,0.06985044,-0.290835,0.06809346,-0.2612427,327.8557,332.7585,2.055353
0.1099787,-0.0001415908,0.01261942,-0.01395684,350.1939,359.9499,0.07216268,-0.2914133,0.06757659,-0.2614568,328.5158,332.4961,2.391554
0.115834,-0.0001495257,0.01260406,-0.01393416,350.2103,359.9494,0.06833763,-0.2919669,0.06715255,-0.2617318,329.0258,332.2824,2.753309
0.1220096,-0.0001483709,0.01258157,-0.01390418,350.2345,359.9466,0.06892212,-0.2924546,0.0667104,-0.2621798,329.4022,331.8691,3.162371
0.1284266,-0.0001499504,0.01255432,-0.0138696,350.2491,359.951,0.06955784,-0.2929523,0.0661817,-0.2628861,329.6034,331.2033,3.693529
0.13502,-0.0001471564,0.01254521,-0.01385698,350.2575,359.9585,0.07133474,-0.2933061,0.06571797,-0.2635466,329.7368,330.6695,4.099888
0.1495424,-0.000129167,0.01254181,-0.01385427,350.2559,359.9702,0.07203615,-0.293882,0.06491227,-0.2650906,329.8585,329.7619,4.771886
0.1569117,-0.0001304038,0.01254425,-0.01385804,350.2523,359.9662,0.07062511,-0.294127,0.06458576,-0.2659395,329.8689,329.3814,5.09894
0.1636716,-0.000130523,0.01255046,-0.0138664,350.2496,359.956,0.06603462,-0.2943171,0.06437584,-0.2666581,329.9733,328.9727,5.308434
0.1708111,-0.0001388304,0.01255755,-0.01387471,350.2428,359.9537,0.0639539,-0.2944795,0.06420533,-0.2672345,330.2665,328.491,5.399566
0.1774139,-0.0001377501,0.01256045,-0.01387905,350.2382,359.9494,0.05945185,-0.2945982,0.0640415,-0.2676833,330.625,328.0646,5.422147
0.1839701,-0.000136625,0.01257069,-0.01389231,350.2305,359.9512,0.06054245,-0.2947099,0.06386486,-0.2681075,331.081,327.658,5.390658
0.1904591,-0.0001399107,0.01258476,-0.01391127,350.2166,359.9537,0.06538386,-0.2948166,0.06365424,-0.2685308,331.6255,327.2789,5.325194
0.1974818,-0.0001435913,0.01259149,-0.0139204,350.2095,359.9573,0.07123441,-0.2949208,0.06338871,-0.2689786,332.1931,326.8968,5.266709
0.2034201,-0.0001456887,0.01259638,-0.0139263,350.2084,359.9576,0.07415803,-0.2950518,0.06310167,-0.2694041,332.7354,326.5235,5.214554
0.2097029,-0.0001459494,0.01259367,-0.01392117,350.2172,359.958,0.07433482,-0.295196,0.06276108,-0.2698369,333.2441,326.1524,5.183204
0.2160358,-0.0001488701,0.01258181,-0.01390529,350.2296,359.9562,0.07622006,-0.2954055,0.06234019,-0.2703396,333.7616,325.7264,5.188751
0.2220905,-0.0001520552,0.01256999,-0.01388734,350.2471,359.9535,0.07240578,-0.2955928,0.06191646,-0.2708169,334.2171,325.3307,5.198133
0.2283989,-0.0001519285,0.01255054,-0.0138638,350.2559,359.9536,0.07342701,-0.2957855,0.06145756,-0.2713031,334.6595,324.9268,5.196405
0.2352335,-0.0001545325,0.01253935,-0.01385046,350.2606,359.9512,0.07431521,-0.2959708,0.06100123,-0.2717611,335.0601,324.5544,5.174874
0.2413402,-0.000151135,0.01253651,-0.01384799,350.2583,359.9518,0.0732189,-0.2961784,0.06047218,-0.2722583,335.4627,324.1791,5.15152
0.2480469,-0.0001490787,0.01254125,-0.0138536,350.2568,359.9523,0.07192379,-0.2963554,0.05999328,-0.2726759,335.7469,323.9192,5.132785
0.2553761,-0.0001498275,0.01255523,-0.01387236,350.2399,359.9587,0.07421993,-0.2965403,0.05943922,-0.2731161,335.9966,323.7158,5.099982
0.2619656,-0.0001504235,0.01256634,-0.01388992,350.2238,359.955,0.07905588,-0.2967019,0.05889366,-0.2735151,336.2047,323.5508,5.055161
0.2699337,-0.0001503266,0.01258198,-0.01390766,350.2217,359.9539,0.0772051,-0.2968284,0.05839963,-0.2738483,336.3504,323.4313,4.999846
0.277885,-0.0001535192,0.01258336,-0.01391064,350.2149,359.9511,0.07628074,-0.2969889,0.05769734,-0.2742582,336.5396,323.2809,4.918726
0.2855855,-0.0001545213,0.01258164,-0.01390772,350.2213,359.9491,0.07788361,-0.2971026,0.05712618,-0.2745336,336.7071,323.1773,4.842368
0.2928468,-0.0001589209,0.01258081,-0.01390532,350.2228,359.9526,0.07825003,-0.2972162,0.05650039,-0.2747837,336.9269,323.0869,4.73611
0.2999645,-0.0001626723,0.01258035,-0.01390437,350.2222,359.956,0.0810026,-0.297322,0.0559461,-0.2749548,337.156,323.0287,4.619226
0.3071535,-0.0001620203,0.01257746,-0.01390186,350.2234,359.9553,0.08519042,-0.2974305,0.05536902,-0.2750881,337.4528,322.9787,4.469322
0.3146933,-0.0001622215,0.01258144,-0.01390529,350.2252,359.9591,0.08552831,-0.2975486,0.05470461,-0.2751952,337.8479,322.9109,4.284348
0.3212978,-0.0001583844,0.01257496,-0.01389732,350.2308,359.9568,0.08359715,-0.2976504,0.05407524,-0.27526,338.2619,322.8248,4.111156
0.3277351,-0.0001612306,0.01256979,-0.01389096,350.2338,359.9563,0.08584419,-0.2977506,0.05344396,-0.2752785,338.7064,322.7021,3.962416
0.3347802,-0.0001639277,0.0125656,-0.01388615,350.2336,359.9509,0.08206172,-0.2978703,0.05270278,-0.2752972,339.2204,322.5333,3.824078
0.3414806,-0.0001669489,0.01256724,-0.01388749,350.2334,359.949,0.0797252,-0.2979999,0.05194882,-0.2753055,339.7228,322.3265,3.737005
0.3484023,-0.000165388,0.01257409,-0.01389834,350.2238,359.9457,0.08098915,-0.2981673,0.05105859,-0.2753043,340.2703,322.0355,3.73655
0.3552787,-0.0001619421,0.0125786,-0.01390315,350.2222,359.9483,0.0775399,-0.2983491,0.05013091,-0.2752879,340.7979,321.7154,3.803684
0.3623847,-0.0001567267,0.01258244,-0.0139082,350.2205,359.9506,0.0776163,-0.2985291,0.04915783,-0.2752576,341.3045,321.3699,3.952516
0.3702547,-0.0001591332,0.01258868,-0.0139149,350.2183,359.9539,0.07821118,-0.2987081,0.04809468,-0.2751673,341.7818,321.0086,4.210652
0.377541,-0.0001558177,0.01257819,-0.01390051,350.2298,359.955,0.07662912,-0.2988676,0.04702364,-0.2750058,342.1802,320.7119,4.536796
0.3843131,-0.0001555569,0.01257276,-0.0138926,350.2366,359.9557,0.07544146,-0.2989869,0.04603682,-0.2748254,342.4837,320.5017,4.884501
0.3906687,-0.0001514629,0.01256304,-0.01388132,350.2416,359.9563,0.07691483,-0.2990653,0.04511433,-0.2745775,342.6772,320.4143,5.267045
0.3968229,-0.0001472495,0.01255574,-0.01387103,350.2501,359.9556,0.07204301,-0.2991034,0.04423678,-0.2743189,342.8427,320.3927,5.627119
0.4029533,-0.0001461208,0.01254841,-0.0138617,350.2546,359.9555,0.07044624,-0.299096,0.04335251,-0.2740187,343.0046,320.437,5.98693
0.4099901,-0.0001467019,0.01253738,-0.01384785,350.2607,359.9563,0.07081043,-0.2990475,0.04240621,-0.2736537,343.1986,320.5309,6.362252
0.4170768,-0.0001414008,0.01253652,-0.01384779,350.2602,359.9542,0.06915987,-0.2989292,0.04134681,-0.2732177,343.4751,320.6619,6.766373
0.42435,-0.0001433045,0.01253721,-0.01384811,350.2594,359.9543,0.06731665,-0.2987615,0.04029256,-0.2727833,343.8004,320.7674,7.17304
0.4310336,-0.0001403466,0.01254147,-0.01385154,350.2603,359.9586,0.06287589,-0.2985128,0.03903847,-0.2722552,344.2852,320.8221,7.659306
0.4376939,-0.0001315251,0.01254235,-0.01385479,350.2555,359.9579,0.0619435,-0.2982507,0.03789275,-0.2717886,344.7995,320.7987,8.109503
0.4443271,-0.0001269653,0.01254264,-0.01385432,350.2568,359.9574,0.05542736,-0.297924,0.03662894,-0.271281,345.481,320.6719,8.598981
0.4515497,-0.0001160689,0.01254095,-0.01385339,350.256,359.9568,0.05064461,-0.2975726,0.0354219,-0.2707834,346.2047,320.511,9.043709
0.4586975,-0.0001138635,0.01253504,-0.01384497,350.2647,359.9563,0.04966857,-0.2970646,0.03400555,-0.2701644,347.1351,320.281,9.524937
0.4653558,-0.0001188293,0.01252698,-0.01383385,350.2717,359.9576,0.05166209,-0.2964164,0.03269446,-0.2694677,348.1102,320.0159,9.897167
0.4719603,-0.0001155809,0.01251424,-0.01381724,350.2827,359.9566,0.0491145,-0.2956609,0.03145888,-0.2687031,349.062,319.7629,10.21299
0.478242,-0.0001199543,0.01250635,-0.01380715,350.2885,359.9578,0.0535296,-0.2949086,0.03049698,-0.2679915,349.8292,319.5503,10.44307
0.4847418,-0.0001182742,0.01250008,-0.01379803,350.2946,359.9627,0.05279652,-0.2939686,0.02952166,-0.2671515,350.6073,319.3307,10.70047
0.4912166,-0.0001133978,0.01249782,-0.01379654,350.2937,359.9637,0.05434435,-0.2929794,0.02856935,-0.2663027,351.3277,319.1245,10.98515
0.4975851,-0.0001159273,0.0124949,-0.01379127,350.2971,359.9665,0.05208166,-0.291936,0.02768071,-0.265474,351.9573,318.9395,11.31616
0.5042288,-0.0001125894,0.01249409,-0.01379157,350.2971,359.9623,0.05231056,-0.2907261,0.02670706,-0.2645688,352.5992,318.7504,11.76873
0.5106914,-0.0001129434,0.0124975,-0.01379682,350.2919,359.9575,0.04970434,-0.2894916,0.0256994,-0.2636948,353.1739,318.5743,12.36914
0.5178443,-0.0001215711,0.01250265,-0.01380252,350.2895,359.9539,0.04984239,-0.2881801,0.02464653,-0.2628499,353.7192,318.4001,13.05975
0.5250826,-0.000121884,0.01250467,-0.01380564,350.2884,359.9502,0.05016287,-0.2865475,0.02331384,-0.2619098,354.2831,318.1945,14.0536
0.531013,-0.0001215115,0.01251032,-0.01381206,350.2844,359.9572,0.05174608,-0.2849877,0.02206082,-0.2611221,354.7029,318.011,15.04928
0.5377466,-0.0001214258,0.01251287,-0.01381486,350.2822,359.9582,0.04954866,-0.283387,0.02079418,-0.2604425,354.9958,317.8342,16.10714
0.5448807,-0.0001190118,0.01251543,-0.01381877,350.2789,359.9579,0.04901329,-0.2814881,0.0193494,-0.2597765,355.1384,317.6301,17.38737
0.551809,-0.0001209117,0.01251705,-0.01382011,350.2785,359.9592,0.04865664,-0.2795599,0.01799987,-0.2592222,355.1451,317.4384,18.60994
0.5589187,-0.000118345,0.01251559,-0.01381903,350.2826,359.9565,0.05249942,-0.2773041,0.01657551,-0.258699,355.0001,317.2266,19.93182
0.5658824,-0.0001259409,0.01251051,-0.01381028,350.2899,359.9599,0.05360935,-0.2748175,0.01527197,-0.2582602,354.6514,317.0225,21.16999
0.5722011,-0.0001202524,0.01249451,-0.01379139,350.3001,359.955,0.05182825,-0.2720778,0.01406801,-0.2578474,354.195,316.8356,22.31895
0.5782256,-0.0001233257,0.01249132,-0.01378767,350.2995,359.9551,0.05263725,-0.2696447,0.01314672,-0.2575178,353.7686,316.7136,23.19463
0.5842612,-0.0001192018,0.01248565,-0.01377962,350.3067,359.9567,0.05052975,-0.267066,0.01228454,-0.2571799,353.3256,316.6527,23.99615
0.590393,-0.0001224987,0.01248401,-0.01377792,350.3062,359.9561,0.05259782,-0.2643937,0.01149531,-0.2568424,352.9102,316.6803,24.6974
0.5974649,-0.0001208447,0.01248498,-0.0137793,350.3029,359.9599,0.05214344,-0.2612324,0.01064993,-0.2564331,352.4871,316.8347,25.40089
0.6039502,-0.0001180731,0.01248576,-0.01378118,350.3053,359.9524,0.05188948,-0.2581908,0.009934184,-0.2559979,352.2088,317.1887,25.90113
0.6096889,-0.0001248829,0.01248809,-0.01378509,350.2988,359.9548,0.05811809,-0.2550432,0.009243703,-0.2555354,352.0017,317.6535,26.33204
0.6180205,-0.0001276545,0.01249877,-0.01379647,350.2957,359.9529,0.05195488,-0.251419,0.008524726,-0.2549852,351.8742,318.311,26.69603
0.6239356,-0.0001245439,0.01249931,-0.01379629,350.2985,359.95,0.04626622,-0.2480804,0.007968999,-0.2544902,351.8637,319.0168,26.88949
0.6294788,-0.0001195781,0.01249351,-0.01379045,350.2987,359.9502,0.04625767,-0.2450428,0.007589825,-0.2540897,351.9088,319.6813,26.95537
