Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 11:45:43.4042116,101.4682,3,1,Peer hit peer's target,-3.020965,8.264317,-0.4936192
2018/07/02 - 11:45:46.0489160,104.1138,1,0,Peer missed, , , 
2018/07/02 - 11:45:49.0374914,107.1019,2,1,Peer hit peer's target,0.9840266,4.111331,-5.022943
2018/07/02 - 11:45:52.4495877,110.5131,1,2,Peer hit peer's target,-4.836193,5.069437,-0.845306
2018/07/02 - 11:45:55.5267229,113.5918,3,1,Peer missed, , , 
2018/07/02 - 11:45:55.8378898,113.9022,3,2,Peer hit peer's target,-0.61013,4.099548,-5.079854
2018/07/02 - 11:45:58.1172687,116.181,2,3,Peer hit peer's target,2.272737,4.618454,-3.905808
2018/07/02 - 11:45:58.8503058,116.9144,2,2,Peer missed, , , 
2018/07/02 - 11:45:59.8498128,117.9143,2,1,Peer missed, , , 
2018/07/02 - 11:46:02.7839143,120.8474,3,1,Peer missed, , , 
2018/07/02 - 11:46:04.2719390,122.3366,1,2,Peer missed, , , 
2018/07/02 - 11:46:05.2753312,123.3394,1,1,Peer missed, , , 
2018/07/02 - 11:46:06.4947315,124.5582,0,0,Peer missed, , , 
2018/07/02 - 11:46:07.0841299,125.1476,1,1,Peer hit peer's target,3.930936,2.745486,-1.642349
2018/07/02 - 11:46:07.8631549,125.9262,1,2,Peer hit peer's target,-3.968536,4.03774,-2.699226
2018/07/02 - 11:46:09.1836027,127.2481,0,5,Peer hit peer's target,3.710328,5.106438,2.552878
2018/07/02 - 11:46:10.3925832,128.4571,0,5,Peer missed, , , 
2018/07/02 - 11:46:11.0827916,129.1463,1,4,Peer missed, , , 
2018/07/02 - 11:46:12.7612186,130.8257,1,3,Peer missed, , , 
2018/07/02 - 11:46:14.8150677,132.8791,1,2,Peer missed, , , 
2018/07/02 - 11:46:15.9165928,133.9808,1,1,Peer missed, , , 
