Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 11:46:26.9197496,134.9695,0.3917414,-0.09571201,0.4713027,7.680656,289.528,3.315824,0.3644466,-0.3488556,0.5764393,348.2904,292.4398,356.8271
2018/07/02 - 11:46:26.9277296,134.9814,0.3917376,-0.09573149,0.4712858,7.682555,289.5237,3.314979,0.3645055,-0.3489066,0.5764226,348.0136,292.6509,356.645
2018/07/02 - 11:46:26.9406960,134.9917,0.3917134,-0.09575289,0.4712726,7.683733,289.5254,3.312958,0.3646079,-0.3489969,0.5763928,347.5194,292.9753,356.357
2018/07/02 - 11:46:26.9506678,135.0035,0.3916805,-0.09577969,0.4712467,7.691643,289.5253,3.308217,0.3647232,-0.3491007,0.5763597,346.9487,293.288,356.0621
2018/07/02 - 11:46:26.9626377,135.0145,0.3916377,-0.09582666,0.4712267,7.681761,289.5249,3.299247,0.3648471,-0.3492137,0.5763362,346.3314,293.5308,355.7571
2018/07/02 - 11:46:26.9736056,135.0254,0.3916005,-0.09584917,0.4711944,7.694306,289.5251,3.29689,0.3649437,-0.3493034,0.5763226,345.8607,293.7479,355.4749
2018/07/02 - 11:46:26.9835793,135.037,0.3915625,-0.0958816,0.4711662,7.682681,289.5172,3.294936,0.3650264,-0.3493795,0.5763302,345.4876,293.9131,355.1649
2018/07/02 - 11:46:26.9965443,135.0476,0.3915079,-0.09591019,0.4711202,7.672419,289.5115,3.290687,0.3650805,-0.3494275,0.5763627,345.2853,293.9784,354.8766
2018/07/02 - 11:46:27.0055205,135.0591,0.3914631,-0.09593763,0.471085,7.656828,289.5052,3.300069,0.3651221,-0.3494645,0.5763909,345.1387,294.0446,354.629
2018/07/02 - 11:46:27.0174884,135.0694,0.3914231,-0.09594078,0.4710485,7.655517,289.4882,3.299529,0.365136,-0.3494759,0.5764132,345.1121,294.0572,354.4987
2018/07/02 - 11:46:27.0284591,135.0804,0.3913818,-0.09595302,0.4710129,7.646821,289.4763,3.308645,0.3651346,-0.3494734,0.5764252,345.1485,294.0795,354.4334
2018/07/02 - 11:46:27.0394298,135.0917,0.3913425,-0.09596711,0.4709947,7.628204,289.4566,3.313464,0.3651047,-0.3494444,0.5764317,345.3225,294.1009,354.4465
2018/07/02 - 11:46:27.0504017,135.1029,0.3913092,-0.09594643,0.4709474,7.637163,289.4562,3.318448,0.3650452,-0.3493892,0.576419,345.6052,294.0924,354.6192
2018/07/02 - 11:46:27.0623688,135.1148,0.3912778,-0.09593187,0.470932,7.633684,289.4416,3.323858,0.3649472,-0.3493021,0.5763702,346.0129,294.0765,355.0227
2018/07/02 - 11:46:27.0753346,135.1259,0.391262,-0.09593121,0.4709508,7.607603,289.4309,3.351427,0.3645957,-0.3490029,0.5762147,347.4953,294.1177,356.3102
2018/07/02 - 11:46:27.0853075,135.1381,0.3912488,-0.09590453,0.4709266,7.602101,289.4266,3.341839,0.3642587,-0.3487365,0.5760636,348.8757,294.2406,357.4905
2018/07/02 - 11:46:27.0962776,135.1489,0.3912468,-0.09587375,0.4709125,7.597311,289.4235,3.340779,0.3641051,-0.3486227,0.5759824,349.4819,294.3904,358.0157
2018/07/02 - 11:46:27.1062514,135.1597,0.3912797,-0.09586522,0.4709579,7.568276,289.4101,3.351831,0.3637419,-0.3483634,0.5758295,350.9073,294.5046,359.2607
2018/07/02 - 11:46:27.1182190,135.1707,0.3912899,-0.09583871,0.4709488,7.575627,289.4176,3.356169,0.3634087,-0.3481384,0.5757186,352.1996,294.4017,0.414493
2018/07/02 - 11:46:27.1291895,135.1814,0.3913304,-0.09582284,0.4709596,7.588937,289.418,3.354101,0.3631498,-0.3479739,0.5756313,353.1416,294.0146,1.50109
2018/07/02 - 11:46:27.1411577,135.1928,0.391381,-0.09583522,0.4709907,7.597867,289.4116,3.351262,0.3629948,-0.3478824,0.575559,353.6392,293.5557,2.366346
2018/07/02 - 11:46:27.1521281,135.2041,0.3914257,-0.09586076,0.4710228,7.607003,289.4253,3.347839,0.3629425,-0.347855,0.5755159,353.7354,293.0447,2.951701
2018/07/02 - 11:46:27.1621022,135.215,0.3915069,-0.09587496,0.4711301,7.640363,289.4153,3.351855,0.3629233,-0.347849,0.5754744,353.7122,292.7184,3.35719
2018/07/02 - 11:46:27.1730743,135.2259,0.3915024,-0.09588024,0.4711759,7.659979,289.4803,3.355917,0.3629623,-0.3478753,0.5754662,353.5166,292.6498,3.365489
2018/07/02 - 11:46:27.1840424,135.2365,0.3914751,-0.09588811,0.4711951,7.637445,289.4661,3.344544,0.3629999,-0.3478972,0.5754825,353.3885,292.7553,3.166853
