Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
0.0112512,0.8683344,0.2715423,-0.1544713,21.77164,302.2112,6.270529,0.7705262,-0.05150336,0.01678035,5.257478,293.3002,350.6271
0.02210559,0.8678553,0.271421,-0.1548083,21.90705,302.1194,6.231781,0.7712371,-0.05190902,0.01495796,5.645098,292.5682,350.5027
0.03317048,0.8673318,0.2712193,-0.1551707,21.98611,302.0985,6.267068,0.7718505,-0.05182185,0.0132088,5.298961,292.292,350.38
0.04418701,0.8668346,0.27111,-0.1555086,22.0854,302.0106,6.211714,0.7722489,-0.05191208,0.01146906,5.243789,291.9172,350.3042
0.05514779,0.8662932,0.2709928,-0.1557935,22.09217,301.9065,6.205132,0.7724288,-0.05203834,0.009893804,5.415465,291.4135,350.0949
0.06641548,0.8657326,0.2709607,-0.1561036,22.12327,301.8172,6.222785,0.7723914,-0.05206247,0.008813784,5.724488,291.2948,349.5663
0.0777119,0.8652112,0.2709218,-0.1564028,22.1377,301.6423,6.168454,0.7723464,-0.05198782,0.007820362,5.940473,291.3314,348.9643
0.08880125,0.8647005,0.2708679,-0.1566965,22.165,301.5321,6.287085,0.7721424,-0.05188341,0.006757905,6.091047,291.3531,348.3494
0.1000149,0.864166,0.2708869,-0.1570753,22.15667,301.401,6.222704,0.7719266,-0.05186416,0.005386089,6.218455,291.2275,348.0325
0.1107328,0.8636788,0.270961,-0.1573711,22.17687,301.2364,6.241809,0.7720311,-0.05174934,0.003678872,6.202936,290.7967,347.679
0.1219979,0.8631846,0.271048,-0.1577035,22.16966,301.1588,6.328537,0.7722039,-0.05174914,0.001898821,6.218341,290.2645,347.1764
0.1333637,0.8627157,0.271127,-0.1579796,22.12332,300.9594,6.294344,0.771951,-0.0520498,-0.000275362,6.380948,289.4425,347.0136
0.1441348,0.8622981,0.2712139,-0.1582411,22.07729,300.8019,6.339607,0.7711691,-0.05241088,-0.002263546,6.706857,288.6212,346.9833
0.1554699,0.8618842,0.2712881,-0.1585145,22.0481,300.6459,6.384837,0.7710314,-0.0525008,-0.004622064,6.649057,287.1169,346.8238
0.1664398,0.8614401,0.2713894,-0.1587783,22.05146,300.4655,6.428913,0.7709545,-0.05228647,-0.00644542,6.360222,286.1461,346.6223
0.1776196,0.8610075,0.2715562,-0.1591013,22.09031,300.3345,6.42627,0.7707009,-0.05200857,-0.0078281,6.012706,285.7793,346.7422
0.1885621,0.8605474,0.2716724,-0.1593978,22.07016,300.1691,6.423238,0.7704132,-0.05181709,-0.008672573,5.725075,286.0883,346.9973
0.1996543,0.8601208,0.2717916,-0.1596303,22.00777,299.9274,6.452772,0.7701464,-0.0516928,-0.009501247,5.487195,286.6067,347.198
0.2108785,0.8596309,0.2719593,-0.1599311,21.97272,299.6873,6.415993,0.7697485,-0.0515954,-0.01022093,5.391744,286.9047,347.3281
0.2222261,0.859128,0.2719891,-0.1602268,21.82747,299.4381,6.406551,0.7693356,-0.05153476,-0.01097525,5.392158,286.7243,347.1582
0.2333362,0.8586651,0.2721693,-0.1605298,21.7664,299.1757,6.390824,0.7689247,-0.05153301,-0.01164642,5.439869,286.2141,346.7553
0.2440925,0.858161,0.272407,-0.1608371,21.72723,298.8737,6.277671,0.7685399,-0.05155225,-0.01232279,5.448431,285.7762,346.427
0.2552171,0.8576312,0.2725571,-0.1611293,21.61155,298.598,6.252428,0.7681785,-0.05160724,-0.01296679,5.431515,285.401,346.2364
0.2665929,0.8570986,0.2728602,-0.1614437,21.60533,298.3141,6.171539,0.7678561,-0.05170923,-0.0136992,5.319086,285.0949,346.2042
0.277967,0.8565456,0.2730913,-0.1617248,21.53349,298.0227,6.112449,0.7675738,-0.051795,-0.01451556,5.066122,284.7917,346.2574
0.2890726,0.855938,0.2733023,-0.1620342,21.42886,297.8058,6.093544,0.7673362,-0.05193049,-0.01550372,4.678944,284.476,346.5043
0.3000299,0.8553401,0.2735131,-0.162285,21.30173,297.5046,6.077675,0.767067,-0.05211455,-0.01654967,4.331228,284.0979,346.8154
0.3112032,0.8547494,0.2738014,-0.1625556,21.19869,297.2029,6.034539,0.7667748,-0.05240352,-0.01762227,4.049079,283.6758,347.1138
0.3224564,0.8541492,0.274067,-0.162849,21.04557,296.9445,6.05528,0.7664418,-0.05275178,-0.01871736,3.837891,283.2205,347.3517
0.3336911,0.8535549,0.2743971,-0.1631609,20.92896,296.6599,6.039872,0.7660699,-0.05311188,-0.01984508,3.619743,282.7084,347.6173
0.3443788,0.8529931,0.2747706,-0.1634256,20.71712,296.3369,5.988165,0.7656254,-0.05344882,-0.02099651,3.388274,282.1254,347.9344
0.3555577,0.8523459,0.2752464,-0.1637081,20.42319,296.0428,5.976446,0.765142,-0.05380701,-0.02203998,3.327806,281.6196,348.2178
0.366719,0.8516573,0.2759177,-0.1639548,19.97396,295.7766,5.976283,0.7645973,-0.05407225,-0.02278566,3.39015,281.2911,348.2875
0.3778496,0.8509248,0.2767223,-0.1642544,19.5388,295.5358,5.87672,0.764046,-0.05424961,-0.0233131,3.295659,281.0688,348.2522
0.3891389,0.8503077,0.2776429,-0.1644047,19.04367,295.1958,5.829553,0.7634131,-0.05442222,-0.02364082,3.217193,281.0502,348.1574
0.4002337,0.8496809,0.2784489,-0.1646,18.50261,294.9386,5.850751,0.7627593,-0.05454762,-0.02403791,3.08989,281.0471,348.2317
0.4110673,0.8490786,0.279322,-0.1648488,17.96248,294.7167,5.853198,0.7620211,-0.05459575,-0.02445919,2.874614,281.0424,348.4634
0.422193,0.84853,0.2802078,-0.1650507,17.4739,294.425,5.881707,0.7612525,-0.05463902,-0.02487483,2.655487,280.9615,348.7294
0.43317,0.8480152,0.2811031,-0.1652977,16.99278,294.1103,5.847076,0.7604157,-0.05464234,-0.02532989,2.387869,280.8617,349.144
0.4448245,0.8474822,0.2818733,-0.1655896,16.50073,293.8284,5.807284,0.7595244,-0.0545993,-0.02576905,2.263484,280.9039,349.47
0.4556983,0.8470333,0.2826945,-0.1658302,16.15827,293.5215,5.785734,0.7586179,-0.05447221,-0.02611014,2.228359,281.0189,349.6075
0.4667464,0.8466193,0.2834061,-0.1660392,15.80357,293.2593,5.786174,0.7577627,-0.05423038,-0.02636347,2.08221,281.0896,349.6297
0.4777285,0.8461598,0.2841108,-0.1662257,15.39084,292.959,5.683907,0.7569352,-0.05395198,-0.02668471,1.914123,281.1393,349.7317
0.4893924,0.8456619,0.2849039,-0.1664063,14.96565,292.7488,5.631732,0.756112,-0.05359699,-0.02705774,1.758388,281.21,349.8688
0.4999624,0.8452251,0.285847,-0.1664755,14.55251,292.4681,5.604692,0.7552914,-0.05320922,-0.0274794,1.601198,281.2702,350.0175
0.5110714,0.8447239,0.2867695,-0.1665431,13.94352,292.2216,5.501731,0.7544773,-0.05270498,-0.02790846,1.473994,281.3113,350.1663
0.5224389,0.8443073,0.2877323,-0.1665179,13.35889,291.9926,5.600792,0.7536996,-0.05211958,-0.02818904,1.399016,281.3442,350.1961
0.5334293,0.8439068,0.2886093,-0.166543,12.77443,291.7462,5.565931,0.7529568,-0.05148642,-0.02849665,1.254597,281.368,350.2357
0.5444254,0.8436028,0.2894982,-0.1665854,12.28604,291.5419,5.590365,0.7522951,-0.05072204,-0.0288471,1.026473,281.3669,350.3054
0.5554973,0.8434192,0.2903761,-0.1666099,11.81228,291.3442,5.577487,0.7516966,-0.0499393,-0.02920233,0.7517108,281.3434,350.4062
0.5666698,0.84317,0.2913966,-0.1666503,11.29036,291.1541,5.5576,0.7511098,-0.04911075,-0.02957912,0.4074242,281.3394,350.5263
0.5776857,0.8429407,0.2926002,-0.1666239,10.70904,290.9947,5.565593,0.750513,-0.04833457,-0.02995282,0.1242536,281.3605,350.6962
0.588597,0.8426401,0.2938251,-0.1666611,10.11006,290.8667,5.510783,0.7499533,-0.0475582,-0.03042546,359.779,281.3941,350.9967
0.6001853,0.8424039,0.2950736,-0.1666675,9.479156,290.7698,5.486012,0.7494184,-0.04680425,-0.0309342,359.3466,281.4183,351.3199
0.611001,0.8421869,0.2964483,-0.1667177,8.942816,290.6603,5.403794,0.7488554,-0.04602516,-0.0315292,358.8373,281.4414,351.6453
0.6217456,0.8420268,0.2977244,-0.1666555,8.362659,290.5087,5.354395,0.7482891,-0.04524735,-0.03215032,358.3285,281.4238,351.9882
0.6330864,0.8418075,0.2989642,-0.166694,7.818487,290.4724,5.360262,0.7477244,-0.0444878,-0.03279179,357.8412,281.4028,352.4008
0.6444044,0.8416438,0.3001776,-0.1667105,7.263303,290.3494,5.319911,0.7471352,-0.04366904,-0.03334281,357.3886,281.4098,352.7279
0.6557478,0.8414679,0.3012416,-0.1667889,6.715017,290.3018,5.363016,0.7465198,-0.04282791,-0.0338221,356.9814,281.4252,352.9772
0.6666113,0.8413299,0.302212,-0.1668397,6.208428,290.1844,5.410078,0.7458367,-0.04197609,-0.03424737,356.8563,281.4546,353.1652
0.6777731,0.8412095,0.3030629,-0.1669681,5.810338,290.092,5.412807,0.7451478,-0.04111433,-0.03457658,356.882,281.4235,353.2862
0.6887566,0.8410764,0.3038085,-0.16712,5.454249,289.9935,5.372047,0.7445093,-0.04023747,-0.03490575,356.8258,281.3169,353.3634
0.6999854,0.8409657,0.3044525,-0.1672992,5.215707,289.8979,5.341812,0.7439227,-0.03932727,-0.03533824,356.6125,281.2455,353.5099
0.7109535,0.8407849,0.3050543,-0.1674836,4.952402,289.8176,5.334647,0.7433651,-0.03839879,-0.03576822,356.3764,281.1945,353.596
0.7222099,0.840609,0.305603,-0.167641,4.736277,289.6725,5.307639,0.7427807,-0.03753024,-0.03620064,356.2873,281.1322,353.5605
0.7334912,0.8403577,0.3060685,-0.1677446,4.419377,289.5104,5.361434,0.7421842,-0.03672783,-0.03668511,356.27,280.9448,353.426
0.7442486,0.840095,0.306666,-0.1679857,4.171978,289.3842,5.291174,0.7415696,-0.03598113,-0.03722811,356.2327,280.6667,353.2462
0.7556745,0.8398517,0.3071278,-0.1681257,3.971514,289.1937,5.311702,0.7409804,-0.03528908,-0.03776374,356.1668,280.438,353.0374
0.7664728,0.8395999,0.307511,-0.1683368,3.812405,289.076,5.335484,0.7403989,-0.03472254,-0.03845047,356.1266,280.2116,352.9226
0.7778324,0.8394152,0.3077657,-0.1685471,3.751826,288.9122,5.340639,0.7398025,-0.0341905,-0.03923756,356.0769,279.9894,352.9171
0.7889069,0.8392096,0.3080042,-0.1688209,3.731905,288.7731,5.289758,0.739204,-0.03368129,-0.03999666,355.9899,279.7755,352.8871
0.7999935,0.8390062,0.308122,-0.1690452,3.75301,288.5963,5.290609,0.7386241,-0.0331929,-0.04070197,355.8711,279.6299,352.7967
0.8111863,0.8387443,0.3082114,-0.1693412,3.785323,288.4721,5.259204,0.7380317,-0.03279554,-0.04149179,355.8101,279.5068,352.7706
0.8220572,0.838522,0.3082203,-0.1695683,3.857159,288.2567,5.265903,0.7374204,-0.03247934,-0.04231535,355.8517,279.2695,352.7386
0.8334944,0.8382636,0.3082618,-0.1698717,3.959757,288.0534,5.220589,0.7368218,-0.0321972,-0.04313575,355.9217,278.8978,352.5497
0.8446023,0.8380194,0.3083728,-0.1701813,4.097482,287.8229,5.15916,0.7362632,-0.03187245,-0.04387805,355.9107,278.4806,352.226
0.8556754,0.8376839,0.3083783,-0.1704726,4.141392,287.6069,5.151033,0.735722,-0.0315824,-0.04461693,355.933,278.0535,351.8141
0.8667119,0.837357,0.3084135,-0.1707355,4.221818,287.2729,5.078639,0.7352334,-0.03133747,-0.04542777,356.0818,277.585,351.4466
0.8779101,0.8369829,0.3083363,-0.1710706,4.274268,286.9795,5.05239,0.7347215,-0.03114204,-0.04628545,356.2516,277.0435,351.0996
0.88894,0.8366237,0.3081745,-0.1713896,4.402645,286.5615,5.062312,0.7341973,-0.03097903,-0.04713517,356.4352,276.4892,350.7435
0.8996815,0.8362238,0.3080442,-0.1718685,4.598951,286.1839,4.956767,0.7336307,-0.03085723,-0.04803834,356.7324,275.9479,350.4114
0.911323,0.8358152,0.3078151,-0.1722734,4.787329,285.6746,4.858503,0.7331021,-0.03077934,-0.04898138,357.0195,275.4005,350.1283
0.9224683,0.8354099,0.3075079,-0.172764,5.021671,285.2177,4.745293,0.7326357,-0.03066865,-0.04989395,357.2242,274.8694,349.8316
0.9331517,0.8350534,0.3071908,-0.1732477,5.334805,284.7442,4.599461,0.7323298,-0.030479,-0.05083434,357.3176,274.3324,349.5805
0.9446845,0.8346342,0.3067417,-0.1737138,5.605613,284.2384,4.439287,0.7321724,-0.03023338,-0.05173417,357.3708,273.7729,349.3878
0.9555736,0.8342253,0.3065017,-0.1742456,5.958955,283.8011,4.271738,0.7320994,-0.03002683,-0.05259051,357.4138,273.1744,349.1674
0.9665904,0.833761,0.3062651,-0.1746871,6.1887,283.3,4.158088,0.7320904,-0.02982518,-0.05346232,357.4824,272.4805,348.9204
0.9777827,0.8332896,0.3061422,-0.1751266,6.426778,282.7859,4.018715,0.7321607,-0.02962361,-0.05436024,357.5448,271.6052,348.6102
0.9889844,0.8327747,0.3060276,-0.1755535,6.602808,282.2593,3.882273,0.7322582,-0.02948764,-0.05518683,357.6075,270.7438,348.2719
0.9999654,0.8322898,0.3060067,-0.1759637,6.88412,281.7152,3.738814,0.7323558,-0.02936289,-0.05598646,357.6866,269.9982,347.9751
1.011203,0.831736,0.3058251,-0.1764286,7.040729,281.2013,3.575753,0.7325041,-0.02925567,-0.05678944,357.7383,269.2982,347.7614
1.022826,0.8312402,0.3056356,-0.1768679,7.279528,280.6979,3.386032,0.7326077,-0.02914118,-0.05740092,357.7836,268.737,347.5717
1.033433,0.8307469,0.3055322,-0.1773271,7.576131,280.2347,3.135797,0.732674,-0.02895894,-0.05787904,357.8265,268.3869,347.4281
1.044586,0.8302267,0.3054529,-0.1777432,7.770515,279.8219,2.893886,0.732755,-0.02871485,-0.05829547,357.7937,268.3031,347.4306
1.055498,0.8296927,0.305418,-0.1780448,7.880325,279.3912,2.692637,0.7328126,-0.02845721,-0.05860798,357.6278,268.4573,347.656
1.066839,0.8291051,0.3054665,-0.1783349,7.913519,279.0611,2.489028,0.7328587,-0.02822965,-0.05885624,357.4103,268.6466,347.924
1.077812,0.8285268,0.3055806,-0.1785335,7.975149,278.7362,2.33395,0.7329019,-0.02802781,-0.0590464,357.1728,268.782,348.1423
1.088915,0.8278592,0.3055902,-0.1786494,7.882998,278.4433,2.194298,0.7328759,-0.02792609,-0.05917272,357.0426,268.9126,348.3572
1.099964,0.8272327,0.3055602,-0.1787778,7.872919,278.2284,2.114773,0.732787,-0.02789594,-0.05924848,357.0701,268.9939,348.4738
1.111203,0.8265973,0.3054092,-0.1789137,7.90064,278.0566,2.002852,0.7326362,-0.02791706,-0.05923849,357.1807,269.0279,348.4774
