Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/06/28 - 03:00:46.9105458,1.937254,0,1,Peer hit peer's target,-4.149095,6.714896,1.440618
2018/06/28 - 03:00:47.9177810,2.947221,0,0,Peer missed, , , 
2018/06/28 - 03:00:51.0768848,6.105297,2,1,Peer hit peer's target,-3.632068,7.608893,2.614222
2018/06/28 - 03:00:53.5999669,8.628088,2,2,Peer hit peer's target,1.729692,4.339754,4.254631
2018/06/28 - 03:00:54.8890527,9.916004,1,1,Peer missed, , , 
2018/06/28 - 03:00:57.0977286,12.12631,2,0,Peer missed, , , 
2018/06/28 - 03:01:02.8879804,17.91646,1,1,Peer hit peer's target,5.087649,2.477399,3.100494
2018/06/28 - 03:01:03.6100490,18.63796,2,2,Peer hit peer's target,5.045635,5.253934,2.381023
2018/06/28 - 03:01:03.9910813,19.01895,2,3,Peer hit peer's target,-1.316535,3.553877,4.224276
2018/06/28 - 03:01:05.1220238,20.15009,2,4,Peer hit peer's target,-4.135231,8.150884,-0.5219061
2018/06/28 - 03:01:07.2984745,22.32729,3,5,Peer hit peer's target,4.639929,3.562403,2.119991
2018/06/28 - 03:01:07.9643964,22.99333,3,6,Peer hit peer's target,-3.620163,6.951364,-3.414026
2018/06/28 - 03:01:10.3220716,25.3483,3,5,Peer missed, , , 
2018/06/28 - 03:01:11.5889566,26.61706,3,6,Peer hit peer's target,4.674747,3.624281,-0.8978599
2018/06/28 - 03:01:14.3307369,29.36042,3,5,Peer missed, , , 
2018/06/28 - 03:01:17.7430844,32.77164,3,6,Peer hit peer's target,2.885206,8.050893,-2.544752
2018/06/28 - 03:01:17.9430885,32.972,3,5,Peer missed, , , 
2018/06/28 - 03:01:18.2223411,33.25034,4,4,Peer hit user's target,5.181041,3.736388,0.3592763
2018/06/28 - 03:01:19.0301797,34.05949,5,3,Peer hit user's target,-1.667495,8.510819,-3.690956
2018/06/28 - 03:01:20.3531659,35.38278,5,2,Peer missed, , , 
2018/06/28 - 03:01:20.9447004,35.97334,5,3,Peer hit peer's target,0.8135828,4.233948,-4.781144
2018/06/28 - 03:01:24.1214930,39.14985,5,4,Peer hit peer's target,3.760221,7.733198,-1.215891
2018/06/28 - 03:01:25.1336348,40.16189,6,5,Peer hit peer's target,4.050098,2.075192,2.102035
2018/06/28 - 03:01:28.2455315,43.27342,4,6,Peer hit peer's target,2.745862,7.360993,-2.779425
2018/06/28 - 03:01:28.7103600,43.73963,3,7,Peer hit peer's target,0.2454012,5.364365,5.191443
2018/06/28 - 03:01:32.1765963,47.20575,3,6,Peer missed, , , 
2018/06/28 - 03:01:35.0663254,50.09464,2,5,Peer missed, , , 
2018/06/28 - 03:01:35.8325943,50.86174,1,4,Peer missed, , , 
2018/06/28 - 03:01:36.5771750,51.60579,1,3,Peer hit user's target,-2.575322,6.175237,4.935843
2018/06/28 - 03:01:37.0539171,52.08282,1,2,Peer hit user's target,-3.041171,5.875054,-3.393405
2018/06/28 - 03:01:38.0545074,53.08391,1,1,Peer missed, , , 
2018/06/28 - 03:01:40.9884769,56.01722,1,0,Peer missed, , , 
2018/06/28 - 03:01:42.9123259,57.94072,1,1,Peer hit peer's target,-1.283406,7.045506,4.667307
2018/06/28 - 03:01:44.2438957,59.27245,1,2,Peer hit peer's target,-2.90635,8.014252,-2.705116
2018/06/28 - 03:01:47.0445058,62.07281,0,1,Peer missed, , , 
2018/06/28 - 03:01:47.7237468,62.75189,1,0,Peer missed, , , 
2018/06/28 - 03:01:49.3547721,64.38438,2,1,Peer hit peer's target,0.9551845,7.74191,-3.809683
2018/06/28 - 03:01:51.1235390,66.1517,2,2,Peer hit peer's target,-2.966534,3.297529,3.310424
2018/06/28 - 03:01:53.7221238,68.75019,2,1,Peer missed, , , 
2018/06/28 - 03:01:58.0010240,73.0291,1,0,Peer missed, , , 
2018/06/28 - 03:02:00.8558180,75.88469,1,1,Peer hit peer's target,-1.971314,2.28106,3.519877
2018/06/28 - 03:02:02.0005760,77.02942,1,2,Peer hit peer's target,3.587486,3.903568,1.137653
2018/06/28 - 03:02:03.3221006,78.35059,0,1,Peer missed, , , 
2018/06/28 - 03:02:05.3672154,80.39581,0,2,Peer hit peer's target,4.826299,4.020174,-0.04897569
2018/06/28 - 03:02:05.9329711,80.96239,1,1,Peer missed, , , 
2018/06/28 - 03:02:06.6101952,81.63979,2,0,Peer missed, , , 
2018/06/28 - 03:02:10.5916065,85.62035,4,1,Peer hit peer's target,3.605611,7.29845,-1.099536
2018/06/28 - 03:02:10.6803697,85.70899,4,2,Peer hit peer's target,-5.12274,5.945681,1.054704
2018/06/28 - 03:02:11.4675029,86.49593,5,3,Peer hit peer's target,-4.094504,3.8008,-2.775799
2018/06/28 - 03:02:11.7906739,86.81926,5,4,Peer hit peer's target,-5.280318,5.812108,-0.4339025
2018/06/28 - 03:02:13.0130497,88.04206,5,5,Peer hit peer's target,0.9250416,8.465372,3.505097
2018/06/28 - 03:02:13.5784223,88.60746,5,4,Peer missed, , , 
2018/06/28 - 03:02:17.1442946,92.17281,3,5,Peer hit peer's target,-5.542984,3.233545,0.887762
2018/06/28 - 03:02:17.8902727,92.91842,4,4,Peer missed, , , 
2018/06/28 - 03:02:21.1012187,96.12968,4,3,Peer missed, , , 
2018/06/28 - 03:02:22.8019686,97.83051,5,4,Peer hit peer's target,0.14815,8.425488,3.10399
2018/06/28 - 03:02:24.0562806,99.08553,5,5,Peer hit peer's target,-3.283579,3.04796,3.036782
2018/06/28 - 03:02:25.0890212,100.1185,6,6,Peer hit peer's target,0.9073951,8.356886,-2.934361
2018/06/28 - 03:02:27.9238493,102.9523,7,7,Peer hit peer's target,-2.774902,6.565785,-3.248194
2018/06/28 - 03:02:28.1562259,103.1859,7,8,Peer hit peer's target,-4.271086,6.282738,-1.944385
2018/06/28 - 03:02:29.4129923,104.442,7,9,Peer hit peer's target,-0.6861482,3.7508,-4.995667
2018/06/28 - 03:02:30.2045836,105.2329,7,10,Peer hit peer's target,-4.081338,5.216959,2.720974
2018/06/28 - 03:02:33.0113678,108.0407,5,9,Peer missed, , , 
2018/06/28 - 03:02:33.2247819,108.2533,5,8,Peer missed, , , 
2018/06/28 - 03:02:33.4132776,108.4425,5,7,Peer missed, , , 
2018/06/28 - 03:02:33.9130319,108.9423,6,6,Peer hit user's target,4.632792,3.833196,-2.329166
2018/06/28 - 03:02:34.6248699,109.653,6,5,Peer missed, , , 
2018/06/28 - 03:02:37.8029781,112.8311,8,4,Peer missed, , , 
2018/06/28 - 03:02:38.0194520,113.0476,8,5,Peer hit peer's target,5.691035,6.208371,-0.5074409
2018/06/28 - 03:02:38.3838317,113.4043,7,6,Peer hit peer's target,-2.751305,4.431773,3.767951
2018/06/28 - 03:02:41.3442585,116.3732,4,7,Peer hit peer's target,-1.5812,3.013381,4.23754
2018/06/28 - 03:02:41.6324677,116.6624,5,6,Peer missed, , , 
2018/06/28 - 03:02:43.7557066,118.7848,2,5,Peer missed, , , 
2018/06/28 - 03:02:44.2802268,119.3084,2,4,Peer missed, , , 
2018/06/28 - 03:02:44.5562792,119.5859,2,3,Peer missed, , , 
2018/06/28 - 03:02:45.0469824,120.0758,2,2,Peer missed, , , 
2018/06/28 - 03:02:48.2135242,123.2424,2,1,Peer missed, , , 
2018/06/28 - 03:02:49.7919405,124.8206,2,2,Peer hit peer's target,1.86522,6.720038,-4.325813
2018/06/28 - 03:02:51.8356322,126.865,2,3,Peer hit peer's target,5.215918,5.84604,-0.09800276
2018/06/28 - 03:02:52.5926066,127.6214,1,4,Peer hit peer's target,-3.230253,6.45907,-2.756213
2018/06/28 - 03:02:54.8658455,129.8947,0,3,Peer missed, , , 
2018/06/28 - 03:02:55.1091948,130.1385,0,2,Peer missed, , , 
2018/06/28 - 03:02:55.3764792,130.4057,0,2,Peer missed, , , 
2018/06/28 - 03:02:55.3984206,130.4278,0,1,Peer missed, , , 
2018/06/28 - 03:02:55.5450283,130.5735,0,0,Peer missed, , , 
2018/06/28 - 03:02:56.0107818,131.04,2,0,Peer hit user's target,2.780569,5.60328,-4.613119
2018/06/28 - 03:02:59.6267202,134.6542,2,1,Peer hit peer's target,1.603277,4.798676,-5.377467
2018/06/28 - 03:02:59.9912747,135.0213,2,2,Peer hit peer's target,1.25719,4.376294,4.626847
2018/06/28 - 03:03:00.8054374,135.8341,2,1,Peer missed, , , 
2018/06/28 - 03:03:03.6574089,138.6875,3,2,Peer hit peer's target,4.376636,3.865663,-0.6305449
2018/06/28 - 03:03:04.4503247,139.4756,3,1,Peer missed, , , 
2018/06/28 - 03:03:07.5691329,142.5981,3,0,Peer missed, , , 
2018/06/28 - 03:03:07.8583376,142.8878,3,1,Peer hit peer's target,-2.41454,7.351667,-4.167638
2018/06/28 - 03:03:08.2343839,143.2645,3,2,Peer hit peer's target,-4.020482,5.297849,2.828892
2018/06/28 - 03:03:08.4913003,143.521,3,3,Peer hit peer's target,-4.944489,3.294421,0.7577659
2018/06/28 - 03:03:09.3016682,144.3307,3,4,Peer hit peer's target,-4.74415,5.100051,2.151068
2018/06/28 - 03:03:10.1258558,145.1541,3,5,Peer hit peer's target,1.797854,4.614011,-4.714058
2018/06/28 - 03:03:12.0688072,147.0982,3,6,Peer hit peer's target,3.354883,8.78156,-1.130014
2018/06/28 - 03:03:14.9586518,149.9881,3,5,Peer missed, , , 
2018/06/28 - 03:03:17.9340924,152.9637,1,6,Peer hit peer's target,-2.318892,3.265001,-3.758667
2018/06/28 - 03:03:18.0927494,153.1216,1,5,Peer missed, , , 
2018/06/28 - 03:03:18.1355866,153.1653,1,4,Peer missed, , , 
2018/06/28 - 03:03:18.4686947,153.4974,2,3,Peer missed, , , 
2018/06/28 - 03:03:18.8474266,153.8759,2,2,Peer missed, , , 
2018/06/28 - 03:03:19.5251650,154.5537,2,1,Peer missed, , , 
2018/06/28 - 03:03:21.8134302,156.8429,5,0,Peer missed, , , 
2018/06/28 - 03:03:21.9131667,156.9429,5,1,Peer hit peer's target,-0.04759621,5.803021,5.056408
2018/06/28 - 03:03:22.1465707,157.1758,5,2,Peer hit peer's target,0.9083185,4.174457,4.70762
2018/06/28 - 03:03:22.2702394,157.2999,5,3,Peer hit peer's target,-5.174758,3.680538,2.543229
2018/06/28 - 03:03:22.8362594,157.8657,5,4,Peer hit peer's target,0.04491509,8.603176,-3.246172
2018/06/28 - 03:03:23.5215548,158.5439,4,5,Peer hit peer's target,-3.724052,6.49412,-2.90707
2018/06/28 - 03:03:24.8515306,159.8801,5,6,Peer hit peer's target,-2.832461,8.153625,2.844792
2018/06/28 - 03:03:26.1744115,161.1983,5,7,Peer hit peer's target,-1.694572,5.459867,4.294947
2018/06/28 - 03:03:27.7880166,162.8176,4,6,Peer missed, , , 
2018/06/28 - 03:03:27.9216582,162.9511,5,5,Peer hit user's target,-2.922462,3.138242,4.64489
2018/06/28 - 03:03:28.9559726,163.9857,4,4,Peer missed, , , 
2018/06/28 - 03:03:33.3717591,168.4006,6,3,Peer missed, , , 
2018/06/28 - 03:03:33.4501663,168.4778,6,4,Peer hit peer's target,4.970846,7.285975,-1.616151
2018/06/28 - 03:03:33.8810433,168.9099,6,5,Peer hit peer's target,-4.838147,3.982843,0.5085368
2018/06/28 - 03:03:34.4046206,169.433,6,6,Peer hit peer's target,-5.620452,5.199964,-1.832387
2018/06/28 - 03:03:34.6729022,169.6998,7,7,Peer hit peer's target,-1.78466,5.368147,-3.622504
2018/06/28 - 03:03:36.3477412,171.377,7,6,Peer missed, , , 
2018/06/28 - 03:03:41.3130439,176.3432,5,5,Peer missed, , , 
2018/06/28 - 03:03:43.2922414,178.3223,5,4,Peer missed, , , 
2018/06/28 - 03:03:44.8619031,179.8905,5,3,Peer missed, , , 
