Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,User Points:,Peer Points:,Action type:,Target position x:,Target position y:,Target position z:
2018/07/02 - 10:43:41.5864663,137.0042,1,2,User hit user's target,-4.61124,5.820096,2.068406
2018/07/02 - 10:43:42.7227166,138.1376,2,3,User hit user's target,-3.267223,5.250133,4.373658
2018/07/02 - 10:43:44.9196301,140.3376,1,3,User missed, , , 
2018/07/02 - 10:43:45.3095862,140.7277,0,3,User missed, , , 
2018/07/02 - 10:43:48.6426417,144.0606,1,1,User hit user's target,1.698213,6.127586,4.483332
2018/07/02 - 10:43:50.7351556,146.1528,2,0,User hit user's target,2.619194,5.564366,4.433248
2018/07/02 - 10:43:52.5161714,147.9341,1,0,User missed, , , 
2018/07/02 - 10:43:52.9210990,148.3384,0,0,User missed, , , 
2018/07/02 - 10:43:54.4649303,149.8831,1,0,User hit user's target,2.080142,3.781948,4.329131
2018/07/02 - 10:43:55.3774980,150.7948,2,0,User hit user's target,0.827712,4.240403,4.979853
2018/07/02 - 10:43:56.4772772,151.8948,3,0,User hit user's target,-3.073158,7.030291,4.238132
2018/07/02 - 10:44:00.9978592,156.4158,4,0,User hit user's target,3.284827,4.824679,2.570962
2018/07/02 - 10:44:03.2090698,158.6276,5,0,User hit user's target,-2.573443,6.163224,4.016519
2018/07/02 - 10:44:05.1439649,160.5619,6,0,User hit user's target,-1.700397,6.025415,4.47417
2018/07/02 - 10:44:08.3223990,163.7389,7,1,User hit user's target,-2.661675,6.596907,4.424855
2018/07/02 - 10:44:08.9448557,164.3616,6,1,User missed, , , 
2018/07/02 - 10:44:09.2430580,164.661,7,1,User hit user's target,-0.1137001,3.467277,5.462909
2018/07/02 - 10:44:11.2874346,166.7053,8,2,User hit user's target,-2.458928,3.486077,3.878007
2018/07/02 - 10:44:16.5124299,171.929,9,1,User hit user's target,0.8793495,3.346143,4.635891
2018/07/02 - 10:44:19.1604635,174.5726,10,3,User hit user's target,1.824419,6.464883,4.401798
2018/07/02 - 10:44:22.4786977,177.895,11,4,User hit user's target,-2.463296,7.628854,2.779181
