Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/27 - 01:00:00.7548664,0,-0.05299905,-0.05076547,-0.4123031,9.973709,358.5051,0.07856404,-0.02195043,-0.6196296,-0.1977949,344.4035,357.0646,8.20575
2018/06/27 - 01:00:00.7668338,0.01120822,-0.0530288,-0.05080939,-0.4123095,9.979623,358.4937,0.0886948,-0.02197598,-0.6196899,-0.1977458,344.4286,357.0705,8.218505
2018/06/27 - 01:00:00.7758114,0.02697806,-0.05304907,-0.05081776,-0.4123097,9.985489,358.4941,0.08852773,-0.02196149,-0.6197391,-0.197724,344.4393,357.0989,8.227967
2018/06/27 - 01:00:00.7857837,0.03671002,-0.0530648,-0.05082573,-0.4123163,9.99171,358.4847,0.09461242,-0.02193686,-0.6197546,-0.1977063,344.4437,357.1337,8.23346
2018/06/27 - 01:00:00.7977520,0.04590268,-0.05308589,-0.05083143,-0.4123136,9.991017,358.4866,0.1089236,-0.02190302,-0.6197581,-0.1976477,344.4598,357.1887,8.241219
2018/06/27 - 01:00:00.8087218,0.05778161,-0.05311697,-0.05083451,-0.4123093,9.984904,358.4951,0.112123,-0.02187949,-0.6197492,-0.1975924,344.4803,357.2199,8.242393
2018/06/27 - 01:00:00.8187183,0.0683066,-0.05312956,-0.05082397,-0.4123024,9.986485,358.4909,0.1044151,-0.02184828,-0.6197352,-0.1975324,344.4976,357.2551,8.238084
2018/06/27 - 01:00:00.8296660,0.07905175,-0.05315084,-0.05080979,-0.4122983,9.987328,358.4886,0.1061952,-0.02183163,-0.6197361,-0.1974885,344.5159,357.2704,8.235894
2018/06/27 - 01:00:00.8406359,0.08976475,-0.05318132,-0.05077942,-0.4123212,10.00491,358.4889,0.1199125,-0.02182471,-0.6197468,-0.1974208,344.5404,357.2802,8.24096
2018/06/27 - 01:00:00.8536014,0.1006823,-0.05320871,-0.0507839,-0.4123084,9.98587,358.4914,0.1176812,-0.02181777,-0.6197692,-0.1973773,344.5644,357.2882,8.252056
2018/06/27 - 01:00:00.8655693,0.1136634,-0.05324831,-0.05077778,-0.412313,9.984468,358.4982,0.1287499,-0.02180666,-0.6197932,-0.1973732,344.5735,357.296,8.261008
